close,date,high,low,open,volume,volumetrend_macd,volumetrend_macd_signal,volumetrend_macd_diff,volumetrend_sma_fast,volumetrend_sma_slow,volumetrend_ema_fast,volumetrend_ema_slow,volumetrend_vortex_ind_pos,volumetrend_vortex_ind_neg,volumetrend_vortex_ind_diff,volumetrend_trix,volumetrend_mass_index,volumetrend_dpo,volumetrend_kst,volumetrend_kst_sig,volumetrend_kst_diff,volumetrend_ichimoku_conv,volumetrend_ichimoku_base,volumetrend_ichimoku_a,volumetrend_ichimoku_b,volumetrend_stc,volumetrend_adx,volumetrend_adx_pos,volumetrend_adx_neg,volumetrend_cci,volumetrend_visual_ichimoku_a,volumetrend_visual_ichimoku_b,volumetrend_aroon_up,volumetrend_aroon_down,volumetrend_aroon_ind,volumetrend_psar_up,volumetrend_psar_down,volumetrend_psar_up_indicator,volumetrend_psar_down_indicator,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volumevolatility_bbm,volumevolatility_bbh,volumevolatility_bbl,volumevolatility_bbw,volumevolatility_bbp,volumevolatility_bbhi,volumevolatility_bbli,volumevolatility_kcc,volumevolatility_kch,volumevolatility_kcl,volumevolatility_kcw,volumevolatility_kcp,volumevolatility_kchi,volumevolatility_kcli,volumevolatility_dcl,volumevolatility_dch,volumevolatility_dcm,volumevolatility_dcw,volumevolatility_dcp,volumevolatility_atr,volumevolatility_ui,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama
265.316,2019-08-12,269.663,263.952,268.609,1045100,0.0,0.0,0.0,263.952,263.952,263.952,263.952,0.0,0.0,0.0,-31.47898643067353,1.0,125.53508181096106,-322.3087174734333,-322.3087174734333,0.0,269.13599999999997,269.13599999999997,269.13599999999997,269.13599999999997,0.0,0.0,0.0,0.0,0.0,394.3696409849087,389.8678844320889,0.0,0.0,0.0,264.56062000000003,268.609,0.0,0.0,2609.863650853813,265.316,9.836812144212235,0.0,0.0,0.0,0.0,267.40799999999996,50.0,1000.0,263.952,263.952,263.952,0.0,0.0,0.0,0.0,267.40799999999996,266.354,268.46200000000005,-0.7883085023634526,2.139468690702048,0.0,1.0,269.663,268.609,269.13599999999997,-0.399315026974613,5.418406072106118,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.0,541.8406072106118,541.8406072106118,441.8406072106117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.952
269.926,2019-08-13,271.883,264.478,264.478,1186600,0.04196011396010135,0.008392022792020271,0.033568091168081085,264.21500000000003,264.21500000000003,264.03292307692305,263.99096296296295,0.04025337287637418,0.025417462448842628,0.014835910427531549,0.0003892161264262276,2.776856976850837,125.27208181096103,-321.633470431151,-321.97109395229216,0.337623521141154,269.13599999999997,269.13599999999997,269.13599999999997,269.13599999999997,0.0,0.0,0.0,0.0,-66.66666666665846,394.3696409849087,389.8678844320889,0.0,0.0,0.0,264.56062000000003,268.609,0.0,0.0,2879.789650853813,535.242,5.380350665407074,141.98107600000282,2621265.64317627,2621265.64317627,0.5379049069527804,267.17517851613536,0.0,1000.0,264.21500000000003,264.741,263.6890000000001,0.39816058891429595,0.75,0.0,0.0,267.1771666666666,262.9476666666667,271.40666666666664,-3.1660639662945056,0.8190881506876313,1.0,1.0,269.663,268.609,269.13599999999997,-0.39891754820885655,4.919354838709538,0.0,0.0,100.0,0.0,0.0,0.0,100.0,7.648684019194621,491.93548387095376,516.8880455407827,391.93548387095376,0.0,0.0,0.015894526649379362,0.0031789053298758724,0.01271562131950349,0.1384298630320811,0.027685972606416222,0.11074389042566488,264.1884992901939
256.754,2019-08-14,267.452,256.406,266.624,1489900,-0.5695635587373999,-0.10719909351386378,-0.46236446522353614,261.612,261.612,262.85955029585796,263.42911385459536,0.07925144757945159,0.047411245162429595,0.03184020241702199,-0.004951202033093965,4.172010977335861,127.87508181096103,-328.31661891427166,-324.08626893961866,-4.230349974652995,268.03049999999996,268.03049999999996,268.03049999999996,268.03049999999996,0.0,0.0,0.0,0.0,-99.99999999999883,394.3696409849087,389.8678844320889,0.0,8.0,-8.0,264.56062000000003,268.609,1.0,0.0,9473.530056651121,278.48799999999994,11.961588261368897,-174.37597599999765,368442.1664316652,1494853.9048039676,-7.29835477438177,265.98179204861304,0.0,969.4795030210453,261.612,268.9869117056862,254.23708829431385,5.638053075307086,0.1470466218608344,0.0,0.0,265.9494444444444,262.8537777777778,269.0451111111111,-2.3280113806090914,2.041419905961743,0.0,1.0,267.452,268.609,268.03049999999996,0.44225800039752844,-9.547104580812587,0.0,0.0,5.705655591342321,0.0,0.0,0.0,70.8655164946226,-76.60136026799348,-954.7104580812586,26.355211000102297,-1054.7104580812586,0.0,0.0,-0.2162113178772568,-0.04069913931155066,-0.17551217856570614,-0.15059616089598227,-0.007970454094063478,-0.1426257068019188,260.9601388265133
257.893,2019-08-15,259.285,254.929,257.14,1188800,-1.160010156335261,-0.31776130607814324,-0.8422488502571177,259.94125,259.94125,261.6394656349567,262.79947579129197,0.15413396050966516,0.10089699949146375,0.05323696101820141,-0.014984533271810934,5.47631119947139,129.54583181096103,-332.6062348682377,-326.2162604217734,-6.389974446464294,263.947,263.947,263.947,263.947,0.0,0.0,0.0,0.0,-128.5290384133377,394.3696409849087,389.8678844320889,0.0,12.0,-12.0,264.56062000000003,268.609,0.0,1.0,10263.079395112647,20.59499999999997,9.775394727549909,-203.8805452857124,7340523.976998351,3443410.5955354287,-8.783920482672535,263.804504808921,0.0,969.4795030210453,259.94125,268.5603484882412,251.3221515117589,6.631574240903385,0.20923583209786092,0.0,0.0,263.7415833333333,260.8835833333333,266.5995833333333,-2.1672729524702086,2.0417395614648894,0.0,1.0,259.285,268.609,263.947,3.5869643621395046,-0.46718146718147185,0.0,0.0,4.811609264461609,0.0,0.0,0.0,49.08659601161563,-70.87981146897111,-46.71814671814719,-169.83104030948402,-146.71814671814718,0.0,0.0,-0.4414050495505968,-0.1208403213593599,-0.3205647281912369,-0.3419867675697143,-0.07477371678919364,-0.26721305078052066,258.2575679804632
259.238,2019-08-16,261.797,258.777,260.489,776400,-1.3024283150647875,-0.5146947078754721,-0.7877336071893154,259.7084,259.7084,261.19908630650184,262.5015146215666,0.15516136017876014,0.12890545788257352,0.02625590229618663,-0.024857037741247017,6.6375141437274205,129.77868181096107,-333.20407241118613,-327.613822819656,-5.590249591530153,263.947,263.947,263.947,263.947,0.0,0.0,0.0,0.0,-52.17615662474166,394.3696409849087,389.8678844320889,0.0,12.0,-12.0,264.56062000000003,268.42251999999996,0.0,0.0,11200.934300311394,279.83299999999997,8.556033372095596,-32.24792110203978,-1478600.359515248,2212907.8567727595,-4.870878718102832,263.1212895418091,24.67673973430429,969.4795030210453,259.7084,267.4736168649691,251.9431831350309,5.979950486752905,0.4400274315452938,0.0,0.0,263.0641333333333,260.5161333333333,265.61213333333336,-1.9371702008281102,1.3412742019884798,0.0,1.0,259.285,268.609,263.947,3.590180371524354,-0.05448305448305884,0.0,0.0,33.880259306075715,0.0,0.0,0.0,38.37110298144654,-26.405755689356138,-5.448305448305884,-335.62563674923723,-105.44830544830589,0.0,0.0,-0.4961603048052594,-0.1959043180485398,-0.3002559867567196,-0.4478921663686789,-0.14939740670509072,-0.2984947596635882,258.4654957057062
257.234,2019-08-19,262.315,256.924,261.552,1385900,-1.546984669453252,-0.7211527001910281,-0.825831969262224,259.2443333333333,259.2443333333333,260.5413807208862,262.08836539033945,0.15306606196761716,0.13834883421256897,0.01471722775504819,-0.035524780389812605,7.655185559634143,130.24274847762774,-334.3955539476442,-328.74411134098733,-5.651442606656872,263.947,263.947,263.947,263.947,0.0,0.0,0.0,0.0,-46.413753860262645,394.3696409849087,389.8678844320889,0.0,12.0,-12.0,264.56062000000003,268.2397696,0.0,0.0,14578.68979965621,22.59899999999999,9.307362606484846,-95.7345898017487,-234475.8080191531,1723431.1238143768,-6.712829903872818,262.6519994083952,19.82426468925229,962.5374427950669,259.2443333333333,266.6305356653094,251.8581310013572,5.69825556995224,0.3429278518889047,0.0,0.0,262.5973888888889,260.3468888888889,264.8478888888889,-1.7140307521886715,1.7604729813127928,0.0,1.0,259.285,268.609,263.947,3.5966070618065413,-0.25321750321750947,0.0,0.0,29.24828332087965,0.0,0.0,0.0,28.40501591957932,-30.37690179806371,-25.321750321750944,-25.82940082940134,-125.32175032175094,-0.9724166666666747,0.0,-0.5902530877894032,-0.2747740719967125,-0.3154790157926907,-0.5870318749432446,-0.2369243003527215,-0.3501075745905231,257.84100096963675
250.799,2019-08-20,256.66,250.573,255.71,1446400,-2.2275916745217046,-1.0224404950571635,-1.205151179464541,258.00557142857144,258.00557142857144,259.00778368690374,261.23537536142544,0.19694824986993828,0.17064290917228125,0.026305340697657026,-0.050906935720972435,8.59814134728297,131.48151038238962,-337.5760494316077,-330.00581678250455,-7.570232649103161,262.6345,262.6345,262.6345,262.6345,0.0,0.0,0.0,0.0,-121.75549854698176,394.3696409849087,389.8678844320889,0.0,24.0,-24.0,264.56062000000003,268.06067420799997,0.0,0.0,17541.813984919318,-228.20000000000002,9.653422915384072,-309.6045696872121,2177470.8033126495,1799104.4037307557,-12.912423748745208,261.5012596199564,16.696368840559927,938.7441214269135,258.00557142857144,267.14838380346185,248.862759053681,7.08729840543122,0.09352925971750027,0.0,0.0,261.41409523809523,259.34938095238095,263.4788095238095,-1.5796503121484233,3.1253257685832345,0.0,1.0,256.66,268.609,262.6345,4.631295337476084,-0.5094150138086903,0.0,0.0,19.43888603701356,0.0,0.0,0.0,13.204275705215471,-53.8603696098565,-50.94150138086903,-27.237185716975286,-150.94150138086903,-2.215957142857121,0.0,-0.8527144041804361,-0.39036213843345724,-0.46235226574697885,-0.8866197119866127,-0.36686338267949975,-0.519756329307113,254.91519074635622
252.031,2019-08-21,253.452,250.733,252.342,981100,-2.7226815881847415,-1.362488713682679,-1.3601928745020624,257.0965,257.0965,257.7347400427647,260.45742163094945,0.22209546617518247,0.18248727931926143,0.039608186855921046,-0.06858448893843691,9.509259825707797,132.39058181096107,-339.91007145961595,-331.24384861714344,-8.666222842472507,261.03049999999996,261.03049999999996,261.03049999999996,261.03049999999996,0.0,0.0,0.0,0.0,-125.54740982874607,394.3696409849087,389.8678844320889,0.0,28.000000000000004,-28.000000000000004,264.56062000000003,267.60464723968,0.0,0.0,18524.507829964376,23.83099999999999,8.952536440553036,-259.6146368747534,1448107.574068255,1748961.9994932557,-12.751492762565551,260.3653864610211,14.427963176825784,938.7441214269135,257.0965,266.90882108117137,247.2841789188286,7.633181378331787,0.17573931043640992,0.0,0.0,260.2592916666667,258.31391666666667,262.20466666666664,-1.4949514290475898,2.9484461007946354,0.0,1.0,253.452,268.609,261.03049999999996,5.895451707821764,-0.17938906115985995,0.0,0.0,20.165319908100955,0.0,0.0,0.0,3.7681146803964825,-46.56477883148468,-17.938906115985993,-31.400719272868656,-117.938906115986,-3.7664874999999824,0.0,-1.0453461341725931,-0.5213589375812845,-0.5239871965913087,-1.075371697713788,-0.5085650456863574,-0.5668066520274305,253.24787219467146
245.615,2019-08-22,253.104,245.389,252.389,1524300,-3.5058468300782124,-1.7911603369617857,-1.7146864931164267,255.79566666666668,255.79566666666668,255.83539542080092,259.34124225087913,0.22563538751255188,0.18466056603715172,0.04097482147540016,-0.0908891032234831,10.359081074569614,133.69141514429438,-343.2499340483441,-332.57785810949906,-10.672075938845012,260.8565,260.8565,260.8565,260.8565,0.0,0.0,0.0,0.0,-117.03487063383031,394.3696409849087,389.8678844320889,0.0,32.0,-32.0,264.56062000000003,266.7554884052992,0.0,0.0,23579.367585209107,-221.78400000000002,10.18632558633817,-410.03634017835986,43811.45288357638,1535818.1811670456,-17.986410224566953,259.2967510826681,12.752134007249325,918.736190341235,255.79566666666668,267.6165397308697,243.97479360246368,9.242434180565748,0.05981818728004763,0.0,0.0,259.152037037037,257.3433703703704,260.9607037037037,-1.3958344200922992,4.304746692877941,0.0,1.0,253.104,268.609,260.8565,6.061478758436083,-0.49758142534666366,0.0,0.0,15.226683157501327,0.0,0.0,0.0,-7.434305908113191,-73.83501967288785,-49.75814253466636,-39.54618334384046,-149.75814253466638,-3.8492222222221812,0.0,-1.3518277307728628,-0.6874526962196001,-0.6643750345532626,-1.410860183035123,-0.6890240731561106,-0.7218361098790125,250.02038745048884
244.975,2019-08-23,248.607,243.949,245.888,1375100,-4.194356956005265,-2.2717996607704816,-1.9225572952347836,254.61100000000002,254.61100000000002,254.00671920221617,258.20107615822144,0.2675733641975176,0.20525998841669238,0.062313375780825214,-0.11626357331485193,11.387397585062688,134.87608181096104,-346.2915411310705,-335.242616293681,-11.048924837389507,257.6155,258.608,258.11175000000003,258.608,0.0,0.0,0.0,0.0,-133.56576452171868,394.3696409849087,389.8678844320889,0.0,36.0,-36.0,264.56062000000003,265.6633693328753,0.0,0.0,24173.74054401749,-466.759,9.44367527691529,-401.854577295737,6103390.550056126,2043326.2221547212,-19.423980775814154,258.03839527157464,11.44787902521223,913.3448316654534,254.61100000000002,267.88817590453635,241.33382409546368,10.42938121647245,0.0984838915797906,0.0,0.0,257.8516333333333,255.95193333333333,259.7513333333333,-1.4734830068298934,4.159165482269133,0.0,1.0,248.607,268.609,258.608,7.855905675717066,-0.2328767123287667,3.2817999999999956,0.0,14.216336544944724,0.0,0.0,0.0,-15.941638746117412,-56.11392452881845,-23.28767123287667,-30.32823996117634,-123.28767123287668,-5.270050000000026,0.0,-1.6244537080995862,-0.8748528985955975,-0.7496008095039888,-1.680814943942639,-0.8873822473134163,-0.7934326966292227,247.4716316214432
