close,date,high,low,open,volume,volumetrend_macd,volumetrend_macd_signal,volumetrend_macd_diff,volumetrend_sma_fast,volumetrend_sma_slow,volumetrend_ema_fast,volumetrend_ema_slow,volumetrend_vortex_ind_pos,volumetrend_vortex_ind_neg,volumetrend_vortex_ind_diff,volumetrend_trix,volumetrend_mass_index,volumetrend_dpo,volumetrend_kst,volumetrend_kst_sig,volumetrend_kst_diff,volumetrend_ichimoku_conv,volumetrend_ichimoku_base,volumetrend_ichimoku_a,volumetrend_ichimoku_b,volumetrend_stc,volumetrend_adx,volumetrend_adx_pos,volumetrend_adx_neg,volumetrend_cci,volumetrend_visual_ichimoku_a,volumetrend_visual_ichimoku_b,volumetrend_aroon_up,volumetrend_aroon_down,volumetrend_aroon_ind,volumetrend_psar_up,volumetrend_psar_down,volumetrend_psar_up_indicator,volumetrend_psar_down_indicator,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volumevolatility_bbm,volumevolatility_bbh,volumevolatility_bbl,volumevolatility_bbw,volumevolatility_bbp,volumevolatility_bbhi,volumevolatility_bbli,volumevolatility_kcc,volumevolatility_kch,volumevolatility_kcl,volumevolatility_kcw,volumevolatility_kcp,volumevolatility_kchi,volumevolatility_kcli,volumevolatility_dcl,volumevolatility_dch,volumevolatility_dcm,volumevolatility_dcw,volumevolatility_dcp,volumevolatility_atr,volumevolatility_ui,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama
357.9,2019-08-12,364.8,355.02,362.53,158900,0.0,0.0,0.0,355.02,355.02,355.02,355.02,0.0,0.0,0.0,-39.8113925260537,1.0,255.07733915806193,-418.09285631383057,-418.09285631383057,0.0,363.66499999999996,363.66499999999996,363.66499999999996,363.66499999999996,0.0,0.0,0.0,0.0,0.0,614.4197617156473,597.0714217633042,0.0,0.0,0.0,333.95,362.53,0.0,0.0,2726.0312775329962,357.9,7.616740088105606,0.0,0.0,0.0,0.0,360.7833333333333,50.0,1000.0,355.02,355.02,355.02,0.0,0.0,0.0,0.0,360.7833333333333,358.5133333333333,363.05333333333334,-1.2583729847092033,1.7694566813509522,0.0,1.0,364.8,362.53,363.66499999999996,-0.6394005971494673,4.308370044052803,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.0,430.8370044052803,430.8370044052803,330.8370044052803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.02
337.33,2019-08-13,362.75,335.85,356.57,851800,-1.5292307692308214,-0.3058461538461643,-1.223384615384657,345.435,345.435,352.0707692307692,353.6,0.03223692039698302,0.0008617402779267469,0.031375180119056274,-0.010546280843323803,2.2578305308275572,264.6623391580619,-433.80346408869366,-425.9481602012621,-7.855303887431546,362.64,362.64,362.64,362.64,0.0,0.0,0.0,0.0,-66.66666666666666,614.4197617156473,597.0714217633042,0.0,4.0,-4.0,333.95,362.53,0.0,0.0,5325.328138374414,20.569999999999993,7.659807744738308,-6466.616099999986,7337295.823081255,7337295.823081255,-18.214793814432937,356.38736394190886,0.0,946.0030420821364,345.435,364.60499999999996,326.26500000000004,11.099049025142188,0.25,0.0,0.0,356.25333333333333,352.0283333333333,360.47833333333335,-2.3719076312736385,2.914595660749491,0.0,1.0,362.75,362.53,362.64,-0.06368781391579524,122.272727272712,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-351.09890109890165,12227.2727272712,6329.05486583824,12127.2727272712,0.0,0.0,-0.43247476505396526,-0.08649495301079306,-0.3459798120431722,-0.4604435530547648,-0.09208871061095297,-0.36835484244381184,347.93540687377265
326.93,2019-08-14,333.95,324.21,331.62,545600,-3.638465921542945,-0.9723701073855205,-2.6660958141574245,338.35999999999996,338.35999999999996,347.7844970414201,351.422962962963,0.15166032267617202,0.08800614252855113,0.06365418014762089,-0.03409127109952806,3.4104325667898756,271.73733915806196,-445.3999742615844,-432.4320982213696,-12.967876040214833,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,-100.00000000000034,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,362.53,0.0,1.0,7731.701314340101,-306.36,7.564081273323258,-6086.451685714275,19153564.98332963,13245430.403205443,-29.545641514298985,347.92411380475335,0.0,913.2161568362346,338.35999999999996,363.7654639792309,312.954536020769,15.016824671492463,0.22151659950852204,0.0,0.0,347.4777777777778,343.8844444444444,351.0711111111111,-2.0682377769961473,3.7376314162028192,0.0,1.0,333.95,362.53,348.24,8.446624896559873,-0.34079776067179895,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-298.34881320949404,-34.0797760671799,4208.009985203101,-134.0797760671799,0.0,0.0,-1.035352354571778,-0.27626643332299006,-0.7590859212487879,-1.0551970203686682,-0.28471037256249604,-0.7704866478061723,339.92594396431014
340.98,2019-08-15,342.53,327.54,327.77,248200,-4.983895560288374,-1.7746751979660913,-3.209220362322283,335.655,335.655,344.6699590350478,349.65385459533616,0.16390295526311732,0.12146958146970152,0.0424333737934158,-0.06345299852763618,5.127591664797235,274.44233915806194,-449.83369299199705,-436.7824969140264,-13.051196077970644,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,-59.49744273960434,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,361.9584,0.0,0.0,8083.308062307578,34.620000000000005,5.929917735748037,-5054.749530612235,-10237374.626077686,5417828.726777733,-26.04339482234004,344.09422844804396,33.36463752653343,913.2161568362346,335.655,359.5690648991341,311.74093510086584,14.249193308089636,0.33032997455205165,0.0,0.0,343.76166666666666,337.37666666666667,350.14666666666665,-3.7147830134249937,1.770294962150874,0.0,1.0,333.95,362.53,348.24,8.514695148292141,-0.22428271518544338,0.0,0.0,10.858292199657726,0.0,0.0,0.0,-99.61171273661795,-91.32452695465882,-22.42827151854434,4056.921559895158,-122.42827151854435,0.0,0.0,-1.425379842031592,-0.5060891150647104,-0.9192907269668815,-1.1937895302348531,-0.4665262040969675,-0.7272633261378856,335.72747206424043
350.12,2019-08-16,350.73,327.54,344.21,220200,-5.981210570014412,-2.6159822723757555,-3.365228297638656,334.03200000000004,334.03200000000004,342.03458072196355,348.01579129197796,0.15685761816811303,0.1883819467664907,-0.03152432859837767,-0.0953628788266138,6.678107180546405,276.0653391580619,-452.49392423024466,-439.9247823772701,-12.569141852974553,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,-14.960750331328443,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,361.398232,0.0,0.0,10223.765608319834,384.74,5.967433786068568,-4332.642454810487,-22942533.988347027,-1672261.9520034567,-26.04339482234004,343.4264729813338,50.678814250326305,913.2161568362346,334.03200000000004,356.3848983355627,311.6791016644374,13.38368679381775,0.3547839322100016,0.0,0.0,343.17466666666667,336.76266666666663,349.5866666666667,-3.7368725741216533,1.7191723851112417,0.0,1.0,333.95,362.53,348.24,8.556066484648172,-0.22428271518544338,0.0,0.0,10.858292199657726,0.0,0.0,0.0,-99.29393176568823,-49.96093749999987,-22.42827151854434,-26.312106368089527,-122.42827151854435,0.0,0.0,-1.7186606814046264,-0.7486034283326937,-0.9700572530719327,-1.0807573100368058,-0.5893724252849352,-0.4913848847518706,332.9210684790381
345.47,2019-08-19,353.46,344.82,351.97,226800,-5.3159592463523495,-3.155977667171075,-2.1599815791812746,335.83,335.83,342.46310676473837,347.7790660110907,0.1482150549817537,0.20173885733793792,-0.05352380235618423,-0.11794788432388083,7.921547198691164,274.26733915806193,-449.546853517756,-441.5284609006844,-8.018392617071584,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,38.884823924504424,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,360.84926736,0.0,0.0,13884.820172078345,730.21,6.744361898878602,-2860.8761612661333,-2262150.1143369195,-1790239.5844701491,-7.817463333056281,344.5435429933341,60.95990581084845,961.3946241688662,335.83,357.76245996234803,313.89754003765194,13.061644261887292,0.7049473705966715,0.0,0.0,344.32611111111106,338.7344444444445,349.91777777777776,-3.247890000919656,0.4558370591157486,1.0,1.0,333.95,362.53,348.24,8.510258166334154,0.3803358992302313,0.0,0.0,46.088333516732575,0.0,0.0,0.0,-96.94472059701845,-10.762448132780031,38.03358992302313,-2.274317704688516,-61.96641007697687,-3.018166666666616,0.0,-1.5285449200047085,-0.9045917266670966,-0.6239531933376119,-1.0860745775593985,-0.6887128557398279,-0.39736172181957063,337.0747833478099
346.4,2019-08-20,353.02,342.95,345.3,183900,-4.8833440013594895,-3.5014509340087576,-1.381893067350732,336.84714285714284,336.84714285714284,342.5380134163171,347.4213574176766,0.16893558154576982,0.1999359470042747,-0.031000365458504875,-0.1341327226216933,9.218924018304564,273.2501963009191,-447.8796722470648,-442.43577680731016,-5.443895439754613,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,17.949550552531544,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,360.3112820128,0.0,0.0,14442.111363788194,383.81000000000006,6.00471133110817,-2544.717852513829,7922806.004618923,-171398.6529553039,-9.69603186156392,344.91029768314667,50.495858645396346,961.3946241688662,336.84714285714284,357.755125513906,315.93916020037966,12.413929047710685,0.6459456238089769,0.0,0.0,344.7209523809524,338.8252380952381,350.6166666666667,-3.42057205690179,0.6501898069622819,1.0,1.0,333.95,362.53,348.24,8.484560610365866,0.3149055283414977,0.0,0.0,44.05901803912951,0.0,0.0,0.0,-95.00939885283039,-11.919831223628654,31.490552834149774,15.69862374620952,-68.50944716585023,-5.201857142857193,0.0,-1.4055969493805875,-1.0047927712097948,-0.4008041781707927,-1.0568148142624376,-0.7623332474443499,-0.2944815668180877,339.3339045980712
349.68,2019-08-21,352.07,346.02,349.65,160500,-4.243849504554703,-3.649930648117947,-0.5939188564367557,337.99375,337.99375,343.07370365996064,347.31755316451535,0.1742490520773366,0.21430396836582577,-0.04005491628848917,-0.14338705526680232,10.339909093100243,272.10358915806194,-446.0002883041033,-442.88134074440933,-3.118947559693993,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,32.49897414854355,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,359.784056372544,0.0,0.0,15840.831363788186,733.49,5.750244613526227,-2027.8270735832823,-1176504.2324410889,-314985.1643104161,-6.565786636312453,345.4607318351054,57.845734538114115,961.3946241688662,337.99375,358.4708736688652,317.5166263311348,12.11686527864211,0.6959808938450583,0.0,0.0,345.28666666666663,339.8254166666667,350.74791666666664,-3.1633135751935466,0.4328603036545367,1.0,1.0,333.95,362.53,348.24,8.455777658610547,0.42232330300909726,0.0,0.0,48.09931342977625,0.0,0.0,0.0,-93.01127845120544,-7.417164107373621,42.23233030090973,37.252157686027545,-57.76766969909027,-1.8621249999999918,0.0,-1.2218931827336987,-1.0482128535145756,-0.17368032921912313,-0.946889617760847,-0.7992445215076495,-0.14764509625319755,341.93329018546206
352.54,2019-08-22,354.33,347.78,351.76,136100,-3.5540592349265125,-3.63075636547966,0.07669713055314764,339.0811111111111,339.0811111111111,343.7977492507359,347.3518084856624,0.17102145568808422,0.22252642476429654,-0.051504969076212326,-0.1463437123051673,11.354543325542867,271.0162280469508,-444.2180135074099,-443.0298599402983,-1.1881535671116126,348.24,348.24,348.24,348.24,0.0,0.0,0.0,0.0,46.41004992752433,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,359.26737524509315,0.0,0.0,17285.28513810726,1086.03,5.562709427038235,-1649.4988630713854,-1592854.7115220942,-474718.8577118758,-4.7726232353529925,346.1220832113108,63.36195803130149,961.3946241688662,339.0811111111111,359.34333308961516,318.81888913260707,11.95125373519521,0.7146578222792498,0.0,0.0,345.9537037037037,340.8137037037037,351.0937037037037,-2.9714958648930683,0.32234471825911654,1.0,1.0,333.95,362.53,348.24,8.428661775451953,0.4839048285514343,0.0,0.0,50.314799652362346,0.0,0.0,0.0,-91.10325047574484,5.89567005151386,48.390482855143425,40.704455330067645,-51.609517144856575,1.259999999999991,0.0,-1.0231871975623277,-1.043207722324126,0.020020524761798386,-0.784604118447353,-0.7963164408955902,0.011712322448237167,344.323104158952
346.19,2019-08-23,356.78,345.4,352.36,210400,-3.1629807133097643,-3.537201235045681,0.3742205217359169,339.713,339.713,344.04424936600725,347.207230079317,0.17221288816415023,0.23087091543188148,-0.058658027267731255,-0.14597637271232727,12.37050115663606,270.3843391580619,-443.18229535502314,-445.81757538931964,2.6352800342964997,345.26,348.24,346.75,348.24,0.0,0.0,0.0,0.0,46.12226964213844,614.4197617156473,597.0714217633042,0.0,8.0,-8.0,333.95,358.7610277401913,0.0,0.0,18721.738667519043,739.8399999999999,5.421028471515905,-1531.5607683469016,-1947052.1967705486,-638311.4509406172,-7.141742218618254,346.6625132858845,67.5362357333925,954.8154097070747,339.713,359.3057559062016,320.1202440937984,11.534887335016087,0.6451301702329655,0.0,0.0,346.50966666666665,341.4416666666667,351.5776666666667,-2.9251709187526185,0.609477769008162,1.0,1.0,333.95,362.53,348.24,8.412983901116526,0.4006298110566828,11.174999999999994,0.0,47.3700475280356,0.0,0.0,0.0,-89.49709421924526,8.903479219732208,40.062981105668285,43.56193142057381,-59.937018894331715,2.1620000000000346,0.0,-0.9109777790592678,-1.0167617336711545,0.10578395461188672,-0.7935394504050381,-0.7957610427974798,0.0022215923924416847,344.7715302146649
