close,date,high,low,open,volume,volumetrend_macd,volumetrend_macd_signal,volumetrend_macd_diff,volumetrend_sma_fast,volumetrend_sma_slow,volumetrend_ema_fast,volumetrend_ema_slow,volumetrend_vortex_ind_pos,volumetrend_vortex_ind_neg,volumetrend_vortex_ind_diff,volumetrend_trix,volumetrend_mass_index,volumetrend_dpo,volumetrend_kst,volumetrend_kst_sig,volumetrend_kst_diff,volumetrend_ichimoku_conv,volumetrend_ichimoku_base,volumetrend_ichimoku_a,volumetrend_ichimoku_b,volumetrend_stc,volumetrend_adx,volumetrend_adx_pos,volumetrend_adx_neg,volumetrend_cci,volumetrend_visual_ichimoku_a,volumetrend_visual_ichimoku_b,volumetrend_aroon_up,volumetrend_aroon_down,volumetrend_aroon_ind,volumetrend_psar_up,volumetrend_psar_down,volumetrend_psar_up_indicator,volumetrend_psar_down_indicator,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volumevolatility_bbm,volumevolatility_bbh,volumevolatility_bbl,volumevolatility_bbw,volumevolatility_bbp,volumevolatility_bbhi,volumevolatility_bbli,volumevolatility_kcc,volumevolatility_kch,volumevolatility_kcl,volumevolatility_kcw,volumevolatility_kcp,volumevolatility_kchi,volumevolatility_kcli,volumevolatility_dcl,volumevolatility_dch,volumevolatility_dcm,volumevolatility_dcw,volumevolatility_dcp,volumevolatility_atr,volumevolatility_ui,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama
83.658,2019-08-12,85.2871,83.4472,83.7059,391400,0.0,0.0,0.0,83.4472,83.4472,83.4472,83.4472,0.0,0.0,0.0,-13.164033678893846,1.0,12.717774106433694,-132.24954537353577,-132.24954537353577,0.0,84.4965,84.4965,84.4965,84.4965,0.0,0.0,0.0,0.0,0.0,97.62643552422557,97.13310313741066,0.0,0.0,0.0,83.104866,83.7059,0.0,0.0,111.03255679231022,83.658,1.3272198330382057,0.0,0.0,0.0,0.0,84.14673333333333,50.0,1000.0,83.4472,83.4472,83.4472,0.0,0.0,0.0,0.0,84.14673333333333,82.56553333333333,85.72793333333333,-3.758196990812071,0.7212033055063676,1.0,1.0,85.2871,83.7059,84.4965,-1.8948508757633518,1.1636099165191027,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.0,116.36099165191028,116.36099165191028,16.36099165191028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4472
84.8079,2019-08-13,85.5267,83.0926,83.2459,367200,-0.028287179487193725,-0.0056574358974387454,-0.022629743589754982,83.2699,83.2699,83.39264615384614,83.42093333333334,0.14039891292342793,0.12523924194149505,0.015159670981932882,-0.0008299596930724663,2.069560721458827,12.895074106433682,-134.0932520000645,-133.17139868680013,-0.9218533132643643,84.4965,84.4965,84.4965,84.4965,0.0,0.0,0.0,0.0,-66.66666666666667,97.62643552422557,97.13310313741066,0.0,0.0,0.0,83.104866,83.7059,0.0,0.0,207.24088740437628,-1.1499000000000024,1.2301651990365783,-30.072881339999213,296368.80526458187,296368.80526458187,-0.3603821499103508,84.05024586910467,0.0,1000.0,83.2699,83.62450000000001,82.9153,0.8516883051378826,0.25,0.0,0.0,84.0509,82.1199,85.9819,-4.594834796533999,0.7481356809943023,1.0,1.0,85.2871,83.7059,84.4965,-1.898885431590521,1.3878699721730312,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-71.16195063214536,138.78699721730314,127.5739944346067,38.786997217303124,0.0,0.0,-0.0339089702750793,-0.006781794055015861,-0.027127176220063443,0.10953717898470135,0.02190743579694027,0.08762974318776108,83.249141665072
81.521,2019-08-14,83.9359,81.4731,83.6963,511800,-0.1793180217693191,-0.04038955307181482,-0.13892846869750428,82.67096666666667,82.67096666666667,83.09733136094673,83.27664938271604,0.25169884847650953,0.1632310850177758,0.08846776345873372,-0.0059692174897743484,2.975753290050882,13.494007439767017,-140.32143787437715,-135.55474508265914,-4.766692791718015,83.8209,83.8209,83.8209,83.8209,0.0,0.0,0.0,0.0,-100.00000000000001,97.62643552422557,97.13310313741066,0.0,8.0,-8.0,83.104866,83.7059,1.0,0.0,1801.5956703759266,-82.6709,7.206760315744251,-44.63722107714221,167588.6213368425,231978.71330071217,-1.9492511887898671,83.71920569701854,0.0,980.5096964109921,82.67096666666667,84.38956974539725,80.95236358793609,4.157694407179419,0.15149990667087163,0.0,0.0,83.7123,82.3451,85.0795,-3.2664256029281162,1.31889994148625,0.0,1.0,83.9359,83.7059,83.8209,-0.2782113349749194,10.707826086956343,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-147.14519976147676,1070.7826086956343,441.9768658549492,970.7826086956343,0.0,0.0,-0.21532809388766827,-0.04849105402154635,-0.16683703986612192,-0.11922927200782592,-0.006319905764012968,-0.11290936624381295,82.3536553723089
82.2302,2019-08-15,82.5847,81.5306,81.8564,317700,-0.29101662444881526,-0.09051496734721491,-0.20050165710160034,82.385875,82.385875,82.85629576695493,83.14731239140374,0.360815432915897,0.21962625803541236,0.14118917488048466,-0.01362909711977413,3.8243041024706237,13.77909910643369,-143.28604811127207,-137.48757083981238,-5.798477271459689,83.14529999999999,83.14529999999999,83.14529999999999,83.14529999999999,0.0,0.0,0.0,0.0,-111.94139829222901,97.62643552422557,97.13310313741066,0.0,12.0,-12.0,83.104866,83.7059,0.0,1.0,1957.3961001164148,-0.44070000000000675,5.8919185680581005,-37.585012851836126,1413153.6406332578,625703.6890782274,-1.8912168621225305,83.29133388309431,0.0,980.5096964109921,82.385875,84.17207893782457,80.59967106217543,4.3361897602582165,0.26058864783333796,0.0,0.0,83.28186666666667,82.07439166666666,84.48934166666666,-2.8997308737876564,1.2251771948349441,0.0,1.0,82.5847,83.7059,83.14529999999999,1.3609128992075423,-0.9401534070638508,0.0,0.0,3.0796859868004987,0.0,0.0,0.0,-99.66397162167291,-78.12652861568485,-94.01534070638508,371.85142173551736,-194.01534070638508,0.0,0.0,-0.3500012400628144,-0.10879309122979997,-0.24120814883301445,-0.22985718736822058,-0.0510273620848545,-0.17882982528336608,82.12776736369453
83.5334,2019-08-16,83.9167,82.6135,82.6422,593000,-0.28882816074246875,-0.13017760602626569,-0.15865055471620307,82.43140000000001,82.43140000000001,82.81894257203878,83.10777073278125,0.31825929791246893,0.3009972559743012,0.017262041938167716,-0.020089043010401514,4.698122949585967,13.733574106433679,-142.81264289879192,-138.55258525160826,-4.2600576471836575,83.14529999999999,83.14529999999999,83.14529999999999,83.14529999999999,0.0,0.0,0.0,0.0,-18.38033533463947,97.62643552422557,97.13310313741066,0.0,12.0,-12.0,83.104866,83.6963,0.0,0.0,2044.6916163659246,83.0927,4.918073739817329,-19.293108321573886,-1615602.9205084604,65377.036681555444,-0.7817154128507207,83.2443448265887,25.16590879595762,980.5096964109921,82.43140000000001,84.03937388536009,80.82342611463993,3.9013625520374067,0.5566240539283425,0.0,0.0,83.23698666666667,82.01610666666667,84.45786666666666,-2.9335035995216083,0.755343140466986,1.0,1.0,82.5847,83.7059,83.14529999999999,1.3601612977578952,0.02568676418123786,0.0,0.0,40.342554416862285,0.0,0.0,0.0,-93.31792690687809,-17.22769822081689,2.5686764181237858,326.44531480245763,-97.43132358187621,0.0,0.0,-0.3475344822701911,-0.15654136943787822,-0.1909931128323129,-0.18925752783517924,-0.07867339523491945,-0.11058413260025979,82.15833067215306
84.0413,2019-08-19,84.9229,82.6135,84.9229,277300,-0.28382206341422034,-0.16090649750385663,-0.1229155659103637,82.46175000000001,82.46175000000001,82.78733602249434,83.07115808590856,0.3310589726885398,0.37582753936076824,-0.04476856667222845,-0.025429940220471802,5.441948108191666,13.70322410643368,-142.4970394238052,-139.20999428030777,-3.287045143497437,83.7538,83.7538,83.7538,83.7538,0.0,0.0,0.0,0.0,73.1994705147566,97.62643552422557,97.13310313741066,20.0,12.0,8.0,82.5847,83.6963,1.0,0.0,2044.6916163659246,167.13400000000001,4.091086761259237,-16.536949989920476,0.0,52301.62934524436,-0.7817154128507207,83.39715438880083,40.44380634305387,980.5096964109921,82.46175000000001,83.93588447939236,80.98761552060766,3.575316990949979,0.5514708807511732,0.0,0.0,83.38967222222222,82.37227222222222,84.40707222222223,-2.440110322747806,0.8814489002468155,1.0,1.0,82.5847,84.9229,83.7538,2.835496457448454,0.012317167051579817,0.0,0.0,40.342554416862285,0.0,0.0,0.0,-88.55488598860718,-11.662260271098138,1.2317167051579816,-30.07164919436777,-98.76828329484202,-0.12857333333332122,0.0,-0.3416613779727302,-0.19356537114484862,-0.1480960068278816,-0.10671527863224009,-0.08428177191438357,-0.022433506717856516,82.21281229144195
82.9489,2019-08-20,83.8688,82.8435,83.8209,316200,-0.25831788957113133,-0.1803887759173116,-0.07792911365381974,82.51628571428571,82.51628571428571,82.79597663441828,83.05429452398941,0.3616423485789331,0.4017728511618531,-0.04013050258291995,-0.029204692386922304,6.096012512591542,13.648688392147974,-141.92993362678857,-139.59855704409074,-2.3313765826978283,83.7538,83.7538,83.7538,83.7538,0.0,0.0,0.0,0.0,11.356368741754201,97.62643552422557,97.13310313741066,20.0,12.0,8.0,82.631464,83.6963,0.0,0.0,2044.6916163659246,250.0829,9.460102678731387,-11.449064705646077,62253.50185475468,53960.274763496076,-0.5507816429462817,83.41336897299833,33.704130440701164,983.2394830702491,82.51628571428571,83.90697367324117,81.12559775533026,3.3706993641733662,0.6176447540252171,0.0,0.0,83.40701428571428,82.52811428571428,84.28591428571428,-2.107496611710119,0.8205792955480008,1.0,1.0,82.5847,84.9229,83.7538,2.83362245374939,0.11068343169960135,0.0,0.0,45.503604762615176,0.0,0.0,0.0,-83.6887578535176,-7.183484055211679,11.068343169960134,4.956245431080633,-88.93165683003987,-0.23560857142855696,0.0,-0.3110229170588148,-0.21705688032764187,-0.09396603673117293,-0.14530963698154897,-0.09648734492781666,-0.048822292053732314,82.30096362920654
84.0509,2019-08-21,84.0892,82.8722,83.6005,307700,-0.23310273468469234,-0.19093156767078773,-0.04217116701390461,82.560775,82.560775,82.80770330604625,83.04080604073094,0.35395142106646704,0.3919717243370985,-0.03802030327063144,-0.03164430723287977,6.748366213974625,13.604199106433683,-141.4672985964391,-139.8321497381343,-1.6351488583048024,83.7538,83.7538,83.7538,83.7538,0.0,0.0,0.0,0.0,12.158178617200365,97.62643552422557,97.13310313741066,20.0,12.0,8.0,82.67729272,83.6963,0.0,0.0,2044.6916163659246,334.1338,8.769391462028173,-9.468875343410915,-4.131332739637137e-09,46251.664082996045,-0.5216633556938128,83.42688993820558,43.28238614728265,983.2394830702491,82.560775,83.88277412159579,81.23877587840423,3.2024871898205425,0.6177856304564256,0.0,0.0,83.42121666666667,82.59109166666667,84.25134166666666,-1.9902011338841945,0.8306831300506928,1.0,1.0,82.5847,84.9229,83.7538,2.8320955078243877,0.12295783081002842,0.0,0.0,46.129872713911645,0.0,0.0,0.0,-79.7126490513689,-5.479345286212044,12.295783081002842,8.198614318706985,-87.70421691899716,-0.22891750000000854,0.0,-0.2807086609568277,-0.22978723645347904,-0.05092142450334869,-0.06851078908530837,-0.09089203375931501,0.022381244674006637,82.38849198660142
84.6354,2019-08-22,85.0092,83.6963,84.4629,387200,-0.14495065909349591,-0.1817353859553294,0.03678472686183348,82.68694444444445,82.68694444444445,82.94441048973144,83.08936114882493,0.3391338049863971,0.4140825772282769,-0.07494877224187979,-0.031091720766102653,7.415014412433765,13.47802966198924,-140.15528821410587,-139.86805401324224,-0.2872342008636224,83.7538,83.7538,83.7538,83.7538,0.0,0.0,0.0,0.0,102.08896210873424,97.62643552422557,97.13310313741066,20.0,12.0,8.0,82.72220486559999,83.6963,0.0,0.0,2044.6916163659246,418.7692,8.21040848433879,1.847825868504776,-575246.9534024824,-31435.663102688763,0.3199703060166139,83.5353077438527,50.55114617882957,983.2394830702491,82.68694444444445,84.12322232257593,81.25066656631297,3.4740136735769234,0.8513789256674561,0.0,0.0,83.52879999999999,82.7302111111111,84.32738888888889,-1.9121282453211197,0.3951275165917686,1.0,1.0,82.5847,84.9229,83.7538,2.827774101110951,0.4754084338379931,0.0,0.0,60.25416599477891,0.0,0.0,0.0,-72.53574590751829,3.9617240433168557,47.54084338379931,23.634989878254093,-52.45915661620069,0.1758922222222168,0.0,-0.17445152675306835,-0.2187200945133969,0.04426856776032856,0.048159645956519184,-0.06308169781614817,0.11124134377266735,82.62853387894187
82.5368,2019-08-23,85.0188,82.1535,84.4725,383400,-0.1973061479141478,-0.1848495383470931,-0.012456609567054688,82.6336,82.6336,82.82273195284968,83.02003810076383,0.3423823225289376,0.4143874005034222,-0.07200507797448463,-0.032112083972150665,8.099639140547033,13.531374106433688,-140.71000623841906,-140.8081052204515,0.09809898203243961,83.7538,83.7538,83.7538,83.7538,0.0,0.0,0.0,0.0,39.119346532456305,97.62643552422557,97.13310313741066,20.0,12.0,8.0,82.76621876828798,83.6963,0.0,0.0,2044.6916163659246,336.2324,8.337032979027656,-16.60725997556733,-6354.11113587583,-28648.823995265106,-1.2014562688737944,83.56958004042862,44.965243451885506,965.1151230390317,82.6336,84.03325974436646,81.23394025563354,3.3876286265307565,0.3284940315200252,0.0,0.0,83.56408,82.79072,84.33744,-1.8509388244327079,1.4119814833971216,0.0,1.0,82.5847,84.9229,83.7538,2.829599581768192,-0.18441536224446323,1.31092,0.0,39.4176892417978,0.0,0.0,0.0,-68.23056130842366,-0.92543072506961,-18.441536224446324,13.798363413451943,-118.44153622444632,0.38953999999999667,0.0,-0.23766087372144012,-0.22250825035500557,-0.015152623366434553,-0.06132805147877886,-0.06273096854867431,0.001402917069895454,82.52182796689188
