close,date,high,low,open,volume,volumetrend_macd,volumetrend_macd_signal,volumetrend_macd_diff,volumetrend_sma_fast,volumetrend_sma_slow,volumetrend_ema_fast,volumetrend_ema_slow,volumetrend_vortex_ind_pos,volumetrend_vortex_ind_neg,volumetrend_vortex_ind_diff,volumetrend_trix,volumetrend_mass_index,volumetrend_dpo,volumetrend_kst,volumetrend_kst_sig,volumetrend_kst_diff,volumetrend_ichimoku_conv,volumetrend_ichimoku_base,volumetrend_ichimoku_a,volumetrend_ichimoku_b,volumetrend_stc,volumetrend_adx,volumetrend_adx_pos,volumetrend_adx_neg,volumetrend_cci,volumetrend_visual_ichimoku_a,volumetrend_visual_ichimoku_b,volumetrend_aroon_up,volumetrend_aroon_down,volumetrend_aroon_ind,volumetrend_psar_up,volumetrend_psar_down,volumetrend_psar_up_indicator,volumetrend_psar_down_indicator,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volumevolatility_bbm,volumevolatility_bbh,volumevolatility_bbl,volumevolatility_bbw,volumevolatility_bbp,volumevolatility_bbhi,volumevolatility_bbli,volumevolatility_kcc,volumevolatility_kch,volumevolatility_kcl,volumevolatility_kcw,volumevolatility_kcp,volumevolatility_kchi,volumevolatility_kcli,volumevolatility_dcl,volumevolatility_dch,volumevolatility_dcm,volumevolatility_dcw,volumevolatility_dcp,volumevolatility_atr,volumevolatility_ui,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama
16.83,2019-08-12,17.11,16.7,16.99,5862500,0.0,0.0,0.0,16.7,16.7,16.7,16.7,0.0,0.0,0.0,-67.09739038442002,1.0,34.958554408260525,-676.7234354252553,-676.7234354252553,0.0,17.049999999999997,17.049999999999997,17.049999999999997,17.049999999999997,0.0,0.0,0.0,0.0,0.0,52.823111596505164,51.995822081016684,0.0,0.0,0.0,16.656799999999997,18.64,0.0,0.0,98.17499999999907,16.83,5.833333333333279,0.0,0.0,0.0,0.0,16.933333333333334,50.0,1000.0,16.7,16.7,16.7,0.0,0.0,0.0,0.0,16.933333333333334,16.813333333333333,17.05333333333333,-1.4173228346456601,1.4722222222222252,0.0,1.0,17.11,16.99,17.049999999999997,-0.718562874251503,3.4166666666666394,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.0,341.66666666666396,341.66666666666396,241.66666666666396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7
17.79,2019-08-13,18.0,16.65,16.68,9057700,-0.00398860398860279,-0.000797720797720558,-0.003190883190882232,16.674999999999997,16.674999999999997,16.692307692307693,16.696296296296296,0.011954886902578609,0.028080083189777724,-0.016125196287199113,-0.0005847679640846205,3.1428571428571357,34.983554408260524,-677.2073823782114,-676.9654089017333,-0.24197347647805145,17.049999999999997,17.049999999999997,17.049999999999997,17.049999999999997,0.0,0.0,0.0,0.0,66.66666666666532,52.823111596505164,51.995822081016684,0.0,0.0,0.0,16.656799999999997,18.64,0.0,0.0,116.77363636363546,-0.9600000000000009,3.373010871277743,-0.8895000000000126,-2151770.6576728574,-2151770.6576728574,-0.05326347305389362,17.024116117850955,100.0,1000.0,16.674999999999997,16.724999999999994,16.625,0.5997001499250034,0.25,0.0,0.0,17.02166666666667,16.301666666666666,17.741666666666667,-8.459806129442873,0.7581018518518525,1.0,1.0,17.11,16.99,17.049999999999997,-0.719640179910051,3.8333333333333086,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-4.237288135593282,383.33333333333087,362.4999999999974,283.33333333333087,0.0,0.0,-0.023889154323929754,-0.0047778308647859515,-0.019111323459143802,0.4531133845445967,0.09062267690891934,0.36249070763567737,16.673834264366505
17.13,2019-08-14,17.42,17.04,17.12,5130400,0.02404298666407101,0.0041704206946377555,0.019872565969433254,16.796666666666667,16.796666666666667,16.745798816568048,16.721755829903977,0.0356573637994164,0.04763388293815182,-0.011976519138735424,0.003026191910282891,4.848739495798308,34.861887741593854,-674.8521738738245,-676.2609972257637,1.4088233519391906,17.115000000000002,17.115000000000002,17.115000000000002,17.115000000000002,0.0,0.0,0.0,0.0,78.625954198476,52.823111596505164,51.995822081016684,8.0,0.0,8.0,16.656799999999997,18.64,1.0,0.0,143.03963636363565,16.169999999999998,2.7640509442248433,0.19195714285713328,122591.94395796616,-1014589.3568574457,0.34797977018934934,17.080129468599033,100.0,1023.4234234234234,16.796666666666667,17.14320510448979,16.450128228843543,4.126276298747262,0.8510914039751218,0.0,0.0,17.078888888888887,16.49888888888889,17.65888888888889,-6.792010929672762,0.53352490421456,1.0,1.0,17.11,17.12,17.115000000000002,0.05953562214726074,-6.999999999998934,0.0,0.0,89.36170212765946,0.0,0.0,0.0,-84.04907975460144,17.435897435897402,-699.9999999998935,8.333333333367136,-799.9999999998935,0.0,0.0,0.1437826679724283,0.024934268902656903,0.1188483990697714,0.4909451086274577,0.170687163252627,0.3202579453748307,16.838667035366647
16.87,2019-08-15,17.39,16.8,17.23,4077900,0.026585765817429774,0.00865348971919616,0.017932276098233613,16.7975,16.7975,16.754137460172963,16.727551694355533,0.04044374400491364,0.05446424192661713,-0.014020497921703484,0.0064798018035782294,6.226580404889215,34.86105440826052,-674.8360423087261,-675.9047584965043,1.06871618777825,17.17,17.17,17.17,17.17,0.0,0.0,0.0,0.0,37.996545768567,52.823111596505164,51.995822081016684,12.0,0.0,12.0,16.675327999999997,18.64,0.0,0.0,250.58588636363552,-0.7000000000000028,3.6517908243024704,-0.4138653061224534,-37937.16656787119,-689038.6267609209,0.11037413638653462,17.094848440687848,67.4400786883326,1009.0090090090091,16.7975,17.09762497396918,16.49737502603082,3.5734481198890236,0.5041649316398742,0.0,0.0,17.094166666666666,16.619166666666665,17.569166666666668,-5.557451372300509,0.8096491228070155,1.0,1.0,17.11,17.23,17.17,0.71439202262242,-2.583333333333301,0.0,0.0,56.1239819720093,0.0,0.0,0.0,-74.02244973479736,4.347826086956576,-258.33333333333013,-191.6666666666309,-358.33333333333013,0.0,0.0,0.15893399287117882,0.05173421369636129,0.10719977917481753,0.39283375333376325,0.21511648126885424,0.177717272064909,16.82342567521006
17.54,2019-08-16,17.73,17.13,17.13,5789900,0.054599786341370304,0.01784274904363099,0.03675703729773931,16.863999999999997,16.863999999999997,16.811962466300198,16.757362679958828,0.04629318571927594,0.06628342500714512,-0.019990239287869187,0.013525664144865888,7.677298831912153,34.794554408260524,-673.5487434138626,-675.433555479976,1.8848120661134544,17.17,17.17,17.17,17.17,0.0,0.0,0.0,0.0,130.65558633425687,52.823111596505164,51.995822081016684,12.0,0.0,12.0,16.708608319999996,18.64,0.0,0.0,268.1258863636355,16.839999999999996,3.1119531843504586,0.47214402332360694,-410490.3078677292,-619401.5470376229,0.45490985067224765,17.14271935933148,75.74288270072692,1009.0090090090091,16.863999999999997,17.241910042205813,16.48608995779418,4.481855339253033,0.8519356067483569,0.0,0.0,17.141333333333332,16.641333333333332,17.641333333333336,-5.833851897946506,0.5113333333333347,1.0,1.0,17.11,17.23,17.17,0.7115749525616759,0.16666666666666174,0.0,0.0,71.70687511521282,0.0,0.0,0.0,-57.92331476321474,13.312693498451988,16.666666666666174,-313.8888888888525,-83.33333333333383,0.0,0.0,0.32582565278407194,0.10655250151390341,0.21927315127016853,0.6256792530745681,0.29722903562999703,0.32845021744457104,16.93893782156157
18.01,2019-08-19,18.78,18.0,18.43,6352900,0.14532758263401746,0.04333971576170828,0.10198786687230918,17.05333333333333,17.05333333333333,16.994737471484783,16.849409888850765,0.062013855475603966,0.10512104769645073,-0.04310719222084676,0.032819273300474,8.99831711321468,34.60522107492719,-669.8836518234742,-674.5085715372256,4.62491971375141,17.77,17.77,17.77,17.77,0.0,0.0,0.0,0.0,200.0,52.823111596505164,51.995822081016684,20.0,0.0,20.0,16.739891820799997,18.64,0.0,0.0,330.3890292207782,34.849999999999994,3.1716331882574464,2.643080591420237,-2283453.636868417,-952211.9650037817,1.369603370812352,17.360667498640044,81.02021823735954,1009.0090090090091,17.05333333333333,17.967639384694447,16.139027281972215,10.72290130603342,1.0176968178529378,1.0,0.0,17.351666666666667,16.876666666666665,17.826666666666668,-5.474978388243221,-0.18245614035087526,1.0,0.0,17.11,18.43,17.77,7.7404222048475395,0.6742424242424245,0.0,0.0,85.91224705413833,0.0,0.0,0.0,-29.70074622653374,26.63934426229506,67.42424242424245,-58.08080808080715,-32.57575757575755,0.0901666666666685,0.0,0.8625084414984798,0.2577436895108187,0.6047647519876611,1.0182086534509045,0.44142495919417857,0.5767836942567259,17.328474866228962
18.17,2019-08-20,18.27,17.8,17.93,5723300,0.19880004317516153,0.07443178124439893,0.1243682619307626,17.16,17.16,17.118624014333278,16.919823971158117,0.08287731113561266,0.10841654296592236,-0.025539231830309705,0.057070849546607696,10.226976729448454,34.49855440826052,-667.818811490861,-673.5528915306022,5.7340800397412295,17.77,17.77,17.77,17.77,0.0,0.0,0.0,0.0,85.60201194592865,52.823111596505164,51.995822081016684,20.0,0.0,20.0,16.875100475135998,18.64,0.0,0.0,362.453735103131,16.679999999999993,2.962675617975568,1.7463547926459193,944964.2267473867,-636015.9330452536,1.167714481923464,17.455621492016782,66.70084301129718,1009.0090090090091,17.16,18.15478640923567,16.16521359076433,11.594247193888913,0.8216770927197006,0.0,0.0,17.444285714285716,16.98857142857143,17.900000000000002,-5.224797313897313,0.10971786833855939,1.0,1.0,17.11,18.43,17.77,7.692307692307694,0.5227272727272736,0.0,0.0,76.41406630107069,0.0,0.0,0.0,-15.54098597568188,21.359223300970882,52.27272727272736,45.45454545454535,-47.72727272727264,0.15657142857142858,0.0,1.17495337725759,0.44118562706017295,0.733767750197417,1.384477939973903,0.6300355553501235,0.7544423846237794,17.493878519048874
18.44,2019-08-21,18.45,18.14,18.34,5384500,0.2655514006569675,0.11265570512691264,0.15289569553005483,17.2825,17.2825,17.275758781358928,17.01020738070196,0.08327470759372771,0.11949181415076317,-0.03621710655703546,0.08743520916952327,11.27289929723999,34.37605440826052,-665.4474714213757,-672.5397140169489,7.092242595573225,17.77,17.77,17.77,17.77,0.0,0.0,0.0,0.0,98.25699229833806,52.823111596505164,51.995822081016684,20.0,0.0,20.0,16.999492437125117,18.64,0.0,0.0,447.9482805576766,35.11999999999999,3.181902831067457,2.3925326794107877,-175976.13882863245,-570295.9624428792,1.519939201024588,17.567531846379694,71.83893188999984,1009.0090090090091,17.2825,18.41655246792201,16.148447532077988,13.123708582925053,0.8780689272566232,0.0,0.0,17.5525,17.14,17.965,-4.7001851588092824,-0.21212121212121315,1.0,0.0,17.11,18.43,17.77,7.637783885433244,0.7803030303030309,0.0,0.0,80.38435091059273,0.0,0.0,0.0,-2.940365069553872,24.540007988283854,78.0303030303031,65.90909090909099,-21.9696969696969,0.28049999999999997,0.0,1.5611297070853756,0.6651744430652136,0.895955264020162,1.7752403222044326,0.8590765087209853,0.9161638134834473,17.732395833098245
18.56,2019-08-22,18.82,18.31,18.64,6029200,0.32838449953123927,0.15580146400777797,0.1725830355234613,17.396666666666665,17.396666666666665,17.434872814996016,17.106488315464777,0.08650654357026409,0.1291540272351562,-0.042647483664892114,0.12235318366041717,12.239247632638179,34.26188774159385,-663.2374470028757,-671.5061287931629,8.268681790287246,17.875,17.875,17.875,17.875,0.0,0.0,0.0,0.0,105.10764035458025,52.823111596505164,51.995822081016684,32.0,0.0,32.0,17.113933042155107,18.64,0.0,0.0,534.5616138910104,53.67999999999999,3.3548488382767068,2.5014851537806706,-324892.24137931067,-539620.4973099331,1.6938752539463047,17.686629429730974,75.67456523295849,1009.0090090090091,17.396666666666665,18.645773013887215,16.147560319446114,14.360295235338768,0.8655947051128345,0.0,0.0,17.667777777777776,17.281111111111112,18.054444444444446,-4.377083202314322,-0.33045977011493904,1.0,0.0,17.11,18.64,17.875,8.794788273615643,0.7843137254901951,0.0,0.0,82.0145634805162,0.0,0.0,0.0,6.666737120434038,28.54572227213734,78.4313725490195,69.57813428401668,-21.568627450980497,0.4486666666666679,0.0,1.919648810880547,0.9160693166282803,1.0035794942522667,2.1107340488886894,1.1094080167545262,1.0013260321341633,17.95611403296074
17.64,2019-08-23,18.27,17.52,18.15,6410600,0.31085049438109635,0.18681127008244164,0.12403922429865472,17.409,17.409,17.44796930499663,17.137118810615533,0.10234486963307084,0.1375862634218169,-0.035241393788746064,0.1492990516241488,13.119607163466233,34.24955440826052,-662.9986998394173,-669.9811581725143,6.982458333096929,18.015,17.875,17.945,17.875,0.0,0.0,0.0,0.0,33.592349073520495,52.823111596505164,51.995822081016684,32.0,0.0,32.0,17.266539737939596,18.64,0.0,0.0,737.4216138910086,36.03999999999999,4.1666946202452735,0.15333013181200594,353741.49659864325,-440358.05354231346,0.9327829546563005,17.715870343164955,67.25407334134619,965.4744859550979,17.409,18.596314617108707,16.22168538289129,13.640239153411546,0.5467441394220778,0.0,0.0,17.699,17.339,18.059,-4.068026442171887,0.7486111111111107,1.0,1.0,17.11,18.64,17.875,8.788557642598663,0.2679738562091502,0.6640000000000004,0.0,57.92337341316204,0.0,0.0,0.0,5.721530964785653,11.886443122474656,26.797385620915023,61.08635373341256,-73.20261437908498,0.5639999999999965,0.0,1.8139017288515327,1.0956357990729308,0.7182659297786018,1.931102926930882,1.2737469987897974,0.6573559281410846,17.78744000912921
