close,date,high,low,open,volume
64.3378,2019-08-12,66.0276,64.2123,65.8731,1961900
65.313,2019-08-13,66.4138,64.2123,64.6082,3164300
63.3336,2019-08-14,64.7144,63.1018,64.2895,3509700
67.196,2019-08-15,70.1507,67.0318,69.4651,6701000
68.6347,2019-08-16,68.7313,66.5876,67.4953,3367100
69.2817,2019-08-19,69.7934,69.0403,69.4555,2050400
68.6733,2019-08-20,69.7741,68.654,68.963,2171200
69.7162,2019-08-21,69.8417,68.7409,69.4844,1897400
69.272,2019-08-22,70.2666,68.7989,69.9576,1644000
67.1573,2019-08-23,69.2044,66.8677,69.0402,2990000
67.2442,2019-08-26,68.2098,66.4235,67.6981,1827300
67.0897,2019-08-27,67.9105,66.7325,67.6401,2032300
67.5339,2019-08-28,67.8429,66.4428,66.8773,1674000
68.2678,2019-08-29,68.8375,68.0553,68.374,1611200
68.6637,2019-08-30,69.9576,68.3836,68.992,2356400
67.9877,2019-09-03,68.5961,67.0897,68.2678,2227800
68.4223,2019-09-04,68.7699,67.5533,68.4995,1820600
70.9908,2019-09-05,71.1742,69.1755,69.1755,2997900
71.7246,2019-09-06,71.8115,71.1549,71.1549,3117600
71.6281,2019-09-09,72.024,71.1356,71.8308,2996900
72.1978,2019-09-10,72.4488,70.7687,70.9715,2838000
74.3414,2019-09-11,74.3607,72.4874,72.4874,2805500
74.9014,2019-09-12,75.4035,74.071,74.3607,4009800
75.2201,2019-09-13,75.3649,74.5249,74.9208,2673400
74.4959,2019-09-16,74.7663,73.8296,74.66,2874500
73.7717,2019-09-17,74.3221,73.6558,74.3028,2716800
74.9014,2019-09-18,74.9014,73.1441,73.7331,1982600
75.3842,2019-09-19,75.4615,74.66,74.9111,1743700
75.2877,2019-09-20,76.0312,75.2298,75.5291,4605500
75.3746,2019-09-23,75.6932,74.6117,74.8145,2217000
73.3565,2019-09-24,75.6932,73.0378,75.5967,4296700
73.7041,2019-09-25,73.9262,72.5744,73.4338,1739200
73.8876,2019-09-26,74.3124,73.4724,73.82,1313300
73.762,2019-09-27,74.6504,73.3082,74.3704,1639800
74.153,2019-09-30,74.6175,73.8627,73.9014,1684600
72.4208,2019-10-01,74.4046,72.1789,74.0272,2189100
70.979,2019-10-02,72.1305,70.5436,71.9177,1999400
71.4822,2019-10-03,71.4919,70.1275,71.008,1869400
73.4272,2019-10-04,73.4563,71.666,71.6854,1260800
72.6724,2019-10-07,73.2434,72.2273,72.9143,1048000
70.1468,2019-10-08,71.5789,69.4114,71.5789,3001900
71.0951,2019-10-09,71.4532,70.292,70.6887,1499700
71.608,2019-10-10,72.0241,71.0564,71.0564,1399900
72.866,2019-10-11,73.7466,72.8079,73.1079,1200700
72.7498,2019-10-14,73.3498,72.566,72.7498,829500
73.3014,2019-10-15,73.8917,73.2337,73.3498,844900
72.8369,2019-10-16,73.4272,72.5369,72.866,2275500
72.4983,2019-10-17,73.7853,72.4789,73.2434,1650000
72.1595,2019-10-18,72.4015,71.3854,71.608,2121900
73.0401,2019-10-21,73.0692,72.2757,72.4595,1641500
72.2757,2019-10-22,73.8627,72.2273,73.2337,1271800
72.5563,2019-10-23,73.4369,72.266,72.595,1778300
72.5757,2019-10-24,72.6821,72.0531,72.6047,1475100
72.9531,2019-10-25,73.5143,71.7338,72.2854,835100
73.6885,2019-10-28,74.0852,73.2434,73.2434,1143900
73.7078,2019-10-29,74.2014,72.5176,72.6241,1113300
73.6595,2019-10-30,73.6885,72.8079,73.5821,914800
73.3014,2019-10-31,73.6594,72.6724,73.5433,970500
74.482,2019-11-01,74.8497,73.853,74.0368,1106300
74.2594,2019-11-04,75.3335,74.2497,75.169,1010200
73.1079,2019-11-05,74.4239,73.0305,74.3368,2362700
73.3401,2019-11-06,73.4853,72.5176,73.253,1355700
73.4563,2019-11-07,73.9111,73.2337,73.8723,860900
74.1627,2019-11-08,74.1724,73.2047,73.4466,1231500
74.3659,2019-11-11,74.3659,73.6691,73.7852,1149200
74.5594,2019-11-12,75.0432,74.2401,74.511,1008400
74.6658,2019-11-13,74.9949,74.0852,74.3368,1096000
74.2788,2019-11-14,74.9465,74.0078,74.7142,1113500
75.7303,2019-11-15,75.7787,74.1336,74.4433,1700400
75.4206,2019-11-18,75.9625,74.9949,75.6142,1641200
76.727,2019-11-19,76.9205,75.3239,75.6432,1704800
75.9819,2019-11-20,76.7947,75.6819,76.6012,2429800
75.769,2019-11-21,76.4173,74.811,76.4173,2142200
76.5625,2019-11-22,76.6302,75.7013,76.069,1869700
77.6656,2019-11-25,77.8592,76.7367,76.8818,2640800
78.3333,2019-11-26,78.4107,75.44,76.0303,5329900
78.4591,2019-11-27,78.7107,78.0817,78.4591,1628000
78.1592,2019-11-29,78.614,77.8689,78.343,835800
77.7527,2019-12-02,78.372,77.4334,78.1688,1775600
77.5108,2019-12-03,77.5205,76.6109,76.9495,1978200
78.314,2019-12-04,78.3817,77.5882,77.7043,1690900
78.8946,2019-12-05,79.0978,77.8979,78.2753,1900000
79.5526,2019-12-06,79.7558,79.1752,79.5816,1783400
78.9817,2019-12-09,79.8042,78.9139,79.6784,1913800
80.2493,2019-12-10,81.0912,80.0267,80.2203,3067700
80.7235,2019-12-11,80.7719,79.901,80.2493,1718300
82.0685,2019-12-12,82.2331,80.4816,80.7912,1920800
81.0041,2019-12-13,82.0008,80.888,81.9331,1811200
81.7202,2019-12-16,82.2234,81.2847,81.7395,1371200
81.2363,2019-12-17,82.1169,81.0718,82.0202,1653200
80.7332,2019-12-18,81.3331,80.6654,81.0428,2025500
81.7783,2019-12-19,81.9331,80.859,81.2364,1696000
82.4363,2019-12-20,82.5524,81.5944,82.1943,2287800
82.504,2019-12-23,82.6782,82.0202,82.6588,816000
82.5427,2019-12-24,82.6879,82.2331,82.6879,271900
82.6879,2019-12-26,82.8717,82.3395,82.5524,649100
82.6588,2019-12-27,82.9104,82.3589,82.9104,767700
82.3291,2019-12-30,82.814,82.077,82.7558,742800
82.7267,2019-12-31,82.7558,82.1061,82.2709,1176200
83.3473,2020-01-02,83.7352,82.62,83.2989,1410500
82.0091,2020-01-03,82.7461,81.9413,82.1061,1118300
82.2516,2020-01-06,82.2516,81.0685,81.4564,1993200
82.5037,2020-01-07,82.6783,81.3982,81.4176,1684700
83.3183,2020-01-08,83.8516,82.6201,83.357,1847600
84.6274,2020-01-09,85.0443,83.5607,83.8419,1912700
84.9377,2020-01-10,85.568,84.6758,85.0637,1417000
84.8116,2020-01-13,85.6456,84.1134,85.151,1630200
85.3256,2020-01-14,85.5389,84.0746,84.6274,1675200
85.9365,2020-01-15,86.4116,84.8989,84.9765,1630400
86.7511,2020-01-16,86.7802,86.1692,86.4214,1595900
87.3911,2020-01-17,87.5462,86.5086,87.2456,3718300
86.8965,2020-01-21,87.4202,86.7511,87.0808,2697400
87.4008,2020-01-22,87.8953,87.1196,87.2165,1665800
86.3729,2020-01-23,87.2553,85.9753,86.9062,1228300
85.5874,2020-01-24,86.751,84.928,86.7413,1164500
83.9389,2020-01-27,84.5304,83.5995,83.9195,1868000
84.5401,2020-01-28,84.831,83.5801,84.2201,1652200
84.5983,2020-01-29,85.6844,84.511,84.8989,1131500
81.8249,2020-01-30,82.4552,81.0685,82.3291,3026700
80.06,2020-01-31,81.7861,79.8467,81.4855,2850400
79.6624,2020-02-03,81.1558,79.6236,80.7679,1919800
80.9909,2020-02-04,81.3594,80.2733,80.3412,1676000
82.3582,2020-02-05,82.911,81.8346,81.9704,2345100
82.2516,2020-02-06,82.8043,82.0188,82.7267,835500
80.6515,2020-02-07,82.2225,80.4091,82.0479,1447600
81.8734,2020-02-10,82.077,80.4188,80.5255,2066900
82.5134,2020-02-11,83.0758,82.2709,82.4552,1543200
82.8431,2020-02-12,83.454,82.7073,82.814,1464200
82.8819,2020-02-13,83.0855,82.0964,82.5231,1596300
83.2213,2020-02-14,83.2601,82.5425,83.1243,1965400
82.2225,2020-02-18,83.4734,81.9703,83.0661,2872500
82.7655,2020-02-19,83.2407,80.923,82.1352,4741300
81.7861,2020-02-20,82.4164,80.8358,82.3291,2543600
82.494,2020-02-21,82.5134,80.8746,81.3594,1762500
78.0624,2020-02-24,80.0891,77.5969,79.7303,2919200
75.5896,2020-02-25,78.4309,75.3375,78.2563,2768000
75.7447,2020-02-26,77.8393,75.7253,76.2781,2526000
75.0853,2020-02-27,77.8684,74.0574,74.3581,2879400
74.7362,2020-02-28,74.7362,71.924,72.6998,3755600
79.4879,2020-03-02,79.5169,74.9011,74.969,3407500
77.8878,2020-03-03,82.4261,76.8793,79.4103,3017200
81.7958,2020-03-04,81.8734,78.2757,79.2939,1905300
78.0236,2020-03-05,80.7291,77.2866,79.6527,2322600
76.1811,2020-03-06,76.5108,74.1835,75.5896,2959900
68.6076,2020-03-09,71.9435,68.0452,70.3919,4598200
70.7022,2020-03-10,71.3907,67.5506,70.838,3537300
66.7555,2020-03-11,69.558,65.5239,68.6173,4985900
61.4996,2020-03-12,65.1069,60.2777,62.062,5055000
67.1045,2020-03-13,67.4052,61.8196,64.5154,3261200
62.1881,2020-03-16,64.6027,59.2789,61.4899,4742800
68.307,2020-03-17,68.3943,62.0038,64.0208,3341800
66.7846,2020-03-18,67.764,63.2063,63.216,4123900
63.7687,2020-03-19,66.513,62.2269,66.4645,3430700
64.4475,2020-03-20,68.8501,62.9929,63.9918,3258400
61.4511,2020-03-23,65.5142,60.2098,64.7772,2989600
64.9712,2020-03-24,66.1154,62.6438,63.5457,2868900
66.9106,2020-03-25,69.6161,63.1384,65.0875,2628100
71.4877,2020-03-26,72.1956,67.5409,67.8803,3267500
68.7628,2020-03-27,70.9931,68.1518,69.3834,1829800
70.6488,2020-03-30,71.1446,69.0836,69.0836,1486200
69.628,2020-03-31,70.7752,68.5392,70.328,1822100
67.0031,2020-04-01,68.2767,66.2545,67.5378,2173600
70.2794,2020-04-02,70.4349,66.2448,66.3712,1840300
68.4614,2020-04-03,70.3183,67.7225,69.7155,2052600
72.2918,2020-04-06,72.9043,70.2405,70.9405,2312000
71.971,2020-04-07,75.4028,71.9613,74.4792,2458000
74.557,2020-04-08,75.0237,70.7266,72.1071,2703000
76.1514,2020-04-09,76.5305,74.1098,74.3042,2399900
74.0904,2020-04-13,75.8208,72.9334,75.2861,1533000
76.6375,2020-04-14,76.9972,75.0917,75.15,2650300
74.907,2020-04-15,76.2097,74.8584,75.2861,2721100
76.5597,2020-04-16,76.725,74.3431,75.8889,1969300
77.3375,2020-04-17,78.1152,76.1319,77.8624,1313400
75.2181,2020-04-20,76.8514,74.8389,76.8514,1679400
71.6988,2020-04-21,73.6918,71.6599,73.6529,2848100
73.0793,2020-04-22,73.4779,71.7279,72.671,2347400
73.0015,2020-04-23,75.3348,72.9626,74.4695,2097700
73.6431,2020-04-24,73.7987,71.9613,73.5168,1654300
74.1292,2020-04-27,74.4889,73.7306,74.2264,1295800
73.3515,2020-04-28,74.8584,73.2446,74.8584,1855900
76.5306,2020-04-29,77.1722,74.0223,74.1779,2409400
74.5278,2020-04-30,76.2583,73.8765,75.7917,1795200
72.146,2020-05-01,73.9834,71.5238,73.4487,1618600
72.4862,2020-05-04,72.5446,71.3779,72.214,1555400
74.2459,2020-05-05,75.4222,72.7487,72.8265,1476100
75.7042,2020-05-06,76.6375,74.5181,74.557,2303600
76.3167,2020-05-07,77.1236,75.3834,76.5791,1190600
77.493,2020-05-08,78.0958,76.9875,77.4541,2255000
79.0096,2020-05-11,79.7096,77.2889,77.3861,1691600
77.6291,2020-05-12,80.011,77.5611,79.311,2278900
77.9305,2020-05-13,79.6513,76.8319,78.1444,2664900
79.3693,2020-05-14,79.3888,76.5306,77.0847,2285900
79.3207,2020-05-15,80.5262,78.961,79.2429,4529400
