close,date,high,low,open,volume
144.71,2020-12-10,165.0,141.25,146.0,70447500
139.25,2020-12-11,151.5,135.1,146.55,26980800
130.0,2020-12-14,135.3,125.16,135.0,16966100
124.8,2020-12-15,127.6,121.5,126.69,10914400
137.99,2020-12-16,142.0,124.91,125.83,20409600
147.05,2020-12-17,152.45,142.67,143.0,15054700
157.3,2020-12-18,159.0,150.3,150.45,15954200
163.02,2020-12-21,172.0,145.11,155.31,17788100
163.19,2020-12-22,174.97,161.05,170.0,9872600
158.01,2020-12-23,168.25,155.5,162.814,5852500
154.84,2020-12-24,162.79,154.112,159.16,3621400
149.0,2020-12-28,163.64,147.52,158.6,6229200
150.0,2020-12-29,151.651,143.12,150.0,5402300
148.43,2020-12-30,152.813,145.6,151.34,3462400
146.8,2020-12-31,147.89,144.51,146.9,2795800
139.15,2021-01-04,151.005,137.0,150.99,6409900
148.3,2021-01-05,149.0,137.25,138.28,5974200
142.77,2021-01-06,148.35,141.11,145.75,4213900
151.27,2021-01-07,154.42,145.261,146.37,4482800
149.77,2021-01-08,155.54,147.25,153.45,4615600
148.13,2021-01-11,150.5,144.02,147.99,2801900
160.8,2021-01-12,163.88,143.61,148.08,8123600
169.99,2021-01-13,178.62,159.35,160.81,12529700
180.5,2021-01-14,187.42,174.975,175.54,9926500
169.27,2021-01-15,185.995,164.86,184.58,8575700
173.69,2021-01-19,178.6,166.6,173.0,4685400
161.83,2021-01-20,176.31,161.0,176.01,8517400
180.4,2021-01-21,183.47,155.33,164.99,17618400
181.87,2021-01-22,185.307,175.19,178.09,7136800
177.53,2021-01-25,192.47,170.03,186.05,7472900
192.74,2021-01-26,193.0,177.3,180.0,6460900
201.25,2021-01-27,216.0,185.5,187.64,11019800
187.37,2021-01-28,212.84,187.05,202.6,7077700
183.63,2021-01-29,193.5,179.31,190.71,4529800
180.44,2021-02-01,188.82,179.74,187.48,3877400
179.17,2021-02-02,186.479,177.11,183.22,4413600
185.72,2021-02-03,190.9,180.0,181.98,4169000
195.8,2021-02-04,195.99,186.19,187.07,3631500
195.31,2021-02-05,197.25,190.25,197.0,2869700
200.43,2021-02-08,201.96,191.5,199.93,3488100
199.88,2021-02-09,209.22,196.16,199.203,4725800
211.66,2021-02-10,214.716,202.097,205.48,5257200
216.84,2021-02-11,219.94,207.0,213.5,3595200
212.68,2021-02-12,216.94,209.0,214.458,3041700
209.86,2021-02-16,218.78,209.09,216.24,3487900
201.96,2021-02-17,208.765,196.02,207.05,4090600
198.04,2021-02-18,200.36,192.17,199.01,2791400
201.07,2021-02-19,205.55,200.18,203.95,2605800
195.34,2021-02-22,205.0,193.5,200.7,3674200
187.59,2021-02-23,191.67,175.0,189.0,5902400
200.2,2021-02-24,208.145,189.0,190.98,5983500
182.06,2021-02-25,199.8,180.0,197.41,11568500
206.35,2021-02-26,214.1,185.75,194.18,19368600
196.42,2021-03-01,199.69,192.62,195.82,15798500
189.9,2021-03-02,200.0,188.5,195.63,9144900
180.4,2021-03-03,188.48,178.8,186.97,10592900
180.23,2021-03-04,183.9,170.87,178.64,9993700
179.81,2021-03-05,183.5,161.9,182.52,8788500
180.81,2021-03-08,186.4,177.03,179.992,4988500
183.11,2021-03-09,189.46,180.72,184.99,6079900
183.79,2021-03-10,191.0,181.55,184.57,6145600
197.87,2021-03-11,201.0,188.5,189.9,6031200
206.74,2021-03-12,208.7,192.2,196.27,5556500
209.99,2021-03-15,213.74,203.81,209.538,4329400
200.01,2021-03-16,215.49,198.18,209.11,4605600
201.36,2021-03-17,203.46,194.44,195.63,3781900
191.45,2021-03-18,199.9,190.68,196.8,3711500
194.39,2021-03-19,196.49,187.81,193.01,4444600
195.0,2021-03-22,203.3,194.71,196.85,3740400
