close,date,high,low,open,volume
176.501,2019-08-12,178.257,175.87,177.876,1597200
179.177,2019-08-13,179.307,175.349,175.349,2072000
173.687,2019-08-14,177.792,173.538,176.873,2316500
176.092,2019-08-15,176.715,173.436,174.039,1932600
179.492,2019-08-16,179.901,176.938,177.542,2526900
181.313,2019-08-19,182.344,180.7,181.146,1891000
180.403,2019-08-20,182.056,179.4,181.248,1423500
181.824,2019-08-21,182.855,181.211,181.787,1044700
182.391,2019-08-22,182.976,180.468,182.502,1160900
179.112,2019-08-23,183.868,177.96,181.146,2290400
181.583,2019-08-26,181.583,179.725,180.533,1641500
183.153,2019-08-27,183.376,181.369,182.094,1632700
182.855,2019-08-28,183.496,180.747,182.902,1326200
184.62,2019-08-29,185.707,183.413,183.933,1494200
184.091,2019-08-30,186.422,182.79,185.791,2176600
181.843,2019-09-03,183.71,181.555,182.409,1696500
183.663,2019-09-04,184.267,183.348,183.775,1250700
185.317,2019-09-05,185.605,184.351,185.605,2216100
186.831,2019-09-06,188.392,184.899,185.791,2184100
180.988,2019-09-09,186.831,179.139,186.692,2702800
176.185,2019-09-10,179.79,174.541,179.27,3631000
177.774,2019-09-11,178.796,175.795,176.501,2430300
181.629,2019-09-12,182.289,178.294,180.867,2122200
180.793,2019-09-13,182.075,180.18,182.075,1592600
180.366,2019-09-16,181.35,179.297,179.632,1360000
181.1,2019-09-17,181.88,179.623,179.623,1457800
180.338,2019-09-18,180.765,177.932,180.384,1780500
180.839,2019-09-19,182.196,180.421,180.663,1567900
179.372,2019-09-20,182.289,178.777,181.192,2541000
179.139,2019-09-23,180.161,178.368,178.666,1516300
176.631,2019-09-24,181.954,176.297,180.626,2950200
177.309,2019-09-25,178.359,175.303,177.988,2825100
178.471,2019-09-26,179.604,173.974,174.699,3594600
177.783,2019-09-27,179.827,176.864,179.808,2012500
178.684,2019-09-30,179.613,177.811,177.885,2025200
176.148,2019-10-01,179.632,175.953,178.917,2066900
171.717,2019-10-02,175.247,169.896,174.959,2930700
172.609,2019-10-03,172.869,169.859,172.154,2172800
176.167,2019-10-04,176.334,172.878,173.538,1568800
173.538,2019-10-07,175.294,173.519,174.913,1596400
169.255,2019-10-08,172.525,169.07,172.237,2200000
171.243,2019-10-09,172.135,170.203,170.732,1683100
170.77,2019-10-10,171.736,169.627,170.77,1999700
171.829,2019-10-11,174.374,171.615,172.516,2381200
172.321,2019-10-14,173.092,171.132,172.191,1348400
173.714,2019-10-15,174.067,172.377,172.618,1462400
174.06,2019-10-16,174.451,171.811,172.212,1923100
173.565,2019-10-17,174.769,172.744,174.423,1486500
174.535,2019-10-18,175.515,174.097,174.339,2896700
174.778,2019-10-21,174.964,172.959,174.414,1344700
170.468,2019-10-22,175.496,170.113,174.713,1752100
171.727,2019-10-23,172.446,169.768,170.16,2263000
172.595,2019-10-24,174.479,172.268,172.641,2008700
170.794,2019-10-25,172.436,170.748,172.287,1389200
170.608,2019-10-28,173.462,170.318,172.044,1832700
172.408,2019-10-29,173.295,170.141,170.309,1554000
174.069,2019-10-30,174.498,171.932,172.735,1243300
172.987,2019-10-31,175.45,171.979,173.677,1574800
175.599,2019-11-01,175.72,173.63,174.181,1502100
175.207,2019-11-04,176.485,174.825,175.869,1144500
174.349,2019-11-05,175.394,173.043,175.394,1536600
176.541,2019-11-06,176.578,174.377,174.451,1652200
176.411,2019-11-07,177.446,176.019,176.616,1676800
176.98,2019-11-08,176.989,175.646,176.009,1282400
177.316,2019-11-11,177.689,175.907,176.103,1167000
178.594,2019-11-12,178.799,177.138,177.418,1522800
181.458,2019-11-13,181.71,177.717,178.332,1817700
183.09,2019-11-14,183.24,180.833,180.991,1672900
183.613,2019-11-15,184.313,182.68,182.764,2426200
184.742,2019-11-18,185.609,183.566,184.191,1561000
185.04,2019-11-19,185.423,184.154,184.91,1342200
184.453,2019-11-20,186.365,183.576,185.404,1477300
183.585,2019-11-21,184.658,182.988,184.182,1217400
183.473,2019-11-22,185.115,182.018,184.77,1117900
185.059,2019-11-25,185.078,184.163,184.387,1951900
187.447,2019-11-26,187.522,184.509,185.059,2324500
187.755,2019-11-27,187.858,185.833,187.093,1205000
187.671,2019-11-29,188.138,186.589,187.746,750600
186.207,2019-12-02,188.166,184.77,187.932,1262300
185.423,2019-12-03,185.927,183.296,184.294,1243600
186.197,2019-12-04,186.953,185.88,186.365,1221800
186.449,2019-12-05,186.617,185.544,186.589,1816600
188.968,2019-12-06,189.22,187.046,187.895,1345700
188.483,2019-12-09,189.276,187.932,188.24,1976300
188.343,2019-12-10,188.697,187.401,188.483,1403000
188.735,2019-12-11,189.033,186.906,188.576,1669700
190.246,2019-12-12,190.722,187.746,188.604,1932600
192.802,2019-12-13,192.858,189.397,189.444,1648300
191.254,2019-12-16,194.668,191.226,193.232,2702400
189.761,2019-12-17,191.925,189.341,191.254,2377400
191.963,2019-12-18,192.345,189.864,189.948,3002800
194.332,2019-12-19,194.332,188.511,188.511,3759800
196.945,2019-12-20,198.951,195.051,196.954,4148800
196.693,2019-12-23,197.122,194.836,196.814,2220900
197.42,2019-12-24,197.476,196.441,196.581,998500
197.831,2019-12-26,197.896,197.094,197.421,1059800
197.99,2019-12-27,198.372,197.421,198.204,1292200
196.516,2019-12-30,198.008,195.032,198.008,1193900
196.45,2019-12-31,196.907,195.396,195.9,1371000
196.058,2020-01-02,197.71,194.808,196.721,2431100
195.732,2020-01-03,196.506,193.12,194.519,1802100
194.454,2020-01-06,194.79,192.942,194.304,2841400
190.255,2020-01-07,192.429,189.565,189.574,3097400
190.629,2020-01-08,191.674,189.882,190.321,2271300
192.327,2020-01-09,193.381,191.403,191.72,2910600
193.735,2020-01-10,194.342,192.868,193.054,1573100
195.536,2020-01-13,195.769,193.577,193.577,2202800
193.801,2020-01-14,196.851,193.148,195.499,2499100
194.11,2020-01-15,195.215,193.613,194.803,1986000
195.721,2020-01-16,195.833,194.709,194.934,2691600
195.927,2020-01-17,197.285,195.131,196.676,2584500
195.88,2020-01-21,196.826,193.866,194.335,2687200
196.123,2020-01-22,198.418,196.067,196.863,1873600
197.313,2020-01-23,197.435,195.618,196.114,2368400
195.337,2020-01-24,198.165,194.85,197.612,2348900
193.445,2020-01-27,194.653,191.853,192.162,1381300
196.901,2020-01-28,197.575,194.1,194.681,1810200
194.765,2020-01-29,197.809,194.606,197.313,1491600
195.149,2020-01-30,195.674,192.18,194.335,1579600
192.19,2020-01-31,196.329,191.057,195.271,1793600
194.615,2020-02-03,195.196,192.227,192.312,2345700
199.045,2020-02-04,200.225,196.442,196.676,2242800
198.755,2020-02-05,200.853,197.06,200.319,2102500
200.572,2020-02-06,200.778,198.839,199.486,1611500
198.156,2020-02-07,199.851,197.697,199.804,1447700
199.064,2020-02-10,199.457,196.854,196.854,1421600
198.68,2020-02-11,200.403,198.324,199.841,1321000
198.54,2020-02-12,199.364,198.118,198.736,1801300
198.924,2020-02-13,199.991,196.058,196.554,1721200
198.896,2020-02-14,199.991,197.94,199.72,2096600
200.197,2020-02-18,200.478,197.8,199.017,1699400
202.22,2020-02-19,202.66,200.778,201.359,1806000
200.328,2020-02-20,202.595,198.184,202.183,1481700
198.446,2020-02-21,200.001,197.135,199.102,2088800
191.394,2020-02-24,194.681,190.541,191.497,2600400
184.594,2020-02-25,192.443,183.433,191.787,2883600
183.255,2020-02-26,188.668,182.431,186.065,2671100
174.611,2020-02-27,182.019,174.545,180.005,3040100
169.132,2020-02-28,171.576,164.178,168.823,5785200
177.523,2020-03-02,177.776,166.725,170.452,4317900
170.658,2020-03-03,179.724,169.16,177.729,3514000
176.877,2020-03-04,177.673,172.606,174.011,3875400
170.977,2020-03-05,175.566,169.441,173.346,3548200
167.409,2020-03-06,168.87,162.885,166.191,3284400
153.698,2020-03-09,160.038,149.942,154.906,5112200
163.484,2020-03-10,163.653,155.505,160.225,4349500
