close,date,high,low,open,volume
288.65,2019-08-12,294.42,287.41,293.14,1580500
293.17,2019-08-13,295.5,286.39,288.23,2326400
283.66,2019-08-14,289.65,281.43,287.6,2586000
282.71,2019-08-15,286.49,280.86,285.64,2336800
287.45,2019-08-16,290.15,283.32,285.58,1954500
287.97,2019-08-19,291.77,287.17,291.32,1955200
285.71,2019-08-20,288.66,285.4,287.97,1491000
291.53,2019-08-21,292.92,286.51,288.54,1520200
287.69,2019-08-22,292.9,285.12,292.57,1743200
282.44,2019-08-23,293.57,280.97,289.23,2851900
288.74,2019-08-26,288.89,283.51,284.86,1792800
289.45,2019-08-27,291.85,286.53,290.66,1792300
282.13,2019-08-28,287.99,280.42,286.55,2776300
286.63,2019-08-29,287.7,283.62,285.71,2171900
284.51,2019-08-30,288.5,280.12,287.41,2373300
282.45,2019-09-03,287.46,281.4,284.25,1837000
284.6,2019-09-04,286.25,282.46,286.04,1516000
287.75,2019-09-05,288.01,281.52,287.83,2835900
284.94,2019-09-06,289.59,283.96,288.2,2273100
279.3,2019-09-09,286.93,276.6,286.52,3134500
276.14,2019-09-10,277.58,272.34,277.58,4097800
277.78,2019-09-11,280.31,274.0,277.66,2594000
278.02,2019-09-12,282.28,277.94,281.0,2955000
278.35,2019-09-13,280.28,276.32,278.22,2948600
282.93,2019-09-16,283.05,275.3,276.62,2774700
284.69,2019-09-17,285.3,280.36,284.04,4069200
279.72,2019-09-18,280.29,270.02,275.35,7449700
281.26,2019-09-19,284.37,279.83,280.17,3163500
277.91,2019-09-20,283.2,274.95,281.6,4046500
277.44,2019-09-23,279.58,275.41,275.93,1966300
272.47,2019-09-24,280.7,271.08,279.58,3288100
277.43,2019-09-25,277.71,267.73,271.9,3307300
283.81,2019-09-26,285.9,277.01,278.46,4270800
277.54,2019-09-27,284.98,274.12,284.63,3167600
276.25,2019-09-30,279.0,275.14,277.54,3992300
272.71,2019-10-01,279.65,271.87,278.99,3245800
266.66,2019-10-02,271.18,265.19,271.18,3370100
272.4,2019-10-03,272.8,263.85,266.92,3545100
276.96,2019-10-04,278.08,273.11,273.11,2566300
276.9,2019-10-07,278.49,275.59,276.32,1823500
270.83,2019-10-08,275.41,270.8,274.46,2135900
274.27,2019-10-09,275.55,272.86,273.52,1359400
274.98,2019-10-10,276.71,272.79,274.06,1562300
278.29,2019-10-11,281.27,277.63,278.37,2087600
277.78,2019-10-14,279.42,277.15,278.11,1372600
279.39,2019-10-15,281.51,278.02,278.17,1964000
272.7,2019-10-16,272.81,267.51,270.23,4315200
269.24,2019-10-17,274.12,267.15,272.61,3319100
265.52,2019-10-18,269.68,262.1,269.36,4391000
266.84,2019-10-21,267.43,262.57,265.63,2868800
261.09,2019-10-22,269.28,260.64,268.49,3349100
261.32,2019-10-23,265.52,259.57,261.0,3020400
269.7,2019-10-24,271.46,263.25,264.04,3511000
270.98,2019-10-25,271.61,267.02,267.8,1822300
271.35,2019-10-28,272.29,268.38,271.58,2281900
271.45,2019-10-29,273.72,271.06,271.68,1723500
278.41,2019-10-30,278.65,272.61,273.25,2320800
277.93,2019-10-31,279.32,275.31,278.27,2845400
277.82,2019-11-01,281.83,277.27,279.14,2827200
277.5,2019-11-04,281.21,276.05,280.56,2790200
