close,date,high,low,open,volume
48.0916,2019-08-12,48.8075,47.6725,48.7552,3576200
48.9996,2019-08-13,49.3314,47.7249,47.8733,4522200
46.616,2019-08-14,48.371,46.2231,48.1003,8548900
46.9216,2019-08-15,47.1399,46.5112,46.7295,4125000
47.4193,2019-08-16,47.786,47.0351,47.3844,4042200
47.8558,2019-08-19,48.1964,47.6114,48.0479,3319400
46.6509,2019-08-20,47.7336,46.5985,47.7336,3551200
46.8779,2019-08-21,47.1049,46.5462,47.1049,2464800
46.9303,2019-08-22,47.428,46.7906,47.1311,2326600
45.8302,2019-08-23,47.4367,45.5333,46.7208,3712200
46.3453,2019-08-26,46.3715,45.7691,46.0223,2212600
46.0485,2019-08-27,46.6859,45.577,46.5112,2747800
45.7953,2019-08-28,46.2406,45.6643,45.8651,2481500
45.804,2019-08-29,46.4327,45.7516,46.258,2921100
45.4373,2019-08-30,46.1707,45.2277,46.1707,4565000
45.7516,2019-09-03,45.8302,45.0968,45.1841,2897700
47.4979,2019-09-04,47.5153,46.0223,46.2406,3846900
47.7423,2019-09-05,48.7726,47.6899,48.1527,3124000
47.8908,2019-09-06,48.3535,47.6114,47.6812,1901200
48.3797,2019-09-09,48.4321,47.7598,48.0916,2898500
48.4583,2019-09-10,48.8774,48.2313,48.4059,3170500
49.4187,2019-09-11,49.4449,47.8209,48.4408,3093900
49.5584,2019-09-12,49.864,48.921,49.0171,3263600
50.0212,2019-09-13,50.1696,49.5846,49.8378,3324700
49.4505,2019-09-16,49.7666,49.108,49.3627,2793600
50.1178,2019-09-17,50.1792,49.2573,49.3275,4317400
50.6182,2019-09-18,50.6358,49.5558,49.7578,4292100
50.829,2019-09-19,51.5051,50.548,50.75,4671800
50.4426,2019-09-20,51.2329,50.3022,51.1187,6534700
50.3109,2019-09-23,50.6885,50.0124,50.1353,2752500
50.0475,2019-09-24,50.6621,49.8895,50.5129,3592400
49.6349,2019-09-25,50.2495,49.5471,49.9422,3355300
49.0641,2019-09-26,49.6963,48.7656,49.6963,3206200
