close,date,high,low,open,volume
109.873,2019-08-12,111.347,108.335,108.517,511000
111.483,2019-08-13,111.829,109.29,109.29,714100
109.563,2019-08-14,111.374,108.908,110.228,675300
110.109,2019-08-15,110.764,108.735,110.164,722500
113.303,2019-08-16,113.812,110.328,110.328,2189400
112.63,2019-08-19,114.522,108.735,114.331,574000
111.656,2019-08-20,112.639,110.773,111.984,529400
112.52,2019-08-21,112.657,111.074,111.811,388700
112.602,2019-08-22,113.194,111.792,112.684,442900
109.192,2019-08-23,112.794,108.689,112.236,584500
111.423,2019-08-26,111.45,109.649,109.85,464700
110.499,2019-08-27,112.328,110.298,111.807,466400
110.673,2019-08-28,111.523,109.869,110.344,529400
111.487,2019-08-29,111.99,111.094,111.651,387500
112.456,2019-08-30,112.657,110.966,112.291,507100
112.648,2019-09-03,112.822,111.478,111.898,406300
113.187,2019-09-04,113.672,112.986,113.635,421500
113.233,2019-09-05,114.348,112.739,114.028,447800
113.745,2019-09-06,114.577,113.242,113.325,472400
113.955,2019-09-09,114.815,113.59,114.284,629500
113.142,2019-09-10,114.339,113.004,114.111,689100
113.772,2019-09-11,114.175,111.752,113.041,890000
114.833,2019-09-12,115.638,113.809,113.809,433900
114.284,2019-09-13,115.016,113.928,114.86,433100
114.833,2019-09-16,114.952,113.608,113.608,580200
116.14,2019-09-17,116.204,114.742,114.979,529400
116.57,2019-09-18,116.808,115.016,115.363,491400
115.409,2019-09-19,116.698,115.318,116.396,580600
115.784,2019-09-20,116.278,114.998,115.583,641400
115.052,2019-09-23,116.351,115.025,115.537,361200
115.756,2019-09-24,116.387,115.272,115.272,491700
115.839,2019-09-25,116.561,115.226,115.61,451600
115.93,2019-09-26,116.387,115.062,115.948,316600
114.714,2019-09-27,116.342,114.614,116.342,312400
115.034,2019-09-30,115.656,114.412,115.19,377100
113.197,2019-10-01,115.583,113.133,115.583,393700
111.569,2019-10-02,112.876,110.856,112.428,333000
113.096,2019-10-03,113.123,111.322,111.569,412600
115.921,2019-10-04,115.921,113.096,113.096,370300
114.614,2019-10-07,115.491,114.367,115.372,282100
112.749,2019-10-08,113.983,112.675,113.8,358900
114.102,2019-10-09,114.769,113.544,113.727,415400
114.778,2019-10-10,115.811,114.394,114.394,292300
114.998,2019-10-11,115.958,114.879,115.491,328300
114.934,2019-10-14,115.08,114.403,114.513,265100
114.705,2019-10-15,115.628,114.394,115.244,351700
114.696,2019-10-16,114.988,113.791,114.632,301900
115.144,2019-10-17,115.564,114.312,115.29,255500
114.897,2019-10-18,115.574,114.55,114.723,291000
116.625,2019-10-21,116.652,115.528,115.811,345500
115.418,2019-10-22,116.506,115.098,116.506,330500
115.683,2019-10-23,116.296,114.924,115.071,338500
115.528,2019-10-24,116.963,114.678,116.113,435200
114.806,2019-10-25,115.235,114.202,115.162,260000
114.568,2019-10-28,115.61,113.873,115.29,470500
115.546,2019-10-29,115.83,114.22,114.22,264300
115.08,2019-10-30,115.628,114.504,115.318,246500
115.263,2019-10-31,115.345,113.654,114.568,397100
116.753,2019-11-01,116.927,114.659,116.131,279400
115.775,2019-11-04,117.832,115.29,117.082,364200
115.363,2019-11-05,116.918,113.955,115.994,680800
116.616,2019-11-06,116.972,113.827,114.659,630200
116.552,2019-11-07,117.356,116.159,116.634,413900
118.92,2019-11-08,119.807,116.406,116.406,659700
118.015,2019-11-11,118.719,117.192,117.923,411500
119.414,2019-11-12,119.825,117.622,117.878,485300
120.044,2019-11-13,120.163,118.499,119.057,422900
120.703,2019-11-14,120.895,119.715,120.099,346800
120.767,2019-11-15,121.27,120.163,121.169,586100
121.297,2019-11-18,121.526,120.438,120.438,366200
120.94,2019-11-19,122.239,120.721,121.251,419400
121.105,2019-11-20,121.608,120.255,120.694,372800
120.95,2019-11-21,122.486,120.767,121.59,500500
121.097,2019-11-22,121.335,119.369,120.94,506800
121.492,2019-11-25,122.401,121.032,121.896,251200
122.686,2019-11-26,122.796,120.849,121.62,593400
122.456,2019-11-27,123.329,122.08,123.017,377100
122.061,2019-11-29,122.769,121.978,122.41,202900
120.996,2019-12-02,122.713,120.904,122.585,407800
118.047,2019-12-03,120.132,117.661,119.967,538600
118.598,2019-12-04,119.241,117.532,117.532,350900
119.801,2019-12-05,120.114,118.368,118.598,341100
120.876,2019-12-06,120.95,119.967,120.555,391800
120.279,2019-12-09,121.023,120.242,120.821,242300
119.461,2019-12-10,120.123,119.324,119.957,276900
119.673,2019-12-11,119.921,118.873,119.369,287500
119.829,2019-12-12,120.775,119.627,119.774,385800
