close,date,high,low,open,volume
82.9961,2019-08-12,84.7078,82.9306,84.0998,416100
84.2027,2019-08-13,84.6143,82.5377,83.258,532500
82.2384,2019-08-14,83.8098,81.5649,83.258,1046800
82.7809,2019-08-15,83.2205,82.1729,82.3413,570700
83.9221,2019-08-16,84.053,82.65,83.2393,1072800
84.6891,2019-08-19,85.2129,84.5394,84.6985,579900
83.7724,2019-08-20,84.5394,83.6789,84.4833,633500
84.6143,2019-08-21,84.8014,83.9969,84.2588,624000
84.9978,2019-08-22,85.2129,84.0811,84.7172,576200
82.3226,2019-08-23,85.5403,81.9671,84.7359,1101200
82.678,2019-08-26,83.258,82.0887,82.9306,1320500
82.3507,2019-08-27,83.5386,82.3226,82.9493,1174000
82.2197,2019-08-28,82.6687,81.7801,82.36,1039200
83.0428,2019-08-29,83.4918,82.36,82.7716,1009900
84.8481,2019-08-30,85.2223,83.576,83.735,1214200
83.866,2019-09-03,84.4646,83.445,84.2027,860900
84.2027,2019-09-04,84.7078,83.6602,84.4459,594400
84.3343,2019-09-05,85.4621,84.0335,85.0956,574600
85.058,2019-09-06,85.5279,84.1275,84.3719,741200
84.4659,2019-09-09,85.4809,84.1651,85.4809,666700
82.7835,2019-09-10,84.5975,81.6651,84.4565,970400
82.6613,2019-09-11,83.0561,81.8154,82.8023,914800
82.5297,2019-09-12,83.7986,82.4639,82.9621,996200
81.7497,2019-09-13,82.8211,81.3267,82.5673,1111300
82.2948,2019-09-16,82.3418,81.0259,81.2515,1075900
84.2497,2019-09-17,84.4189,82.6049,82.6049,1297100
84.4753,2019-09-18,84.8136,83.5448,84.0993,755500
84.0899,2019-09-19,85.011,84.0147,84.5504,740100
83.4602,2019-09-20,84.4564,83.0748,84.1557,1495100
83.0749,2019-09-23,83.6012,82.8587,82.8587,596500
83.4978,2019-09-24,83.9959,82.9715,83.3474,863000
83.5918,2019-09-25,83.8925,83.1782,83.4508,691900
84.4001,2019-09-26,84.6539,83.0467,83.7046,659000
83.4696,2019-09-27,85.0016,82.8869,85.0016,446700
84.1839,2019-09-30,84.5317,83.526,83.714,540100
82.6519,2019-10-01,84.5974,82.5767,84.5786,738500
81.1388,2019-10-02,82.4358,80.2083,82.182,775400
81.8718,2019-10-03,81.9282,80.3398,81.0729,507400
83.667,2019-10-04,83.8361,81.8718,81.9752,590300
83.2346,2019-10-07,83.8643,82.5297,83.2252,739100
81.5429,2019-10-08,82.7553,81.5335,82.6613,997200
82.0692,2019-10-09,82.5485,81.3173,82.3324,749800
82.2102,2019-10-10,82.8963,81.1011,82.0128,796900
82.6895,2019-10-11,83.3568,82.6613,82.9245,1014700
82.8869,2019-10-14,83.0091,82.1726,82.3606,563300
83.1971,2019-10-15,83.6388,83.0279,83.1971,813900
83.4696,2019-10-16,83.5824,82.4169,82.8869,868900
83.8644,2019-10-17,84.2309,83.2722,83.761,701400
84.1651,2019-10-18,84.3437,83.0561,83.4038,1592900
84.8982,2019-10-21,84.9264,84.3531,84.3719,818500
84.2873,2019-10-22,85.3399,84.1933,84.8794,563200
84.729,2019-10-23,84.8606,84.0805,84.0805,801600
85.7253,2019-10-24,85.9133,84.729,84.9734,1255800
84.0711,2019-10-25,86.4678,83.4508,85.8475,1211500
84.3061,2019-10-28,84.588,83.573,84.2403,1078700
84.5317,2019-10-29,84.6444,83.761,84.3061,968900
85.7817,2019-10-30,85.8193,83.761,84.4659,772300
85.7347,2019-10-31,86.2892,85.0768,85.6689,796300
86.0166,2019-11-01,86.2422,85.4809,86.2422,813200
85.1708,2019-11-04,86.5524,84.776,86.4772,881600
84.5693,2019-11-05,85.3681,84.0429,85.0674,812300
86.1294,2019-11-06,86.214,84.3907,84.5693,730600
85.5749,2019-11-07,86.3644,85.5091,86.3268,777900
85.6689,2019-11-08,85.9415,85.1238,85.3775,569200
85.9884,2019-11-11,86.1858,85.0298,85.1896,453000
85.9884,2019-11-12,86.308,85.6689,86.1294,735400
