close,date,high,low,open,volume
32.43,2019-08-12,34.65,32.08,34.16,106936000
32.11,2019-08-13,33.14,31.72,32.36,102009700
30.24,2019-08-14,31.05,29.51,31.0,127521500
29.67,2019-08-15,30.73,29.21,30.63,71674400
31.18,2019-08-16,31.48,30.21,30.31,70469800
31.48,2019-08-19,32.19,31.42,32.0,67596900
30.72,2019-08-20,31.31,30.45,30.94,47924000
31.7,2019-08-21,31.74,30.84,31.05,41441500
31.9,2019-08-22,31.92,30.98,31.76,47667900
29.54,2019-08-23,31.83,29.4,31.3,83681100
30.28,2019-08-26,30.72,29.94,30.34,50612500
30.2,2019-08-27,30.89,29.6,30.6,53229200
30.78,2019-08-28,31.18,29.7,29.92,55835900
31.45,2019-08-29,31.83,31.33,31.47,44422800
31.45,2019-08-30,31.87,31.13,31.6,40307000
30.9,2019-09-03,31.14,30.68,30.83,38029300
30.95,2019-09-04,31.83,30.85,31.32,46614600
31.5,2019-09-05,32.05,31.12,31.79,57861200
30.56,2019-09-06,31.51,30.48,31.5,51673000
30.5,2019-09-09,31.18,30.24,30.93,54413200
30.23,2019-09-10,30.38,29.77,30.22,48604800
29.76,2019-09-11,30.43,29.51,30.38,50631700
30.21,2019-09-12,30.84,29.95,30.08,53618300
30.69,2019-09-13,30.85,29.95,30.27,47758800
30.83,2019-09-16,31.15,30.26,30.37,52248500
30.99,2019-09-17,31.32,30.74,31.07,35011700
30.42,2019-09-18,30.89,29.88,30.75,47027500
30.29,2019-09-19,30.96,30.14,30.57,41603000
30.05,2019-09-20,30.47,29.65,30.36,79957400
30.64,2019-09-23,30.8,30.07,30.12,44366800
29.52,2019-09-24,30.75,29.29,30.54,72963000
29.54,2019-09-25,29.65,28.55,29.48,58234800
29.47,2019-09-26,29.77,29.0,29.67,40745400
28.72,2019-09-27,29.77,28.35,29.17,54091100
28.99,2019-09-30,29.05,28.36,28.89,37295600
28.76,2019-10-01,29.54,28.64,29.05,37081800
28.31,2019-10-02,28.85,28.03,28.5,43640700
28.68,2019-10-03,28.78,27.43,28.28,56325200
29.01,2019-10-04,29.06,28.28,28.83,34446700
28.93,2019-10-07,29.63,28.84,28.9,39337200
28.23,2019-10-08,28.64,27.92,28.55,44265700
28.46,2019-10-09,28.95,28.35,28.8,35661500
28.38,2019-10-10,28.89,28.0,28.52,40660100
29.75,2019-10-11,30.2,28.81,28.83,66256900
30.53,2019-10-14,30.61,29.38,29.71,44473700
30.72,2019-10-15,30.92,30.17,30.7,41600700
30.81,2019-10-16,31.41,30.53,30.6,42804400
31.14,2019-10-17,31.4,30.86,31.3,36884400
30.97,2019-10-18,31.33,30.29,31.06,39681700
32.03,2019-10-21,32.26,31.41,31.5,52182800
31.51,2019-10-22,32.15,31.5,32.06,36185200
31.36,2019-10-23,31.65,30.83,31.09,26582200
31.72,2019-10-24,31.86,31.34,31.58,27808000
32.71,2019-10-25,32.86,31.83,31.9,45368800
33.69,2019-10-28,33.91,33.15,33.16,51223600
33.03,2019-10-29,33.9,32.7,33.73,78700100
33.13,2019-10-30,33.34,32.03,32.93,78228800
33.93,2019-10-31,34.34,32.82,32.98,67881600
34.89,2019-11-01,35.0,34.1,34.37,64238600
36.29,2019-11-04,36.45,34.76,35.19,83343800
36.15,2019-11-05,37.18,35.98,36.56,84848600
35.93,2019-11-06,36.48,35.52,36.06,51675100
36.28,2019-11-07,36.99,36.03,36.52,54350200
36.29,2019-11-08,36.58,36.0,36.06,39353900
36.31,2019-11-11,36.66,35.58,35.96,43511100
36.71,2019-11-12,37.13,36.4,36.43,58664500
