close,date,high,low,open,volume
82.2451,2019-08-12,82.7189,81.6648,82.071,751100
83.2606,2019-08-13,84.5082,81.8195,82.1193,907200
80.5913,2019-08-14,82.0903,80.3398,81.8872,1178700
81.5584,2019-08-15,81.8389,80.3978,80.6976,1460300
82.835,2019-08-16,83.1928,81.8872,82.0516,1261500
83.8505,2019-08-19,84.3534,83.5023,83.8602,982000
83.3766,2019-08-20,84.247,83.1735,83.8795,1013200
83.4927,2019-08-21,84.2954,83.1735,84.2954,814400
82.9511,2019-08-22,83.9956,82.4772,83.8215,718700
80.8718,2019-08-23,82.8641,80.4946,82.4869,1262200
80.2334,2019-08-26,81.7228,79.9433,81.3843,846600
80.9781,2019-08-27,81.3553,80.3011,80.9104,1106700
81.3456,2019-08-28,81.481,80.127,80.4849,840000
83.2799,2019-08-29,83.512,82.1,82.2741,640700
83.1058,2019-08-30,84.305,82.6416,84.0246,1052000
80.6396,2019-09-03,82.7189,80.04,82.2741,905400
82.3708,2019-09-04,82.4385,81.2586,81.6068,1284000
85.4269,2019-09-05,85.485,83.4346,83.4346,1922200
86.336,2019-09-06,86.6262,85.3689,85.8234,1685400
86.8196,2019-09-09,87.042,86.3941,86.8486,775500
85.4946,2019-09-10,87.042,84.837,87.042,1278400
85.2045,2019-09-11,85.3883,84.102,85.3883,1274700
86.868,2019-09-12,87.1581,84.837,85.63,2001000
87.856,2019-09-13,88.2144,87.0326,87.4782,773900
88.011,2019-09-16,88.1659,87.362,87.4492,1480700
87.5557,2019-09-17,87.8947,87.1973,87.7494,1043100
87.1973,2019-09-18,87.391,86.0252,87.0714,793700
87.3813,2019-09-19,87.9528,86.9261,87.1876,1040100
87.0617,2019-09-20,88.2919,86.3643,87.8463,2180300
86.6452,2019-09-23,87.2554,86.0155,86.5677,1041600
87.0617,2019-09-24,88.1853,86.5677,86.9261,1795500
87.6719,2019-09-25,87.8366,85.8703,86.6936,778200
87.3426,2019-09-26,87.856,87.0617,87.6041,763100
88.505,2019-09-27,88.9893,87.5944,88.1466,1380400
88.9408,2019-09-30,89.1055,87.9722,88.3306,1128400
86.0156,2019-10-01,89.9482,85.7831,89.3477,2164300
83.594,2019-10-02,84.9113,82.5091,84.611,1492100
84.6498,2019-10-03,84.6788,82.5187,83.3033,791500
86.0446,2019-10-04,86.1124,84.5722,84.9016,724700
85.2406,2019-10-07,86.2383,84.8726,85.8993,837600
83.284,2019-10-08,84.3882,83.2646,84.3882,1029900
84.2042,2019-10-09,84.582,83.5649,84.0008,861000
85.1922,2019-10-10,85.5409,84.0105,84.1461,675900
85.7346,2019-10-11,87.2457,85.6475,86.0737,1214600
85.5894,2019-10-14,85.9284,84.9307,85.1922,688800
86.2674,2019-10-15,86.9261,85.3472,85.8412,714700
85.7637,2019-10-16,86.5192,85.4247,86.0446,666600
85.7346,2019-10-17,87.5363,85.7056,86.4418,779200
85.5797,2019-10-18,86.0834,85.2987,85.7056,1299700
85.4634,2019-10-21,86.5289,85.2697,86.0349,2047900
85.6087,2019-10-22,86.403,85.1244,85.5119,1883200
86.2093,2019-10-23,86.2287,85.2891,85.7056,928500
86.3255,2019-10-24,86.7033,85.909,86.558,406700
87.1392,2019-10-25,87.9141,86.0543,86.4514,898900
87.5654,2019-10-28,88.3403,87.5557,87.6429,1155200
88.7568,2019-10-29,89.3961,87.1392,87.1392,1444000
88.4468,2019-10-30,88.7568,87.6138,88.7568,1080400
88.7762,2019-10-31,91.0525,88.1078,90.8588,1998500
91.2462,2019-11-01,91.2462,88.9699,89.5802,1109500
92.6217,2019-11-04,92.8154,91.4884,91.7693,1758600
93.2319,2019-11-05,93.8325,92.5152,92.5248,1624400
93.3482,2019-11-06,93.4547,92.4667,93.4257,1198700
93.1835,2019-11-07,94.249,93.0285,94.094,1032200
93.5128,2019-11-08,93.5419,92.5539,92.8445,606100
93.3385,2019-11-11,93.4644,92.6992,92.6992,431000
93.2319,2019-11-12,94.0262,93.1448,93.5419,1456200
93.0382,2019-11-13,93.5903,92.3408,92.5829,954300
93.9584,2019-11-14,94.4621,92.7864,92.8058,1113800
95.0917,2019-11-15,95.1692,94.2781,94.3362,1325400
