close,date,high,low,open,volume
114.205,2019-08-12,117.818,113.932,117.682,1636900
117.154,2019-08-13,118.055,113.904,113.932,2162700
111.402,2019-08-14,114.633,111.229,113.977,1534300
111.72,2019-08-15,113.404,110.646,112.421,1351100
114.987,2019-08-16,115.588,112.84,112.84,935700
116.526,2019-08-19,117.554,116.271,117.245,1051400
114.997,2019-08-20,116.471,113.586,115.506,698100
116.453,2019-08-21,117.117,115.788,116.535,760600
117.026,2019-08-22,117.891,116.134,117.399,729900
113.304,2019-08-23,117.563,112.694,115.97,1136200
114.815,2019-08-26,115.279,113.577,114.942,1272000
113.986,2019-08-27,116.116,112.949,115.779,1356500
114.542,2019-08-28,114.96,112.812,112.84,839500
116.89,2019-08-29,117.618,116.052,116.052,805000
117.39,2019-08-30,118.346,116.298,118.146,668400
115.77,2019-09-03,117.172,114.551,115.87,1011000
117.654,2019-09-04,117.973,116.671,117.299,948800
121.422,2019-09-05,122.751,119.083,119.211,1046600
122.642,2019-09-06,123.142,120.457,121.295,1060800
125.481,2019-09-09,126.392,123.452,124.144,1406300
131.634,2019-09-10,131.634,126.537,126.646,1937300
132.49,2019-09-11,132.644,129.35,131.661,1214300
133.227,2019-09-12,133.919,130.979,131.525,969700
134.182,2019-09-13,135.894,133.891,134.92,1099600
134.182,2019-09-16,134.874,131.889,132.972,1206200
132.963,2019-09-17,134.019,131.661,133.227,845100
134.283,2019-09-18,134.601,131.115,132.053,1239700
134.055,2019-09-19,136.085,133.627,134.101,1220700
132.681,2019-09-20,135.247,132.253,134.301,1557400
134.055,2019-09-23,134.465,130.396,130.915,1342000
131.88,2019-09-24,135.02,130.542,134.556,1230600
132.399,2019-09-25,132.781,130.214,131.47,825400
132.99,2019-09-26,133.718,131.625,132.126,635200
134.283,2019-09-27,135.074,133.609,134.428,906500
133.882,2019-09-30,135.229,133.118,135.229,924000
128.094,2019-10-01,134.556,127.338,134.556,1397300
123.179,2019-10-02,126.346,122.997,126.346,1054100
123.024,2019-10-03,123.261,119.493,122.323,1221500
123.952,2019-10-04,124.344,122.724,123.27,1040200
122.624,2019-10-07,124.253,122.587,123.024,727900
