close,date,high,low,open,volume
56.1175,2019-08-12,56.8445,55.7503,56.7575,2700000
57.705,2019-08-13,58.4975,55.75,56.12,3229600
54.8575,2019-08-14,56.7425,54.5875,56.5175,4556800
54.1725,2019-08-15,55.0,53.5125,54.7825,4466800
55.295,2019-08-16,55.6425,54.735,54.75,3077600
55.8675,2019-08-19,56.725,55.73,56.5,2651600
54.7975,2019-08-20,55.825,54.75,55.5775,2206000
56.635,2019-08-21,56.75,55.2525,55.5825,2948000
56.82,2019-08-22,57.25,56.4675,56.965,2629600
55.85,2019-08-23,57.346,55.64,56.565,3124800
55.8,2019-08-26,56.705,55.1825,56.495,1717200
55.945,2019-08-27,56.2375,55.18,56.0925,2082400
55.62,2019-08-28,56.0625,54.8525,55.3875,1985600
56.8525,2019-08-29,57.4725,56.1325,56.44,1856000
56.655,2019-08-30,57.03,55.9455,56.75,2180000
56.0725,2019-09-03,57.125,55.5267,56.475,1783600
56.5575,2019-09-04,56.985,56.2775,56.4225,2376000
58.845,2019-09-05,59.105,57.2308,57.3525,2951600
58.925,2019-09-06,59.316,58.5025,59.0,2234400
57.7825,2019-09-09,59.6268,56.9575,59.34,2882000
59.485,2019-09-10,59.5,56.865,57.4475,2815200
61.7025,2019-09-11,61.765,59.5,59.75,3586000
62.485,2019-09-12,62.8475,61.88,61.9,4006000
60.94,2019-09-13,62.5,60.82,62.3125,2428000
61.0475,2019-09-16,61.5233,60.205,60.3975,1360400
61.1125,2019-09-17,61.495,60.5025,60.69,2482000
61.65,2019-09-18,61.8525,60.885,61.475,2837600
61.0325,2019-09-19,62.9637,60.8625,61.68,2441600
60.015,2019-09-20,61.4625,59.8625,61.37,3108000
60.1875,2019-09-23,60.7875,59.635,60.02,2356800
59.51,2019-09-24,60.82,58.9297,60.81,2428800
60.39,2019-09-25,60.5725,58.2575,59.33,1764400
61.0025,2019-09-26,61.18,59.4575,60.085,1511600
60.695,2019-09-27,61.93,60.1825,61.25,1668800
59.73,2019-09-30,60.76,59.595,60.695,2980000
57.5875,2019-10-01,60.3725,57.375,60.0675,2893200
57.0825,2019-10-02,57.1725,55.5887,56.87,2356800
56.085,2019-10-03,56.085,53.815,55.23,3693200
57.1425,2019-10-04,57.2275,56.045,56.0975,1321200
57.735,2019-10-07,58.1375,57.3675,57.5125,1422000
57.275,2019-10-08,57.8525,56.2767,57.52,1774000
57.5075,2019-10-09,57.98,56.8775,57.7525,1851600
56.93,2019-10-10,57.2175,56.375,57.14,2750000
59.11,2019-10-11,59.685,57.689,58.18,2228400
58.6925,2019-10-14,59.236,58.3275,59.0925,1285600
60.2425,2019-10-15,60.895,58.855,58.9775,1972400
59.77,2019-10-16,59.9975,58.8975,59.6925,1782800
60.3775,2019-10-17,60.4425,59.53,60.0525,1578800
59.8575,2019-10-18,60.2808,59.275,59.905,1434000
60.96,2019-10-21,61.5425,60.3075,60.5675,1854000
60.375,2019-10-22,61.53,59.985,61.39,1887600
61.6525,2019-10-23,61.6955,60.0,60.465,1490800
59.83,2019-10-24,61.6,58.6738,61.5025,3250000
61.09,2019-10-25,61.315,60.0025,60.65,2837200
62.225,2019-10-28,62.935,61.4787,61.625,2689200
61.49,2019-10-29,62.3825,61.3575,62.0,1436400
61.5675,2019-10-30,61.975,60.7775,61.5,1958400
61.1425,2019-10-31,61.95,60.5905,61.95,5927200
46.325,2019-11-01,47.335,43.3275,43.415,41914400
47.8175,2019-11-04,48.1418,46.75,46.9025,10387200
47.195,2019-11-05,48.1225,46.0625,48.04,7419600
47.6075,2019-11-06,48.195,47.1,47.475,5228000
48.61,2019-11-07,49.2475,47.965,48.0,5210400
48.1525,2019-11-08,48.7325,48.0008,48.715,3235200
