close,date,high,low,open,volume
178.788,2019-08-12,181.495,178.155,180.497,516700
183.329,2019-08-13,183.626,177.78,178.721,886700
179.662,2019-08-14,183.022,179.383,180.919,1338800
181.601,2019-08-15,182.321,178.827,179.451,861400
183.837,2019-08-16,184.586,181.294,182.657,835800
186.516,2019-08-19,187.639,184.788,184.788,696600
183.665,2019-08-20,186.785,183.454,186.036,683000
185.431,2019-08-21,186.151,184.298,185.009,651900
186.343,2019-08-22,186.929,184.049,185.738,493500
181.543,2019-08-23,186.833,180.641,185.652,783300
183.847,2019-08-26,183.914,181.313,182.801,428000
183.482,2019-08-27,185.364,182.455,184.442,675600
182.916,2019-08-28,183.118,181.505,182.858,492400
184.49,2019-08-29,186.036,183.454,184.308,526600
187.044,2019-08-30,187.668,185.729,185.844,694000
184.893,2019-09-03,186.333,183.761,185.546,720900
187.572,2019-09-04,187.639,185.373,185.642,679000
187.764,2019-09-05,190.154,187.236,189.386,628600
187.457,2019-09-06,188.954,187.341,188.148,529900
185.681,2019-09-09,188.532,184.749,188.532,661300
179.787,2019-09-10,185.441,177.876,185.441,1718000
180.833,2019-09-11,183.511,179.931,180.372,918300
182.158,2019-09-12,183.079,180.795,181.514,827800
183.233,2019-09-13,184.308,180.852,182.714,720300
183.463,2019-09-16,183.655,181.111,182.138,544600
186.727,2019-09-17,186.737,182.398,183.924,628100
186.333,2019-09-18,186.775,184.049,186.036,549400
186.439,2019-09-19,187.812,185.671,186.17,556400
185.268,2019-09-20,187.188,184.145,186.852,1759100
185.037,2019-09-23,186.074,183.569,183.982,615700
184.884,2019-09-24,187.073,183.962,185.604,962500
186.621,2019-09-25,186.948,184.154,184.817,932500
186.929,2019-09-26,187.716,185.623,187.034,713600
185.719,2019-09-27,188.1,184.414,187.62,505800
185.815,2019-09-30,186.593,185.373,185.825,607500
182.119,2019-10-01,187.476,182.071,186.794,559200
178.548,2019-10-02,181.764,177.128,180.689,809100
179.739,2019-10-03,179.988,177.156,178.548,643200
184.308,2019-10-04,184.394,180.315,180.315,497200
182.801,2019-10-07,184.164,182.071,183.271,384500
178.27,2019-10-08,181.61,178.212,181.524,654300
179.163,2019-10-09,181.236,178.078,180.564,512800
181.323,2019-10-10,182.321,178.539,179.095,646500
183.444,2019-10-11,185.009,182.666,183.31,552500
183.617,2019-10-14,184.951,182.532,183.242,357600
184.586,2019-10-15,185.623,183.905,184.682,515600
185.201,2019-10-16,185.22,182.753,183.982,513000
185.7,2019-10-17,187.255,184.913,185.613,450400
185.181,2019-10-18,186.209,184.778,185.988,858700
187.217,2019-10-21,187.245,185.21,186.362,496100
185.671,2019-10-22,188.868,183.252,186.756,699300
183.77,2019-10-23,186.602,182.628,185.796,756200
183.674,2019-10-24,184.366,182.513,184.049,1288000
181.092,2019-10-25,186.18,180.535,186.18,1388000
180.267,2019-10-28,182.369,180.132,181.85,821700
181.015,2019-10-29,184.548,180.084,180.439,2497300
186.852,2019-10-30,187.025,180.065,181.639,803300
185.842,2019-10-31,188.42,184.408,185.697,804300
188.43,2019-11-01,189.007,186.438,187.131,804600
187.275,2019-11-04,189.767,187.054,189.555,782400
185.813,2019-11-05,188.343,184.716,187.41,1138200
187.362,2019-11-06,187.468,185.12,185.572,963400
187.035,2019-11-07,188.401,186.169,188.401,752800
187.198,2019-11-08,187.208,183.965,185.803,806500
187.015,2019-11-11,187.506,185.226,185.466,596700
187.612,2019-11-12,188.083,186.063,186.813,617800
188.997,2019-11-13,189.757,186.553,186.794,872300
190.835,2019-11-14,191.268,187.833,188.805,856100
191.181,2019-11-15,192.191,189.642,191.46,1613300
190.402,2019-11-18,191.345,189.209,189.526,1195300
192.057,2019-11-19,193.384,190.508,191.249,1193500
193.894,2019-11-20,194.135,191.46,191.816,811600
191.268,2019-11-21,193.548,191.037,193.365,868300
192.018,2019-11-22,192.124,190.335,191.47,588700
192.884,2019-11-25,194.347,192.124,192.422,700800
195.53,2019-11-26,196.271,192.653,193.057,1155100
196.531,2019-11-27,198.07,194.693,195.482,668700
195.896,2019-11-29,196.752,194.741,195.742,415900
193.962,2019-12-02,196.386,193.596,196.386,552900
192.413,2019-12-03,193.558,191.075,193.038,509500
194.549,2019-12-04,194.606,191.98,192.413,502700
195.742,2019-12-05,196.29,193.009,195.222,1175400
198.185,2019-12-06,198.945,196.367,197.233,753800
197.724,2019-12-09,198.436,196.406,197.887,600900
197.425,2019-12-10,198.108,196.261,197.483,436700
197.396,2019-12-11,198.378,196.482,197.579,473500
198.08,2019-12-12,198.262,196.511,197.021,772800
198.339,2019-12-13,198.734,195.155,196.915,1186500
199.167,2019-12-16,200.119,197.406,199.532,742000
199.734,2019-12-17,200.418,198.849,199.378,1372800
198.224,2019-12-18,200.273,197.502,200.09,1334700
201.784,2019-12-19,201.87,198.474,199.754,755000
201.976,2019-12-20,204.593,201.014,203.554,1547500
199.927,2019-12-23,202.832,199.398,202.832,725900
199.831,2019-12-24,200.09,198.397,199.908,275900
200.071,2019-12-26,200.437,199.08,200.167,628500
199.648,2019-12-27,200.466,197.637,200.398,1712300
199.773,2019-12-30,200.466,198.166,200.09,541100
200.398,2019-12-31,200.514,199.157,199.725,508900
200.879,2020-01-02,201.928,200.013,201.274,830100
200.09,2020-01-03,200.995,199.167,199.167,501700
200.668,2020-01-06,200.668,198.936,199.378,740600
198.965,2020-01-07,200.61,197.685,197.685,495500
199.783,2020-01-08,201.178,198.676,199.128,691700
201.178,2020-01-09,201.601,200.215,200.706,528900
200.177,2020-01-10,201.88,199.696,201.447,448400
201.149,2020-01-13,201.524,199.686,200.417,547100
199.783,2020-01-14,201.312,198.907,200.697,606500
