close,date,high,low,open,volume
115.574,2019-08-12,117.215,115.435,116.544,2918000
117.784,2019-08-13,117.952,114.232,115.491,3175700
114.362,2019-08-14,116.861,113.877,115.947,5626300
114.111,2019-08-15,114.689,112.954,114.362,3031700
116.208,2019-08-16,116.32,114.4,115.155,2343400
115.994,2019-08-19,117.626,115.938,117.579,3286700
113.215,2019-08-20,115.416,113.141,115.276,3641600
114.222,2019-08-21,114.745,113.747,114.222,2948300
114.008,2019-08-22,115.351,113.542,114.978,2322100
109.803,2019-08-23,113.803,109.15,113.756,4800400
110.521,2019-08-26,110.903,109.448,110.334,3170600
109.793,2019-08-27,111.276,108.954,111.043,3145800
111.043,2019-08-28,111.248,109.066,109.122,2327400
112.581,2019-08-29,113.01,111.854,112.32,1901300
112.236,2019-08-30,113.439,111.723,113.262,2366200
109.654,2019-09-03,112.152,109.579,111.761,3198700
110.399,2019-09-04,110.707,109.84,110.418,3746900
112.516,2019-09-05,113.411,111.425,111.425,5261100
112.068,2019-09-06,113.001,111.891,112.954,4552400
111.817,2019-09-09,113.206,111.444,113.02,5336000
109.383,2019-09-10,111.528,108.441,111.518,6196100
110.026,2019-09-11,110.12,108.861,109.206,3674400
110.978,2019-09-12,112.292,110.754,110.959,3733500
111.145,2019-09-13,111.863,110.297,111.183,3941100
109.691,2019-09-16,110.437,108.796,110.157,4280600
111.006,2019-09-17,111.08,109.56,109.933,3054700
110.716,2019-09-18,110.772,109.532,110.577,2844500
109.831,2019-09-19,111.444,109.654,110.595,1975800
108.908,2019-09-20,110.25,108.507,109.868,5301500
110.25,2019-09-23,110.418,108.255,108.497,5089400
110.185,2019-09-24,112.078,109.579,110.856,5128400
111.071,2019-09-25,111.369,109.15,109.896,2742900
110.875,2019-09-26,111.919,110.81,111.248,3411200
110.577,2019-09-27,111.537,110.008,111.08,2909200
110.288,2019-09-30,111.183,110.157,111.006,2345800
108.814,2019-10-01,111.425,108.73,110.679,2841300
105.234,2019-10-02,107.984,105.131,107.938,4908800
105.346,2019-10-03,105.73,103.951,105.019,3529300
107.087,2019-10-04,107.199,105.393,105.449,2728200
106.376,2019-10-07,107.312,106.329,106.619,2556000
105.337,2019-10-08,106.376,104.878,105.608,3757300
106.628,2019-10-09,107.424,105.983,106.001,2365600
107.658,2019-10-10,108.379,106.638,107.461,2384300
108.95,2019-10-11,110.045,108.753,109.268,2860400
108.94,2019-10-14,109.511,108.519,108.706,1864400
110.064,2019-10-15,110.625,109.259,109.539,2379700
109.895,2019-10-16,110.438,109.577,110.101,2136700
111.477,2019-10-17,111.692,110.41,110.457,3005500
109.287,2019-10-18,112.301,109.202,112.067,6188500
111.43,2019-10-21,111.739,109.97,110.026,4259500
111.018,2019-10-22,111.711,110.719,111.074,3912100
109.034,2019-10-23,111.599,108.117,110.84,3921100
108.959,2019-10-24,109.418,108.706,108.987,2551300
110.691,2019-10-25,110.925,108.828,108.912,2325000
110.99,2019-10-28,111.664,110.513,111.046,2552700
109.904,2019-10-29,111.224,109.586,110.532,2756300
110.513,2019-10-30,110.606,109.38,109.923,2264400
109.773,2019-10-31,110.644,109.408,110.251,2507400
111.514,2019-11-01,111.804,110.606,110.831,2036600
111.964,2019-11-04,112.787,111.393,111.964,1956400
111.168,2019-11-05,112.282,110.223,112.17,2630000
112.029,2019-11-06,112.057,111.28,111.28,2420700
113.517,2019-11-07,114.594,112.413,112.572,2845000
113.695,2019-11-08,114.013,113.152,113.265,1984600
113.162,2019-11-11,114.013,112.797,113.031,1704100
113.152,2019-11-12,113.471,112.703,113.134,2012400
112.563,2019-11-13,113.227,112.441,112.572,1807900
113.19,2019-11-14,113.237,112.132,112.319,1990600
113.031,2019-11-15,113.564,112.684,113.237,2341500
112.001,2019-11-18,113.115,111.758,112.843,2617900
112.319,2019-11-19,112.74,112.188,112.329,1891000
111.664,2019-11-20,112.535,111.318,112.16,2544100
111.196,2019-11-21,111.823,110.906,111.655,2783800
111.439,2019-11-22,111.655,110.831,111.58,1629700
112.881,2019-11-25,112.881,111.514,111.514,2285400
112.123,2019-11-26,113.293,111.945,113.171,4596200
112.628,2019-11-27,112.656,111.711,112.319,2629700
112.432,2019-11-29,113.152,112.113,112.385,1961500
