close,date,high,low,open,volume
329.051,2019-08-12,332.085,327.499,329.782,2683400
328.971,2019-08-13,333.458,326.639,327.944,3689700
316.677,2019-08-14,325.69,316.667,324.514,5110400
324.168,2019-08-15,324.237,315.817,319.227,4721800
326.59,2019-08-16,327.291,322.666,326.362,3866600
329.881,2019-08-19,331.986,327.529,330.276,2335600
327.874,2019-08-20,329.604,325.038,328.586,2039000
336.018,2019-08-21,338.578,329.317,331.561,3265600
350.27,2019-08-22,352.276,337.026,338.43,8320900
351.851,2019-08-23,365.371,350.21,351.199,11518700
354.846,2019-08-26,363.049,352.721,360.776,4661100
350.586,2019-08-27,357.089,349.489,355.221,3740300
355.765,2019-08-28,355.982,347.077,349.183,2402000
358.502,2019-08-29,361.764,355.962,359.599,2717500
359.837,2019-08-30,362.09,358.166,360.113,3147000
350.28,2019-09-03,351.169,346.514,349.973,4272200
352.365,2019-09-04,353.847,350.289,353.502,2737100
356.091,2019-09-05,360.449,354.935,355.933,3643300
358.759,2019-09-06,360.647,354.925,357.386,3022600
354.589,2019-09-09,356.714,350.586,353.798,4183300
365.174,2019-09-10,365.174,354.361,354.806,4547200
378.466,2019-09-11,379.02,363.701,364.432,8437000
371.242,2019-09-12,379.514,369.937,379.227,4495300
375.324,2019-09-13,377.29,372.645,372.981,3628900
374.424,2019-09-16,377.172,370.619,373.723,3055500
379.712,2019-09-17,380.809,373.386,373.989,3269500
381.896,2019-09-18,382.222,375.363,378.773,4186400
379.949,2019-09-19,383.981,378.427,381.629,2928800
374.958,2019-09-20,380.236,373.505,379.623,6643000
372.625,2019-09-23,375.66,370.046,372.21,2674900
377.191,2019-09-24,377.429,370.926,375.106,3533300
381.688,2019-09-25,386.432,378.625,380.413,4705500
382.37,2019-09-26,383.695,378.852,382.578,2520400
378.387,2019-09-27,385.138,376.855,383.655,2730800
376.025,2019-09-30,379.287,372.289,378.526,3183300
370.56,2019-10-01,378.377,370.254,377.241,2943800
363.068,2019-10-02,368.633,359.52,367.506,3698300
367.723,2019-10-03,367.901,358.987,361.932,2623900
371.311,2019-10-04,371.736,367.378,367.901,2008400
372.141,2019-10-07,373.732,368.702,369.69,1931800
369.73,2019-10-08,372.932,364.333,366.715,4030200
370.58,2019-10-09,373.446,369.137,371.608,2774100
366.666,2019-10-10,370.165,366.004,369.334,2723700
370.54,2019-10-11,372.537,365.757,368.643,3935400
368.82,2019-10-14,374.276,368.326,369.878,2124500
366.626,2019-10-15,369.166,366.201,368.227,2836600
368.079,2019-10-16,373.011,364.926,365.895,3657100
364.749,2019-10-17,369.433,364.749,368.069,2397100
339.981,2019-10-18,365.035,339.981,364.689,13544300
327.192,2019-10-21,330.335,320.61,329.001,15493100
333.063,2019-10-22,337.491,330.553,332.144,7949700
336.522,2019-10-23,346.702,332.569,340.97,10960800
340.525,2019-10-24,341.701,333.824,337.708,5382700
335.86,2019-10-25,339.359,334.941,338.914,4058000
336.898,2019-10-28,340.95,335.524,337.511,3234500
344.854,2019-10-29,345.635,335.257,336.216,6113600
342.017,2019-10-30,345.911,339.26,342.581,3997600
335.939,2019-10-31,342.017,335.484,340.673,3868400
341.157,2019-11-01,341.157,335.534,336.611,3538200
346.988,2019-11-04,347.344,342.007,342.413,3703000
354.104,2019-11-05,357.386,349.064,351.08,5468900
350.052,2019-11-06,355.201,349.005,354.668,3815700
355.197,2019-11-07,357.274,352.95,354.014,2834500
348.924,2019-11-08,354.889,348.477,354.292,3218200
364.79,2019-11-11,367.563,343.516,346.976,11483400
360.734,2019-11-12,364.939,357.881,364.322,5769700
360.356,2019-11-13,364.452,358.984,359.73,3453700
365.267,2019-11-14,366.301,359.342,360.952,5339600
369.482,2019-11-15,371.271,367.116,367.812,5493100
367.275,2019-11-18,373.379,365.724,369.472,3823800
364.829,2019-11-19,372.613,359.471,371.301,6670200
368.716,2019-11-20,368.796,363.587,363.835,3774800
364.273,2019-11-21,368.567,364.094,367.563,2703800
369.144,2019-11-22,371.341,364.442,366.092,3915700
370.923,2019-11-25,372.086,367.016,370.317,3324400
371.301,2019-11-26,372.553,369.164,371.45,2859000
365.823,2019-11-27,369.631,364.631,367.772,4145000
364.014,2019-11-29,366.122,364.014,365.326,1390900
353.079,2019-12-02,365.207,353.059,364.909,4794500
349.998,2019-12-03,353.457,345.554,350.008,4683500
346.777,2019-12-04,353.189,346.757,352.602,3014200
343.635,2019-12-05,348.347,343.546,348.149,4719600
351.996,2019-12-06,352.304,345.057,345.683,2856100
349.133,2019-12-09,351.509,347.502,350.584,2844600
345.842,2019-12-10,349.322,345.395,348.079,2920900
347.93,2019-12-11,347.96,336.498,340.077,7369100
344.242,2019-12-12,348.994,338.983,346.19,5970000
339.649,2019-12-13,347.244,339.083,344.252,4526300
325.066,2019-12-16,334.241,324.499,326.587,16488200
325.066,2019-12-17,328.993,318.714,320.155,13526400
328.724,2019-12-18,333.267,326.199,326.776,7029300
331.527,2019-12-19,332.83,329.022,330.931,5492600
326.06,2019-12-20,333.516,326.06,332.641,9489400
335.554,2019-12-23,338.576,332.223,334.758,9534800
331.03,2019-12-24,337.741,330.653,337.502,4120100
327.969,2019-12-26,331.388,327.352,330.732,4593400
328.187,2019-12-27,331.677,327.223,328.247,4124000
324.47,2019-12-30,328.674,323.784,328.545,4525500
323.833,2019-12-31,324.639,321.408,323.485,4958800
331.349,2020-01-02,331.378,325.762,326.607,4544400
330.792,2020-01-03,332.909,328.346,328.674,3875900
331.766,2020-01-06,332.879,325.941,327.352,5355000
335.285,2020-01-07,342.154,328.754,332.283,9898600
329.41,2020-01-08,332.054,327.651,330.434,8239200
334.351,2020-01-09,339.709,330.086,332.969,8175600
327.969,2020-01-10,335.703,327.501,333.575,7161700
328.267,2020-01-13,332.124,328.128,330.434,5648500
330.384,2020-01-14,333.367,326.338,328.804,6945300
327.849,2020-01-15,331.14,327.74,330.384,4578300
330.036,2020-01-16,330.901,327.362,329.092,4024100
322.233,2020-01-17,330.533,321.09,330.424,11061700
311.517,2020-01-21,324.668,303.942,320.692,19318000
307.172,2020-01-22,310.99,300.93,307.988,18792600
315.91,2020-01-23,316.288,305.88,306.675,9702100
321.139,2020-01-24,324.271,310.662,320.096,17798200
314.727,2020-01-27,319.36,312.719,314.34,7468100
314.688,2020-01-28,317.471,312.143,316.169,5502200
320.115,2020-01-29,325.245,317.252,322.432,12454700
321.388,2020-01-30,323.426,315.761,318.604,6022000
316.388,2020-01-31,320.026,315.115,319.847,4999600
314.131,2020-02-03,318.843,313.018,316.865,4841800
316.06,2020-02-04,317.59,313.167,316.398,3779800
327.601,2020-02-05,327.73,317.342,318.604,6071800
339.411,2020-02-06,341.409,323.734,328.953,12845500
334.758,2020-02-07,338.725,333.705,338.357,5337800
342.631,2020-02-10,343.894,334.331,335.226,5876400
342.383,2020-02-11,346.011,340.077,345.584,5311500
345.395,2020-02-12,347.88,343.804,344.371,4421500
342.82,2020-02-13,347.89,342.63,344.32,3783100
340.49,2020-02-14,344.5,338.0,342.3,4199800
338.88,2020-02-18,339.99,336.1,338.77,2904600
338.3,2020-02-19,341.47,335.86,338.12,4935700
336.28,2020-02-20,341.24,335.39,338.29,2807500
330.38,2020-02-21,334.66,330.23,334.05,3709900
317.9,2020-02-24,321.74,316.33,320.0,6073200
304.14,2020-02-25,320.64,303.63,318.26,8052500
305.59,2020-02-26,315.22,304.06,307.0,6987300
287.76,2020-02-27,301.0,284.29,300.37,10982400
275.11,2020-02-28,282.86,269.6,278.07,15364300
289.27,2020-03-02,291.71,274.29,279.54,11012300
280.62,2020-03-03,297.44,278.08,292.0,7499300
283.12,2020-03-04,285.91,277.01,284.55,6986100
260.37,2020-03-05,276.31,259.65,275.79,14669100
262.33,2020-03-06,264.29,249.8,253.7,12861800
227.17,2020-03-09,241.48,224.37,238.0,11585500
231.01,2020-03-10,237.83,215.0,237.0,13059600
189.08,2020-03-11,226.99,187.0,222.99,28503500
154.84,2020-03-12,189.85,154.81,160.53,31734400
170.2,2020-03-13,178.28,161.38,174.97,21168500
129.61,2020-03-16,151.0,128.76,149.42,26844400
124.14,2020-03-17,134.96,101.25,132.51,54492200
101.89,2020-03-18,107.85,89.0,99.86,61943200
97.71,2020-03-19,103.57,90.35,98.8,40210600
95.01,2020-03-20,107.0,94.28,99.85,41370700
105.62,2020-03-23,114.49,93.56,98.75,46140100
127.68,2020-03-24,127.96,116.13,123.68,43683100
158.73,2020-03-25,174.77,141.0,154.9,77826000
180.55,2020-03-26,186.48,167.18,172.29,63267300
162.0,2020-03-27,172.92,155.54,172.0,47880200
152.28,2020-03-30,153.81,140.68,153.81,51052500
149.14,2020-03-31,160.64,149.0,155.0,29954000
130.7,2020-04-01,144.38,130.0,138.91,41899700
123.27,2020-04-02,136.68,120.02,128.51,42372400
124.52,2020-04-03,131.29,122.5,125.0,37347400
148.77,2020-04-06,149.69,129.21,133.7,51085500
141.58,2020-04-07,164.8,140.26,162.0,56699100
146.87,2020-04-08,154.0,144.55,147.51,41351000
151.84,2020-04-09,157.98,150.09,154.71,37874200
147.33,2020-04-13,156.0,146.26,155.5,26034100
141.0,2020-04-14,152.4,140.0,150.51,33970500
145.98,2020-04-15,148.69,132.9,139.0,39297600
134.24,2020-04-16,143.24,134.0,141.46,41364800
154.0,2020-04-17,154.0,145.0,149.41,52389400
143.61,2020-04-20,151.63,142.5,147.21,34983800
136.33,2020-04-21,141.9,135.45,139.01,27043800
134.97,2020-04-22,140.82,134.52,140.42,22734500
137.74,2020-04-23,142.38,136.05,136.5,25936400
128.98,2020-04-24,137.57,128.33,137.0,35884700
128.68,2020-04-27,131.2,123.83,129.97,34563000
131.3,2020-04-28,137.2,127.74,133.88,37806900
139.0,2020-04-29,147.18,135.25,138.08,60454400
141.02,2020-04-30,144.65,132.31,137.67,37876600
133.37,2020-05-01,143.71,132.84,143.23,36613100
131.46,2020-05-04,131.5,124.35,127.12,30708900
125.4,2020-05-05,133.8,125.0,132.88,30621000
121.86,2020-05-06,126.86,121.37,125.8,29627700
128.65,2020-05-07,130.71,122.36,122.81,29525000
133.44,2020-05-08,135.55,131.56,132.57,22695700
128.91,2020-05-11,131.0,127.95,130.92,20055400
125.22,2020-05-12,133.12,125.2,129.72,22579000
121.5,2020-05-13,125.07,119.33,125.0,26002000
122.52,2020-05-14,122.61,113.89,118.98,37499200
120.0,2020-05-15,121.89,117.78,118.33,26756800
135.44,2020-05-18,136.2,125.8,126.18,43781800
130.44,2020-05-19,137.04,130.28,137.0,32373000
133.32,2020-05-20,135.45,131.31,133.27,21835500
139.0,2020-05-21,144.24,136.15,137.0,48263900
137.53,2020-05-22,141.08,135.78,141.01,21098800
144.73,2020-05-26,145.91,142.61,145.21,30338300
149.52,2020-05-27,149.65,141.24,149.14,32799900
149.82,2020-05-28,156.7,149.05,156.1,34734300
145.85,2020-05-29,152.0,142.94,145.3,33853900
151.39,2020-06-01,153.55,144.55,145.45,27127300
153.31,2020-06-02,155.85,151.81,154.0,24780500
173.16,2020-06-03,173.78,155.49,157.1,66486400
184.3,2020-06-04,188.6,177.4,181.28,67155600
205.43,2020-06-05,218.79,197.36,205.0,99846000
230.5,2020-06-08,234.2,218.93,222.94,80902800
216.74,2020-06-09,227.0,213.08,222.14,66688700
203.41,2020-06-10,213.03,197.4,211.17,90384900
170.0,2020-06-11,192.18,166.01,179.35,103212800
189.51,2020-06-12,191.3,176.26,187.15,89550100
190.94,2020-06-15,193.23,175.89,177.18,78612900
197.77,2020-06-16,208.3,192.6,207.15,76496900
192.54,2020-06-17,196.43,191.25,194.52,53085400
192.29,2020-06-18,198.03,187.2,188.24,60849900
187.02,2020-06-19,197.96,184.57,197.9,67262100
188.52,2020-06-22,188.7,181.9,184.56,53901500
187.88,2020-06-23,190.12,183.55,189.3,50281300
176.69,2020-06-24,185.2,176.07,183.61,56534800
174.88,2020-06-25,177.5,169.59,169.87,57335700
170.01,2020-06-26,173.85,167.6,173.42,50644400
194.49,2020-06-29,194.5,176.27,181.0,78499900
183.3,2020-06-30,188.49,180.38,188.02,65493100
180.32,2020-07-01,190.61,180.04,185.88,49036700
180.81,2020-07-02,187.79,180.43,185.58,41792300
187.91,2020-07-06,189.36,181.6,184.52,49471700
178.88,2020-07-07,185.07,178.65,185.07,37105300
180.08,2020-07-08,181.58,175.51,179.05,38116200
173.28,2020-07-09,180.75,172.81,179.67,33514500
178.44,2020-07-10,179.33,169.75,171.7,40955600
175.65,2020-07-13,183.25,174.36,180.2,43364700
179.96,2020-07-14,181.3,173.41,177.0,39256200
187.94,2020-07-15,189.53,181.25,185.54,48044800
178.7,2020-07-16,184.59,177.34,184.32,35050000
175.66,2020-07-17,181.1,175.55,178.41,26170500
174.42,2020-07-20,176.57,171.62,175.13,25294300
178.63,2020-07-21,182.65,176.75,178.43,40740500
179.79,2020-07-22,182.95,175.39,176.43,29790300
176.45,2020-07-23,182.5,175.42,178.0,29587200
173.76,2020-07-24,181.1,173.6,175.68,28548000
170.21,2020-07-27,174.14,169.0,173.19,30243800
170.84,2020-07-28,173.74,168.23,168.5,25349100
166.01,2020-07-29,173.01,162.25,172.9,51709600
161.95,2020-07-30,164.55,160.64,162.88,29140000
158.0,2020-07-31,163.4,156.26,161.55,30263100
162.27,2020-08-03,163.58,153.41,156.51,38520500
165.07,2020-08-04,167.4,163.01,164.63,30853500
174.28,2020-08-05,174.98,166.4,167.6,46189200
172.2,2020-08-06,175.57,170.6,172.8,32921600
170.02,2020-08-07,171.86,168.7,171.5,19318000
179.41,2020-08-10,179.79,171.33,171.36,35857700
180.13,2020-08-11,189.97,179.53,184.51,61036600
175.44,2020-08-12,184.15,173.19,184.01,40674400
