close,date,high,low,open,volume
230.96,2019-08-12,235.53,229.45,234.09,1233700
233.23,2019-08-13,234.76,230.2,230.83,1067400
226.72,2019-08-14,230.57,226.0,230.0,1390900
227.63,2019-08-15,228.66,226.53,227.08,1034400
231.68,2019-08-16,232.87,227.44,229.39,953900
235.72,2019-08-19,236.64,233.18,233.37,1021800
231.28,2019-08-20,235.55,230.75,235.09,843600
233.18,2019-08-21,233.78,231.5,232.8,807500
232.06,2019-08-22,233.6,229.53,233.42,732900
225.85,2019-08-23,231.87,225.1,231.26,1288100
223.76,2019-08-26,227.99,222.95,227.32,983600
220.79,2019-08-27,225.64,219.71,225.0,1564000
221.07,2019-08-28,223.48,219.0,220.55,1408200
220.16,2019-08-29,223.75,219.8,223.1,1175300
219.75,2019-08-30,221.68,217.9,220.73,1226300
217.44,2019-09-03,219.89,216.09,218.15,1385000
219.29,2019-09-04,219.39,215.78,218.75,1166200
223.96,2019-09-05,225.43,220.44,220.44,1491900
224.57,2019-09-06,227.27,222.7,224.46,1201300
230.0,2019-09-09,231.06,224.39,225.58,1651800
233.0,2019-09-10,234.8,230.18,230.25,1718900
235.96,2019-09-11,238.74,229.78,230.23,1823600
232.31,2019-09-12,236.31,226.06,236.31,1953500
236.63,2019-09-13,237.98,232.0,232.0,1689000
236.12,2019-09-16,240.5,234.82,236.17,1598400
238.7,2019-09-17,239.5,234.36,234.86,1205700
235.17,2019-09-18,239.52,233.32,239.36,1562400
235.62,2019-09-19,238.42,234.23,235.11,1237800
238.79,2019-09-20,242.21,234.3,235.43,3577300
239.96,2019-09-23,242.71,237.37,238.58,1317800
236.2,2019-09-24,241.47,235.15,240.0,1545300
235.9,2019-09-25,239.19,235.67,236.2,1148700
230.22,2019-09-26,236.86,228.8,236.61,1647200
230.22,2019-09-27,233.24,228.13,231.28,1340200
232.82,2019-09-30,235.25,229.42,230.28,1182400
227.2,2019-10-01,234.04,224.67,232.76,1805800
221.26,2019-10-02,228.35,220.61,226.56,1990800
222.5,2019-10-03,223.48,219.7,221.7,1827500
224.0,2019-10-04,225.5,222.2,223.1,1214600
226.99,2019-10-07,229.76,224.0,225.64,1572000
221.94,2019-10-08,226.1,221.56,225.16,1973700
222.13,2019-10-09,224.15,221.9,223.15,1429300
223.0,2019-10-10,224.21,221.96,222.14,1471200
223.21,2019-10-11,227.5,220.51,225.44,2388300
225.76,2019-10-14,226.38,221.84,222.5,2553900
226.06,2019-10-15,228.33,225.16,225.41,1976600
227.72,2019-10-16,229.75,225.96,226.23,1365300
225.6,2019-10-17,228.97,223.48,227.85,1776600
220.06,2019-10-18,225.49,220.01,225.49,2801700
223.51,2019-10-21,225.78,221.56,222.0,2358100
281.87,2019-10-22,318.0,279.16,310.0,21843100
278.82,2019-10-23,286.67,275.66,285.24,5522400
285.68,2019-10-24,287.04,278.01,278.21,2803200
288.04,2019-10-25,290.18,284.1,285.34,2163900
295.54,2019-10-28,295.97,283.39,283.76,2395100
297.5,2019-10-29,299.89,294.74,294.76,2391300
299.89,2019-10-30,306.92,299.02,302.51,2146500
298.71,2019-10-31,301.58,295.57,300.02,1959900
299.2,2019-11-01,303.79,298.57,299.79,1463300
293.43,2019-11-04,302.56,293.13,301.14,1576200
292.18,2019-11-05,295.09,288.82,293.75,1374600
289.0,2019-11-06,293.0,286.85,292.34,1306400
286.87,2019-11-07,290.56,285.6,289.52,1430700
293.25,2019-11-08,293.39,285.25,286.53,1477100
294.14,2019-11-11,294.92,290.52,292.48,1007700
291.4,2019-11-12,296.25,289.12,295.0,1860900
281.89,2019-11-13,290.25,280.95,290.25,1910300
275.15,2019-11-14,282.84,271.48,282.84,2354800
282.27,2019-11-15,283.95,277.11,278.25,1922200
282.62,2019-11-18,283.5,280.05,280.43,1626700
285.43,2019-11-19,290.69,280.51,282.11,2001500
285.4,2019-11-20,289.1,283.88,285.09,1409600
288.46,2019-11-21,289.18,283.76,285.35,1292400
299.08,2019-11-22,301.86,288.32,288.4,3288200
302.61,2019-11-25,307.01,300.56,301.63,2226100
302.99,2019-11-26,307.35,301.6,301.6,2417200
303.35,2019-11-27,304.0,298.68,303.61,1369900
299.81,2019-11-29,305.18,299.4,301.1,944600
292.39,2019-12-02,296.6,290.16,292.35,1822200
290.7,2019-12-03,294.65,289.8,291.78,1644900
289.52,2019-12-04,293.14,284.03,290.15,1736200
299.39,2019-12-05,309.06,275.04,291.0,5988600
300.26,2019-12-06,304.56,299.68,299.68,2261100
295.55,2019-12-09,304.32,295.46,300.27,2077000
297.2,2019-12-10,300.26,294.37,294.38,1227200
292.23,2019-12-11,299.29,292.0,296.82,1313900
293.85,2019-12-12,296.17,290.93,291.94,1951100
296.83,2019-12-13,304.0,294.89,298.0,1946100
301.4,2019-12-16,301.74,296.75,297.81,1398700
297.11,2019-12-17,301.93,296.3,301.86,1360300
296.61,2019-12-18,300.83,295.55,297.63,1790800
297.58,2019-12-19,298.77,295.01,297.27,1472400
301.05,2019-12-20,301.85,299.5,301.0,3949700
301.56,2019-12-23,305.72,300.86,302.9,1542200
304.07,2019-12-24,304.65,301.07,301.64,433700
301.79,2019-12-26,306.94,301.28,304.47,738200
300.09,2019-12-27,303.05,299.49,302.85,677100
296.01,2019-12-30,301.57,295.01,300.37,873200
296.73,2019-12-31,297.36,292.84,295.28,810100
294.24,2020-01-02,299.08,292.28,299.06,1178300
290.85,2020-01-03,292.68,290.22,290.77,700100
