close,date,high,low,open,volume
319.37,2019-08-12,324.37,317.26,322.9,123900
326.25,2019-08-13,327.71,319.23,319.23,308200
315.83,2019-08-14,325.93,315.58,320.89,332500
319.13,2019-08-15,322.08,316.62,319.48,347100
327.5,2019-08-16,329.45,316.62,322.3,164300
330.95,2019-08-19,333.47,330.13,331.65,312800
340.48,2019-08-20,344.77,332.5,336.9,218200
344.2,2019-08-21,345.5,340.75,341.42,346900
341.95,2019-08-22,344.14,338.5,342.99,93900
332.67,2019-08-23,341.7,331.18,341.05,165700
335.25,2019-08-26,336.19,331.0,333.68,172000
334.7,2019-08-27,338.18,332.01,336.48,155600
335.11,2019-08-28,337.93,332.7,333.31,167700
337.31,2019-08-29,339.36,334.95,338.31,220600
337.71,2019-08-30,340.81,336.14,339.6,100100
333.34,2019-09-03,337.3,330.21,335.72,122100
335.2,2019-09-04,338.32,332.46,336.65,161200
339.48,2019-09-05,342.19,334.88,336.35,161400
335.59,2019-09-06,340.49,334.05,337.46,250700
335.47,2019-09-09,340.28,333.23,334.79,187200
322.93,2019-09-10,334.3,321.84,333.97,241500
326.42,2019-09-11,327.97,323.21,323.21,238100
335.89,2019-09-12,339.71,321.76,321.76,197400
334.49,2019-09-13,338.98,333.88,336.01,314600
334.15,2019-09-16,336.29,331.66,333.0,108500
337.45,2019-09-17,338.57,329.46,335.02,371500
338.34,2019-09-18,339.6,335.0,337.13,191100
339.73,2019-09-19,343.98,337.68,338.98,133300
345.24,2019-09-20,347.27,342.16,342.16,415000
342.02,2019-09-23,348.39,341.96,345.73,211800
341.62,2019-09-24,347.5,339.56,344.89,209200
342.99,2019-09-25,344.01,336.59,340.68,245000
340.21,2019-09-26,344.6,336.89,343.26,114700
333.99,2019-09-27,342.23,333.05,341.58,312400
332.74,2019-09-30,337.01,332.22,333.82,127700
327.28,2019-10-01,336.4,325.59,333.55,153200
327.16,2019-10-02,328.5,323.8,326.02,310400
333.56,2019-10-03,335.04,322.11,327.62,157600
339.37,2019-10-04,339.57,334.11,334.11,173900
338.52,2019-10-07,341.4,335.76,337.44,171700
319.73,2019-10-08,335.57,319.26,333.03,307600
323.33,2019-10-09,327.13,322.84,323.0,144800
324.29,2019-10-10,326.29,322.44,322.81,315100
331.24,2019-10-11,335.53,327.54,328.11,261200
331.55,2019-10-14,334.53,330.0,332.34,320800
334.51,2019-10-15,336.01,332.82,332.82,135600
337.6,2019-10-16,338.66,333.21,334.08,298200
343.45,2019-10-17,344.45,339.12,339.9,241400
343.27,2019-10-18,345.15,341.75,343.07,149700
345.56,2019-10-21,346.86,342.0,344.44,173400
343.54,2019-10-22,348.11,342.13,345.87,136600
348.48,2019-10-23,349.99,343.57,344.26,381000
340.63,2019-10-24,349.0,339.33,349.0,218500
345.67,2019-10-25,348.67,337.27,339.43,188400
341.5,2019-10-28,347.75,341.03,345.82,135600
337.92,2019-10-29,341.88,336.65,340.73,163600
344.5,2019-10-30,344.78,337.29,338.96,248300
331.62,2019-10-31,345.77,331.09,344.14,308900
352.33,2019-11-01,358.89,327.97,329.0,488300
349.44,2019-11-04,354.73,347.03,353.1,204300
348.41,2019-11-05,351.09,346.18,348.18,266500
347.33,2019-11-06,351.09,346.64,348.51,163200
345.48,2019-11-07,350.94,344.16,349.13,121300
352.45,2019-11-08,352.91,342.83,344.38,188900
349.93,2019-11-11,354.09,349.26,351.15,143400
352.72,2019-11-12,357.61,349.62,350.21,175900
351.92,2019-11-13,355.79,350.43,351.64,176400
354.13,2019-11-14,355.2,350.15,352.53,183600
355.89,2019-11-15,357.6,354.68,355.58,136900
358.28,2019-11-18,363.0,354.23,355.06,208600
364.12,2019-11-19,365.79,358.64,359.59,122300
362.84,2019-11-20,366.03,359.53,361.82,172200
360.21,2019-11-21,364.97,357.46,364.23,226400
362.18,2019-11-22,364.94,359.29,361.03,296600
368.83,2019-11-25,370.73,363.52,363.6,221600
371.48,2019-11-26,373.56,368.23,368.23,999400
373.04,2019-11-27,374.61,371.09,372.73,118200
369.38,2019-11-29,374.35,369.26,370.92,98700
371.68,2019-12-02,372.63,368.2,369.41,143200
371.58,2019-12-03,372.59,367.81,368.57,162800
371.36,2019-12-04,374.93,369.41,371.64,192500
369.02,2019-12-05,372.22,368.33,371.21,432300
374.2,2019-12-06,376.43,371.0,373.42,195000
357.61,2019-12-09,373.65,357.4,373.65,330500
353.94,2019-12-10,357.99,339.0,357.2,528300
351.88,2019-12-11,354.07,348.53,352.98,243300
362.69,2019-12-12,364.05,353.04,355.4,265300
354.62,2019-12-13,364.73,353.89,361.9,121300
366.89,2019-12-16,368.2,354.63,355.0,407700
365.09,2019-12-17,368.24,363.46,368.24,480500
359.66,2019-12-18,367.36,358.21,365.94,237700
360.02,2019-12-19,361.41,356.08,360.3,252700
372.77,2019-12-20,373.23,361.5,362.5,385300
370.91,2019-12-23,372.29,368.55,371.36,227600
368.76,2019-12-24,372.82,367.94,372.0,122200
