close,date,high,low,open,volume
42.33,2019-08-12,43.15,42.26,43.1,3874200
42.86,2019-08-13,43.11,42.17,42.28,3449000
41.43,2019-08-14,42.52,41.41,42.43,5677000
41.87,2019-08-15,42.09,41.35,41.48,4467300
42.15,2019-08-16,42.42,41.87,42.18,3274900
42.74,2019-08-19,43.07,42.45,43.07,2755400
42.5,2019-08-20,43.2,42.47,42.74,4168900
42.55,2019-08-21,42.86,42.32,42.78,3742700
42.69,2019-08-22,42.94,42.32,42.69,3333700
41.17,2019-08-23,42.72,41.0,42.69,5308100
41.85,2019-08-26,41.87,41.28,41.53,3434800
42.22,2019-08-27,42.34,41.94,42.03,5996700
42.49,2019-08-28,42.72,41.96,42.0,4208100
42.84,2019-08-29,43.41,42.49,42.83,5804900
42.73,2019-08-30,43.23,42.5,43.03,3234400
41.67,2019-09-03,42.65,41.31,42.5,4695500
42.05,2019-09-04,42.09,41.37,42.04,3490900
42.61,2019-09-05,42.68,42.14,42.54,4867000
43.45,2019-09-06,43.84,42.63,42.95,6349400
41.74,2019-09-09,43.55,41.63,43.49,6171300
41.3,2019-09-10,41.36,39.83,41.28,10912200
42.3,2019-09-11,42.38,41.23,41.56,6370400
42.24,2019-09-12,43.05,42.2,42.67,5676800
41.81,2019-09-13,42.45,41.56,42.11,4535400
41.94,2019-09-16,42.02,41.45,41.73,3097000
42.32,2019-09-17,42.64,41.96,42.03,3935900
42.9,2019-09-18,42.94,42.28,42.42,3971300
43.06,2019-09-19,43.15,42.79,42.97,6465900
43.29,2019-09-20,43.4,42.85,43.29,7963700
43.15,2019-09-23,43.38,42.89,43.1,4025100
42.33,2019-09-24,43.65,42.05,43.45,6496200
42.2,2019-09-25,42.55,41.94,42.34,4364300
42.35,2019-09-26,42.76,42.02,42.44,5157500
40.31,2019-09-27,42.46,39.75,42.45,10846000
40.69,2019-09-30,41.06,40.22,40.41,8016300
40.24,2019-10-01,41.38,40.1,40.93,6121400
39.15,2019-10-02,39.91,38.9,39.77,8009800
39.75,2019-10-03,39.83,38.9,39.09,5459000
40.53,2019-10-04,40.72,39.89,40.04,6229600
40.35,2019-10-07,40.51,40.1,40.35,3601500
37.87,2019-10-08,40.23,37.78,40.05,19410700
38.61,2019-10-09,38.88,38.23,38.3,8593300
37.98,2019-10-10,38.57,37.65,38.29,17235800
38.23,2019-10-11,38.95,38.11,38.32,16058100
37.97,2019-10-14,38.52,37.95,38.28,5479900
38.46,2019-10-15,38.66,37.76,38.38,10241400
38.18,2019-10-16,38.4,37.87,38.22,14814100
38.17,2019-10-17,38.56,38.13,38.43,6319400
38.47,2019-10-18,38.66,38.01,38.25,10584800
38.65,2019-10-21,38.95,38.5,38.67,8590100
38.18,2019-10-22,38.94,38.09,38.9,9707000
40.09,2019-10-23,41.24,39.77,40.75,21256800
40.54,2019-10-24,40.72,39.89,40.22,10727900
40.85,2019-10-25,41.24,40.26,40.48,6549000
41.57,2019-10-28,41.68,40.81,40.85,6527800
41.75,2019-10-29,42.11,41.25,41.36,4831300
42.01,2019-10-30,42.04,41.37,41.86,4275000
41.7,2019-10-31,42.07,41.61,41.92,5321700
41.51,2019-11-01,42.42,41.41,42.05,7382400
40.98,2019-11-04,41.71,40.82,41.71,6187200
40.59,2019-11-05,40.96,40.16,40.9,5801200
40.72,2019-11-06,40.97,40.19,40.75,4296000
40.72,2019-11-07,41.03,40.33,40.76,4586100
40.51,2019-11-08,40.86,40.41,40.61,3235600
40.17,2019-11-11,40.79,40.04,40.32,5199700
41.22,2019-11-12,41.29,40.17,40.22,7076700
41.42,2019-11-13,41.55,41.01,41.28,5097400
41.57,2019-11-14,41.66,41.26,41.45,4674500
42.31,2019-11-15,42.32,41.56,41.89,7513700
42.29,2019-11-18,43.49,42.17,42.36,11969800
42.63,2019-11-19,42.73,42.07,42.36,5389200
42.61,2019-11-20,42.84,42.31,42.59,5274400
42.36,2019-11-21,42.56,41.87,42.49,3935700
41.85,2019-11-22,42.55,41.65,42.48,5655500
42.85,2019-11-25,42.89,41.99,42.1,5029900
42.83,2019-11-26,42.88,42.6,42.86,5847900
43.21,2019-11-27,43.33,42.87,43.0,4736000
43.25,2019-11-29,43.35,42.87,43.15,2375500
42.72,2019-12-02,43.4,42.35,43.33,4920700
42.61,2019-12-03,42.79,42.22,42.31,3176200
43.01,2019-12-04,43.12,42.71,42.82,3657700
43.26,2019-12-05,43.41,42.57,43.06,5409200
44.08,2019-12-06,44.22,43.36,43.5,7951400
43.71,2019-12-09,44.17,43.66,44.07,9749900
44.01,2019-12-10,44.31,43.5,43.73,5704800
43.82,2019-12-11,44.04,43.77,44.0,5844200
44.67,2019-12-12,44.85,43.78,43.81,7023100
45.09,2019-12-13,45.27,44.4,44.45,7539000
45.2,2019-12-16,45.68,45.14,45.45,8569200
44.75,2019-12-17,45.21,44.49,45.11,9109500
44.74,2019-12-18,44.91,44.64,44.87,4932600
44.83,2019-12-19,44.96,44.13,44.18,6883100
45.37,2019-12-20,46.62,45.08,45.26,14231800
45.22,2019-12-23,45.48,44.81,45.48,5062100
45.31,2019-12-24,45.41,45.14,45.22,1036800
45.26,2019-12-26,45.34,45.01,45.34,2009000
45.22,2019-12-27,45.42,45.11,45.4,2123400
44.99,2019-12-30,45.37,44.94,45.31,3868200
45.22,2019-12-31,45.23,44.72,44.95,3725800
45.33,2020-01-02,45.59,44.94,45.5,6092400
44.98,2020-01-03,45.21,44.35,44.52,4704100
45.35,2020-01-06,45.57,44.68,44.85,5768900
45.4,2020-01-07,45.58,44.97,45.12,4298400
45.64,2020-01-08,46.06,45.47,45.6,5071800
45.71,2020-01-09,46.13,45.49,45.96,7225800
45.67,2020-01-10,46.11,45.55,45.95,5491700
45.47,2020-01-13,45.73,45.36,45.65,4877600
42.66,2020-01-14,42.82,41.65,42.41,27589000
42.57,2020-01-15,42.83,42.34,42.81,12805500
43.2,2020-01-16,43.33,42.66,42.71,11654300
44.28,2020-01-17,44.31,43.14,43.2,15909800
44.07,2020-01-21,44.39,43.76,44.18,8590000
44.05,2020-01-22,44.44,43.96,44.41,6515200
43.57,2020-01-23,44.03,43.19,43.92,6366700
43.21,2020-01-24,43.7,43.04,43.6,4022300
42.65,2020-01-27,43.13,42.35,42.5,5672400
43.45,2020-01-28,43.59,42.63,42.75,7223100
43.95,2020-01-29,44.2,43.42,43.63,6629600
43.41,2020-01-30,43.77,43.12,43.5,8792500
41.87,2020-01-31,43.3,41.79,43.29,12425000
42.23,2020-02-03,42.56,42.1,42.17,8763400
42.88,2020-02-04,43.2,42.7,42.83,9126100
42.62,2020-02-05,43.33,42.44,43.05,13227100
43.01,2020-02-06,43.24,42.24,42.6,6994200
42.19,2020-02-07,42.95,41.95,42.75,8381700
42.22,2020-02-10,42.53,41.88,42.02,6151700
42.57,2020-02-11,42.67,42.11,42.32,4861100
42.23,2020-02-12,42.75,42.23,42.61,8374100
42.18,2020-02-13,42.47,41.81,42.17,6406700
42.31,2020-02-14,42.41,42.08,42.27,7289900
42.16,2020-02-18,42.37,41.65,42.25,8024500
43.02,2020-02-19,43.44,42.28,42.31,7412000
42.5,2020-02-20,43.16,42.03,43.02,6123500
42.62,2020-02-21,42.85,42.04,42.26,7282400
41.08,2020-02-24,41.9,40.92,41.48,6536700
39.91,2020-02-25,41.32,39.71,41.15,8745400
