close,date,high,low,open,volume
11.3245,2020-03-19,11.3245,11.3245,11.3245,100
12.0323,2020-03-20,12.2682,11.3245,12.2682,2300
10.8904,2020-03-23,12.0323,10.8527,12.0323,18700
11.0414,2020-03-24,12.1739,10.8527,12.1739,96100
12.6929,2020-03-25,12.6929,11.1358,11.1358,19200
14.5803,2020-03-26,14.5803,13.2119,13.2119,76400
13.731,2020-03-27,15.0994,13.731,14.1557,486500
15.005,2020-03-30,15.5712,14.3916,14.3916,210000
16.279,2020-03-31,16.279,13.7404,15.4674,461500
14.2028,2020-04-01,15.0994,13.7404,15.0994,2998900
12.5325,2020-04-02,15.005,11.4378,14.7785,15966300
15.9676,2020-04-03,16.0431,12.6268,12.976,66934300
14.5709,2020-04-06,16.1846,14.0141,16.0997,37138000
14.3916,2020-04-07,14.9106,13.731,14.3444,23486000
13.4573,2020-04-08,14.3916,12.9571,13.6838,49372700
13.948,2020-04-09,14.6275,13.1176,13.2119,34992600
13.2025,2020-04-13,13.6838,13.1931,13.6838,21497400
13.0893,2020-04-14,13.4007,13.0043,13.2119,22350000
12.608,2020-04-15,12.8864,12.2116,12.7684,14990700
12.1644,2020-04-16,12.5042,11.5699,12.4098,21745200
12.9666,2020-04-17,13.0515,12.2022,12.5514,21336500
13.6366,2020-04-20,13.9103,12.7165,12.7401,20032200
13.8631,2020-04-21,14.3916,13.3818,13.4196,16235900
13.9575,2020-04-22,14.3067,13.4196,14.1085,12539500
14.8351,2020-04-23,15.0239,13.7876,13.8725,12226000
15.3353,2020-04-24,15.7317,14.4293,14.7219,17390000
15.8543,2020-04-27,15.8638,15.0758,15.2598,12186100
16.0431,2020-04-28,16.7509,15.675,15.9298,12983800
16.6471,2020-04-29,17.0623,16.2035,16.4772,12523200
16.7131,2020-04-30,16.8358,16.0289,16.2507,19094100
15.826,2020-05-01,16.3734,15.6845,16.3545,10727200
15.4769,2020-05-04,15.5901,14.8068,15.2409,9700300
15.0711,2020-05-05,15.8166,14.9484,15.7411,16298000
15.373,2020-05-06,15.4485,14.5615,15.0994,10647200
15.4863,2020-05-07,16.0808,14.9861,15.2975,12454100
17.3265,2020-05-08,17.3643,15.9817,16.0808,17693300
17.3171,2020-05-11,17.6946,17.0057,17.3926,9574600
16.798,2020-05-12,17.3643,16.6942,17.3548,7743200
15.5146,2020-05-13,16.4555,15.1937,16.2413,10676300
15.6184,2020-05-14,15.7741,14.8351,15.1182,7797200
15.7694,2020-05-15,16.0101,15.0994,15.3825,7353800
16.5621,2020-05-18,16.7226,16.3168,16.3262,6135000
16.7697,2020-05-19,16.9113,16.1846,16.4583,8338100
17.6757,2020-05-20,17.9777,17.0245,17.1378,11910000
18.3552,2020-05-21,18.4212,17.4586,17.4964,9711500
17.9777,2020-05-22,18.7421,17.8833,18.374,5937100
18.4118,2020-05-26,19.4404,18.2514,18.5062,7305400
18.8648,2020-05-27,18.9969,18.3363,18.4684,8969700
18.4967,2020-05-28,19.3083,18.4071,18.9497,8509200
19.3178,2020-05-29,19.799,17.8173,17.8928,32990600
20.5918,2020-06-01,20.7144,19.3933,19.3933,7695700
20.1577,2020-06-02,20.6003,19.7283,20.4691,8295600
20.9693,2020-06-03,21.309,20.1765,20.2615,9636300
21.4034,2020-06-04,21.8186,20.7899,20.7899,6651900
22.2338,2020-06-05,23.0265,22.064,22.215,7843600
22.9982,2020-06-08,23.0077,21.9979,22.2999,8570400
