close,date,high,low,open,volume
25.8983,2019-08-12,26.1123,25.7794,26.0093,2327100
26.2549,2019-08-13,26.6749,25.6923,25.8825,4595600
25.1375,2019-08-14,25.5734,24.8562,25.4862,6806800
24.8998,2019-08-15,25.4387,24.8403,25.2881,5329600
25.6764,2019-08-16,25.8547,25.1217,25.193,3488400
26.1123,2019-08-19,26.3579,26.0211,26.2232,3192200
25.5972,2019-08-20,25.9696,25.5734,25.9379,3400600
25.8349,2019-08-21,25.9696,25.6249,25.8904,3191400
25.9696,2019-08-22,26.2232,25.6764,26.0647,3007300
25.1772,2019-08-23,26.2153,25.0504,26.0093,3569600
25.5258,2019-08-26,25.5932,25.2564,25.4387,2638100
25.2722,2019-08-27,25.724,25.09,25.6606,4478100
26.041,2019-08-28,26.2193,25.1296,25.193,4588100
26.5402,2019-08-29,26.7225,26.2391,26.2629,5173900
26.7383,2019-08-30,27.2614,26.6908,26.8097,5538100
26.0647,2019-09-03,26.4768,25.7794,26.4214,3175600
26.35,2019-09-04,26.453,26.1281,26.2787,2947300
27.1029,2019-09-05,27.511,26.7859,26.9523,3905900
27.0553,2019-09-06,27.3565,26.9365,27.1267,2867200
28.3075,2019-09-09,28.3867,27.1901,27.3565,3813900
28.7512,2019-09-10,29.0405,28.3946,28.5294,3675500
28.6958,2019-09-11,29.0365,28.2758,28.9256,4345200
28.8226,2019-09-12,29.0564,28.0142,28.2044,5281200
29.1871,2019-09-13,29.5913,29.092,29.2901,4076800
29.2901,2019-09-16,29.3218,28.6878,28.7512,2605600
28.8463,2019-09-17,29.0682,28.5888,29.0682,3134800
29.0128,2019-09-18,29.203,28.5056,28.6007,4076600
28.6641,2019-09-19,29.1396,28.6007,28.7433,3667400
28.4343,2019-09-20,28.8226,28.3392,28.7196,7279800
28.4263,2019-09-23,28.5928,27.9191,28.0697,3156200
27.9508,2019-09-24,28.5214,27.8003,28.4026,5729700
28.2124,2019-09-25,28.3986,27.9191,27.9667,3807200
27.8637,2019-09-26,28.2044,27.8399,28.1014,4099100
28.038,2019-09-27,28.4977,27.8716,28.1331,5140200
28.0301,2019-09-30,28.2916,27.9429,28.2441,2762600
27.1029,2019-10-01,28.3946,27.087,28.2678,4439400
26.5481,2019-10-02,26.9365,26.4332,26.8651,3933600
26.4927,2019-10-03,26.5006,25.7319,26.2945,5072600
26.7542,2019-10-04,26.7859,26.2074,26.4689,3140200
26.8968,2019-10-07,27.1663,26.5917,26.6432,5741500
25.8191,2019-10-08,26.3778,25.8191,26.1678,8388600
26.144,2019-10-09,26.3025,25.8904,26.0568,4343500
26.7621,2019-10-10,26.9127,26.35,26.3897,5358800
27.3248,2019-10-11,27.6774,27.1584,27.404,4508800
