close,date,high,low,open,volume
81.2805,2019-08-12,81.7363,80.5085,81.2712,906700
83.0293,2019-08-13,83.6804,80.8805,81.4945,1411500
80.3131,2019-08-14,82.3037,80.1271,82.3037,1368800
79.969,2019-08-15,80.8154,79.3829,80.3968,1098500
81.6231,2019-08-16,82.1464,79.754,80.511,811800
82.0063,2019-08-19,83.1464,81.8941,82.4361,904000
80.6512,2019-08-20,82.81,80.5764,82.2773,1017800
80.6698,2019-08-21,81.8474,80.5857,80.782,1033200
79.9502,2019-08-22,81.4175,79.7446,80.8941,1008300
78.0718,2019-08-23,80.7446,77.6606,79.8662,1177000
80.2773,2019-08-26,80.296,78.5952,78.8849,1183900
75.9598,2019-08-27,80.9222,75.885,80.3147,1848300
75.7074,2019-08-28,76.6607,75.1467,75.7261,1918000
76.5485,2019-08-29,77.3522,75.8196,76.4738,1179400
76.8849,2019-08-30,77.0905,76.2681,76.913,1091700
78.5391,2019-09-03,78.969,76.2214,76.5111,1613400
79.6045,2019-09-04,79.8568,78.8195,78.8381,848400
80.4082,2019-09-05,81.4642,80.1746,80.6418,935200
80.6698,2019-09-06,80.9409,79.9596,80.4829,963900
81.4268,2019-09-09,81.838,80.5203,80.6605,1231500
80.2586,2019-09-10,81.1371,78.7166,80.8007,1895200
82.0436,2019-09-11,82.6698,79.7447,80.4175,1026100
79.0998,2019-09-12,82.4548,78.9877,82.1277,1118900
77.9597,2019-09-13,80.6792,77.5204,79.6138,1262200
78.3055,2019-09-16,78.3989,76.9784,77.2681,1120900
77.7354,2019-09-17,79.025,77.7073,78.6606,1049900
77.5672,2019-09-18,77.8288,76.5485,77.8288,1392700
79.0905,2019-09-19,79.6232,77.427,77.8008,1315100
79.5484,2019-09-20,80.8007,79.212,79.3895,2180200
78.3615,2019-09-23,79.6792,77.8382,79.3148,920100
77.2868,2019-09-24,79.5577,77.1186,78.7167,910300
77.7821,2019-09-25,78.5671,76.7915,76.7915,881900
76.6326,2019-09-26,78.3802,75.5672,77.969,943300
75.642,2019-09-27,76.969,75.1654,76.941,1400300
76.941,2019-09-30,77.9503,75.6981,75.6981,1141900
76.7448,2019-10-01,78.698,76.698,77.0812,1298200
75.6794,2019-10-02,76.427,75.1841,75.9971,1366400
76.0158,2019-10-03,76.2308,74.5299,75.5205,760500
76.4924,2019-10-04,76.5205,75.0158,75.9784,767300
76.5018,2019-10-07,77.2774,75.4551,76.0625,1212300
74.9224,2019-10-08,76.5111,74.885,75.9411,1345000
75.1093,2019-10-09,75.8663,75.0345,75.5392,657500
75.5299,2019-10-10,76.2308,74.614,75.2775,741800
76.5952,2019-10-11,77.7073,75.8476,76.4457,958100
76.2401,2019-10-14,76.7728,76.0532,76.4364,506000
77.7541,2019-10-15,78.1372,76.5018,76.8289,777800
80.4175,2019-10-16,82.8847,78.5204,78.6045,2691700
83.6417,2019-10-17,83.9501,80.4736,80.4736,3243000
83.7725,2019-10-18,84.109,82.5576,83.6511,1550400
80.9876,2019-10-21,83.1744,78.8475,82.4268,2337600
80.4269,2019-10-22,81.4082,79.9876,81.1278,847100
80.0437,2019-10-23,80.3988,79.2587,80.1185,778800
80.3521,2019-10-24,80.6418,79.2867,80.3334,732800
81.1185,2019-10-25,81.511,79.726,80.2867,416400
81.6698,2019-10-28,82.4268,81.1184,81.4923,450400
83.0529,2019-10-29,83.0623,81.4268,81.6978,927500
80.2306,2019-10-30,82.2399,79.2774,82.2399,1382200
79.7914,2019-10-31,80.1558,78.9877,79.8568,957100
81.1839,2019-11-01,81.6979,79.9409,80.296,1232000
81.7726,2019-11-04,81.9876,79.8661,81.4923,883300
80.4923,2019-11-05,82.9688,78.3148,82.1464,2029600
79.1652,2019-11-06,81.2586,79.0438,80.9689,1454000
78.5765,2019-11-07,82.0249,78.3709,80.6885,1941700
80.4362,2019-11-08,80.511,77.6232,78.1559,983700
78.5391,2019-11-11,79.5297,76.7261,79.2867,1846200
79.9409,2019-11-12,80.8287,78.6045,78.969,1105700
80.4549,2019-11-13,81.053,79.1839,79.5671,712000
80.4923,2019-11-14,81.4175,80.1745,81.1558,1002400
81.9664,2019-11-15,82.3795,80.2294,80.7458,1100000
82.4076,2019-11-18,82.8114,81.7222,81.7222,676500
82.4452,2019-11-19,82.755,81.6847,82.2199,640900
82.2011,2019-11-20,82.9522,81.572,82.0978,1176200
82.9147,2019-11-21,83.2902,81.6941,82.2199,992800
84.7455,2019-11-22,84.9896,83.2527,83.6564,1194300
85.1023,2019-11-25,85.2619,84.3794,84.9896,890000
82.4827,2019-11-26,85.1774,81.4875,85.1774,1885200
83.1024,2019-11-27,83.14,81.572,82.1541,629700
82.5391,2019-11-29,83.3278,82.417,82.586,355800
82.464,2019-12-02,83.187,81.6284,82.5016,1109600
82.0884,2019-12-03,82.2105,81.2528,81.8631,902100
82.9616,2019-12-04,83.5343,82.2105,82.2856,743000
82.4546,2019-12-05,83.4592,81.9007,82.7081,997200
82.8489,2019-12-06,83.7597,82.5203,82.8583,723000
81.112,2019-12-09,82.8489,81.0087,82.8489,1076200
81.4594,2019-12-10,81.7317,79.713,81.0932,1767800
81.3655,2019-12-11,81.7223,80.6801,81.1495,984400
81.4875,2019-12-12,82.4452,80.8678,81.7786,507500
79.666,2019-12-13,82.2574,79.5815,81.5063,977000
80.7082,2019-12-16,81.3655,79.8445,80.2106,970800
78.0699,2019-12-17,80.8303,77.9103,80.7082,1947200
78.4455,2019-12-18,79.6661,77.5254,77.6192,1527600
78.6802,2019-12-19,79.0651,78.0323,78.4736,1444200
80.4359,2019-12-20,80.5204,78.6802,79.3562,1666800
80.3702,2019-12-23,80.8491,79.7881,80.7646,865400
80.2012,2019-12-24,81.0275,80.0698,80.7833,283400
79.8538,2019-12-26,80.4359,79.7505,80.3139,487200
79.7224,2019-12-27,80.267,79.6473,79.9289,388400
78.53,2019-12-30,80.0228,78.4736,79.7599,592400
79.8257,2019-12-31,79.8351,78.1356,78.2859,1002000
79.882,2020-01-02,80.558,79.1872,80.4078,817600
78.8774,2020-01-03,79.8726,78.1826,78.6896,801500
80.0322,2020-01-06,80.0979,77.9385,78.5675,765000
79.4595,2020-01-07,80.0416,79.0464,79.5816,845300
80.2294,2020-01-08,80.5768,79.3656,79.3938,1182000
81.3655,2020-01-09,81.4312,79.6379,80.389,795400
