close,date,high,low,open,volume
289.02,2019-08-12,295.47,288.01,294.45,434900
295.87,2019-08-13,296.8,288.27,288.36,513200
285.77,2019-08-14,293.38,285.21,291.39,625700
286.73,2019-08-15,287.98,284.68,287.0,468000
291.27,2019-08-16,292.0,288.04,288.81,387800
297.59,2019-08-19,298.36,284.68,294.9,380800
295.7,2019-08-20,298.4,295.21,297.19,443100
300.98,2019-08-21,301.31,297.02,297.38,488100
300.45,2019-08-22,302.58,297.13,302.24,445100
292.97,2019-08-23,302.61,291.76,299.1,837800
292.49,2019-08-26,296.67,290.9,295.3,527000
292.57,2019-08-27,295.26,290.2,293.87,489400
295.55,2019-08-28,296.49,288.85,291.16,275300
299.31,2019-08-29,300.84,297.59,298.0,315400
298.4,2019-08-30,303.26,296.77,301.53,358500
292.92,2019-09-03,298.63,291.97,297.18,419600
298.11,2019-09-04,298.24,294.5,296.57,465000
302.53,2019-09-05,304.21,301.83,301.99,298300
302.64,2019-09-06,304.65,301.17,302.48,341700
290.55,2019-09-09,304.53,290.01,304.01,681500
286.26,2019-09-10,289.6,282.84,288.44,911400
285.8,2019-09-11,290.45,282.5,282.5,778800
288.95,2019-09-12,294.22,288.09,288.09,616600
292.12,2019-09-13,295.28,285.54,290.5,667500
297.86,2019-09-16,301.21,290.14,290.67,712100
297.26,2019-09-17,301.4,293.93,298.2,550900
295.14,2019-09-18,298.32,291.67,297.1,626900
291.9,2019-09-19,296.87,291.52,295.6,342200
289.1,2019-09-20,294.67,288.59,293.06,589100
287.72,2019-09-23,289.61,287.33,288.41,457300
285.91,2019-09-24,290.93,284.07,290.07,832700
291.57,2019-09-25,292.66,284.27,285.63,544400
292.7,2019-09-26,294.97,288.8,290.46,457400
288.0,2019-09-27,294.85,285.78,293.63,475400
286.78,2019-09-30,288.75,284.91,288.12,1243900
283.02,2019-10-01,294.98,282.52,288.06,635400
279.38,2019-10-02,281.86,277.24,280.84,557500
281.3,2019-10-03,281.9,274.74,277.74,420600
289.72,2019-10-04,289.86,281.98,282.04,682400
284.59,2019-10-07,288.45,284.35,288.45,359900
279.85,2019-10-08,284.32,276.18,282.05,450200
282.64,2019-10-09,283.28,279.34,282.06,383800
288.44,2019-10-10,289.08,281.85,281.85,541600
291.29,2019-10-11,296.36,290.97,291.75,441600
290.65,2019-10-14,293.08,289.03,291.35,235600
295.92,2019-10-15,296.1,290.95,290.95,411200
294.83,2019-10-16,297.0,290.29,295.33,546200
293.88,2019-10-17,297.07,293.07,294.83,307100
291.83,2019-10-18,295.85,289.49,293.3,667200
292.2,2019-10-21,295.62,291.18,292.05,512500
286.28,2019-10-22,295.65,286.11,292.77,751400
291.43,2019-10-23,291.58,285.37,286.55,437100
296.24,2019-10-24,298.25,291.51,292.5,463200
298.88,2019-10-25,299.95,294.5,295.06,548700
302.05,2019-10-28,304.52,299.73,300.77,470100
298.59,2019-10-29,303.26,298.42,301.21,310100
300.03,2019-10-30,300.4,296.29,298.51,235100
294.22,2019-10-31,300.51,293.24,299.5,489100
294.34,2019-11-01,296.48,291.13,296.48,544200
293.04,2019-11-04,296.13,291.87,296.13,309100
291.73,2019-11-05,293.63,287.04,292.91,579500
294.07,2019-11-06,294.77,290.38,292.12,455100
296.58,2019-11-07,299.99,285.3,288.15,777900
293.45,2019-11-08,296.85,291.56,294.89,482600
291.0,2019-11-11,295.45,290.51,292.09,548100
290.73,2019-11-12,294.76,289.92,291.06,505700
291.01,2019-11-13,294.27,289.22,289.77,335400
293.41,2019-11-14,294.09,289.66,290.09,418500
297.34,2019-11-15,298.33,292.27,294.76,437000
298.49,2019-11-18,299.38,295.3,297.0,390600
301.92,2019-11-19,302.15,297.79,298.67,477000
301.0,2019-11-20,304.61,298.39,301.68,630200
295.27,2019-11-21,301.88,294.58,300.59,464700
295.18,2019-11-22,298.17,292.95,296.32,605200
299.52,2019-11-25,300.18,294.7,296.03,557400
307.42,2019-11-26,308.41,299.67,300.5,657000
306.88,2019-11-27,309.39,306.4,308.95,372900
306.92,2019-11-29,308.74,305.28,306.15,227900
308.42,2019-12-02,315.75,306.8,306.8,670800
305.88,2019-12-03,306.93,301.29,304.61,469000
306.21,2019-12-04,309.38,303.85,305.88,495600
303.18,2019-12-05,306.56,302.75,306.0,442300
307.78,2019-12-06,307.97,304.2,305.12,272300
302.62,2019-12-09,307.48,302.62,307.35,279600
302.54,2019-12-10,303.85,301.68,303.24,302500
303.06,2019-12-11,303.74,299.54,302.7,213200
301.52,2019-12-12,304.5,297.53,301.8,943700
304.72,2019-12-13,305.49,299.35,300.11,603500
307.61,2019-12-16,310.1,304.38,307.0,583900
303.62,2019-12-17,308.67,300.74,307.9,683200
296.79,2019-12-18,304.97,296.43,304.0,1983900
288.87,2019-12-19,295.29,284.02,289.43,2172200
290.3,2019-12-20,293.96,285.47,290.45,1810900
284.56,2019-12-23,290.27,283.66,290.27,1126400
285.47,2019-12-24,287.94,284.56,285.24,256900
283.0,2019-12-26,287.26,282.36,286.38,547100
285.82,2019-12-27,287.89,282.79,284.13,713100
286.26,2019-12-30,287.32,284.03,285.61,725500
287.72,2019-12-31,287.91,284.88,285.12,542400
287.74,2020-01-02,291.41,286.73,289.88,814000
290.81,2020-01-03,291.67,283.87,284.17,859100
289.19,2020-01-06,290.48,287.61,289.21,988200
291.75,2020-01-07,295.09,289.1,289.28,1574300
297.02,2020-01-08,299.14,292.12,292.91,1058200
298.51,2020-01-09,300.33,292.4,298.93,955600
292.4,2020-01-10,300.15,291.83,300.15,983700
299.4,2020-01-13,301.33,291.02,291.88,1359300
296.18,2020-01-14,299.97,295.63,299.39,936600
303.08,2020-01-15,305.43,296.57,297.02,988200
308.97,2020-01-16,309.69,303.83,304.68,1001700
310.04,2020-01-17,310.64,307.12,309.8,1005600
310.98,2020-01-21,313.86,309.19,310.03,820100
318.3,2020-01-22,319.39,312.52,313.81,826800
316.7,2020-01-23,318.96,314.85,318.29,649600
320.63,2020-01-24,320.96,316.37,317.5,731600
313.25,2020-01-27,318.6,312.61,315.64,593900
317.45,2020-01-28,318.82,314.46,314.9,499400
319.55,2020-01-29,322.29,317.12,318.03,367100
321.18,2020-01-30,321.42,316.64,317.7,498900
315.23,2020-01-31,322.38,315.21,320.87,897200
319.08,2020-02-03,321.84,315.43,317.25,650900
323.93,2020-02-04,325.73,322.29,322.99,478400
326.87,2020-02-05,327.48,323.55,326.46,571600
328.85,2020-02-06,329.85,326.86,327.66,582100
306.76,2020-02-07,310.04,302.37,310.01,2258000
