close,date,high,low,open,volume
13.7101,2019-08-12,13.9235,13.6311,13.7417,5540900
13.4256,2019-08-13,13.884,13.4177,13.6943,8743000
12.7698,2019-08-14,13.2913,12.7065,13.2913,9237000
12.8804,2019-08-15,12.9278,12.6512,12.8014,8550600
13.0147,2019-08-16,13.0542,12.7777,12.8883,4936200
13.236,2019-08-19,13.2913,12.9989,13.0621,7820700
13.2834,2019-08-20,13.4019,13.2202,13.394,7462100
13.3071,2019-08-21,13.4888,13.1807,13.3624,10899400
13.2913,2019-08-22,13.4019,13.1254,13.1965,6025100
13.3071,2019-08-23,13.4888,13.0858,13.1728,8163400
13.0779,2019-08-26,13.4335,12.9673,13.3782,7844800
13.1175,2019-08-27,13.2518,13.0463,13.0858,5322100
13.2676,2019-08-28,13.3229,13.0384,13.1728,4816500
13.6153,2019-08-29,13.7496,13.3308,13.3387,6898900
13.5284,2019-08-30,13.6548,13.3229,13.5837,5695500
13.4493,2019-09-03,13.5916,13.3545,13.3703,6305100
13.5363,2019-09-04,13.6232,13.4414,13.5837,4989100
13.7496,2019-09-05,13.9156,13.56,13.639,5500900
13.8681,2019-09-06,13.9156,13.5758,13.6469,5489600
14.5398,2019-09-09,14.5714,13.9551,13.9551,15727500
14.69,2019-09-10,14.8006,14.3818,14.4055,11402700
15.0219,2019-09-11,15.0219,14.6188,14.8164,9478400
14.7374,2019-09-12,15.0298,14.6188,14.8875,7139700
14.8638,2019-09-13,14.9349,14.6584,14.8243,7414300
14.3423,2019-09-16,15.2431,14.1368,14.8322,13907000
14.5003,2019-09-17,14.6347,14.1131,14.2791,12067100
14.4845,2019-09-18,14.69,14.4371,14.5082,7106100
14.3581,2019-09-19,14.6426,14.2079,14.5793,6703800
14.2632,2019-09-20,14.4213,14.1447,14.3976,9901100
14.3186,2019-09-23,14.3818,14.0262,14.0262,6502100
14.1763,2019-09-24,14.3423,14.1447,14.3107,4895400
13.8919,2019-09-25,14.1921,13.8523,14.0499,5362200
13.5679,2019-09-26,13.8444,13.4098,13.8207,9324900
13.8523,2019-09-27,13.9077,13.4256,13.4414,7767700
