close,date,high,low,open,volume
57.1007,2019-08-12,57.7237,56.7211,57.4998,4788300
57.2759,2019-08-13,58.3272,56.6238,56.653,6156200
55.7087,2019-08-14,56.5167,55.1928,56.3804,7662800
55.5919,2019-08-15,56.1663,55.2707,55.9424,4360400
56.4972,2019-08-16,56.8087,55.699,55.9034,4226100
56.6432,2019-08-19,57.4317,56.5946,57.1202,3503500
56.1468,2019-08-20,56.6238,56.0592,56.4777,2513700
56.468,2019-08-21,57.0131,56.3123,56.7016,3014900
56.4193,2019-08-22,56.7308,55.9424,56.5848,3436400
54.7061,2019-08-23,56.5264,54.3557,56.2831,5921400
54.784,2019-08-26,55.3583,54.4628,55.2512,3414500
54.6477,2019-08-27,55.1734,54.0929,55.1247,7702800
55.1734,2019-08-28,55.6503,54.3168,54.3557,5264100
56.3415,2019-08-29,56.5848,55.5433,55.6017,4101400
56.322,2019-08-30,57.2954,56.0592,56.6043,4268300
55.7671,2019-09-03,56.3707,55.1442,55.9132,6601700
55.7087,2019-09-04,56.4972,55.2318,56.0884,4939600
56.6432,2019-09-05,57.3733,56.0202,56.1273,4461600
56.4388,2019-09-06,57.3928,56.3512,57.1397,5741100
56.5654,2019-09-09,56.8963,56.03,56.4388,5740500
57.0813,2019-09-10,57.1591,56.2636,56.5362,4409600
57.2175,2019-09-11,57.6069,56.5946,57.0618,4163700
57.86,2019-09-12,58.298,57.2175,57.2175,5188700
58.4148,2019-09-13,58.9697,58.0255,58.4051,7548400
57.4998,2019-09-16,57.5582,55.7282,56.4875,9556400
57.7919,2019-09-17,58.1812,56.614,56.76,8176700
57.7335,2019-09-18,57.9184,57.1105,57.8697,4075600
57.1299,2019-09-19,57.6751,56.76,57.6751,3569900
57.0715,2019-09-20,57.6069,56.9353,57.237,6139400
56.4777,2019-09-23,57.1007,56.3025,56.76,4387100
56.4583,2019-09-24,57.3441,56.03,57.0618,5047700
56.76,2019-09-25,56.9353,56.1468,56.4972,3193100
57.2175,2019-09-26,57.2467,56.3901,56.5654,3795400
56.7308,2019-09-27,57.8016,56.614,57.4025,4395800
56.0689,2019-09-30,57.1299,55.991,56.9547,5208200
55.4946,2019-10-01,57.1202,55.1442,56.5069,7102200
52.9053,2019-10-02,54.2681,51.4646,54.2584,13770400
51.4257,2019-10-03,52.4283,50.4328,51.708,14346800
52.3797,2019-10-04,52.5257,51.2797,51.4452,6620900
51.9416,2019-10-07,52.6717,51.8248,52.3212,8659800
51.7859,2019-10-08,52.6619,51.4841,51.6107,8039400
52.4867,2019-10-09,52.954,52.1655,52.5743,7615300
51.6885,2019-10-10,51.8443,49.7125,50.5691,22703500
51.5425,2019-10-11,52.3407,51.2407,52.0779,10935000
51.5815,2019-10-14,51.7859,50.5886,50.6664,6631900
52.2142,2019-10-15,52.5549,51.6009,51.7956,8413300
51.7567,2019-10-16,52.6911,51.6593,52.3212,5532800
51.9513,2019-10-17,52.331,51.8345,52.0974,4402000
52.3991,2019-10-18,52.5549,51.7664,51.7761,6966400
53.1292,2019-10-21,53.5186,52.6619,52.7496,6699600
53.1973,2019-10-22,53.4991,52.623,53.2363,5646900
52.7688,2019-10-23,53.1905,52.5628,53.0041,4876100
52.7492,2019-10-24,53.6023,52.4452,53.2493,4825300
53.5435,2019-10-25,53.6808,52.5628,52.5727,4412800
54.1025,2019-10-28,54.2594,53.6612,53.6612,3966400
54.3084,2019-10-29,54.7889,54.0436,54.073,4480100
54.2496,2019-10-30,54.3378,53.7494,54.2888,3814100
54.0142,2019-10-31,54.1319,53.3572,53.9554,7024000
54.936,2019-11-01,54.9851,54.1613,54.4751,5389600
55.7794,2019-11-04,55.8676,55.3283,55.6519,6164400
56.3972,2019-11-05,57.015,55.9461,56.1716,6915300
56.4658,2019-11-06,56.4854,55.9363,56.3874,5120300
56.5443,2019-11-07,57.2994,56.4658,56.7993,7754400
56.4658,2019-11-08,56.5443,55.9265,56.3678,4821000
56.103,2019-11-11,56.407,55.9853,56.152,3811600
56.1128,2019-11-12,56.5737,55.9363,56.4756,4424700
55.4067,2019-11-13,55.7794,55.2106,55.6421,4110600
55.4558,2019-11-14,55.6519,54.9851,55.1812,3763900
55.75,2019-11-15,56.1226,55.7205,55.7892,4350100
55.9755,2019-11-18,55.9853,55.3969,55.6813,3788400
55.9657,2019-11-19,56.3776,55.6029,56.2403,4704900
54.5928,2019-11-20,55.75,54.2103,55.7009,7383600
54.2398,2019-11-21,54.9066,54.1907,54.6614,5021300
55.0243,2019-11-22,55.0439,54.0534,54.4947,9648200
55.2596,2019-11-25,55.5931,54.6124,55.2989,6822400
56.3482,2019-11-26,56.3678,55.1616,55.2302,4888100
55.9657,2019-11-27,56.4658,55.5832,56.4168,4062500
56.2011,2019-11-29,56.7306,55.9069,56.0442,2653600
55.6519,2019-12-02,56.5345,55.6225,56.1422,5628200
54.5438,2019-12-03,54.9164,53.4847,54.8085,6871700
54.9752,2019-12-04,55.4754,54.681,54.8674,4760100
54.7987,2019-12-05,55.3185,54.6222,55.2989,3899900
55.0537,2019-12-06,55.5048,55.0341,55.3479,4568200
54.7203,2019-12-09,55.0635,54.5732,54.9066,4057000
54.4555,2019-12-10,55.2792,54.3574,54.7203,4871900
54.0142,2019-12-11,54.4457,53.8867,54.328,5544300
55.5931,2019-12-12,56.3776,54.534,54.8282,8868000
55.6323,2019-12-13,56.1814,55.3381,55.6911,4440400
57.2896,2019-12-16,57.3582,56.0442,56.0638,7460700
57.5544,2019-12-17,58.1526,57.2013,57.2896,6663200
57.4465,2019-12-18,58.486,57.319,58.3389,5026900
57.9956,2019-12-19,58.0937,57.2896,57.4857,4455700
57.8289,2019-12-20,58.4271,57.7799,58.3977,6025700
58.2898,2019-12-23,58.7606,57.8878,58.0251,3648100
58.2408,2019-12-24,58.5644,58.0153,58.5056,1076000
58.4075,2019-12-26,58.5644,58.1133,58.3291,2464400
57.9368,2019-12-27,58.4958,57.6524,58.4762,3538600
57.5249,2019-12-30,58.1525,57.1131,58.1035,3779300
57.3484,2019-12-31,57.5936,57.2111,57.3582,2917300
57.8976,2020-01-02,58.2408,57.319,57.7897,4459200
56.9365,2020-01-03,56.9954,55.8088,56.3874,9078100
56.5443,2020-01-06,56.6424,55.5636,55.8873,5504300
56.4953,2020-01-07,56.9464,56.358,56.7894,5563000
57.7113,2020-01-08,58.2506,56.6129,56.6325,8519000
57.8191,2020-01-09,58.3193,57.4465,58.1133,5336700
58.0937,2020-01-10,58.3389,57.4857,58.1035,8279700
58.3389,2020-01-13,58.5448,57.8878,57.8878,8414200
60.2609,2020-01-14,61.0455,59.6824,60.8395,16454100
60.4277,2020-01-15,60.7415,59.8491,60.3492,7953400
60.6826,2020-01-16,61.271,60.4375,60.8591,4950300
60.8297,2020-01-17,61.271,60.6728,60.9278,5770000
59.1724,2020-01-21,60.4179,57.2994,60.0648,16592000
58.486,2020-01-22,59.5451,58.4075,59.4568,7096400
59.1038,2020-01-23,59.2117,57.064,58.0447,7774500
57.672,2020-01-24,59.0449,56.7208,58.9371,10989500
55.7303,2020-01-27,56.0736,54.5438,55.3969,13090200
56.3678,2020-01-28,56.8483,55.6519,56.4364,6343700
55.5538,2020-01-29,56.6816,55.4754,56.5247,5662000
55.9951,2020-01-30,56.0736,54.5732,54.5732,5980700
54.6614,2020-01-31,55.9755,54.3574,55.6029,9320800
54.9556,2020-02-03,56.1422,54.9164,55.1125,7497600
56.8091,2020-02-04,57.27,56.0442,56.0932,6880800
57.7505,2020-02-05,58.1525,57.4661,57.8289,6067000
57.0542,2020-02-06,58.8684,56.8973,58.6429,5210200
56.7993,2020-02-07,57.1229,56.407,56.8385,3836800
56.5933,2020-02-10,56.9954,56.3187,56.4266,4541100
57.5249,2020-02-11,57.9564,56.8483,56.9758,4566500
58.3193,2020-02-12,58.7606,58.0349,58.1427,5227500
57.9858,2020-02-13,58.0643,57.2209,57.6132,4353100
57.7603,2020-02-14,58.3193,57.4465,58.0937,3810100
57.5838,2020-02-18,58.3193,57.2798,57.7309,5690600
57.7743,2020-02-19,57.8435,57.3004,57.7546,4399900
57.646,2020-02-20,58.2483,57.3892,57.4682,5239400
57.1424,2020-02-21,57.2905,56.155,57.2313,6295600
53.5482,2020-02-24,54.6837,52.6693,54.1406,17983100
50.2502,2020-02-25,54.0221,50.1119,53.8543,15836500
48.9665,2020-02-26,51.1191,48.3839,50.7932,15985900
47.5841,2020-02-27,50.339,44.4638,46.1326,21949100
45.55,2020-02-28,47.1891,44.5724,45.4414,19851300
46.567,2020-03-02,46.6559,43.7726,45.6389,20098700
45.5994,2020-03-03,49.3417,45.4611,49.1837,26344100
47.8902,2020-03-04,48.0284,45.4414,46.9028,20381800
44.4441,2020-03-05,45.9845,43.8615,45.9154,22918800
45.313,2020-03-06,46.3399,42.331,42.9234,25809300
42.9728,2020-03-09,44.4441,41.8965,42.4989,25784700
44.8983,2020-03-10,45.3031,40.9387,44.997,28693300
42.1335,2020-03-11,43.7825,41.2053,43.4468,23542000
33.2862,2020-03-12,38.2924,33.0393,36.9989,36331900
37.8777,2020-03-13,38.2529,34.3526,38.0554,33052500
35.3598,2020-03-16,37.6012,30.8373,32.3876,35535400
31.3409,2020-03-17,36.7224,30.2153,35.7745,33097500
23.1947,2020-03-18,29.4154,18.8599,29.4154,64242500
21.2395,2020-03-19,23.8464,19.7485,23.0663,44623400
21.0816,2020-03-20,26.5124,20.9927,22.8787,55062900
21.9406,2020-03-23,22.543,20.341,21.8913,44426400
26.5519,2020-03-24,28.6156,24.2117,25.9298,65730300
30.709,2020-03-25,32.8616,27.0555,31.0941,70733900
31.3014,2020-03-26,35.4387,30.0375,32.2,57779500
29.1785,2020-03-27,30.9262,28.6551,30.3338,34960700
28.3095,2020-03-30,28.9217,25.6731,28.1318,29527500
28.1713,2020-03-31,30.1461,28.0627,28.981,25002300
23.5699,2020-04-01,26.2557,23.3921,26.2557,56133000
22.3948,2020-04-02,24.3401,22.227,23.6192,39407400
22.1974,2020-04-03,23.3526,21.4765,22.7404,48967800
22.0394,2020-04-06,23.2045,20.499,22.0295,95093000
21.9702,2020-04-07,25.525,21.6246,24.893,98907200
22.9379,2020-04-08,23.3428,22.2467,22.7997,67565200
24.0833,2020-04-09,25.209,23.0564,25.0806,91692900
22.9577,2020-04-13,24.7449,21.8024,24.6659,76173000
24.2315,2020-04-14,24.972,23.5304,23.6884,60843600
24.0438,2020-04-15,25.1794,23.0169,24.5968,88092500
22.4936,2020-04-16,23.5008,22.3455,23.4613,57610200
23.9648,2020-04-17,24.3006,23.2934,23.8464,52594500
23.3428,2020-04-20,23.8167,22.622,23.1453,42950800
22.8096,2020-04-21,23.4711,22.5133,22.7306,38616700
22.1875,2020-04-22,23.639,21.358,23.5798,70143800
22.1974,2020-04-23,22.6713,22.1282,22.3652,43581800
22.1282,2020-04-24,22.3948,21.4765,22.2467,43694600
21.8814,2020-04-27,23.1453,21.7234,22.543,50561700
24.034,2020-04-28,24.5869,22.3652,22.7108,83972100
26.9765,2020-04-29,27.253,25.1794,25.367,81614900
25.5842,2020-04-30,26.8876,25.1794,26.3643,63570700
23.8167,2020-05-01,25.0806,23.4218,24.6363,45146100
22.2862,2020-05-04,22.5035,20.2423,20.9236,91387100
21.437,2020-05-05,23.2045,21.2395,22.7306,51178700
20.736,2020-05-06,21.8221,20.4891,21.4864,52949200
21.4074,2020-05-07,22.2171,20.7557,20.8051,48328200
22.4343,2020-05-08,22.6318,21.7728,22.0789,43175900
21.7333,2020-05-11,22.227,21.279,21.8221,39151900
20.7656,2020-05-12,22.1184,20.7656,21.8221,37466300
19.166,2020-05-13,20.7063,18.85,20.7063,72264900
19.1363,2020-05-14,19.2943,17.2898,18.5636,88506300
18.9487,2020-05-15,19.4029,18.3859,18.7315,46861800
21.5852,2020-05-18,21.6641,20.2916,20.6471,74367700
21.4864,2020-05-19,22.2862,21.0519,22.2862,70906400
22.4343,2020-05-20,22.8096,21.8616,22.0591,50857000
22.8688,2020-05-21,23.3823,22.385,22.4837,46567200
22.4047,2020-05-22,23.1058,21.9505,22.9478,37139300
25.3275,2020-05-26,25.5447,23.9747,24.1722,78557100
25.9891,2020-05-27,27.4998,24.4191,27.3221,92712000
25.3374,2020-05-28,26.0286,24.6363,25.92,53868100
24.893,2020-05-29,25.288,24.0636,24.3104,50424400
25.841,2020-06-01,26.4235,24.7647,25.0115,46510800
26.0779,2020-06-02,26.6408,25.6139,26.3445,43200400
28.112,2020-06-03,28.2404,26.3643,26.6704,65011100
31.9729,2020-06-04,32.3975,28.8526,29.8894,134626500
33.7305,2020-06-05,36.7718,33.0294,36.7323,130685400
36.5052,2020-06-08,36.6138,34.9352,36.1695,82137300
33.7404,2020-06-09,34.2933,32.2395,34.0662,60254500
31.2422,2020-06-10,32.5752,29.3858,31.8346,90379400
26.858,2020-06-11,29.1982,26.2656,26.3149,88001500
30.0474,2020-06-12,30.3535,28.3885,29.5142,68352400
30.077,2020-06-15,30.5806,27.648,27.9442,64288700
30.9065,2020-06-16,32.6048,30.2251,32.2197,63426700
30.3338,2020-06-17,30.7682,29.7018,30.4522,37722100
30.4029,2020-06-18,30.7583,29.2278,29.5043,40662600
29.139,2020-06-19,31.1237,28.6551,31.1138,48103900
28.9415,2020-06-22,29.4648,28.2009,28.665,42192700
29.2673,2020-06-23,29.2772,28.3688,29.1587,33475000
26.9963,2020-06-24,28.6255,26.5914,28.3885,45272500
27.6578,2020-06-25,27.8059,25.9397,26.1866,37309400
26.5717,2020-06-26,27.7467,25.9101,27.6677,45683400
28.2503,2020-06-29,28.4576,26.2458,26.858,38727300
27.6973,2020-06-30,28.2997,27.253,27.9936,27054800
27.3517,2020-07-01,29.4747,27.1444,28.6551,39305300
27.3715,2020-07-02,28.3688,27.253,28.1812,29240100
28.0824,2020-07-06,28.27,26.937,27.8849,27345200
26.6704,2020-07-07,27.5986,26.5223,27.5097,24598100
26.6704,2020-07-08,26.937,25.8706,26.3149,27214100
25.3275,2020-07-09,26.5815,24.9029,26.4532,31219800
26.7494,2020-07-10,26.9173,24.8338,24.9819,31349400
26.4828,2020-07-13,27.2727,25.9792,26.8876,34133100
25.7817,2020-07-14,26.4137,25.1399,25.3176,42273300
28.2404,2020-07-15,28.5169,26.5815,27.1542,47726600
26.9173,2020-07-16,27.5986,26.7,27.2135,25914200
26.7099,2020-07-17,27.3813,26.6013,26.9864,20920100
25.8903,2020-07-20,27.0752,25.7027,26.6605,21574500
26.0977,2020-07-21,26.6112,26.0187,26.1668,20930300
25.92,2020-07-22,26.4828,25.7817,25.9002,16710800
26.4433,2020-07-23,27.3517,25.4559,25.6731,28110700
25.6336,2020-07-24,26.305,25.5546,26.1471,16774900
25.1794,2020-07-27,25.8311,25.051,25.6237,18849800
25.6139,2020-07-28,25.9693,25.0214,25.0313,18615600
25.3966,2020-07-29,25.8607,25.0609,25.6928,14459700
24.6264,2020-07-30,25.0609,24.5079,24.9325,16844000
24.656,2020-07-31,24.6955,24.1228,24.4882,17106500
24.8832,2020-08-03,25.1596,24.0735,24.5376,16590400
25.3472,2020-08-04,25.8903,24.9918,25.13,17233600
26.1372,2020-08-05,26.7,25.4262,25.8903,27782100
26.7395,2020-08-06,26.9568,25.8015,26.5618,30682500
26.8383,2020-08-07,26.858,26.1372,26.3643,15254500
28.9711,2020-08-10,29.0402,27.0357,27.1147,34084900
29.2673,2020-08-11,30.4325,29.06,30.4029,37293000
28.7242,2020-08-12,29.8993,28.0034,29.6623,26590000
28.3392,2020-08-13,29.2081,28.1318,28.2404,15767700
28.586,2020-08-14,28.823,27.7961,27.9442,13107800
27.6677,2020-08-17,28.6749,27.411,28.6749,14569000
27.2826,2020-08-18,27.9244,27.0259,27.648,14222500
27.3221,2020-08-19,28.7539,27.2135,27.4011,21082100
27.2727,2020-08-20,27.4406,26.6803,27.174,14010200
26.9271,2020-08-21,27.5097,26.8284,27.2135,10897500
29.4253,2020-08-24,29.4253,27.1937,27.3122,34251000
29.7215,2020-08-25,29.8993,28.9612,29.6228,31001900
29.5734,2020-08-26,29.84,29.2476,29.6327,18877300
30.4325,2020-08-27,31.805,30.235,30.4226,31795200
31.5878,2020-08-28,31.5878,30.3436,30.8571,20469700
30.4621,2020-08-31,31.6075,30.4127,31.41,18262700
30.3239,2020-09-01,31.2126,29.3759,29.6426,20041500
30.7485,2020-09-02,30.9065,29.761,30.0178,16307700
30.8275,2020-09-03,32.121,30.0869,31.2323,29474900
31.3706,2020-09-04,31.963,30.2251,31.3903,25878700
32.1309,2020-09-08,32.6838,30.946,31.0052,28129400
31.3607,2020-09-09,32.0321,30.9262,31.7655,19362700
31.3903,2020-09-10,32.2987,31.2718,31.7754,17711300
31.3014,2020-09-11,31.726,30.946,31.41,14344100
32.4074,2020-09-14,32.4863,31.6075,31.884,16333000
33.0887,2020-09-15,34.0465,32.6838,32.7826,22656400
34.1353,2020-09-16,34.5501,32.7727,33.375,26009000
33.533,2020-09-17,34.6291,33.217,33.5429,26014800
32.4271,2020-09-18,33.5923,32.1704,32.8023,35079200
29.4451,2020-09-21,30.8077,29.0501,30.7682,34449900
29.84,2020-09-22,30.156,29.3463,29.4352,18035300
29.1883,2020-09-23,30.6399,29.1192,30.0573,17358100
28.6453,2020-09-24,29.139,27.569,28.7539,22257800
29.4056,2020-09-25,29.4154,28.4181,28.4576,21831500
30.946,2020-09-28,31.5582,29.761,30.2153,22098400
30.2251,2020-09-29,30.7188,29.919,30.709,14785600
30.1955,2020-09-30,31.4495,30.0968,30.6004,16664100
30.709,2020-10-01,30.9657,30.1955,30.6004,12501900
31.3508,2020-10-02,31.8939,29.2377,29.3759,27126000
31.5977,2020-10-05,32.0223,31.1237,31.9433,14807100
30.6695,2020-10-06,32.3086,30.5214,32.2197,20317100
31.7458,2020-10-07,31.9531,31.2422,31.8149,15416600
32.2691,2020-10-08,32.5851,31.5187,32.279,18123800
32.3975,2020-10-09,32.8517,31.884,32.2987,16730600
32.2296,2020-10-12,32.3975,31.8939,32.2691,12065800
31.3706,2020-10-13,31.9828,31.0842,31.4989,22421200
31.3607,2020-10-14,31.9136,31.2521,31.3706,16497900
30.946,2020-10-15,31.0644,30.3041,30.9855,11922300
31.0743,2020-10-16,31.3607,30.8472,31.0052,11143600
31.1039,2020-10-19,31.8643,30.9163,31.3014,14588700
31.5779,2020-10-20,32.0025,31.1928,31.568,14244300
31.1039,2020-10-21,31.5384,30.9756,31.489,11292300
33.296,2020-10-22,33.3849,31.3212,31.4693,25713700
33.5725,2020-10-23,33.612,32.4863,33.0985,15247300
31.5285,2020-10-26,33.0788,31.1336,33.0788,16558300
30.3239,2020-10-27,31.6569,30.3041,31.3508,13442000
29.2772,2020-10-28,29.7709,28.3786,29.3858,22720900
30.3732,2020-10-29,30.5214,28.9711,29.0896,16962300
30.2548,2020-10-30,30.6004,29.6129,30.1363,15229400
29.84,2020-11-02,30.2449,29.297,30.235,14200900
30.5115,2020-11-03,30.9657,30.2548,30.551,14257900
30.0474,2020-11-04,30.9163,29.7314,30.5214,12348500
31.5779,2020-11-05,31.8544,30.4127,30.4621,13145100
31.025,2020-11-06,31.4397,30.6399,31.2718,11821100
36.3077,2020-11-09,38.2035,34.244,36.9298,58086400
36.5743,2020-11-10,36.7027,35.2413,35.6461,28449400
34.5797,2020-11-11,36.3274,34.2933,36.1793,20970400
33.9477,2020-11-12,35.103,33.5923,33.6614,21676300
36.0016,2020-11-13,36.2089,34.4118,34.5106,20832400
37.5222,2020-11-16,38.1641,36.7718,37.9468,25376600
37.1273,2020-11-17,37.5716,36.1991,36.9298,16952700
37.4334,2020-11-18,38.8059,37.4136,37.6111,21199200
37.4334,2020-11-19,37.6506,37.0088,37.1174,13981600
36.6632,2020-11-20,37.6111,36.5052,37.5123,12490500
38.3023,2020-11-23,38.3615,36.9594,37.3247,14802900
40.7412,2020-11-24,40.7709,38.9145,39.5464,23818000
40.7709,2020-11-25,40.9683,39.5464,40.287,14588900
40.5438,2020-11-27,41.6595,40.2673,41.2646,10516600
