close,date,high,low,open,volume
143.07,2019-08-12,143.98,140.33,143.45,609000
146.14,2019-08-13,149.14,141.43,142.23,663000
137.39,2019-08-14,142.32,137.27,142.19,602300
132.94,2019-08-15,137.81,132.86,137.5,726100
134.29,2019-08-16,137.81,132.52,133.54,368100
137.74,2019-08-19,140.98,137.2,137.71,520300
137.43,2019-08-20,138.5,136.09,136.8,388300
140.24,2019-08-21,140.69,138.02,138.99,328100
142.02,2019-08-22,143.06,139.56,140.37,504300
136.27,2019-08-23,142.09,135.82,140.23,497800
138.54,2019-08-26,139.0,136.17,137.04,351100
140.65,2019-08-27,142.57,138.66,139.56,505900
142.96,2019-08-28,144.28,139.6,140.16,337800
146.48,2019-08-29,146.86,144.75,144.75,343000
147.45,2019-08-30,148.27,146.49,147.32,389000
145.46,2019-09-03,146.86,144.12,145.88,513900
146.94,2019-09-04,148.44,146.2,147.33,428900
153.86,2019-09-05,154.43,148.02,148.49,550200
152.79,2019-09-06,155.48,152.65,154.3,327600
155.1,2019-09-09,155.81,153.06,153.5,519300
151.38,2019-09-10,154.74,150.05,154.24,506700
149.74,2019-09-11,151.41,148.09,151.34,383100
150.73,2019-09-12,152.74,148.58,150.23,369900
147.9,2019-09-13,152.93,147.23,151.1,359700
145.04,2019-09-16,149.16,144.49,146.69,348000
143.01,2019-09-17,145.37,142.53,144.61,399800
139.81,2019-09-18,143.01,137.76,142.9,445400
138.06,2019-09-19,140.09,136.3,139.13,517700
136.25,2019-09-20,141.37,136.21,137.94,617400
135.88,2019-09-23,139.23,135.74,136.87,457400
133.02,2019-09-24,136.24,130.19,135.85,685200
134.4,2019-09-25,135.94,131.73,134.03,476400
140.41,2019-09-26,140.98,134.91,134.93,785800
143.13,2019-09-27,144.69,141.27,141.33,904400
147.36,2019-09-30,149.13,143.44,143.44,926900
146.43,2019-10-01,149.92,145.88,147.48,640800
144.22,2019-10-02,145.57,141.18,144.81,551700
146.0,2019-10-03,146.17,140.91,144.06,396800
146.38,2019-10-04,146.82,142.9,145.97,309500
143.91,2019-10-07,146.53,142.77,145.56,466100
