close,date,high,low,open,volume
72.383,2019-08-12,74.0248,72.3209,73.8474,1212000
73.6166,2019-08-13,74.1491,71.886,72.099,1984900
70.4838,2019-08-14,72.2676,70.4305,71.8683,1879400
70.1377,2019-08-15,71.4423,69.7028,70.8565,1913600
71.3091,2019-08-16,71.7973,70.5015,70.608,1853600
71.7795,2019-08-19,72.6049,71.6198,72.4629,1650600
70.7766,2019-08-20,71.744,70.7234,71.4245,1445900
71.1872,2019-08-21,71.6066,71.0176,71.446,1135200
71.1068,2019-08-22,72.0349,70.8302,71.5887,976700
68.501,2019-08-23,71.1872,68.0548,70.6785,1670300
69.6611,2019-08-26,69.6879,68.385,69.1614,1410800
69.1525,2019-08-27,70.2144,68.742,70.1163,2018900
70.4643,2019-08-28,70.8213,68.858,68.8669,1563100
71.3924,2019-08-29,71.8118,70.9819,71.3032,960400
71.3656,2019-08-30,72.0439,70.7856,72.0439,1498400
70.0181,2019-09-03,70.8034,69.2149,70.5982,1734300
70.7945,2019-09-04,71.089,70.2412,70.741,1968200
73.0166,2019-09-05,73.3021,71.7315,71.8832,1943400
73.4003,2019-09-06,73.7394,72.731,73.1683,1792600
75.3815,2019-09-09,76.4702,74.141,74.141,2212300
75.2476,2019-09-10,75.9258,74.4266,75.1494,1939800
75.3101,2019-09-11,75.319,74.0785,75.2654,1868700
75.4082,2019-09-12,75.8188,74.5962,75.4261,1954000
75.6581,2019-09-13,76.4166,75.3547,76.0418,1651000
74.5961,2019-09-16,74.8906,73.4896,74.8906,1808900
74.8728,2019-09-17,75.0691,73.8911,74.4087,1855200
75.2387,2019-09-18,75.3726,74.0161,74.73,1226300
74.73,2019-09-19,75.8098,74.6586,75.0424,1108100
74.0161,2019-09-20,75.4707,74.0161,75.0067,2911000
74.3463,2019-09-23,74.5961,73.1861,73.2486,1529200
73.1772,2019-09-24,75.1851,72.8202,74.7211,2365800
72.9541,2019-09-25,73.4449,72.2402,73.1594,2133600
72.5972,2019-09-26,73.3289,72.4187,73.1148,1387800
72.74,2019-09-27,73.7751,72.3384,73.1683,1102700
72.3651,2019-09-30,73.1326,72.1867,73.0612,1829700
70.4465,2019-10-01,73.0434,70.3037,72.9184,1979900
68.5456,2019-10-02,69.9289,68.0013,69.7415,1930600
68.2779,2019-10-03,68.733,66.7965,68.2065,1807100
69.5094,2019-10-04,69.563,68.2868,68.2868,1298700
69.3399,2019-10-07,70.1877,69.1525,69.206,1600800
67.0821,2019-10-08,68.5189,67.0732,68.5189,1469100
67.9477,2019-10-09,68.5903,67.5997,67.7871,1712400
68.269,2019-10-10,69.1435,68.0102,68.0816,1477000
69.0364,2019-10-11,70.1787,68.965,69.3666,2011200
69.3845,2019-10-14,69.6076,68.3225,68.5367,1613600
70.4554,2019-10-15,71.1068,69.4559,69.8753,1470800
70.1073,2019-10-16,70.8927,70.027,70.2947,1681500
70.7053,2019-10-17,71.0533,70.0181,70.4018,1848500
70.4465,2019-10-18,71.0622,70.2591,70.6963,1662000
71.7851,2019-10-21,71.9725,71.0444,71.1068,1748600
72.4187,2019-10-22,73.2575,71.3567,71.3567,3516400
71.8565,2019-10-23,74.3641,71.4281,73.4806,2692200
71.1604,2019-10-24,72.2402,70.2055,71.7583,1486600
71.5173,2019-10-25,71.8654,70.5089,71.0265,1420300
72.6685,2019-10-28,72.7667,71.8386,71.9457,2203500
72.4811,2019-10-29,73.32,72.3562,72.4008,1360200
72.4187,2019-10-30,72.5168,71.5173,72.5079,1197500
71.6244,2019-10-31,72.4187,70.964,72.0171,1331600
72.9274,2019-11-01,73.1237,72.1331,72.3384,1075600
73.7662,2019-11-04,73.8376,73.1861,73.552,1336700
74.1589,2019-11-05,74.7211,73.793,73.9268,1752400
74.2303,2019-11-06,74.7479,73.793,74.2838,1732100
75.2744,2019-11-07,76.0954,74.7657,74.7657,1500300
75.5956,2019-11-08,75.5956,74.4712,75.1851,1201600
75.0691,2019-11-11,75.676,74.8906,74.8906,669000
75.3636,2019-11-12,75.5243,74.7032,75.087,1402300
75.2387,2019-11-13,75.4261,74.3998,74.962,1513600
75.6849,2019-11-14,75.899,74.9977,74.9977,1331400
75.4261,2019-11-15,76.0329,74.9977,76.0329,1631700
75.0959,2019-11-18,75.6135,74.5604,75.1673,1721600
74.8817,2019-11-19,75.7473,74.8103,75.3725,1421500
74.3345,2019-11-20,74.9535,73.8411,74.6754,1173500
74.3883,2019-11-21,74.5588,73.8231,74.4332,987100
75.2405,2019-11-22,75.3931,74.3973,74.6395,955000
76.4158,2019-11-25,76.4965,75.3303,75.3393,1093000
76.0121,2019-11-26,76.3978,75.5725,76.0838,1054300
76.362,2019-11-27,76.5504,75.8865,76.2543,990400
76.1377,2019-11-29,76.4517,75.9493,76.1646,606300
75.411,2019-12-02,76.7387,75.3213,76.4875,1295000
74.4242,2019-12-03,74.6216,73.1952,74.4511,1785400
75.0253,2019-12-04,75.3482,74.4242,74.4242,1603300
74.5767,2019-12-05,74.7471,73.6975,74.2806,2368000
75.6353,2019-12-06,76.1915,75.4021,75.5276,1644700
75.5456,2019-12-09,76.1556,75.1778,75.3393,1425300
76.1287,2019-12-10,76.1825,75.1598,75.3572,1104900
75.5635,2019-12-11,76.4786,75.3931,76.1825,1215300
77.4923,2019-12-12,77.6538,75.4828,75.707,1536800
77.7615,2019-12-13,78.3984,77.0438,77.582,1331600
77.268,2019-12-16,78.3804,77.1783,78.1741,1787600
77.6089,2019-12-17,78.0216,76.9899,77.5013,1710100
77.6089,2019-12-18,77.9947,77.3488,77.5731,2004900
77.4385,2019-12-19,77.7614,77.2052,77.5461,1872600
77.7794,2019-12-20,78.4342,77.5999,77.905,2909000
76.5593,2019-12-23,77.8601,76.4517,77.8601,1035500
76.5055,2019-12-24,76.8374,76.2274,76.5952,450400
76.6939,2019-12-26,76.8374,76.326,76.6311,787700
76.2094,2019-12-27,76.8374,76.1197,76.8374,556100
75.8327,2019-12-30,76.6042,75.6712,76.5145,775500
76.0928,2019-12-31,76.2453,75.6173,75.6173,894100
76.5234,2020-01-02,76.5324,75.7788,76.353,1559200
75.2495,2020-01-03,75.743,74.7741,75.3662,1068300
73.9218,2020-01-06,74.801,73.2669,74.469,2278300
73.1055,2020-01-07,73.9129,73.0157,73.5271,1926300
73.8949,2020-01-08,74.5139,72.9798,73.2669,2092300
74.8458,2020-01-09,74.8997,74.3883,74.4062,1580100
74.173,2020-01-10,74.9894,74.0474,74.8548,909100
74.3524,2020-01-13,74.5588,73.7334,74.2448,996900
74.496,2020-01-14,74.8907,74.0833,74.3793,1343300
74.7471,2020-01-15,75.088,73.9218,74.1281,1430800
75.0342,2020-01-16,75.6712,74.8727,75.2047,1702900
75.7519,2020-01-17,76.2274,75.097,75.3841,2736800
75.0701,2020-01-21,75.8955,74.9266,75.3572,2002200
76.5593,2020-01-22,76.8195,75.411,75.743,2804200
77.0168,2020-01-23,77.0258,75.5994,76.2094,2734400
68.4405,2020-01-24,71.0421,68.1803,70.0822,12378800
66.3054,2020-01-27,67.4447,65.8747,66.6552,4547200
67.4895,2020-01-28,68.1803,66.4938,68.1803,4336800
68.0009,2020-01-29,68.4495,67.4985,67.651,2515800
68.5122,2020-01-30,68.6827,67.1217,67.2563,3404700
67.3998,2020-01-31,68.1803,66.9602,68.0457,2695200
67.3639,2020-02-03,68.7903,67.2563,67.974,2842600
68.0009,2020-02-04,68.9339,67.9919,68.3597,2228600
69.4183,2020-02-05,69.8758,68.7545,69.0595,2099500
68.4943,2020-02-06,70.1001,68.4943,69.822,2083300
67.5434,2020-02-07,68.0368,67.041,68.0368,2295300
68.0278,2020-02-10,68.1534,67.3012,67.346,1400000
67.956,2020-02-11,68.7455,67.9201,68.27,1617400
68.2162,2020-02-12,68.5302,67.6779,68.3328,1608800
68.3597,2020-02-13,68.7096,67.6869,68.0996,2038600
68.5571,2020-02-14,68.889,68.1803,68.4315,1426400
67.5972,2020-02-18,68.5033,67.337,68.261,1686700
68.1837,2020-02-19,68.3732,67.4167,67.8228,1627600
68.3913,2020-02-20,68.9056,67.8859,68.0394,1178800
67.9672,2020-02-21,68.0755,67.164,67.9401,1722800
66.009,2020-02-24,66.7399,65.5939,65.7473,2020100
62.7063,2020-02-25,66.0361,62.3453,66.018,3074000
62.2641,2020-02-26,63.8704,62.2371,63.3019,2130100
59.7194,2020-02-27,62.219,58.8892,60.7842,3473600
59.178,2020-02-28,59.2141,57.0664,57.7252,5033200
61.2535,2020-03-02,61.2986,58.6726,59.6562,4289900
58.032,2020-03-03,62.0205,57.662,61.0369,3601100
60.1796,2020-03-04,60.315,58.041,58.9343,2878200
58.2666,2020-03-05,59.4487,57.68,58.1312,3488400
56.4709,2020-03-06,57.9778,55.3429,55.9475,3861400
49.4143,2020-03-09,52.7892,48.8458,52.4192,3598100
52.0582,2020-03-10,52.9606,48.3404,51.6251,4406400
48.0066,2020-03-11,50.9393,47.2756,50.5332,3094000
40.4988,2020-03-12,45.2814,40.4175,43.7654,4487200
