close,date,high,low,open,volume
35.1485,2019-08-12,36.0024,35.0177,35.687,4491600
36.0408,2019-08-13,36.7409,35.0638,35.2177,5407300
33.9099,2019-08-14,35.5023,33.8484,35.2331,6178300
33.3714,2019-08-15,34.133,33.0483,34.1099,3494600
34.2407,2019-08-16,34.4715,32.9021,33.3022,4586000
35.0792,2019-08-19,35.2815,34.733,34.8946,3615500
33.2022,2019-08-20,34.81,33.1329,34.81,5972800
33.2945,2019-08-21,34.033,33.2637,33.733,4397800
32.3483,2019-08-22,33.7714,32.3252,33.3253,6072100
31.3174,2019-08-23,32.3252,31.1097,32.3098,6696800
31.402,2019-08-26,31.8098,31.2405,31.7482,3402400
31.6713,2019-08-27,32.1021,31.4782,31.6867,4152200
32.7098,2019-08-28,32.8021,31.3559,31.6559,4539300
33.14,2019-08-29,33.6328,33.0149,33.1087,3292500
33.3434,2019-08-30,33.6328,33.0618,33.4998,4099200
32.6942,2019-09-03,33.0305,32.1858,32.9601,3343300
33.273,2019-09-04,33.4685,32.7333,33.3121,2651400
33.9144,2019-09-05,34.3915,33.7032,33.7501,4041400
33.8205,2019-09-06,34.149,33.3668,34.0551,3217900
34.7669,2019-09-09,34.9053,33.8361,34.0473,3848000
36.2295,2019-09-10,36.2686,35.025,35.2753,4704000
36.6675,2019-09-11,36.8005,35.6507,36.386,4445000
36.7379,2019-09-12,36.91,35.6429,36.8162,3649700
37.7,2019-09-13,37.8877,36.9569,37.262,4027600
38.3335,2019-09-16,39.0922,37.7626,38.0833,5040600
37.5436,2019-09-17,38.3961,37.2385,38.0676,3741900
37.1603,2019-09-18,37.4653,36.7771,37.4653,2588200
37.262,2019-09-19,37.8642,37.1447,37.6374,2418300
37.7078,2019-09-20,38.2084,36.8162,37.129,10570400
37.4732,2019-09-23,37.7117,36.8553,37.0664,3599400
36.4485,2019-09-24,37.5436,35.9401,37.3715,4515300
37.2933,2019-09-25,37.5201,36.0809,36.4094,4396200
36.9413,2019-09-26,37.3011,36.7098,37.1603,2994200
36.8162,2019-09-27,37.4497,36.7692,37.0743,3722300
37.2698,2019-09-30,37.3793,36.8474,36.9648,2512200
35.9558,2019-10-01,37.9894,35.901,37.4966,3838400
35.1423,2019-10-02,35.3301,34.6965,34.939,4759500
35.4396,2019-10-03,35.5021,34.7043,35.0798,3422400
35.463,2019-10-04,35.8072,35.2049,35.3379,3512300
35.3301,2019-10-07,35.7994,35.0133,35.2597,2977900
34.2976,2019-10-08,35.2362,34.282,35.0015,2985900
34.4227,2019-10-09,34.8373,34.4149,34.72,2844600
35.1345,2019-10-10,35.4239,34.4306,34.673,4325000
36.8631,2019-10-11,37.3246,35.5905,35.7837,3675700
36.6206,2019-10-14,36.9726,36.167,36.5424,3196500
36.9178,2019-10-15,37.6218,36.3938,36.6206,3216800
36.8553,2019-10-16,37.481,36.7692,37.1447,3626900
37.395,2019-10-17,37.9659,36.8709,37.1056,2724400
37.5123,2019-10-18,37.693,37.043,37.4732,2757600
36.8553,2019-10-21,38.3023,36.8318,38.005,3967000
36.6206,2019-10-22,37.0617,35.9949,36.824,4645400
36.9413,2019-10-23,37.1603,36.4094,36.5893,4152000
38.6933,2019-10-24,39.1001,37.4184,38.052,6098900
39.4833,2019-10-25,39.7023,38.2475,38.9358,5361100
40.0543,2019-10-28,40.2342,39.4442,39.6945,4504100
40.2733,2019-10-29,40.3828,39.3973,39.8587,3462100
39.9135,2019-10-30,40.2577,39.366,40.0465,3602100
39.4911,2019-10-31,39.9135,38.8811,39.7962,3744000
40.9147,2019-11-01,41.0555,39.8118,39.8744,3207100
42.3695,2019-11-04,42.5572,41.032,41.1806,5430200
42.3929,2019-11-05,43.0187,41.9628,42.2443,6044500
42.4555,2019-11-06,42.8153,42.0879,42.3617,3847000
43.6444,2019-11-07,43.7539,42.565,42.9717,5974300
43.793,2019-11-08,43.793,43.0343,43.4097,4812000
43.6522,2019-11-11,43.9964,43.1907,43.4489,3184900
43.1438,2019-11-12,43.8869,42.651,43.8008,2742700
41.9706,2019-11-13,42.612,41.8142,42.3851,3426000
42.1974,2019-11-14,42.346,41.5717,41.689,2595500
42.9092,2019-11-15,43.2455,42.346,42.4477,3865000
42.4868,2019-11-18,42.9483,42.3304,42.8231,3439900
41.7594,2019-11-19,42.87,41.2901,42.87,5208300
41.1962,2019-11-20,41.8063,40.7504,41.5639,5394100
42.1427,2019-11-21,42.1739,40.9459,41.2275,4618400
42.3929,2019-11-22,42.7527,41.9236,42.2209,3115600
43.1751,2019-11-25,43.1986,42.5181,42.8779,5073700
43.3081,2019-11-26,43.6053,42.8779,43.2142,4643800
42.9991,2019-11-27,43.4903,42.6981,43.316,3926000
42.2782,2019-11-29,42.9991,42.0802,42.7852,1887600
42.1119,2019-12-02,42.5793,41.898,41.9851,3349500
41.0504,2019-12-03,41.2009,40.4404,41.1613,3950100
41.4148,2019-12-04,42.3733,41.3593,42.3733,3791400
41.193,2019-12-05,41.7079,40.9395,41.6128,2692600
42.1594,2019-12-06,42.5793,41.6603,41.6603,2818800
42.199,2019-12-09,42.7615,41.9772,42.7456,2377200
42.0881,2019-12-10,42.2941,41.7396,42.2703,2609700
42.0643,2019-12-11,42.8328,42.0247,42.3812,3253300
43.1338,2019-12-12,43.2368,41.8425,42.1832,2882300
42.2069,2019-12-13,43.4269,42.1832,43.2843,3198600
42.912,2019-12-16,43.2051,42.3891,42.4683,4040000
43.3001,2019-12-17,43.3635,42.7219,42.8565,2665300
42.9754,2019-12-18,43.3239,42.4129,43.0625,3659100
43.1892,2019-12-19,43.4665,42.8248,43.1179,3356000
43.2605,2019-12-20,43.7675,42.7932,43.6091,10476700
43.514,2019-12-23,43.6091,42.9516,43.1655,2678600
43.4903,2019-12-24,43.7675,43.2922,43.5695,926200
43.7438,2019-12-26,43.7517,43.1892,43.5536,1909600
43.4348,2019-12-27,44.0052,43.3477,43.7992,1688500
43.0467,2019-12-30,43.6091,42.9674,43.4586,1943300
43.3556,2019-12-31,43.3952,42.7219,42.7932,2145700
42.5793,2020-01-02,43.9973,42.4921,43.7517,5145200
41.5257,2020-01-03,42.4604,41.5178,42.0723,5004300
41.3593,2020-01-06,41.8901,41.193,41.4464,4293100
41.3435,2020-01-07,42.0366,41.185,41.4227,5122800
41.7712,2020-01-08,42.1198,41.1296,41.5177,3629700
41.3435,2020-01-09,42.0406,41.0425,41.7871,2667800
40.7969,2020-01-10,41.8822,40.7177,41.8742,3277300
41.4702,2020-01-13,41.5098,40.7731,40.7969,2665500
41.3831,2020-01-14,41.9614,41.1534,41.3435,3689800
41.4068,2020-01-15,41.7079,40.9553,41.3435,2235400
41.5732,2020-01-16,41.8822,41.3276,41.6524,3765600
42.2545,2020-01-17,42.2703,41.5296,41.6128,3897500
41.6683,2020-01-21,42.104,41.3514,41.9693,4156000
40.2978,2020-01-22,41.8267,40.1489,41.7713,5149600
39.8067,2020-01-23,40.2027,38.9353,39.7829,5797600
38.4124,2020-01-24,39.8225,38.056,39.5136,5919300
37.3747,2020-01-27,37.6916,36.9469,37.4777,4827000
37.3589,2020-01-28,37.8025,37.248,37.549,5813800
39.3472,2020-01-29,39.569,38.4996,38.8006,6828000
38.3966,2020-01-30,38.8006,37.7549,38.2699,5644800
