close,date,high,low,open,volume
105.149,2019-08-12,106.953,102.944,106.43,1038200
105.585,2019-08-13,107.118,104.504,105.175,899500
101.785,2019-08-14,104.853,101.768,104.574,1173600
100.138,2019-08-15,102.177,99.9029,101.768,1480000
102.047,2019-08-16,102.526,100.304,100.495,839900
104.199,2019-08-19,104.861,102.735,103.232,921800
103.589,2019-08-20,104.295,102.273,104.068,698600
104.164,2019-08-21,104.556,103.284,103.999,947200
105.358,2019-08-22,106.273,104.19,104.19,844700
105.036,2019-08-23,106.935,104.617,105.315,1038000
105.62,2019-08-26,105.681,104.121,105.681,786600
104.156,2019-08-27,105.855,103.833,105.62,1118100
104.748,2019-08-28,105.193,103.737,104.068,639500
106.177,2019-08-29,106.718,104.896,105.001,941800
105.428,2019-08-30,107.118,105.193,106.116,905100
104.156,2019-09-03,105.837,103.371,105.071,805800
106.421,2019-09-04,107.118,104.251,104.609,1200500
108.112,2019-09-05,108.739,106.169,107.336,1020000
109.349,2019-09-06,111.206,108.46,108.652,1812400
111.171,2019-09-09,111.293,108.992,109.689,1166600
110.63,2019-09-10,110.813,108.879,110.491,1049000
110.848,2019-09-11,111.537,110.212,111.066,977300
109.855,2019-09-12,111.075,109.776,110.744,1044800
110.97,2019-09-13,111.903,109.768,110.003,1088100
110.596,2019-09-16,111.606,109.864,110.012,1282200
109.803,2019-09-17,111.493,108.783,110.927,1330200
110.787,2019-09-18,111.197,110.116,110.195,1519000
105.166,2019-09-19,107.981,104.957,106.334,4339900
104.4,2019-09-20,105.925,103.746,105.105,1976300
103.868,2019-09-23,104.6,103.18,104.312,1528500
102.674,2019-09-24,105.559,102.291,104.443,2467100
103.267,2019-09-25,103.824,102.578,102.831,1555800
101.471,2019-09-26,103.171,100.774,102.857,1216600
101.402,2019-09-27,102.264,100.687,101.681,1113000
103.023,2019-09-30,103.354,101.785,101.785,1377700
101.968,2019-10-01,103.589,101.358,103.075,1735800
100.966,2019-10-02,101.611,99.3887,101.184,2908400
100.609,2019-10-03,101.532,99.3277,100.914,1782800
101.454,2019-10-04,101.567,100.417,100.426,1329700
100.905,2019-10-07,101.445,100.469,101.271,1210900
99.2929,2019-10-08,100.731,99.2667,100.4,1503900
98.7747,2019-10-09,99.7671,98.5025,99.5651,2019500
98.3883,2019-10-10,99.3807,98.0019,98.9065,2172300
99.2753,2019-10-11,100.233,99.0821,99.2841,1424000
97.0007,2019-10-14,99.0821,96.948,99.0206,1106300
96.8602,2019-10-15,97.4047,96.4386,97.1851,1275400
96.6055,2019-10-16,97.5013,96.342,96.8865,1149700
95.8502,2019-10-17,97.0358,95.8063,97.0358,1007700
97.0007,2019-10-18,97.2378,95.859,96.0785,1195600
96.746,2019-10-21,97.9404,96.6055,97.0182,1021000
95.5692,2019-10-22,97.2027,95.3496,96.8602,1172600
96.9568,2019-10-23,96.9831,95.3584,95.5955,1196300
96.9655,2019-10-24,97.7735,96.2454,97.229,1227400
98.6869,2019-10-25,98.9855,96.6933,96.6933,1102000
97.7911,2019-10-28,99.4422,97.756,98.845,867000
99.8988,2019-10-29,100.031,98.2917,99.4334,1666100
99.2314,2019-10-30,100.048,97.914,99.5739,1146700
98.5991,2019-10-31,99.8198,98.3093,99.3895,865100
98.5112,2019-11-01,99.6178,98.4761,98.924,822800
97.4398,2019-11-04,98.8011,97.2378,98.5288,1072500
99.0382,2019-11-05,99.3456,97.1851,97.3959,1150200
99.0557,2019-11-06,99.2753,98.1951,99.2138,837100
99.6617,2019-11-07,99.9252,99.0821,99.4861,926900
100.918,2019-11-08,100.918,99.4597,99.5563,989000
100.435,2019-11-11,100.953,99.9164,100.276,921900
98.7484,2019-11-12,100.716,96.3859,100.417,931800
98.8713,2019-11-13,99.1875,97.9667,98.3619,895000
98.7747,2019-11-14,99.7408,98.4585,98.8098,613400
98.8889,2019-11-15,99.3983,98.3356,99.1963,1256300
99.4861,2019-11-18,100.127,98.6166,98.7571,2205500
99.6705,2019-11-19,100.039,99.1436,99.6266,1020900
100.777,2019-11-20,101.172,99.6617,99.8374,908500
99.6705,2019-11-21,101.234,99.4246,101.111,696200
100.707,2019-11-22,100.874,99.1875,99.9779,645600
101.576,2019-11-25,102.182,100.742,101.225,894300
102.92,2019-11-26,103.017,101.374,101.69,1578400
103.157,2019-11-27,103.825,102.973,103.412,885800
104.018,2019-11-29,104.755,102.973,103.342,803500
104.791,2019-12-02,104.896,103.623,104.062,997600
104.044,2019-12-03,104.448,102.797,104.272,1316600
103.587,2019-12-04,104.369,103.017,103.895,1069500
104.062,2019-12-05,104.351,103.043,103.842,1308400
105.238,2019-12-06,105.37,104.158,104.553,977800
103.719,2019-12-09,105.361,103.719,105.353,1369700
104.141,2019-12-10,104.299,103.377,103.719,1071600
103.14,2019-12-11,104.404,103.043,104.132,995400
102.112,2019-12-12,102.946,101.743,102.103,1054700
101.506,2019-12-13,102.226,100.953,101.813,918800
101.892,2019-12-16,102.402,101.084,102.024,925900
101.884,2019-12-17,102.279,101.357,101.453,1041300
102.147,2019-12-18,102.586,101.014,102.165,1610500
95.7536,2019-12-19,99.2402,95.7536,98.3971,5406000
96.8163,2019-12-20,98.2302,95.9907,96.6055,3928700
95.4638,2019-12-23,96.5528,94.77,96.5528,1871900
95.2881,2019-12-24,95.6833,94.9807,95.4638,668500
95.6482,2019-12-26,96.061,94.8841,95.6131,1013500
94.8578,2019-12-27,95.3057,94.2343,95.0598,1520600
95.6921,2019-12-30,95.7272,94.4011,94.849,1478600
95.736,2019-12-31,96.0258,94.8139,95.736,1601000
98.5903,2020-01-02,98.5903,96.0697,96.4298,2745500
98.6957,2020-01-03,98.8186,97.3783,97.9755,1371300
99.3456,2020-01-06,99.3719,98.037,98.4673,1595900
98.4937,2020-01-07,99.6617,98.1248,98.5464,1901800
99.9867,2020-01-08,100.18,98.2039,98.5815,1675800
101.243,2020-01-09,102.226,99.7035,100.385,1906700
101.385,2020-01-10,101.633,100.509,101.412,1146100
100.234,2020-01-13,101.686,100.057,101.385,1517400
99.314,2020-01-14,99.8716,98.8272,99.8716,2080700
98.4997,2020-01-15,99.6946,98.4643,99.314,1511300
100.022,2020-01-16,100.766,98.0041,98.3493,2681700
100.473,2020-01-17,100.677,99.9778,100.261,1050200
101.385,2020-01-21,101.509,100.022,100.111,1502800
101.766,2020-01-22,102.182,101.465,101.624,1423000
104.102,2020-01-23,104.191,101.518,101.739,1525100
103.633,2020-01-24,104.235,103.164,104.217,1080200
103.005,2020-01-27,103.545,102.562,102.58,1133500
103.952,2020-01-28,104.324,103.226,103.412,1391800
105.51,2020-01-29,105.846,103.058,104.27,1124700
104.624,2020-01-30,104.943,102.961,104.855,1336100
103.049,2020-01-31,104.872,102.518,104.704,1081700
101.713,2020-02-03,103.669,101.677,103.669,1343600
102.279,2020-02-04,103.323,102.27,102.571,1511700
103.978,2020-02-05,104.111,102.27,102.589,1700800
107.536,2020-02-06,107.802,104.315,104.421,2089300
106.837,2020-02-07,107.935,106.395,107.536,1555400
107.793,2020-02-10,107.952,106.421,106.757,979800
108.182,2020-02-11,108.351,106.802,107.882,1565100
108.377,2020-02-12,109.758,108.191,108.554,1150400
108.218,2020-02-13,108.359,107.333,108.085,1081100
107.722,2020-02-14,108.536,107.386,108.404,736900
106.642,2020-02-18,107.457,105.332,107.235,1062800
106.811,2020-02-19,107.289,106.173,106.926,905300
106.811,2020-02-20,107.094,105.695,106.563,757400
107.182,2020-02-21,107.439,106.173,106.191,1372200
104.341,2020-02-24,106.005,103.854,105.403,1177500
98.9069,2020-02-25,104.828,98.8272,104.828,1481600
94.7647,2020-02-26,99.5795,94.7382,99.0396,2085200
87.9408,2020-02-27,92.499,87.8877,92.2688,3096600
86.2946,2020-02-28,89.1799,83.4004,85.4272,2593000
87.4452,2020-03-02,87.5071,84.5775,86.5159,2405300
