close,date,high,low,open,volume
17.7346,2019-08-12,18.1344,17.6139,17.8025,6449300
17.8176,2019-08-13,18.4738,17.4555,17.5913,8900700
16.6182,2019-08-14,17.365,16.6106,17.2744,6910300
16.3089,2019-08-15,16.7162,16.1354,16.6257,7200700
17.0029,2019-08-16,17.0481,16.1354,16.4371,7774400
17.5535,2019-08-19,17.6441,17.2065,17.3348,5236100
17.6214,2019-08-20,17.8176,17.3197,17.5007,6936700
17.6365,2019-08-21,18.0816,17.5913,17.8628,5745400
17.3725,2019-08-22,17.8477,17.3499,17.7497,5894800
16.3541,2019-08-23,17.2744,16.2787,16.9953,9246700
16.2712,2019-08-26,16.7539,16.1731,16.6106,9275800
16.0977,2019-08-27,16.5729,15.9317,16.4145,6666700
16.5352,2019-08-28,16.7539,16.2033,16.241,5824800
17.0029,2019-08-29,17.116,16.6634,16.6634,6215100
16.588,2019-08-30,17.282,16.5125,17.0783,6616200
16.6634,2019-09-03,16.7087,16.0675,16.1731,6614700
17.2292,2019-09-04,17.3725,16.8822,17.0104,5609600
17.727,2019-09-05,18.1796,17.4479,17.4479,7531000
17.6139,2019-09-06,17.7798,17.0104,17.4856,5874100
18.5794,2019-09-09,18.6172,17.8628,17.8704,7254700
18.5266,2019-09-10,19.1603,18.3456,18.7152,9206800
18.8359,2019-09-11,19.0773,18.3305,18.6473,7092500
18.5937,2019-09-12,18.8208,17.9956,18.2681,7706100
18.9798,2019-09-13,19.1615,18.6391,18.8889,5773800
21.2888,2019-09-16,21.5159,20.2365,20.6226,13742400
20.1986,2019-09-17,21.2283,19.858,21.2055,9822200
20.0624,2019-09-18,20.4182,19.7974,19.911,8430800
19.6536,2019-09-19,20.456,19.5476,20.3122,6823200
19.7671,2019-09-20,19.8655,19.54,19.7368,7923500
19.5551,2019-09-23,19.7974,19.4037,19.4643,4068700
18.7148,2019-09-24,19.487,18.6088,19.4113,5730000
18.7072,2019-09-25,18.7981,18.3135,18.3741,4347500
18.4801,2019-09-26,18.5709,18.2454,18.4422,3653800
18.359,2019-09-27,18.7148,18.0713,18.1697,4462000
18.2151,2019-09-30,18.3287,18.0561,18.2227,3920700
17.5186,2019-10-01,18.5785,17.4883,18.3211,4563500
16.6783,2019-10-02,17.4808,16.6556,17.3672,6803500
17.1628,2019-10-03,17.1855,16.2165,16.5193,7236500
17.1098,2019-10-04,17.2764,16.7615,16.9508,3582200
16.5723,2019-10-07,17.1098,16.3149,17.0038,7205800
15.8303,2019-10-08,16.4436,15.8303,16.3073,8530500
15.9515,2019-10-09,16.2013,15.5881,16.1407,7644600
15.7698,2019-10-10,16.1635,15.5729,15.9363,5998200
16.0953,2019-10-11,16.4436,15.9363,16.0348,8706400
15.8606,2019-10-14,15.8985,15.2096,15.7622,9665300
15.8758,2019-10-15,16.0878,15.4821,15.7774,6529300
15.6335,2019-10-16,16.1862,15.5881,15.8531,6535900
15.4291,2019-10-17,15.6941,15.2701,15.6638,5714900
14.99,2019-10-18,15.6032,14.99,15.3913,5893000
15.3231,2019-10-21,15.4367,14.9673,14.9749,5062900
15.6487,2019-10-22,16.0348,15.2095,15.3988,6468900
16.1256,2019-10-23,16.2997,15.3837,15.6259,10303100
16.2467,2019-10-24,16.2997,15.9212,16.2619,8312900
16.2543,2019-10-25,16.3754,15.9439,16.224,9456300
15.9363,2019-10-28,16.5571,15.9363,16.3982,8878500
16.2013,2019-10-29,16.3073,15.6789,15.7546,8305100
15.3307,2019-10-30,16.3452,15.2777,16.2846,6303300
15.3534,2019-10-31,15.467,14.9294,15.2625,5711200
16.0272,2019-11-01,16.0575,15.414,15.5729,6601300
17.0871,2019-11-04,17.1476,16.2846,16.3603,12374300
17.3975,2019-11-05,17.8442,17.2006,17.2612,11001200
16.7161,2019-11-06,18.1697,16.6783,18.1697,10316400
17.1704,2019-11-07,17.3142,16.9432,16.9811,8545900
17.3445,2019-11-08,17.4126,16.701,16.8902,5696800
17.0568,2019-11-11,17.2309,16.8751,16.9962,5730300
16.9357,2019-11-12,17.4656,16.7767,17.2158,7759900
16.3679,2019-11-13,16.913,16.3073,16.8145,6227300
16.5344,2019-11-14,16.7388,16.383,16.4284,5818300
17.0795,2019-11-15,17.2991,16.6631,16.6858,6862200
16.6253,2019-11-18,16.8978,16.3527,16.8448,7662000
16.2695,2019-11-19,16.5723,16.0575,16.5344,6166100
16.6177,2019-11-20,17.0644,16.118,16.2013,6380900
17.2385,2019-11-21,17.3293,16.5874,16.7388,7108000
17.2385,2019-11-22,17.4429,17.0417,17.3142,4324300
17.2158,2019-11-25,17.3293,17.0265,17.2082,7193200
16.8524,2019-11-26,17.2688,16.7691,17.1855,6717600
17.0417,2019-11-27,17.1022,16.7313,16.9205,3221600
16.5723,2019-11-29,16.8448,16.436,16.8448,2392100
