close,date,high,low,open,volume
37.9825,2019-08-12,38.75,37.6575,38.47,1806400
39.325,2019-08-13,39.55,37.6725,38.4075,2659200
38.375,2019-08-14,38.7425,37.81,38.5625,2488000
39.6325,2019-08-15,39.6875,38.375,38.5425,4301200
40.92,2019-08-16,41.2725,39.635,39.7725,5206800
40.8975,2019-08-19,41.915,40.56,41.5825,3551600
42.07,2019-08-20,42.365,40.6175,40.86,4640800
43.2975,2019-08-21,43.35,42.1525,42.5,3250000
43.5925,2019-08-22,43.8725,42.77,43.3325,3268800
43.3875,2019-08-23,44.1475,43.1125,43.685,4807200
43.6725,2019-08-26,43.875,43.2125,43.75,3116400
43.75,2019-08-27,44.5875,43.6125,44.04,3472000
43.7975,2019-08-28,44.6125,43.0,43.22,3071200
43.015,2019-08-29,44.45,42.8775,44.45,5338800
42.9025,2019-08-30,43.2575,42.27,43.0975,2002800
43.065,2019-09-03,43.15,42.325,42.5,3090800
42.4075,2019-09-04,43.24,42.2925,43.1725,2877600
41.9175,2019-09-05,42.8575,41.6275,42.5975,2154800
40.1225,2019-09-06,41.92,40.06,41.92,4262000
36.3425,2019-09-09,40.29,36.21,40.015,7987200
36.31,2019-09-10,36.745,34.57,35.95,6639200
36.675,2019-09-11,37.2075,36.2625,36.4675,3900000
36.79,2019-09-12,37.3275,36.5325,36.8625,3033200
36.565,2019-09-13,36.79,36.025,36.395,2660000
37.17,2019-09-16,37.4175,36.195,36.3725,2318800
38.425,2019-09-17,38.96,37.27,37.7425,3721200
39.2325,2019-09-18,39.42,37.865,37.865,3328400
38.7475,2019-09-19,39.3775,38.37,39.3775,1852800
38.6,2019-09-20,39.4625,38.035,38.7525,3981600
38.8325,2019-09-23,39.6225,38.5525,38.8,2320800
38.365,2019-09-24,39.1475,37.8275,38.7575,2306800
38.44,2019-09-25,38.625,37.325,38.4425,2057600
37.4725,2019-09-26,38.7825,37.4075,38.6125,2126400
37.1275,2019-09-27,37.9925,36.775,37.6375,2745200
37.31,2019-09-30,37.7475,36.6575,37.14,2261600
37.2125,2019-10-01,37.6875,37.0,37.4025,1718800
37.2225,2019-10-02,37.5,36.4475,37.0475,2058000
39.3525,2019-10-03,39.5725,36.4,37.3475,4080400
40.0925,2019-10-04,40.33,39.3025,39.3025,2780000
39.8625,2019-10-07,40.4625,39.4875,39.86,2630000
37.6025,2019-10-08,39.82,37.52,39.5825,3236000
38.475,2019-10-09,38.7475,37.3875,38.02,2008000
38.615,2019-10-10,38.8875,37.825,38.31,1427200
38.8375,2019-10-11,39.975,38.775,39.24,1538800
40.045,2019-10-14,40.535,38.775,38.94,2097600
38.2425,2019-10-15,39.18,36.595,39.0,8310400
38.4675,2019-10-16,39.87,37.62,38.9475,3676800
39.1675,2019-10-17,39.615,38.435,38.635,2007600
39.23,2019-10-18,39.3725,38.295,38.875,2580800
39.155,2019-10-21,39.9025,39.0175,39.2475,1760400
37.7225,2019-10-22,39.58,37.63,39.33,1749600
36.615,2019-10-23,38.5,36.5275,38.105,2782400
36.7425,2019-10-24,37.3225,36.615,37.0525,1939600
36.8475,2019-10-25,37.4775,36.3075,36.73,1970800
37.9075,2019-10-28,38.0725,36.88,36.88,1828000
38.71,2019-10-29,38.92,37.365,37.9575,2100000
38.935,2019-10-30,39.2375,38.27,38.9625,1596400
38.56,2019-10-31,39.36,37.7775,38.8475,1980000
39.325,2019-11-01,40.0125,38.66,38.9,1815200
39.635,2019-11-04,39.8375,38.975,39.7,3334800
38.39,2019-11-05,39.9675,37.6025,39.6225,5473600
38.28,2019-11-06,39.315,38.065,38.4975,5065600
48.675,2019-11-07,50.2,45.7875,46.3,28818000
49.52,2019-11-08,49.905,48.375,48.525,10310800
51.42,2019-11-11,51.4825,48.65,49.0,6073600
51.535,2019-11-12,52.05,50.7225,51.01,5217200
50.725,2019-11-13,51.6325,49.995,51.055,3777600
50.7025,2019-11-14,51.6325,49.6775,51.2025,3820400
52.0925,2019-11-15,52.095,50.505,50.8475,4668800
53.445,2019-11-18,53.62,52.205,52.3025,5936800
54.395,2019-11-19,54.7325,53.1275,53.6125,5051200
55.3325,2019-11-20,55.8125,54.125,54.13,6060000
54.7025,2019-11-21,55.61,53.765,55.26,5300800
55.4625,2019-11-22,55.88,54.255,54.3675,3610000
56.6975,2019-11-25,56.88,55.425,56.0,3016800
56.0175,2019-11-26,56.9575,55.8025,56.6375,3480000
56.8825,2019-11-27,57.2125,55.9825,56.06,2220800
56.8275,2019-11-29,57.4225,56.3175,56.525,1012800
55.98,2019-12-02,56.1325,54.275,54.5375,4477600
57.165,2019-12-03,57.44,55.08,55.335,2293200
57.295,2019-12-04,57.7125,56.505,57.2,2729600
56.7,2019-12-05,58.0,56.6725,57.705,2370400
56.19,2019-12-06,57.565,55.9025,57.1,2011600
55.25,2019-12-09,56.9075,55.225,56.2375,3040400
53.8825,2019-12-10,55.7425,53.5975,55.125,6109200
53.09,2019-12-11,53.95,52.8325,53.48,4890400
50.5,2019-12-12,53.27,50.3925,52.9675,7056800
50.9575,2019-12-13,51.5325,49.88,50.5,5887200
53.1025,2019-12-16,53.2325,51.34,51.535,6035200
54.3325,2019-12-17,54.4625,52.125,53.31,5406000
54.6625,2019-12-18,55.2575,54.0275,54.2075,3633200
54.0825,2019-12-19,55.2475,53.7225,54.77,4351200
53.355,2019-12-20,54.5775,52.5925,54.2975,3698000
54.0975,2019-12-23,54.405,53.1175,53.4175,1863200
54.1,2019-12-24,54.7875,54.02,54.2325,861200
53.83,2019-12-26,54.6125,53.4175,54.1625,1166400
54.5275,2019-12-27,54.8325,53.505,54.3625,1403600
54.0475,2019-12-30,54.69,53.4125,54.3025,1878000
