close,date,high,low,open,volume
186.74,2019-08-12,188.08,183.47,185.0,269800
189.61,2019-08-13,190.36,185.64,185.71,324800
182.34,2019-08-14,186.74,180.92,185.65,340200
184.48,2019-08-15,185.27,181.1,183.52,446300
188.02,2019-08-16,188.38,184.6,185.5,251500
190.64,2019-08-19,192.14,189.17,191.0,387200
193.27,2019-08-20,193.72,188.55,190.72,358400
196.97,2019-08-21,198.11,194.8,195.11,344900
195.5,2019-08-22,198.54,194.29,197.32,262900
188.24,2019-08-23,195.89,187.33,194.11,468500
188.97,2019-08-26,191.42,187.48,190.36,349700
188.9,2019-08-27,190.53,185.76,190.34,370800
189.75,2019-08-28,190.12,184.48,188.18,219800
191.98,2019-08-29,194.28,191.08,192.77,206600
191.33,2019-08-30,194.53,188.74,193.57,138500
188.27,2019-09-03,191.59,187.22,190.33,256500
191.44,2019-09-04,192.0,189.16,189.87,329200
194.82,2019-09-05,195.79,192.9,193.59,350300
192.89,2019-09-06,196.81,192.68,194.94,246000
193.48,2019-09-09,195.22,191.11,194.31,480800
176.13,2019-09-10,191.7,174.71,191.0,614200
183.73,2019-09-11,184.71,175.0,176.75,574900
184.17,2019-09-12,186.81,183.1,185.1,236100
178.92,2019-09-13,184.81,177.84,184.52,335600
180.95,2019-09-16,181.93,177.72,177.72,350100
183.26,2019-09-17,183.64,180.13,180.98,209500
184.56,2019-09-18,185.7,182.24,183.34,267700
185.24,2019-09-19,187.46,183.8,185.19,219300
185.79,2019-09-20,187.96,184.42,187.0,339100
184.76,2019-09-23,186.9,184.37,185.39,193500
181.78,2019-09-24,187.9,180.66,186.2,185800
183.83,2019-09-25,184.56,179.4,182.0,151000
183.64,2019-09-26,184.88,182.51,183.12,191700
180.36,2019-09-27,185.28,179.0,184.91,264800
182.32,2019-09-30,183.4,179.69,180.54,207000
181.44,2019-10-01,183.99,180.59,183.07,218400
180.02,2019-10-02,180.29,176.8,179.69,387900
184.3,2019-10-03,184.6,178.28,179.64,324100
188.91,2019-10-04,189.01,184.44,185.25,334100
190.03,2019-10-07,191.64,187.72,187.72,473700
184.51,2019-10-08,188.65,184.47,187.98,275000
185.83,2019-10-09,186.76,184.21,186.11,211500
184.44,2019-10-10,186.8,184.06,185.29,181700
189.02,2019-10-11,190.86,186.0,186.23,192800
188.2,2019-10-14,188.98,186.36,188.98,171700
189.95,2019-10-15,190.74,188.45,188.63,137400
188.45,2019-10-16,189.26,185.5,188.9,247100
189.2,2019-10-17,190.15,187.28,189.52,164700
186.96,2019-10-18,189.4,184.54,188.97,219100
185.98,2019-10-21,188.13,185.26,188.13,201100
170.0,2019-10-22,186.85,169.91,185.73,666700
171.85,2019-10-23,174.08,168.26,169.98,518100
177.52,2019-10-24,179.37,172.84,172.84,288400
176.15,2019-10-25,178.66,175.6,177.22,247700
178.57,2019-10-28,179.41,176.38,176.62,172800
176.62,2019-10-29,179.33,176.2,178.14,238400
177.25,2019-10-30,177.94,175.07,177.94,177400
175.96,2019-10-31,179.05,175.33,178.0,243700
177.42,2019-11-01,179.69,176.42,177.02,171800
177.28,2019-11-04,179.36,176.21,178.73,251300
177.81,2019-11-05,178.32,175.53,177.64,186000
178.41,2019-11-06,179.61,176.09,176.81,280500
190.29,2019-11-07,194.08,185.39,191.09,832000
189.23,2019-11-08,191.92,187.26,190.08,490800
194.28,2019-11-11,196.73,187.23,187.75,308300
199.66,2019-11-12,200.0,194.33,194.79,483800
200.84,2019-11-13,201.78,196.43,199.0,373300
207.67,2019-11-14,208.31,199.18,200.0,508300
205.69,2019-11-15,208.25,204.54,208.05,327900
208.18,2019-11-18,208.74,204.53,205.75,377900
209.7,2019-11-19,210.06,207.14,208.82,285600
208.27,2019-11-20,209.47,204.55,208.77,316200
205.51,2019-11-21,207.69,203.18,207.39,420100
205.15,2019-11-22,207.98,204.34,205.87,337800
212.74,2019-11-25,213.34,204.58,206.55,461100
212.3,2019-11-26,214.85,211.09,212.17,562000
213.03,2019-11-27,214.5,212.46,213.17,317000
211.85,2019-11-29,213.51,211.39,212.25,126600
205.05,2019-12-02,211.49,204.96,211.08,580700
205.1,2019-12-03,206.35,201.06,201.5,539600
207.01,2019-12-04,208.82,205.7,205.99,204500
206.5,2019-12-05,208.78,206.5,207.56,207200
209.91,2019-12-06,211.72,207.9,208.42,216700
208.81,2019-12-09,211.27,208.77,209.49,154300
208.53,2019-12-10,209.67,207.68,208.2,141000
207.84,2019-12-11,209.82,205.78,209.82,185400
206.74,2019-12-12,207.81,204.29,206.68,227000
210.02,2019-12-13,210.61,206.59,206.89,243900
212.2,2019-12-16,213.49,211.05,211.2,165100
209.22,2019-12-17,212.2,208.47,212.2,247200
209.32,2019-12-18,211.26,209.05,210.13,171700
211.17,2019-12-19,211.28,208.55,209.0,241000
211.9,2019-12-20,213.11,210.73,212.85,299300
211.3,2019-12-23,213.18,210.15,212.99,161000
211.66,2019-12-24,212.26,209.32,211.28,98400
215.86,2019-12-26,215.9,212.2,212.4,217200
214.39,2019-12-27,217.0,213.83,216.93,141000
210.51,2019-12-30,214.0,209.36,214.0,141600
212.16,2019-12-31,213.18,209.65,209.65,153000
216.31,2020-01-02,216.43,213.38,214.12,229600
217.4,2020-01-03,217.76,212.94,213.7,216500
214.2,2020-01-06,215.0,212.0,214.39,497300
215.61,2020-01-07,216.82,212.7,214.1,159600
221.38,2020-01-08,221.7,214.31,215.39,333900
223.29,2020-01-09,224.22,221.24,222.98,183500
223.08,2020-01-10,224.71,222.41,223.82,214400
228.56,2020-01-13,229.13,224.58,225.04,186600
227.17,2020-01-14,229.93,226.47,228.33,349600
228.71,2020-01-15,231.21,228.11,228.15,148600
233.71,2020-01-16,233.84,229.85,230.45,217300
232.43,2020-01-17,233.88,229.69,233.83,266300
231.81,2020-01-21,233.37,230.43,230.98,306000
232.51,2020-01-22,236.04,232.49,232.82,355600
230.3,2020-01-23,232.6,230.28,232.09,237100
227.57,2020-01-24,232.51,226.11,231.67,210200
226.84,2020-01-27,227.29,220.02,221.69,311500
233.33,2020-01-28,234.4,227.71,228.58,185400
233.43,2020-01-29,235.81,233.43,234.04,181300
231.92,2020-01-30,233.56,229.36,231.07,191100
228.14,2020-01-31,231.28,226.5,231.0,205000
234.25,2020-02-03,235.18,228.89,228.89,223300
238.6,2020-02-04,240.46,234.74,234.75,198500
232.1,2020-02-05,242.09,230.1,242.09,328500
234.78,2020-02-06,236.4,232.68,233.82,158000
233.02,2020-02-07,234.17,231.42,233.45,127000
235.33,2020-02-10,235.53,232.16,232.16,178500
231.47,2020-02-11,236.99,231.28,236.81,207400
232.35,2020-02-12,233.56,228.31,232.57,394100
232.95,2020-02-13,234.68,231.1,231.23,286300
236.75,2020-02-14,236.94,232.28,233.75,243900
237.0,2020-02-18,237.44,233.39,236.25,458900
240.0,2020-02-19,240.77,237.0,237.0,325900
238.05,2020-02-20,248.27,235.0,245.0,682800
231.36,2020-02-21,237.97,228.85,236.74,384500
226.03,2020-02-24,227.55,218.97,221.5,411400
216.96,2020-02-25,227.58,215.65,226.99,362000
221.89,2020-02-26,224.77,217.15,217.47,479700
220.84,2020-02-27,225.81,216.63,219.34,536800
223.2,2020-02-28,223.37,212.46,214.16,613900
229.87,2020-03-02,229.87,217.99,224.02,402200
225.0,2020-03-03,231.99,221.05,230.39,343300
235.95,2020-03-04,236.0,226.04,229.31,199000
232.44,2020-03-05,236.65,231.36,231.36,333000
226.4,2020-03-06,227.69,219.68,226.39,683400
