close,date,high,low,open,volume
67.4565,2019-08-12,67.8884,67.0578,67.4316,833900
67.1824,2019-08-13,67.4316,66.0695,67.3651,1339600
66.2937,2019-08-14,67.4067,66.2688,67.3153,916900
67.3983,2019-08-15,67.5894,66.3685,66.5346,1282500
67.8053,2019-08-16,68.096,66.3685,67.5728,1098000
68.7438,2019-08-19,68.8601,67.714,68.1043,1036600
68.4698,2019-08-20,69.0262,68.3369,68.8933,1068200
68.6276,2019-08-21,68.8186,68.1126,68.4365,625600
68.9348,2019-08-22,69.0013,68.2538,68.7023,830300
68.7272,2019-08-23,69.5993,68.5445,68.9016,2343300
69.4415,2019-08-26,69.4415,68.503,69.0926,1728100
69.5827,2019-08-27,69.9564,69.3834,69.7571,1933200
69.4581,2019-08-28,69.8069,69.2172,69.6408,1749600
69.9896,2019-08-29,70.1059,69.3418,69.6408,874600
70.3966,2019-08-30,70.5378,69.7903,70.1807,1510100
71.2521,2019-09-03,71.3019,70.2803,70.2969,1565100
71.6673,2019-09-04,71.7255,71.1026,71.6009,1364900
71.4182,2019-09-05,71.7338,70.9863,71.5261,1234900
72.1324,2019-09-06,72.3318,71.5012,71.6341,1614800
70.6873,2019-09-09,71.8667,70.5959,71.8584,2185100
70.1475,2019-09-10,70.4464,68.9515,70.3551,1585800
70.4049,2019-09-11,70.4132,69.2338,69.973,1486100
70.8949,2019-09-12,71.4929,70.0312,71.0943,1374900
70.2222,2019-09-13,70.9614,69.8235,70.6375,1549800
70.6375,2019-09-16,70.8202,69.89,70.1973,1507600
71.3185,2019-09-17,71.5428,70.4714,70.8368,1659000
70.8202,2019-09-18,71.3849,70.3468,71.3102,1848700
71.0195,2019-09-19,71.3102,70.8036,70.8036,1247500
70.7371,2019-09-20,71.2687,70.5378,71.2687,7515200
70.787,2019-09-23,71.2604,69.9647,70.1558,1519200
70.9863,2019-09-24,71.6923,70.7288,70.9531,1272500
71.5012,2019-09-25,71.6756,71.0029,71.0943,966600
72.0577,2019-09-26,72.3982,71.6756,71.7836,999400
72.1062,2019-09-27,72.3988,71.521,72.265,1108900
72.1145,2019-09-30,72.4991,72.0059,72.0059,1469200
72.0393,2019-10-01,72.3653,71.2952,71.9891,995000
71.9808,2019-10-02,72.4071,70.9775,72.0226,1468600
72.8001,2019-10-03,72.9338,71.7467,71.8554,1429900
73.1261,2019-10-04,73.2432,72.7332,72.8001,1567200
73.3685,2019-10-07,73.6361,72.775,72.7833,1428000
73.193,2019-10-08,73.8451,72.8419,73.31,1943600
73.2181,2019-10-09,73.8952,73.0174,73.3435,1275700
73.703,2019-10-10,73.8869,72.8084,72.9756,1055400
73.2599,2019-10-11,73.9788,72.775,73.6779,1298700
73.2181,2019-10-14,73.5023,72.8586,73.0927,1310500
73.2014,2019-10-15,73.5274,72.8502,73.2181,1988300
73.5859,2019-10-16,73.611,72.5827,73.2599,1139000
73.3602,2019-10-17,73.7698,73.2097,73.2933,1902900
73.8785,2019-10-18,73.9538,73.0592,73.2515,1640400
74.1711,2019-10-21,74.1962,73.3351,73.6611,1327900
73.9371,2019-10-22,74.5056,73.7113,74.4972,1356600
73.4354,2019-10-23,74.1126,71.847,73.82,2968200
73.2181,2019-10-24,73.6695,72.6412,73.4438,1195400
73.3017,2019-10-25,73.4104,72.7416,73.0509,931800
73.1094,2019-10-28,73.2766,72.7583,73.2181,1244500
73.2097,2019-10-29,73.5107,72.7415,72.9004,1571200
74.2798,2019-10-30,74.3216,73.2431,73.5274,1125000
74.121,2019-10-31,74.865,74.0039,74.3551,1453100
73.6862,2019-11-01,74.5724,73.1596,74.1293,1270400
72.7583,2019-11-04,73.519,72.5158,73.4605,1279700
70.9023,2019-11-05,72.2901,70.1415,72.2901,2275400
71.5461,2019-11-06,71.7133,71.0863,71.0863,1237800
70.2837,2019-11-07,71.2033,69.9325,71.1615,2025900
70.2084,2019-11-08,70.593,70.0329,70.083,978300
70.3589,2019-11-11,70.7435,69.9492,70.3171,856700
69.7319,2019-11-12,71.0946,69.6232,70.4425,1435600
70.9525,2019-11-13,71.0528,70.0329,70.0329,1375600
71.7132,2019-11-14,71.7383,70.9692,71.2284,1309500
72.2817,2019-11-15,72.3152,71.5377,71.73,1412300
72.7248,2019-11-18,73.2432,72.3486,72.4657,927000
72.7917,2019-11-19,73.0258,72.2901,72.8084,982800
72.449,2019-11-20,73.2097,72.4239,72.7917,954000
71.103,2019-11-21,72.2316,70.9525,72.1647,1969300
70.8856,2019-11-22,71.4541,70.4927,71.2534,2695100
70.6599,2019-11-25,71.6547,70.5094,71.0863,1808100
71.3705,2019-11-26,71.6798,70.71,70.8354,3606600
71.5878,2019-11-27,71.8386,70.9943,71.22,1316400
71.1448,2019-11-29,72.1312,71.1197,71.7049,762900
69.8071,2019-12-02,71.1866,69.7319,70.9441,2634400
70.0997,2019-12-03,70.5261,69.8239,69.9075,1802400
70.4342,2019-12-04,70.894,69.6901,69.6901,1985200
70.6766,2019-12-05,70.7184,69.9994,70.2753,1489000
70.593,2019-12-06,71.0946,70.3673,70.6766,1223800
70.685,2019-12-09,70.802,70.1081,70.6766,1066400
70.3422,2019-12-10,71.0528,70.1248,70.9358,1096700
69.1216,2019-12-11,70.5846,68.8959,70.3506,1376700
68.3692,2019-12-12,69.3891,67.9428,69.0547,2147400
67.7255,2019-12-13,68.9126,67.3409,68.503,1762300
68.1351,2019-12-16,68.2522,67.2071,67.876,1991900
66.973,2019-12-17,68.4528,66.9062,68.3692,1603800
67.1235,2019-12-18,67.3994,66.229,66.4464,2775400
67.182,2019-12-19,67.3325,66.9062,67.182,2198600
67.1319,2019-12-20,67.5332,66.0618,66.438,5480000
66.6387,2019-12-23,67.483,66.5133,67.483,1087000
67.1988,2019-12-24,67.2322,66.5968,66.7473,409400
67.3743,2019-12-26,67.4245,67.0483,67.3743,833900
67.6753,2019-12-27,67.8509,67.3827,67.667,1008400
67.483,2019-12-30,67.8509,67.2991,67.4663,1166000
68.1296,2019-12-31,68.1296,67.3971,67.5992,1265600
67.1614,2020-01-02,68.6011,66.8078,68.4664,1797800
68.0286,2020-01-03,68.1296,66.8583,66.892,1326500
68.2222,2020-01-06,68.5759,67.4982,67.8939,1764300
67.2119,2020-01-07,68.0791,66.9425,67.2372,1194800
67.3551,2020-01-08,67.7339,67.052,67.2877,2388900
67.7003,2020-01-09,67.7676,67.1614,67.2961,892800
68.4159,2020-01-10,68.4496,67.4897,67.8434,1291000
69.2747,2020-01-13,69.2999,68.2475,68.2475,1397500
68.3317,2020-01-14,69.0389,67.9276,68.9463,1223500
69.0979,2020-01-15,69.2494,68.3991,68.7274,1228100
69.4683,2020-01-16,69.4852,68.7274,69.1989,1021600
69.4599,2020-01-17,69.704,69.0305,69.4178,1797400
70.1334,2020-01-21,70.1503,69.3589,69.8303,1577300
69.3673,2020-01-22,70.5376,69.1231,70.4113,1427400
69.9482,2020-01-23,69.9735,69.081,69.3925,1308500
69.6788,2020-01-24,70.1166,69.2662,70.0913,1117900
