close,date,high,low,open,volume
60.94,2019-08-12,63.26,60.83,62.83,1200100
62.19,2019-08-13,62.59,60.22,60.62,1430300
58.99,2019-08-14,60.96,58.57,60.96,1565800
59.26,2019-08-15,59.96,58.67,59.31,942000
61.69,2019-08-16,62.15,60.04,60.04,1146500
63.07,2019-08-19,63.69,61.68,62.93,1160900
63.08,2019-08-20,63.72,61.91,62.65,1098900
63.87,2019-08-21,64.83,63.33,64.11,738300
63.05,2019-08-22,64.01,62.41,63.97,501700
60.89,2019-08-23,62.81,60.58,62.33,1076600
62.24,2019-08-26,62.5,61.11,61.81,654600
61.86,2019-08-27,63.37,61.45,62.81,877400
62.05,2019-08-28,62.72,61.32,61.87,811300
62.49,2019-08-29,63.6,62.2,63.0,690600
62.07,2019-08-30,63.31,60.9,63.05,831600
60.97,2019-09-03,61.78,60.64,61.29,754900
62.46,2019-09-04,62.57,61.41,61.56,586200
62.83,2019-09-05,64.48,62.62,63.16,766000
62.81,2019-09-06,63.02,61.84,62.91,487100
62.0,2019-09-09,63.75,61.88,63.37,654200
62.38,2019-09-10,62.38,59.68,61.95,1104800
63.31,2019-09-11,63.74,62.43,62.79,708100
62.23,2019-09-12,64.22,61.1,63.6,1034600
63.7,2019-09-13,64.14,61.81,62.41,955400
63.44,2019-09-16,65.14,63.19,63.7,1063300
65.82,2019-09-17,66.44,63.2,63.32,1520600
65.75,2019-09-18,66.0,64.2,65.6,1053500
67.07,2019-09-19,67.9,65.79,66.0,1813000
66.7,2019-09-20,67.61,65.84,67.25,1597600
67.31,2019-09-23,68.55,66.43,67.21,1331700
65.48,2019-09-24,67.97,65.2,67.79,1318000
67.1,2019-09-25,67.4,65.11,65.47,1115700
62.54,2019-09-26,66.94,62.26,66.76,2314500
58.46,2019-09-27,63.13,57.91,62.47,3924500
58.01,2019-09-30,58.67,55.95,58.6,2799600
56.28,2019-10-01,59.33,56.24,58.4,1464200
55.91,2019-10-02,56.41,55.26,55.78,1695100
57.17,2019-10-03,57.52,54.77,55.64,1426200
59.32,2019-10-04,59.42,57.21,57.54,1633700
56.96,2019-10-07,62.89,56.83,62.25,3746700
56.96,2019-10-08,58.21,56.15,56.66,1163100
56.2,2019-10-09,57.56,56.11,57.18,954500
56.63,2019-10-10,57.65,55.89,56.06,1525000
56.82,2019-10-11,58.2,56.29,57.62,2426100
56.49,2019-10-14,57.2,56.17,56.59,758600
55.88,2019-10-15,56.94,54.92,56.86,1423800
55.01,2019-10-16,55.87,54.07,55.66,1545500
55.25,2019-10-17,56.26,54.62,55.07,1426300
55.22,2019-10-18,56.43,55.0,55.0,1338500
56.34,2019-10-21,56.92,55.34,55.59,1043400
56.22,2019-10-22,56.78,55.47,56.34,1198700
55.28,2019-10-23,56.76,55.05,55.9,1159200
55.89,2019-10-24,56.08,55.13,55.61,1770800
52.66,2019-10-25,55.0,50.22,54.0,6340100
53.24,2019-10-28,54.86,53.11,53.18,2332100
53.29,2019-10-29,53.92,52.63,53.55,1282500
51.85,2019-10-30,53.54,51.26,53.08,1251700
