close,date,high,low,open,volume
246.788,2019-08-12,250.246,245.673,249.918,346900
251.324,2019-08-13,254.612,244.081,244.83,561600
247.697,2019-08-14,248.756,246.067,247.369,470600
248.128,2019-08-15,249.956,246.938,248.625,524900
252.298,2019-08-16,253.479,248.822,250.593,376700
258.042,2019-08-19,258.82,255.493,255.493,301000
254.931,2019-08-20,259.541,254.613,257.892,351800
257.508,2019-08-21,261.106,257.208,258.014,286300
255.671,2019-08-22,258.351,254.434,258.314,318200
249.262,2019-08-23,254.369,247.978,254.275,373500
250.621,2019-08-26,253.338,249.028,252.56,234800
248.653,2019-08-27,252.87,246.32,252.87,238800
251.474,2019-08-28,252.748,246.432,248.363,254000
256.14,2019-08-29,256.983,253.038,254.322,231500
256.412,2019-08-30,260.356,255.671,258.173,227800
249.337,2019-09-03,254.416,247.21,254.416,361900
251.277,2019-09-04,254.369,250.761,251.417,213600
259.344,2019-09-05,262.371,253.835,253.835,316100
260.694,2019-09-06,263.58,258.754,261.677,295000
267.89,2019-09-09,268.349,261.977,262.071,422200
272.416,2019-09-10,273.146,262.886,264.573,432200
276.417,2019-09-11,278.778,271.994,273.765,333200
275.105,2019-09-12,277.354,272.772,276.351,315400
276.941,2019-09-13,279.677,275.864,275.864,341500
277.176,2019-09-16,278.759,274.037,276.164,233900
273.268,2019-09-17,275.92,270.729,275.451,324100
274.055,2019-09-18,274.739,270.429,272.341,283900
273.755,2019-09-19,276.164,272.219,273.39,303400
273.774,2019-09-20,276.089,271.357,274.927,534500
272.734,2019-09-23,275.03,271.422,271.694,391700
268.508,2019-09-24,273.615,266.035,273.465,297700
272.772,2019-09-25,274.224,268.171,269.455,285700
275.123,2019-09-26,276.285,270.523,272.219,272000
276.407,2019-09-27,277.354,273.531,276.417,261100
278.431,2019-09-30,278.965,274.29,275.536,338400
268.03,2019-10-01,284.634,264.132,281.214,593000
269.089,2019-10-02,270.57,261.218,265.144,559900
270.504,2019-10-03,270.663,263.758,268.171,364200
272.865,2019-10-04,273.615,270.42,271.732,258400
270.766,2019-10-07,273.952,270.204,271.75,299800
264.414,2019-10-08,270.101,261.649,267.862,369700
266.1,2019-10-09,268.527,264.723,267.534,211900
270.523,2019-10-10,271.919,265.941,265.941,324300
285.974,2019-10-11,291.793,282.976,284.85,883000
286.789,2019-10-14,289.216,282.629,282.91,456200
287.979,2019-10-15,291.184,285.159,286.789,332600
288.466,2019-10-16,290.734,287.52,287.52,205100
291.165,2019-10-17,292.505,288.935,289.197,222200
290.547,2019-10-18,294.154,290.237,290.903,485800
296.825,2019-10-21,297.499,292.514,293.714,557900
299.073,2019-10-22,300.32,293.105,294.36,562900
292.758,2019-10-23,295.157,279.462,288.035,1019800
295.353,2019-10-24,296.562,290.931,294.117,439400
297.349,2019-10-25,299.795,294.969,297.031,327300
296.459,2019-10-28,299.795,295.494,298.905,414700
293.226,2019-10-29,296.45,292.083,296.141,426900
290.828,2019-10-30,293.255,287.792,292.927,290600
289.385,2019-10-31,291.268,286.255,290.35,428800
297.658,2019-11-01,297.808,290.369,292.477,405100
299.251,2019-11-04,302.006,297.134,299.205,322600
302.156,2019-11-05,304.452,298.708,300.704,296200
301.022,2019-11-06,303.374,297.968,302.4,292800
301.879,2019-11-07,304.015,299.818,303.018,392800
305.823,2019-11-08,305.992,299.545,301.86,322200
307.921,2019-11-11,308.458,303.197,303.517,253300
306.312,2019-11-12,308.496,304.223,307.743,269500
303.564,2019-11-13,306.491,302.481,304.872,186800
303.46,2019-11-14,305.87,301.813,303.47,258400
304.458,2019-11-15,306.001,302.538,305.776,266300
298.829,2019-11-18,303.733,297.427,303.187,364000
297.333,2019-11-19,301.568,296.937,299.771,298800
293.991,2019-11-20,296.42,292.721,295.817,333400
294.255,2019-11-21,295.375,290.989,290.989,273400
300.251,2019-11-22,301.493,296.297,297.248,370000
301.653,2019-11-25,304.326,300.665,301.446,307500
301.832,2019-11-26,303.074,300.09,302.858,323900
300.476,2019-11-27,302.726,299.027,302.726,323700
298.321,2019-11-29,301.521,297.926,300.712,125700
296.514,2019-12-02,301.672,296.25,297.568,242500
294.208,2019-12-03,295.187,291.083,291.798,240900
298.246,2019-12-04,300.09,295.13,295.224,346800
299.582,2019-12-05,305.107,297.304,299.281,470900
302.594,2019-12-06,304.166,300.015,302.585,275000
305.248,2019-12-09,308.072,301.935,301.935,356200
304.552,2019-12-10,307.169,303.978,305.474,225000
310.152,2019-12-11,310.585,306.03,308.392,340700
318.887,2019-12-12,319.075,308.354,309.117,475200
312.778,2019-12-13,319.037,312.27,317.917,551300
317.4,2019-12-16,317.569,313.249,314.858,531100
311.997,2019-12-17,316.534,311.028,315.997,304000
312.985,2019-12-18,313.23,309.889,312.072,345900
315.16,2019-12-19,315.263,311.432,312.957,231500
317.748,2019-12-20,318.689,314.727,317.616,773800
317.87,2019-12-23,318.764,316.054,318.764,325000
317.55,2019-12-24,318.934,316.524,318.934,70600
318.99,2019-12-26,319.837,314.849,317.955,257200
317.635,2019-12-27,320.553,317.004,320.487,176500
