close,date,high,low,open,volume
17.7804,2019-08-12,17.9178,17.4964,17.7896,10673200
17.8445,2019-08-13,18.669,17.5697,17.7255,12404600
16.7911,2019-08-14,17.4048,16.5987,17.3774,18264700
16.7178,2019-08-15,16.7636,15.9941,16.617,21154700
17.2858,2019-08-16,17.3407,16.672,16.8094,14359600
17.7071,2019-08-19,17.8537,17.469,17.7071,13001000
17.4598,2019-08-20,17.5789,17.24,17.5056,8284200
17.0384,2019-08-21,17.7346,17.0293,17.6796,10964700
17.1025,2019-08-22,17.588,17.0934,17.2674,13271100
16.2323,2019-08-23,17.0201,16.1773,16.7636,14091600
16.0308,2019-08-26,16.617,15.9025,16.498,12999100
15.8567,2019-08-27,16.2873,15.7651,16.214,10316700
16.4888,2019-08-28,16.727,15.5453,15.8384,14771300
16.9743,2019-08-29,17.2125,16.6537,16.6628,13070400
17.2583,2019-08-30,17.5239,16.956,17.0476,12154600
17.3508,2019-09-03,17.4155,16.7681,16.8328,13125600
17.3508,2019-09-04,17.7207,17.3045,17.6005,12794000
17.5727,2019-09-05,18.0629,17.5172,17.5265,12560800
17.656,2019-09-06,17.693,17.1473,17.4895,10921200
18.4514,2019-09-09,18.6826,17.7762,17.8317,13565300
18.5254,2019-09-10,19.1543,18.4144,18.6826,16748500
18.5439,2019-09-11,19.0525,18.2756,18.6178,14736400
18.2664,2019-09-12,18.4976,17.6652,17.9982,13410400
18.7473,2019-09-13,18.9138,18.2849,18.6178,10717200
20.8006,2019-09-16,21.041,19.7739,19.8479,36553100
19.4502,2019-09-17,20.6063,19.256,20.6063,19353900
19.2468,2019-09-18,19.5612,19.0155,19.3115,15049000
19.3485,2019-09-19,19.7185,19.3115,19.5612,12901700
18.9046,2019-09-20,19.478,18.7566,19.3393,15934600
19.0618,2019-09-23,19.2838,18.7103,18.7936,11085400
18.0259,2019-09-24,18.9601,17.9427,18.8676,18536300
17.9797,2019-09-25,18.0167,17.656,17.693,10550700
17.8225,2019-09-26,17.8964,17.4433,17.804,10841000
17.323,2019-09-27,18.0167,17.1935,17.6097,14587700
17.434,2019-09-30,17.5912,17.1565,17.212,9884200
17.1843,2019-10-01,17.7207,16.9808,17.5727,12198100
16.8051,2019-10-02,17.4802,16.7403,17.1843,12056800
17.2398,2019-10-03,17.2583,16.6756,16.7033,10074200
17.1565,2019-10-04,17.508,16.8976,17.2675,7944900
16.9808,2019-10-07,17.3878,16.9531,17.2305,8287800
16.8791,2019-10-08,17.2028,16.6849,16.7773,11337600
16.8976,2019-10-09,17.1103,16.6663,17.0086,11083800
17.0456,2019-10-10,17.212,16.8513,16.9901,9799100
17.5265,2019-10-11,17.6745,17.2028,17.2305,10477700
17.3508,2019-10-14,17.4155,16.6941,17.2213,9185800
17.2953,2019-10-15,17.7392,17.1843,17.3138,11120800
16.9253,2019-10-16,17.4895,16.9161,17.2583,9417800
17.1195,2019-10-17,17.2583,16.8883,17.0363,13595800
17.0456,2019-10-18,17.767,17.0456,17.175,26677300
18.1369,2019-10-21,18.4976,16.7403,16.7866,27859700
18.4051,2019-10-22,18.5901,17.7577,18.3219,14548100
18.6918,2019-10-23,18.8676,17.9612,18.2294,11784100
18.4144,2019-10-24,18.8306,18.0629,18.7751,9416900
