close,date,high,low,open,volume
182.719,2019-08-12,186.384,181.679,186.384,228900
182.567,2019-08-13,185.631,182.127,183.239,179600
179.941,2019-08-14,181.294,178.579,180.38,330700
182.755,2019-08-15,182.961,179.215,180.38,305500
185.326,2019-08-16,186.599,182.764,183.964,290700
186.599,2019-08-19,188.149,179.215,187.611,183400
185.945,2019-08-20,186.635,184.852,186.097,161800
187.665,2019-08-21,188.911,186.805,187.791,182600
186.868,2019-08-22,188.66,185.649,188.203,157100
183.041,2019-08-23,187.773,182.244,186.303,337400
183.355,2019-08-26,185.174,181.473,184.798,285100
181.554,2019-08-27,184.368,180.586,184.063,150400
182.629,2019-08-28,183.507,179.618,180.64,222800
186.517,2019-08-29,187.066,184.06,184.807,181700
188.073,2019-08-30,189.171,187.471,188.019,159300
187.21,2019-09-03,187.606,184.69,185.986,197400
187.678,2019-09-04,189.279,186.904,188.721,226900
192.789,2019-09-05,193.212,188.91,189.009,382600
193.473,2019-09-06,195.452,192.744,193.77,231500
193.878,2019-09-09,195.047,191.277,193.941,367100
196.064,2019-09-10,196.109,191.709,194.022,226000
198.314,2019-09-11,198.764,195.686,196.388,201300
195.084,2019-09-12,198.764,194.265,198.368,336200
196.451,2019-09-13,197.855,195.848,195.848,247200
200.366,2019-09-16,201.068,197.828,197.972,277100
198.944,2019-09-17,200.591,197.387,199.547,255900
197.702,2019-09-18,198.98,195.758,198.863,281400
196.586,2019-09-19,198.674,196.433,198.287,179300
193.311,2019-09-20,197.27,192.798,197.054,445900
191.079,2019-09-23,192.933,190.935,192.033,183700
191.349,2019-09-24,193.815,191.052,192.492,235100
192.348,2019-09-25,192.96,191.106,192.123,182600
192.807,2019-09-26,193.878,191.592,192.843,226500
192.024,2019-09-27,194.463,190.593,193.77,229400
190.584,2019-09-30,193.698,190.377,192.627,170900
185.797,2019-10-01,192.438,184.888,191.349,321500
180.119,2019-10-02,184.645,179.615,184.645,265900
182.611,2019-10-03,182.773,178.616,180.748,206900
