close,date,high,low,open,volume
30.0888,2019-08-12,30.3977,29.8995,30.039,815000
30.4574,2019-08-13,30.836,29.77,29.8696,1505000
29.2818,2019-08-14,30.0788,29.1722,29.8497,1727200
29.3316,2019-08-15,29.5707,29.1124,29.3814,1107200
29.8696,2019-08-16,29.9692,29.2718,29.4512,1195300
30.1386,2019-08-19,30.5272,29.8298,30.3379,1265800
29.6404,2019-08-20,30.2382,29.4013,30.029,686800
29.481,2019-08-21,30.039,29.2718,30.039,867700
29.3814,2019-08-22,29.7899,29.3216,29.6305,449100
28.1261,2019-08-23,29.222,27.9866,29.1024,1473200
28.1161,2019-08-26,28.5943,27.8272,28.405,1084200
27.6279,2019-08-27,28.4748,27.5482,28.3153,858000
27.9069,2019-08-28,28.2755,27.5183,27.6777,1493100
28.3851,2019-08-29,28.5644,28.0962,28.2356,721200
28.5744,2019-08-30,28.7537,28.3353,28.6043,830500
27.3589,2019-09-03,28.3751,27.339,28.1858,1171100
26.6714,2019-09-04,27.6229,26.233,27.5283,3811000
28.1559,2019-09-05,28.4748,26.9255,26.9604,2558300
28.0563,2019-09-06,28.5146,27.4585,27.9866,1343500
28.6641,2019-09-09,28.9032,28.131,28.3153,1693200
30.2582,2019-09-10,30.313,28.5246,28.7338,1973400
30.1087,2019-09-11,30.3777,29.6305,30.2881,1663100
30.6268,2019-09-12,30.8859,29.5608,29.8796,1434400
31.115,2019-09-13,31.3641,30.8261,30.8261,1281800
31.7327,2019-09-16,32.0017,30.9855,31.115,2385300
30.9456,2019-09-17,31.5932,30.7314,31.4438,1184500
30.6368,2019-09-18,30.856,30.298,30.846,1016000
29.9194,2019-09-19,30.6467,29.8796,30.6168,1087700
29.3914,2019-09-20,29.9593,29.3276,29.9393,1424500
29.1921,2019-09-23,29.3914,28.7737,29.1622,1317200
28.8235,2019-09-24,29.2917,28.4748,29.1821,983600
29.2021,2019-09-25,29.2619,28.2556,28.684,597700
29.0725,2019-09-26,29.2818,28.7139,29.0526,1192300
28.5744,2019-09-27,29.4312,28.4748,29.1722,935000
28.1858,2019-09-30,28.6242,28.0165,28.6242,1756300
26.9604,2019-10-01,28.4748,26.6216,28.3253,1882800
27.0201,2019-10-02,27.1297,26.3925,26.6615,1861300
27.7275,2019-10-03,27.9268,26.791,26.791,1514600
28.1161,2019-10-04,28.136,27.5183,27.7176,972200
27.4685,2019-10-07,27.9567,27.4685,27.9268,1024900
26.9105,2019-10-08,27.2294,26.6116,27.0899,2736800
27.2294,2019-10-09,27.3589,26.9305,27.1895,604300
28.0264,2019-10-10,28.1061,27.05,27.2891,1474100
29.4611,2019-10-11,29.8298,28.3203,28.3353,2271800
28.963,2019-10-14,29.4213,28.8733,29.1622,826000
29.2818,2019-10-15,29.6405,28.8135,28.9729,1417400
29.3416,2019-10-16,29.75,29.1722,29.2917,831600
29.5508,2019-10-17,29.7899,28.963,29.5707,1189500
30.7364,2019-10-18,30.9954,29.4113,29.5209,2546200
30.9954,2019-10-21,31.6132,30.7862,30.8858,2451900
31.8622,2019-10-22,32.3205,30.5272,31.1349,4127700
32.4401,2019-10-23,32.6095,31.0502,31.7626,3299000
32.1412,2019-10-24,32.6693,31.8224,32.4401,1517200
32.6693,2019-10-25,32.8187,31.9818,32.191,3739200
32.201,2019-10-28,33.1674,32.201,32.8785,2321800
32.8984,2019-10-29,33.1874,30.7364,31.7626,4255100
31.9918,2019-10-30,32.8287,31.1947,32.6892,2745900
31.7128,2019-10-31,31.7377,30.9755,31.0253,1643700
32.729,2019-11-01,32.729,31.7626,32.0017,1306400
33.3169,2019-11-04,33.541,32.9383,33.0778,2329600
32.5198,2019-11-05,33.6755,32.48,33.4165,1165900
32.6095,2019-11-06,32.8486,32.211,32.3604,691600
33.1176,2019-11-07,33.546,32.9084,32.9482,1027700
33.6058,2019-11-08,33.6307,32.6991,33.0877,893700
33.6955,2019-11-11,33.7552,33.1475,33.267,841200
33.5062,2019-11-12,33.8848,33.4563,33.6556,849800
33.2571,2019-11-13,33.3567,32.739,33.1375,666300
32.8785,2019-11-14,33.267,32.7589,33.1574,876400
33.5261,2019-11-15,33.6457,33.0279,33.0877,833500
33.6158,2019-11-18,33.6656,33.0678,33.4563,806800
33.5361,2019-11-19,34.084,33.3966,33.7254,2363500
33.4564,2019-11-20,33.9545,33.2172,33.4364,766700
33.0778,2019-11-21,33.4663,32.9383,33.4663,976700
33.5361,2019-11-22,33.5859,33.0279,33.1873,573200
33.825,2019-11-25,34.0143,33.267,33.546,1081100
33.815,2019-11-26,33.8748,33.2372,33.7951,963400
33.9944,2019-11-27,34.1039,33.4563,33.8349,815600
33.7453,2019-11-29,34.1737,33.7253,33.9545,383700
33.4165,2019-12-02,34.1239,33.4165,33.8848,952000
