close,date,high,low,open,volume
169.96,2019-08-12,172.253,169.337,171.0,1089900
172.667,2019-08-13,173.657,167.667,169.303,1517400
166.82,2019-08-14,171.08,166.667,170.167,1866300
166.623,2019-08-15,169.167,165.03,167.78,1478700
165.15,2019-08-16,168.333,164.47,168.317,2875800
165.167,2019-08-19,167.833,162.897,167.833,3060000
165.943,2019-08-20,166.667,164.13,165.88,2085600
167.093,2019-08-21,168.273,166.667,167.167,1218300
166.757,2019-08-22,167.937,165.2,167.333,1107900
161.527,2019-08-23,167.327,160.667,166.327,2095200
163.697,2019-08-26,163.743,160.867,163.287,1442100
165.007,2019-08-27,166.63,164.08,165.0,1638000
167.083,2019-08-28,167.637,164.0,164.0,1803900
169.387,2019-08-29,170.167,167.65,168.56,1315500
170.447,2019-08-30,171.217,169.35,170.13,1750200
164.647,2019-09-03,169.937,163.363,168.41,2682000
165.407,2019-09-04,166.35,163.113,165.78,1452000
169.39,2019-09-05,171.0,166.327,167.227,1878000
168.42,2019-09-06,170.047,167.333,169.817,1875600
165.563,2019-09-09,168.667,165.31,168.027,1586100
167.433,2019-09-10,167.6,162.667,165.0,2410500
174.273,2019-09-11,175.003,167.433,168.177,2964000
174.373,2019-09-12,175.993,173.753,174.54,1847400
174.407,2019-09-13,175.657,173.113,174.547,1150800
174.547,2019-09-16,174.79,171.347,172.927,1266000
176.723,2019-09-17,177.493,173.747,175.0,1852200
176.923,2019-09-18,177.06,174.51,176.103,1688700
176.483,2019-09-19,179.333,176.083,176.453,1361400
177.053,2019-09-20,178.96,175.33,175.68,2072400
175.987,2019-09-23,178.117,175.473,176.487,1405800
180.487,2019-09-24,182.083,176.027,177.333,3704700
181.67,2019-09-25,181.807,177.567,180.007,2371500
181.097,2019-09-26,182.477,178.847,181.667,1947300
177.91,2019-09-27,183.0,177.123,182.357,1413000
179.977,2019-09-30,181.353,178.443,178.643,1292700
176.2,2019-10-01,180.98,176.067,179.98,1382700
170.63,2019-10-02,176.09,168.767,176.0,2782800
173.023,2019-10-03,173.077,167.337,170.76,1757100
