close,date,high,low,open,volume
114.979,2019-08-12,115.65,114.421,114.604,6852100
116.277,2019-08-13,116.87,115.04,115.301,5013200
113.523,2019-08-14,115.51,113.41,115.502,7736200
113.767,2019-08-15,114.229,112.643,113.445,7251200
114.482,2019-08-16,114.752,113.82,114.578,5858900
115.257,2019-08-19,115.536,114.883,115.475,4958000
113.82,2019-08-20,115.615,113.697,115.005,7302000
114.63,2019-08-21,115.397,114.037,114.778,6912800
114.403,2019-08-22,115.153,113.994,114.691,7213500
111.318,2019-08-23,114.395,110.795,114.229,15714000
112.214,2019-08-26,112.46,111.187,111.88,8889500
113.829,2019-08-27,116.253,113.355,114.04,20183800
112.987,2019-08-28,113.153,111.52,112.267,9878800
112.6,2019-08-29,113.443,111.362,113.127,6749900
112.706,2019-08-30,113.355,112.056,112.627,7371100
113.039,2019-09-03,113.25,111.959,112.381,5710200
113.145,2019-09-04,113.786,112.46,113.698,4807200
112.899,2019-09-05,114.058,112.662,114.058,4754100
112.574,2019-09-06,113.469,112.451,113.162,6758300
111.468,2019-09-09,112.53,111.151,112.389,7684700
113.75,2019-09-10,113.75,110.932,111.81,8239500
115.173,2019-09-11,115.269,113.338,114.023,6203600
114.523,2019-09-12,115.7,114.198,115.34,5250000
114.83,2019-09-13,115.524,114.11,115.313,5369800
113.742,2019-09-16,114.804,113.557,114.242,5101700
113.856,2019-09-17,114.585,113.364,113.794,4976400
114.506,2019-09-18,114.637,113.074,114.058,4373600
114.242,2019-09-19,115.19,113.584,113.821,4730100
115.594,2019-09-20,115.902,114.4,115.024,12053100
115.673,2019-09-23,115.946,114.576,115.041,5183700
115.507,2019-09-24,116.587,115.322,115.989,7102600
115.015,2019-09-25,115.524,114.348,115.463,4522900
113.136,2019-09-26,115.296,112.416,115.103,7545800
112.916,2019-09-27,113.619,111.248,112.925,6006500
113.601,2019-09-30,114.391,113.268,113.329,6552100
114.137,2019-10-01,114.848,113.944,114.163,7673000
115.902,2019-10-02,118.272,115.217,116.569,12051800
