close,date,high,low,open,volume
116.545,2019-08-12,117.81,116.165,116.739,881800
117.633,2019-08-13,118.671,116.207,116.781,2010700
115.347,2019-08-14,118.646,115.229,116.747,1888500
117.507,2019-08-15,118.08,115.819,116.165,1307600
118.73,2019-08-16,119.565,118.021,118.139,1660500
120.434,2019-08-19,120.789,118.789,118.924,1678200
118.249,2019-08-20,120.747,118.064,120.738,2087600
119.734,2019-08-21,120.08,118.688,118.933,1144300
119.624,2019-08-22,120.494,118.983,119.987,989200
116.781,2019-08-23,119.861,116.072,119.405,1427500
118.334,2019-08-26,118.814,117.203,117.608,1111500
119.084,2019-08-27,119.456,118.409,119.118,1346500
119.768,2019-08-28,119.953,118.629,119.118,860400
119.675,2019-08-29,120.645,118.485,120.477,1057800
119.059,2019-08-30,120.291,118.612,120.266,1316700
119.397,2019-09-03,119.684,117.861,118.983,1526900
120.384,2019-09-04,120.418,119.422,119.608,1295100
118.54,2019-09-05,121.242,118.37,120.469,2360100
117.324,2019-09-06,119.016,116.755,118.701,2134500
113.262,2019-09-09,118.013,112.234,118.013,3430900
111.46,2019-09-10,112.54,110.942,112.285,3040400
112.106,2019-09-11,112.149,109.811,111.367,2624700
113.525,2019-09-12,114.494,112.523,112.888,1728600
112.531,2019-09-13,113.772,112.013,112.259,1672000
109.446,2019-09-16,112.123,109.03,111.792,2265600
112.115,2019-09-17,112.242,109.344,109.344,1925700
113.109,2019-09-18,113.313,111.834,112.557,1547900
113.984,2019-09-19,114.681,113.066,113.321,1501400
114.766,2019-09-20,115.013,113.882,114.358,2773500
116.287,2019-09-23,117.027,115.591,116.355,2271100
117.112,2019-09-24,117.987,116.117,116.84,1518800
116.925,2019-09-25,118.038,116.338,117.239,1894100
119.075,2019-09-26,119.27,117.256,117.401,1684000
120.732,2019-09-27,121.013,119.661,120.707,1546000
120.724,2019-09-30,121.956,120.29,120.358,1399800
120.392,2019-10-01,120.97,119.151,120.401,1169600
