close,date,high,low,open,volume
46.2615,2019-08-12,47.0409,45.9234,46.7686,3142600
47.2194,2019-08-13,47.3321,46.1488,46.1488,3164900
46.4023,2019-08-14,47.0128,45.8107,46.778,4939400
45.5571,2019-08-15,46.562,45.5008,46.4117,3639300
46.2521,2019-08-16,46.3835,45.0594,45.8858,4478500
46.9846,2019-08-19,47.2194,46.3272,46.7216,3975600
47.8486,2019-08-20,48.0458,46.9376,47.0597,2446700
48.4214,2019-08-21,48.5905,47.6607,48.1303,3354800
48.8347,2019-08-22,48.9755,47.9237,48.4027,1844900
48.0928,2019-08-23,49.5108,47.9519,49.0976,3539900
47.9331,2019-08-26,48.4308,47.642,48.1679,1702000
47.426,2019-08-27,48.2618,47.2475,48.2618,3033700
47.3414,2019-08-28,47.5668,46.5338,47.2569,2886500
48.0928,2019-08-29,48.4872,47.4354,47.7922,2906700
47.8955,2019-08-30,48.2994,47.2475,48.074,2614400
48.0552,2019-09-03,48.2712,47.4448,47.6232,2227600
48.8253,2019-09-04,49.0788,47.9613,48.1397,1329800
48.5435,2019-09-05,49.3042,48.0928,49.3042,2328500
48.8347,2019-09-06,49.2761,48.6562,48.7783,1612400
49.2479,2019-09-09,50.018,48.8535,48.9661,2927600
50.0555,2019-09-10,50.0555,48.9568,49.2948,2347000
50.7129,2019-09-11,51.0416,49.8959,50.234,2769300
51.2576,2019-09-12,51.6333,50.666,51.2576,3173900
50.3561,2019-09-13,51.6521,50.0931,51.5112,5066300
50.0931,2019-09-16,50.7787,49.9992,50.2621,4264400
49.8677,2019-09-17,50.4124,49.7644,50.0931,2691800
50.8538,2019-09-18,50.9195,49.2385,49.3042,3806700
50.5157,2019-09-19,51.1731,50.4312,51.0886,1541400
50.8068,2019-09-20,51.2201,50.4969,50.6566,2569700
51.5488,2019-09-23,51.8493,50.5533,50.7223,2944400
51.8399,2019-09-24,52.6381,51.3703,51.5957,3056800
52.178,2019-09-25,52.5818,51.6239,52.5442,3877900
52.1874,2019-09-26,52.5536,51.7366,52.5161,2360400
51.3891,2019-09-27,52.3752,51.2952,52.3564,2347600
52.4503,2019-09-30,52.7227,51.4267,51.5863,3617300
52.3282,2019-10-01,52.7696,51.915,52.5818,4122100
54.3004,2019-10-02,54.3943,51.6051,53.0044,13245100
54.9484,2019-10-03,55.6434,54.1501,54.4413,7304300
55.8687,2019-10-04,56.0847,54.77,54.9766,4555200
55.7185,2019-10-07,56.066,55.324,55.6058,3473200
55.5401,2019-10-08,56.3289,55.2959,55.5119,2878300
55.4274,2019-10-09,56.0941,55.3522,55.6903,2332800
55.2677,2019-10-10,55.6152,54.5915,55.4086,3472700
54.9578,2019-10-11,55.8124,54.9108,55.6433,3819300
55.3898,2019-10-14,55.6246,54.9108,54.986,2579900
56.0941,2019-10-15,56.1129,55.418,55.7373,3327300
57.4465,2019-10-16,57.4653,55.9814,56.1786,3148900
57.3713,2019-10-17,58.0291,57.0612,57.6626,3090900
57.9915,2019-10-18,58.0009,57.2303,57.5404,4064100
57.3431,2019-10-21,58.6587,57.1927,58.1513,4603200
57.8976,2019-10-22,58.3204,57.1927,57.7096,3220500
57.9539,2019-10-23,58.1889,57.4371,57.8976,2719700
58.2359,2019-10-24,58.3486,57.531,57.9163,2294700
58.0855,2019-10-25,58.8561,57.9445,58.3486,1497200
56.6383,2019-10-28,58.2547,56.4973,58.0103,4796100
55.8865,2019-10-29,57.5217,55.8771,56.5819,4225200
56.5631,2019-10-30,56.5819,54.5709,55.8677,4376200
56.0087,2019-10-31,56.9578,55.7831,56.6195,2156700
57.2115,2019-11-01,57.3901,56.2906,56.3846,3125800
55.7362,2019-11-04,57.3901,55.4636,57.3243,3574800
54.8434,2019-11-05,55.7737,54.3453,55.6046,4625100
55.6516,2019-11-06,55.6516,54.6836,54.9186,2834900
53.8379,2019-11-07,55.708,53.6405,55.6328,5974400
54.3171,2019-11-08,54.4487,53.7063,53.8191,2721000
55.4166,2019-11-11,55.5576,54.3923,54.4675,1937400
54.9937,2019-11-12,56.4691,54.0822,55.7361,3570100
55.7362,2019-11-13,55.9335,54.8434,54.881,1820100
56.1402,2019-11-14,56.2624,55.426,55.5106,2688200
55.7737,2019-11-15,56.7323,55.6422,56.7041,2901700
56.4222,2019-11-18,56.9296,55.8677,55.9523,2412300
56.0462,2019-11-19,56.8262,55.7831,56.4409,1668800
56.1308,2019-11-20,56.6477,55.7925,56.0369,2085000
55.5388,2019-11-21,56.6947,55.3039,56.112,1596800
55.2381,2019-11-22,55.8865,55.0032,55.6986,2326900
55.8489,2019-11-25,56.1402,55.3884,55.4166,2759900
56.8075,2019-11-26,56.8356,55.614,55.9241,2753600
56.1496,2019-11-27,57.033,56.0557,56.7699,2676700
56.0557,2019-11-29,56.4128,55.8865,56.1778,1098700
55.3133,2019-12-02,56.0275,54.7776,56.0087,1806800
55.379,2019-12-03,55.3978,54.6085,54.8434,2533400
55.2851,2019-12-04,55.7831,54.7682,55.2475,3308700
56.1966,2019-12-05,56.3376,55.1065,55.2287,2573100
55.2099,2019-12-06,56.6383,55.1065,56.6007,2946100
55.8207,2019-12-09,56.112,55.3039,55.4636,2035500
55.567,2019-12-10,55.8865,55.0971,55.6516,1779200
56.1214,2019-12-11,56.159,55.4072,55.5012,1580500
54.5615,2019-12-12,56.2248,54.5427,56.065,2732100
54.787,2019-12-13,55.1441,54.2513,54.3453,3057700
54.6085,2019-12-16,55.0877,53.9788,54.7964,2994500
53.7627,2019-12-17,54.5896,53.4901,54.2701,3794600
52.8511,2019-12-18,54.0258,52.7666,53.9976,4187000
51.9114,2019-12-19,53.0297,51.7798,52.7572,4809200
53.227,2019-12-20,53.3116,51.8174,51.8926,5503300
52.2873,2019-12-23,53.4526,52.1839,53.227,2442400
53.368,2019-12-24,53.3774,52.3907,52.3907,1153700
52.6444,2019-12-26,53.4808,52.5034,53.2834,2763200
52.6256,2019-12-27,52.9921,52.5128,52.8887,3243200
52.3813,2019-12-30,52.6162,51.8832,52.3907,5508100
52.4282,2019-12-31,52.6538,52.0993,52.1275,2428200
52.447,2020-01-02,52.7853,51.9772,52.6914,3149200
53.0673,2020-01-03,53.3304,52.1557,52.2873,2623600
54.5521,2020-01-06,54.8528,53.1331,53.2646,6703400
53.6969,2020-01-07,54.8152,53.3774,54.5897,5102700
54.1198,2020-01-08,56.6101,54.101,55.1441,9236900
54.2138,2020-01-09,55.5576,53.7157,54.6178,5389800
56.1214,2020-01-10,56.2154,54.0446,54.2137,5209200
56.9014,2020-01-13,56.9484,56.0369,56.0369,4075900
57.9163,2020-01-14,57.9445,56.6195,56.6195,3145700
59.0064,2020-01-15,59.279,57.9163,58.0291,3479900
59.3823,2020-01-16,59.5139,58.4238,59.1568,2571900
59.2884,2020-01-17,60.1811,59.185,59.9368,3610400
61.0269,2020-01-21,61.0833,59.3448,59.3448,3668600
61.8069,2020-01-22,62.2861,61.0269,61.3182,3135000
63.3369,2020-01-23,63.9018,61.6986,61.8493,5182200
62.7437,2020-01-24,64.0619,62.6684,63.2616,5237700
63.3557,2020-01-27,63.77,62.1411,62.3012,3870500
63.8171,2020-01-28,64.5797,63.4593,63.9677,4640000
63.8171,2020-01-29,64.2972,62.9132,63.9771,2716900
63.3275,2020-01-30,64.156,62.9038,63.7888,2840300
62.4801,2020-01-31,63.6947,62.3765,63.3275,2857200
62.7625,2020-02-03,63.2616,62.2824,62.6213,2105700
61.7834,2020-02-04,63.0827,61.7363,62.9603,2571500
63.9865,2020-02-05,64.0713,61.6139,61.7268,2988400
64.1654,2020-02-06,64.6739,63.7794,64.1372,2529100
64.9563,2020-02-07,65.3894,64.269,64.3067,2164300
