close,date,high,low,open,volume
23.6164,2019-08-12,23.8051,23.5693,23.8051,1182900
23.9088,2019-08-13,24.2578,23.4561,23.607,1934600
23.3429,2019-08-14,23.7202,23.1732,23.5316,2244800
23.192,2019-08-15,23.5504,23.0506,23.3995,2544900
24.1163,2019-08-16,24.2295,23.2392,23.3901,2976800
24.8142,2019-08-19,25.3047,24.2201,25.1066,3050400
24.5879,2019-08-20,24.8237,24.4464,24.6539,1917300
24.5219,2019-08-21,24.9463,24.4841,24.8614,3366700
24.4558,2019-08-22,24.8425,24.3049,24.5596,2489300
24.0126,2019-08-23,24.3521,23.8805,24.3521,3481100
23.956,2019-08-26,24.5313,23.7579,24.3521,3049400
23.607,2019-08-27,24.1823,23.4655,24.0786,3682200
24.1918,2019-08-28,24.2484,23.3807,23.5316,2050600
24.7011,2019-08-29,24.8425,24.3898,24.3898,1654800
24.7765,2019-08-30,25.1726,24.7294,24.918,1786800
24.5219,2019-09-03,24.6067,24.0031,24.5596,2460500
24.9086,2019-09-04,24.9557,24.6633,24.8048,1790800
25.3801,2019-09-05,25.5593,25.0878,25.2387,1932400
25.3707,2019-09-06,25.6819,25.2952,25.465,2184800
25.8423,2019-09-09,25.88,25.399,25.5027,1905000
27.0306,2019-09-10,27.8229,25.8423,25.9272,4393000
27.4268,2019-09-11,27.5022,26.5025,27.4739,2836700
30.6995,2019-09-12,30.9636,28.8698,28.9358,6981700
30.8787,2019-09-13,31.2842,30.7372,31.105,3560500
30.2373,2019-09-16,30.9258,30.1713,30.5203,2919100
30.3977,2019-09-17,30.4826,29.879,30.2656,2381600
30.1242,2019-09-18,30.4637,29.945,30.4448,2320500
30.077,2019-09-19,30.4165,30.0204,30.143,3674700
29.9827,2019-09-20,30.2468,29.6997,30.2468,4103000
30.077,2019-09-23,30.1619,29.596,29.8789,2251300
29.8224,2019-09-24,30.2562,29.596,30.1336,2002200
29.8129,2019-09-25,30.0959,29.4357,29.8129,1905000
29.6432,2019-09-26,29.9072,29.5111,29.6903,1701700
29.5488,2019-09-27,29.8884,29.3414,29.7941,1737500
29.662,2019-09-30,29.7563,29.4451,29.5677,2196700
29.0678,2019-10-01,30.0487,29.049,29.8318,2009400
28.4171,2019-10-02,28.9358,28.2662,28.5585,2372600
28.6151,2019-10-03,28.6246,27.7003,28.4548,2043500
28.7755,2019-10-04,28.8132,28.351,28.4831,1186400
28.568,2019-10-07,28.7755,28.4076,28.6812,1340200
28.1907,2019-10-08,28.5114,28.1436,28.2473,1952800
27.9266,2019-10-09,28.3416,27.9078,28.3228,1806100
28.4925,2019-10-10,28.6151,28.0398,28.0398,1681000
29.0678,2019-10-11,29.5206,28.8038,28.8038,2368200
29.0018,2019-10-14,29.0867,28.8603,29.0395,1230200
29.2659,2019-10-15,29.5771,29.0018,29.5205,971900
29.4074,2019-10-16,29.4357,29.1527,29.1527,1096200
29.4545,2019-10-17,29.6715,29.2093,29.6054,1403300
29.4734,2019-10-18,29.6149,29.3414,29.4168,1270400
29.8507,2019-10-21,29.8695,29.6149,29.7092,1199200
30.077,2019-10-22,30.3128,29.7752,29.8601,1643900
30.1053,2019-10-23,30.1336,29.8412,29.9921,1130300
