close,date,high,low,open,volume
43.9256,2019-08-12,44.2591,43.7718,44.165,1465600
43.9769,2019-08-13,44.165,43.6692,43.7718,971100
43.4725,2019-08-14,44.1479,43.3272,44.1137,761700
44.0881,2019-08-15,44.2077,43.028,43.4383,1201800
44.1394,2019-08-16,44.43,44.0624,44.3531,1048900
44.4386,2019-08-19,44.5925,44.0282,44.1821,750200
44.3445,2019-08-20,44.5925,44.1052,44.5925,572000
44.5925,2019-08-21,44.6267,44.1736,44.3616,992900
44.6096,2019-08-22,44.7036,44.259,44.601,866800
44.1479,2019-08-23,44.8917,43.8401,44.5839,982100
44.678,2019-08-26,44.6951,44.1736,44.2078,647800
44.7464,2019-08-27,45.0969,44.7036,44.7293,1342500
44.7806,2019-08-28,45.0456,44.5241,44.7635,2199400
44.9088,2019-08-29,45.3106,44.4129,44.8917,1174700
44.8404,2019-08-30,45.1909,44.7122,45.0798,1587400
45.7893,2019-09-03,46.0031,44.866,45.0969,2263800
45.7466,2019-09-04,46.0544,45.3534,45.9176,1529700
44.9344,2019-09-05,45.5585,44.8233,45.4645,1627700
44.678,2019-09-06,45.1482,44.3616,45.0883,1778700
43.8487,2019-09-09,44.5583,43.7889,44.0453,1838900
43.5666,2019-09-10,43.729,43.0536,43.6948,2364800
43.9684,2019-09-11,44.0966,43.293,43.5153,1136400
44.1992,2019-09-12,44.6267,44.0368,44.1821,912000
44.1565,2019-09-13,44.4728,43.8316,44.0282,1058500
44.3958,2019-09-16,44.4557,44.0111,44.2334,1305100
45.1482,2019-09-17,45.2166,44.3958,44.3958,1211200
45.2679,2019-09-18,45.4559,44.943,45.2764,1045500
45.4046,2019-09-19,45.5158,45.1653,45.4132,1146100
45.4645,2019-09-20,45.6953,44.9686,45.1653,2293200
45.5414,2019-09-23,45.7723,45.2935,45.2935,1419700
46.3023,2019-09-24,46.4391,45.5927,45.7894,1290300
46.1912,2019-09-25,46.422,45.9689,46.2083,915100
46.3878,2019-09-26,46.6699,46.2254,46.2938,796600
