close,date,high,low,open,volume
184.99,2019-08-12,187.205,184.082,186.467,10930900
188.064,2019-08-13,190.988,184.99,185.14,13577000
179.341,2019-08-14,185.609,178.942,185.419,18903700
182.216,2019-08-15,182.824,179.661,180.579,12925900
183.323,2019-08-16,184.72,181.986,183.373,12654600
185.788,2019-08-19,187.115,184.471,185.629,9691200
183.433,2019-08-20,185.619,182.016,185.07,10083400
183.174,2019-08-21,185.519,182.764,184.621,8398200
181.667,2019-08-22,183.732,179.541,183.054,10821400
177.385,2019-08-23,182.754,176.298,180.469,17323400
179.99,2019-08-26,180.13,177.874,179.032,8773600
180.928,2019-08-27,183.663,180.639,181.557,14399600
181.387,2019-08-28,181.577,178.553,180.16,9386100
185.189,2019-08-29,185.698,183.094,183.393,10128700
185.289,2019-08-30,186.417,183.084,186.397,10774500
182.016,2019-09-03,185.289,181.737,183.623,9779400
186.756,2019-09-04,187.365,183.513,184.271,11308000
190.509,2019-09-05,190.968,187.555,188.143,13876700
187.106,2019-09-06,189.82,185.968,189.82,15226800
188.373,2019-09-09,188.592,185.469,187.345,14722400
185.788,2019-09-10,187.714,184.172,187.056,15455900
188.103,2019-09-11,189.051,185.698,186.078,11761700
187.086,2019-09-12,190.538,186.846,189.471,11419800
186.806,2019-09-13,187.585,186.157,186.946,11441100
185.838,2019-09-16,187.405,185.389,186.547,8444800
187.694,2019-09-17,187.934,185.16,186.277,9671100
187.754,2019-09-18,188.692,185.629,187.704,9681900
189.75,2019-09-19,190.708,187.764,188.273,10392700
189.54,2019-09-20,192.704,187.734,190.269,19934200
186.437,2019-09-23,189.71,184.83,188.952,13327600
180.908,2019-09-24,187.654,180.02,187.595,18546600
182.425,2019-09-25,183.044,177.505,181.078,18068300
179.741,2019-09-26,181.028,177.306,180.958,16083300
176.737,2019-09-27,180.389,175.3,180.12,14656200
177.715,2019-09-30,178.304,176.487,177.505,10740000
175.449,2019-10-01,179.471,174.521,178.783,17073000
174.242,2019-10-02,176.168,172.735,174.481,16151700
179.012,2019-10-03,179.471,173.274,175.21,16086300
180.08,2019-10-04,180.609,177.735,179.182,10430200
179.312,2019-10-07,180.808,177.725,179.631,9178300
177.385,2019-10-08,180.0,177.356,177.894,9466900
179.481,2019-10-09,180.349,177.575,178.793,7556900
179.661,2019-10-10,181.238,178.803,179.95,8605000
183.812,2019-10-11,186.108,181.766,181.776,14930500
182.904,2019-10-14,184.241,182.196,183.822,7006000
188.503,2019-10-15,189.99,183.283,183.423,15039100
189.161,2019-10-16,189.311,186.517,187.934,10516900
190.0,2019-10-17,190.449,188.383,189.91,9603000
185.469,2019-10-18,191.097,183.543,189.84,16874200
189.371,2019-10-21,189.521,186.367,186.656,8122600
181.966,2019-10-22,190.259,181.128,189.61,19537600
185.768,2019-10-23,185.998,181.627,181.637,12300400
185.998,2019-10-24,186.347,182.425,184.241,11413500
187.505,2019-10-25,188.612,184.71,185.449,8061200
189.012,2019-10-28,189.141,184.7,186.816,13657900
188.922,2019-10-29,192.135,188.083,191.297,13574900
187.864,2019-10-30,190.059,185.599,189.171,28734600
191.257,2019-10-31,197.684,187.864,196.297,42286500
193.223,2019-11-01,193.712,189.521,192.455,21711800
194.321,2019-11-04,196.965,193.413,194.151,16371300
193.922,2019-11-05,195.349,193.203,194.969,9942000
191.157,2019-11-06,193.971,190.958,193.632,10973000
190.029,2019-11-07,193.043,189.081,191.516,13473000
190.449,2019-11-08,191.946,189.311,189.61,10760800
189.221,2019-11-11,189.69,188.153,189.541,8631200
194.071,2019-11-12,194.66,189.351,189.61,17615500
192.794,2019-11-13,195.299,192.345,194.301,10860700
192.754,2019-11-14,193.632,191.057,192.534,9040500
194.7,2019-11-15,194.899,192.983,193.862,11524300
196.995,2019-11-18,198.223,192.654,194.161,16167200
198.911,2019-11-19,199.59,196.456,196.995,19056800
197.105,2019-11-20,199.181,195.029,198.173,12355400
197.524,2019-11-21,198.682,196.456,197.015,12131000
198.412,2019-11-22,198.891,197.215,197.973,9959800
199.38,2019-11-25,200.558,198.841,199.111,15272300
198.562,2019-11-26,199.74,197.634,199.59,11735500
201.586,2019-11-27,202.723,199.011,199.49,12736600
201.227,2019-11-29,203.382,200.797,201.187,7985200
199.29,2019-12-02,201.765,197.644,201.715,11503400
198.412,2019-12-03,198.522,194.68,197.195,11595300
198.303,2019-12-04,199.62,197.644,199.59,8456300
198.951,2019-12-05,200.877,197.804,199.45,9740400
200.638,2019-12-06,201.157,199.65,200.089,12270600
200.927,2019-12-09,202.723,199.799,200.239,11954800
200.458,2019-12-10,201.636,199.74,201.246,9475700
201.845,2019-12-11,202.214,199.869,199.869,8036800
196.347,2019-12-12,203.242,193.702,201.935,23734800
193.712,2019-12-13,196.396,192.774,195.997,18798000
197.514,2019-12-16,198.712,194.41,194.87,14911500
197.983,2019-12-17,198.592,195.728,198.432,10175700
202.085,2019-12-18,203.881,199.68,199.68,23274400
205.637,2019-12-19,205.877,202.095,202.364,16514600
205.877,2019-12-20,207.284,203.013,207.055,27306900
