close,date,high,low,open,volume
109.955,2019-08-12,111.773,109.582,110.58,1762665
111.841,2019-08-13,113.876,109.989,110.267,3880542
107.724,2019-08-14,110.478,107.629,110.227,4851096
107.361,2019-08-15,109.319,106.533,108.196,5325429
110.551,2019-08-16,110.832,107.779,108.046,4164233
111.543,2019-08-19,112.228,110.743,112.064,3824808
110.215,2019-08-20,111.653,110.181,111.653,2465793
110.311,2019-08-21,112.023,110.243,111.365,1941826
110.126,2019-08-22,111.53,109.627,110.893,1724154
106.683,2019-08-23,109.764,106.286,109.579,5051784
106.868,2019-08-26,107.792,106.156,107.477,2649499
106.615,2019-08-27,107.799,106.375,107.696,2728196
107.847,2019-08-28,108.004,105.417,106.17,2806892
109.771,2019-08-29,110.229,108.874,109.045,3791918
110.701,2019-08-30,110.996,109.805,110.599,2352532
108.593,2019-09-03,110.64,107.648,110.482,2195617
109.572,2019-09-04,109.955,108.833,109.408,1801894
112.42,2019-09-05,113.912,111.16,111.235,2895994
112.221,2019-09-06,112.865,111.543,112.7,2107711
113.59,2019-09-09,114.898,112.735,112.947,3697195
115.589,2019-09-10,115.753,113.638,113.741,3875279
115.055,2019-09-11,116.294,113.2,116.274,4280604
116.766,2019-09-12,117.636,115.418,116.109,3432998
117.355,2019-09-13,118.067,116.274,116.773,3030903
116.143,2019-09-16,117.198,114.939,117.198,2941323
115.048,2019-09-17,115.39,113.974,114.836,3248814
114.617,2019-09-18,115.035,113.118,114.733,2507653
114.364,2019-09-19,115.555,114.254,114.583,1941108
114.151,2019-09-20,115.801,113.96,114.61,4423884
114.151,2019-09-23,114.61,112.604,113.282,2318566
112.769,2019-09-24,114.692,112.372,114.35,3572213
112.262,2019-09-25,112.933,112.05,112.782,3298807
112.146,2019-09-26,112.543,111.441,112.262,3304907
112.625,2019-09-27,113.385,111.934,112.591,3432879
112.536,2019-09-30,113.337,112.221,113.09,3000166
108.415,2019-10-01,113.09,108.271,112.947,3912714
106.546,2019-10-02,107.621,105.848,107.512,3554871
106.259,2019-10-03,106.416,103.233,106.197,3618737
106.663,2019-10-04,106.82,105.691,106.259,3165094
105.088,2019-10-07,106.341,105.088,106.101,2955555
103.185,2019-10-08,104.596,103.076,104.274,3327033
103.357,2019-10-09,104.349,103.22,104.281,4016886
104.26,2019-10-10,104.794,103.274,103.329,3817632
108.223,2019-10-11,109.25,105.492,105.506,5585559
109.873,2019-10-14,111.16,107.703,108.182,3910681
111.564,2019-10-15,112.276,109.079,109.079,3705926
111.016,2019-10-16,112.399,110.975,111.646,2314499
111.947,2019-10-17,113.282,111.632,111.674,2325742
111.646,2019-10-18,112.447,111.564,111.961,3221665
113.59,2019-10-21,113.734,112.782,113.268,2390326
114.685,2019-10-22,115.623,113.015,113.816,2468544
115.521,2019-10-23,115.521,114.015,114.596,3243911
