close,date,high,low,open,volume
13.02,2019-08-12,13.68,12.984,13.42,780300
13.3,2019-08-13,13.395,12.76,13.0,559000
12.74,2019-08-14,13.22,12.5,13.08,1362700
12.67,2019-08-15,12.95,12.47,12.72,1162800
13.16,2019-08-16,13.24,12.79,12.85,1105100
13.4,2019-08-19,13.5,13.02,13.25,1914300
14.15,2019-08-20,14.65,13.6,13.87,3366900
14.29,2019-08-21,14.41,13.76,14.25,1416100
14.16,2019-08-22,14.43,14.04,14.37,1022400
13.88,2019-08-23,14.36,13.83,14.08,1501000
14.97,2019-08-26,15.38,14.0,14.01,3153400
14.51,2019-08-27,15.5,14.12,15.17,2720200
14.82,2019-08-28,15.04,14.38,14.51,1451700
15.18,2019-08-29,15.2,14.61,14.91,1684000
15.73,2019-08-30,15.75,15.2,15.3,1601300
14.88,2019-09-03,16.5,14.35,16.1,2508800
15.42,2019-09-04,15.59,14.8,15.11,1555700
15.53,2019-09-05,16.13,15.02,15.65,1394500
15.88,2019-09-06,16.18,15.14,15.56,2042500
16.03,2019-09-09,16.23,15.36,15.98,2311800
17.09,2019-09-10,17.34,15.97,16.06,3077200
15.92,2019-09-11,17.59,15.89,17.34,3590700
16.4,2019-09-12,18.46,16.2,16.23,8290900
16.71,2019-09-13,17.04,16.06,16.45,3162200
17.05,2019-09-16,17.31,16.69,16.73,3053900
17.66,2019-09-17,17.95,17.19,17.46,5239600
17.78,2019-09-18,18.0,17.35,17.77,5834500
17.9,2019-09-19,18.42,17.617,17.71,5866800
18.07,2019-09-20,18.39,17.75,18.14,24387400
17.83,2019-09-23,18.48,17.56,18.24,4847400
17.82,2019-09-24,17.99,17.25,17.83,5213300
17.18,2019-09-25,17.71,17.1,17.71,3044600
16.34,2019-09-26,17.51,16.145,17.41,4448900
15.9,2019-09-27,16.54,15.675,16.29,2305200
15.92,2019-09-30,16.27,15.67,15.79,1532200
14.81,2019-10-01,16.06,14.8,15.87,1544900
14.86,2019-10-02,15.01,14.42,14.78,1783300
15.07,2019-10-03,15.24,14.41,15.24,1464200
15.51,2019-10-04,15.57,14.89,15.05,1021400
15.47,2019-10-07,15.63,15.07,15.45,1373900
15.31,2019-10-08,15.48,15.01,15.36,1226200
