close,date,high,low,open,volume
209.806,2019-08-12,213.879,208.786,211.562,470700
215.863,2019-08-13,216.645,208.586,208.795,509800
208.795,2019-08-14,214.471,207.718,212.678,706200
212.565,2019-08-15,213.474,208.901,208.901,468400
216.459,2019-08-16,217.187,213.015,214.536,543400
220.363,2019-08-19,221.674,219.445,220.287,474400
221.502,2019-08-20,222.908,217.694,219.186,511000
224.879,2019-08-21,226.018,221.894,222.66,410500
225.808,2019-08-22,227.109,223.741,225.463,582900
222.937,2019-08-23,227.434,221.932,225.061,910700
221.636,2019-08-26,226.181,219.282,224.937,432300
221.244,2019-08-27,222.755,218.966,222.124,494200
221.722,2019-08-28,222.172,218.23,220.545,285900
225.434,2019-08-29,226.028,222.296,224.506,347100
224.497,2019-08-30,227.501,222.21,227.071,331800
223.406,2019-09-03,224.899,220.909,222.937,408600
220.258,2019-09-04,225.348,217.541,223.282,608700
225.262,2019-09-05,225.884,220.727,222.707,385100
230.85,2019-09-06,231.682,226.123,226.123,561500
227.252,2019-09-09,234.141,224.946,232.888,764300
218.564,2019-09-10,226.104,216.086,226.104,983900
216.919,2019-09-11,218.038,212.154,217.024,909200
222.353,2019-09-12,225.281,219.406,219.406,848400
219.722,2019-09-13,223.358,215.971,222.928,550800
220.067,2019-09-16,220.325,217.416,217.646,574400
229.778,2019-09-17,230.276,220.392,220.507,824700
223.655,2019-09-18,229.635,220.765,229.635,603200
225.224,2019-09-19,226.736,222.334,223.674,390600
215.981,2019-09-20,226.841,215.914,225.875,882000
216.201,2019-09-23,217.129,214.383,215.924,437600
215.866,2019-09-24,220.277,214.9,217.933,479100
217.254,2019-09-25,217.99,212.958,215.924,341900
213.895,2019-09-26,217.187,213.187,216.354,383200
206.566,2019-09-27,218.268,203.868,216.928,783000
208.346,2019-09-30,210.479,204.968,206.576,617200
206.891,2019-10-01,211.101,206.815,208.413,473500
203.514,2019-10-02,205.533,202.126,205.073,608100
208.432,2019-10-03,209.236,201.256,203.38,684200
211.465,2019-10-04,211.934,208.145,209.494,353900
211.254,2019-10-07,212.852,210.049,210.192,305900
205.246,2019-10-08,209.59,203.81,209.102,388600
209.991,2019-10-09,211.675,207.896,208.556,269200
213.034,2019-10-10,214.278,208.183,209.293,404100
215.598,2019-10-11,218.785,215.283,218.785,366700
215.388,2019-10-14,217.876,214.871,215.56,259300
217.273,2019-10-15,219.263,215.971,216.718,285700
216.22,2019-10-16,217.856,211.829,217.139,334500
219.139,2019-10-17,219.387,216.306,216.9,240400
214.709,2019-10-18,218.258,213.149,218.22,279600
216.383,2019-10-21,216.603,212.891,216.048,295000
207.035,2019-10-22,217.091,206.183,216.383,499000
208.901,2019-10-23,209.283,204.872,206.824,894900
212.967,2019-10-24,214.431,209.408,209.714,325800
212.604,2019-10-25,214.565,211.723,212.278,232300
215.311,2019-10-28,216.68,213.101,214.708,346800
218.22,2019-10-29,220.602,214.775,214.775,481500
219.244,2019-10-30,219.244,214.154,217.196,492300
224.43,2019-10-31,227.099,221.339,223.817,764500
235.29,2019-11-01,235.376,226.602,226.602,533300
235.175,2019-11-04,238.485,233.06,237.174,447000
228.171,2019-11-05,236.074,226.181,235.184,588400
230.86,2019-11-06,230.946,228.219,228.975,356500
236.026,2019-11-07,236.993,231.663,232.103,505300
234.419,2019-11-08,236.476,233.318,235.883,369900
234.419,2019-11-11,236.265,229.692,232.199,212500
235.548,2019-11-12,237.146,233.739,234.419,429800
238.447,2019-11-13,239.633,234.543,234.715,276000
239.857,2019-11-14,239.925,234.907,237.43,527700
239.857,2019-11-15,240.826,237.315,239.867,562200
242.342,2019-11-18,242.736,238.879,239.282,482700
247.053,2019-11-19,247.888,243.657,243.762,615600
245.969,2019-11-20,250.756,243.494,246.641,1003500
245.249,2019-11-21,248.799,243.503,247.207,398000
247.504,2019-11-22,248.214,244.933,246.065,389200
253.299,2019-11-25,253.836,248.195,248.195,659300
249.231,2019-11-26,254.834,248.531,253.491,879100
247.705,2019-11-27,250.459,242.035,250.449,645600
248.675,2019-11-29,250.171,246.381,247.303,285800
246.161,2019-12-02,252.1,245.144,249.778,710800
244.031,2019-12-03,245.163,241.335,242.208,455000
248.521,2019-12-04,249.269,244.578,245.163,396200
249.855,2019-12-05,250.497,247.542,249.001,259900
255.515,2019-12-06,256.657,251.275,252.359,503100
252.838,2019-12-09,256.177,252.675,255.429,386300
250.891,2019-12-10,253.424,249.941,253.424,388500
250.21,2019-12-11,251.889,249.586,251.889,266600
249.317,2019-12-12,251.38,247.6,250.334,327300
249.538,2019-12-13,250.44,246.161,248.444,358700
250.593,2019-12-16,253.683,250.296,251.764,388700
248.003,2019-12-17,252.263,247.965,252.263,729100
247.053,2019-12-18,250.382,246.621,249.298,518300
249.241,2019-12-19,249.73,246.554,246.554,687100
248.732,2019-12-20,251.361,246.784,250.411,952000
248.224,2019-12-23,255.477,247.734,251.102,339800
249.797,2019-12-24,250.593,247.091,248.051,86000
249.912,2019-12-26,252.186,249.116,249.931,189300
249.442,2019-12-27,250.67,248.329,250.315,186800
246.497,2019-12-30,250.488,245.547,249.528,197800
247.705,2019-12-31,248.137,245.192,246.228,225900
255.256,2020-01-02,255.266,249.202,249.538,543300
250.171,2020-01-03,252.886,248.751,251.562,459700
251.419,2020-01-06,251.514,246.382,248.089,450900
251.764,2020-01-07,254.594,250.162,250.277,460700
255.745,2020-01-08,258.307,252.368,252.368,528700
256.964,2020-01-09,260.61,255.467,258.221,470000
254.94,2020-01-10,257.472,253.366,257.098,339100
260.955,2020-01-13,262.25,255.179,255.314,415300
255.851,2020-01-14,261.924,255.515,260.264,395600
258.796,2020-01-15,260.159,255.726,255.726,340100
266.04,2020-01-16,266.069,259.708,261.387,366400
267.748,2020-01-17,268.573,265.158,267.93,452900
266.75,2020-01-21,270.252,265.167,266.347,477000
267.901,2020-01-22,271.921,267.0,268.189,388300
267.825,2020-01-23,268.746,265.004,266.673,284200
264.908,2020-01-24,269.6,263.104,269.197,221800
262.826,2020-01-27,264.323,258.374,259.046,460200
266.885,2020-01-28,267.767,262.845,263.987,310800
270.828,2020-01-29,273.188,267.201,268.487,489600
280.892,2020-01-30,281.19,267.681,270.665,616100
274.205,2020-01-31,283.099,273.553,280.201,784300
280.777,2020-02-03,282.59,275.548,275.567,509100
288.932,2020-02-04,290.822,284.375,285.325,479400
283.204,2020-02-05,292.098,280.192,292.098,393500
284.854,2020-02-06,286.169,281.794,284.039,489900
285.747,2020-02-07,287.426,281.938,283.991,335100
289.239,2020-02-10,290.112,284.759,284.759,348900
291.254,2020-02-11,292.213,288.836,290.918,331100
295.677,2020-02-12,298.411,291.858,295.389,384200
300.685,2020-02-13,301.462,294.439,294.708,377600
309.474,2020-02-14,309.771,300.867,300.867,568900
313.82,2020-02-18,314.597,307.775,308.178,539100
318.636,2020-02-19,321.821,314.693,315.23,514700
309.291,2020-02-20,319.828,307.071,317.569,850300
297.149,2020-02-21,305.301,291.803,305.128,1101800
291.813,2020-02-24,294.034,281.286,282.641,1127300
288.717,2020-02-25,296.928,285.602,294.12,851000
293.813,2020-02-26,298.514,284.103,284.103,789700
285.881,2020-02-27,295.563,284.199,285.881,968400
284.035,2020-02-28,289.102,272.076,275.248,1394200
303.35,2020-03-02,303.85,285.785,287.881,1152400
296.735,2020-03-03,309.147,292.275,304.061,855100
306.176,2020-03-04,308.157,299.956,302.946,836500
289.275,2020-03-05,302.917,286.179,302.062,772900
274.806,2020-03-06,279.892,266.067,279.805,1049700
247.896,2020-03-09,263.702,247.714,256.866,1232600
263.913,2020-03-10,263.933,248.589,256.232,1593500
252.444,2020-03-11,260.933,247.224,255.636,1233500
246.781,2020-03-12,251.184,223.054,234.745,1793400
272.46,2020-03-13,274.758,250.54,256.289,1536000
236.888,2020-03-16,256.549,235.821,241.311,1661700
247.656,2020-03-17,262.231,240.061,242.657,1291000
215.978,2020-03-18,239.013,210.21,232.072,1384800
228.188,2020-03-19,239.004,211.556,216.824,1195800
233.687,2020-03-20,243.263,229.774,231.034,1663900
222.612,2020-03-23,233.985,213.257,226.678,1412100
262.76,2020-03-24,267.009,230.909,230.909,991800
253.588,2020-03-25,265.855,247.147,260.616,1139000
280.594,2020-03-26,284.42,255.838,256.453,1049400
265.096,2020-03-27,277.286,263.5,273.143,978000
282.382,2020-03-30,283.334,264.731,267.297,580600
277.806,2020-03-31,290.246,276.335,284.545,956400
260.808,2020-04-01,268.816,255.636,264.952,997100
275.912,2020-04-02,276.046,255.049,258.405,717900
260.164,2020-04-03,275.537,259.597,272.124,841400
290.813,2020-04-06,292.025,269.259,274.518,617800
275.037,2020-04-07,302.36,275.037,300.071,752400
285.708,2020-04-08,287.295,275.008,278.786,624200
298.697,2020-04-09,301.167,287.266,287.391,941600
297.572,2020-04-13,298.995,292.284,296.851,575300
301.312,2020-04-14,310.955,300.6,305.455,701000
297.668,2020-04-15,300.572,288.727,295.553,743700
297.457,2020-04-16,303.235,294.37,299.543,660700
304.936,2020-04-17,310.214,301.889,304.763,768900
309.522,2020-04-20,313.214,298.053,303.388,621300
299.302,2020-04-21,306.551,296.562,303.465,467900
308.243,2020-04-22,311.339,302.398,304.484,640100
305.186,2020-04-23,311.81,303.475,307.715,354200
312.349,2020-04-24,313.473,300.418,306.426,535900
318.809,2020-04-27,321.501,314.723,317.059,500800
306.84,2020-04-28,330.721,299.129,325.914,916900
321.78,2020-04-29,324.164,309.541,314.185,575700
314.377,2020-04-30,320.194,310.676,317.771,771600
307.59,2020-05-01,312.397,304.09,308.589,337400
309.051,2020-05-04,310.176,302.129,305.388,335100
324.318,2020-05-05,327.087,311.57,313.425,563100
317.502,2020-05-06,328.298,315.617,324.953,338900
321.203,2020-05-07,329.356,321.203,323.357,545400
320.703,2020-05-08,327.375,319.184,325.308,414200
333.845,2020-05-11,335.566,316.742,317.646,590000
333.72,2020-05-12,342.892,331.932,336.749,579900
322.664,2020-05-13,333.701,318.405,331.884,585500
329.514,2020-05-14,329.812,319.524,319.822,379700
328.714,2020-05-15,337.201,326.653,327.876,467100
334.042,2020-05-18,340.255,334.003,335.814,444100
325.159,2020-05-19,338.906,325.102,333.309,518300
328.994,2020-05-20,333.849,327.587,329.254,469400
321.133,2020-05-21,331.749,319.659,329.225,426200
325.583,2020-05-22,326.662,318.888,321.99,356500
314.216,2020-05-26,333.492,313.137,332.356,626200
303.619,2020-05-27,317.915,299.679,316.489,937500
310.854,2020-05-28,316.46,302.126,305.488,928900
316.798,2020-05-29,319.36,311.008,313.06,800500
323.079,2020-06-01,325.468,314.486,318.214,468600
313.012,2020-06-02,323.955,311.624,323.917,693300
306.904,2020-06-03,314.495,302.376,312.048,853500
300.161,2020-06-04,309.534,296.134,303.272,726800
