close,date,high,low,open,volume
126.997,2019-08-12,128.386,126.7,127.725,498400
128.234,2019-08-13,129.683,126.115,127.141,570100
122.675,2019-08-14,126.471,121.946,125.615,869900
122.598,2019-08-15,124.158,122.217,123.497,578500
125.014,2019-08-16,125.683,123.429,123.565,744900
126.429,2019-08-19,127.539,126.319,127.115,593200
124.031,2019-08-20,125.514,123.954,125.514,577800
124.895,2019-08-21,125.522,124.251,124.751,490600
125.683,2019-08-22,126.251,124.124,125.997,480500
121.946,2019-08-23,126.268,121.192,125.056,611100
123.404,2019-08-26,123.463,122.192,122.793,409300
121.912,2019-08-27,124.209,121.573,123.785,535600
123.166,2019-08-28,123.717,121.149,121.438,535300
124.81,2019-08-29,125.734,124.31,124.336,520400
124.751,2019-08-30,126.218,124.273,125.604,631200
122.003,2019-09-03,123.786,120.732,123.548,770300
122.848,2019-09-04,123.232,121.329,123.189,599000
125.51,2019-09-05,127.916,124.708,124.708,666200
124.947,2019-09-06,126.483,124.648,125.45,671700
131.525,2019-09-09,132.046,126.065,126.201,1000200
132.327,2019-09-10,134.349,130.382,132.182,770100
132.259,2019-09-11,132.541,129.998,132.541,874000
133.778,2019-09-12,135.194,130.706,131.738,830300
135.186,2019-09-13,136.133,133.36,134.375,612200
136.184,2019-09-16,136.32,133.65,134.247,543300
134.913,2019-09-17,135.569,133.343,135.51,568800
136.039,2019-09-18,136.662,133.641,134.324,560000
133.923,2019-09-19,136.022,133.641,134.998,589800
133.36,2019-09-20,135.117,133.163,134.426,1443000
133.232,2019-09-23,133.872,131.832,132.25,424600
132.609,2019-09-24,133.692,131.278,133.343,510200
134.162,2019-09-25,134.759,132.822,132.839,465300
133.863,2019-09-26,134.418,132.524,134.076,369200
134.972,2019-09-27,136.15,133.59,134.75,424500
134.785,2019-09-30,135.544,134.563,135.339,508100
131.158,2019-10-01,136.235,131.116,135.697,467700
127.771,2019-10-02,130.177,127.745,130.152,489000
128.889,2019-10-03,128.914,125.433,127.293,456200
131.44,2019-10-04,131.79,128.667,128.667,554400
131.414,2019-10-07,132.634,130.587,130.962,378200
128.411,2019-10-08,130.177,127.89,129.204,687000
130.049,2019-10-09,130.817,129.059,129.52,480600
132.208,2019-10-10,132.814,130.612,130.612,409200
133.513,2019-10-11,135.228,133.394,134.554,549300
133.59,2019-10-14,133.974,131.935,132.822,364400
135.51,2019-10-15,136.013,133.547,134.341,489100
135.604,2019-10-16,136.952,135.237,135.672,948300
129.785,2019-10-17,132.353,128.24,129.785,2015500
129.887,2019-10-18,130.877,129.367,129.554,1135100
131.431,2019-10-21,131.986,129.665,130.834,760900
133.394,2019-10-22,134.418,130.646,131.457,627900
134.64,2019-10-23,134.75,132.455,133.163,676500
133.343,2019-10-24,135.237,131.568,134.639,586200
133.599,2019-10-25,134.571,132.447,133.027,586500
135.373,2019-10-28,135.971,134.102,134.546,574000
134.785,2019-10-29,135.919,134.042,134.563,593400
133.837,2019-10-30,134.767,132.498,134.588,639900
133.556,2019-10-31,133.837,131.713,133.3,579500
137.139,2019-11-01,137.182,134.128,134.93,697500
139.972,2019-11-04,140.126,138.428,138.889,612800
141.79,2019-11-05,143.035,140.279,140.595,811300
141.849,2019-11-06,142.011,140.578,141.081,448500
142.344,2019-11-07,144.878,142.105,142.489,685100
142.993,2019-11-08,143.547,141.414,141.935,554900
142.199,2019-11-11,143.035,141.457,141.807,407900
141.192,2019-11-12,142.728,140.851,142.037,524800
139.23,2019-11-13,140.424,138.718,140.151,516000
139.17,2019-11-14,139.213,137.592,138.914,424500
139.904,2019-11-15,140.732,139.563,139.87,530700
139.051,2019-11-18,139.75,138.59,139.366,669100
138.974,2019-11-19,139.827,138.394,139.682,453000
139.051,2019-11-20,139.938,137.43,139.042,698300
139.11,2019-11-21,140.168,138.249,139.793,405300
140.706,2019-11-22,141.32,139.076,139.511,458100
141.653,2019-11-25,142.071,140.535,141.064,585400
141.414,2019-11-26,142.011,140.501,140.808,990800
142.301,2019-11-27,142.6,141.218,142.105,568000
141.494,2019-11-29,142.559,141.211,142.113,227900
141.382,2019-12-02,143.238,141.202,142.362,673100
138.943,2019-12-03,139.459,137.818,139.459,619400
140.859,2019-12-04,142.353,138.96,139.261,821200
141.769,2019-12-05,142.259,140.609,141.073,457200
142.774,2019-12-06,144.337,142.714,143.848,474300
143.212,2019-12-09,143.478,142.344,142.344,521800
143.47,2019-12-10,144.509,142.551,143.126,440800
142.954,2019-12-11,143.753,142.611,143.41,629400
147.712,2019-12-12,148.228,143.418,143.47,677400
146.098,2019-12-13,147.833,145.11,147.017,571600
146.038,2019-12-16,148.271,145.995,147.566,559300
145.823,2019-12-17,146.699,144.655,146.433,731500
144.423,2019-12-18,146.459,144.337,146.304,628000
144.638,2019-12-19,145.282,143.985,144.586,526300
145.591,2019-12-20,146.416,144.457,145.634,1071400
144.895,2019-12-23,146.124,144.303,146.124,315100
145.445,2019-12-24,145.445,144.483,145.342,125900
145.874,2019-12-26,146.227,144.775,145.806,260600
145.625,2019-12-27,146.27,144.973,146.27,288400
145.514,2019-12-30,146.407,145.282,146.407,263300
145.797,2019-12-31,146.218,145.153,145.153,396800
146.931,2020-01-02,146.931,145.11,146.321,509100
145.428,2020-01-03,146.27,143.865,144.603,461900
144.225,2020-01-06,145.582,143.16,145.153,372900
142.482,2020-01-07,144.354,142.095,143.676,324800
143.203,2020-01-08,144.328,142.843,143.1,462500
143.659,2020-01-09,144.346,142.834,144.028,443600
142.568,2020-01-10,143.882,141.657,143.882,546000
143.306,2020-01-13,143.306,141.546,142.92,463100
143.074,2020-01-14,143.873,142.628,143.066,446600
139.673,2020-01-15,142.568,138.909,142.293,618800
140.816,2020-01-16,141.288,139.776,140.438,615200
140.025,2020-01-17,141.477,139.785,141.254,755000
138.256,2020-01-21,139.974,138.067,139.141,700900
139.029,2020-01-22,139.905,138.024,138.677,991500
146.33,2020-01-23,146.716,136.057,141.262,1879400
147.292,2020-01-24,148.967,144.371,146.716,1282200
144.32,2020-01-27,146.527,144.311,144.569,1144800
146.639,2020-01-28,147.884,145.144,145.54,709500
145.239,2020-01-29,148.116,144.99,147.214,739300
146.605,2020-01-30,146.836,142.594,144.131,981100
144.741,2020-01-31,145.986,144.036,145.428,814100
145.23,2020-02-03,147.189,145.179,145.54,605200
146.467,2020-02-04,148.065,146.261,146.982,523000
148.623,2020-02-05,148.967,147.781,148.7,402600
146.991,2020-02-06,149.447,146.879,149.447,359300
145.969,2020-02-07,146.313,144.775,145.402,568100
144.99,2020-02-10,145.892,143.762,145.411,646200
145.462,2020-02-11,146.441,145.067,145.789,479000
145.66,2020-02-12,146.914,145.462,146.493,340000
146.519,2020-02-13,146.587,144.878,144.904,375200
145.823,2020-02-14,146.433,145.179,146.038,387300
143.263,2020-02-18,145.402,142.121,145.282,649100
144.517,2020-02-19,144.861,143.135,143.555,750300
145.608,2020-02-20,146.295,143.976,143.976,538900
144.784,2020-02-21,145.11,143.676,144.689,826600
140.738,2020-02-24,142.387,140.077,142.353,799500
133.944,2020-02-25,140.859,133.867,140.859,1083800
131.806,2020-02-26,136.564,131.763,134.778,985100
124.256,2020-02-27,133.146,124.196,128.868,1429300
121.495,2020-02-28,123.114,118.033,121.175,1945500
127.666,2020-03-02,127.709,119.011,121.495,1320700
120.5,2020-03-03,128.185,120.015,127.069,1493100
123.841,2020-03-04,124.074,117.237,121.651,1159700
113.888,2020-03-05,119.764,111.49,118.631,1630600
108.297,2020-03-06,111.845,105.995,109.145,1354800
93.9905,2020-03-09,99.4257,93.9905,97.1581,1380900
101.122,2020-03-10,103.147,94.5617,100.404,1762200
96.2234,2020-03-11,99.218,94.0597,97.5476,1314600
88.5207,2020-03-12,97.8765,87.4388,88.3649,1927400
97.5822,2020-03-13,97.7813,92.3807,97.1581,2085400
86.1406,2020-03-16,92.8913,81.8825,83.1115,1467100
94.9944,2020-03-17,96.8119,85.6819,88.2524,1772900
93.2549,2020-03-18,95.834,87.0667,87.7331,1896900
90.7363,2020-03-19,95.0723,87.9149,91.2383,1339100
85.4742,2020-03-20,92.3807,85.2752,92.3807,1342000
76.2483,2020-03-23,85.379,75.8502,84.652,1387800
85.4829,2020-03-24,86.7032,78.5677,81.3546,1394400
90.8748,2020-03-25,94.3194,81.2161,85.0502,1560200
95.8167,2020-03-26,96.6908,89.7583,91.5585,1134500
92.8567,2020-03-27,95.8253,90.8661,91.3941,812600
92.5192,2020-03-30,93.878,89.5073,92.2163,1145500
89.516,2020-03-31,94.1722,87.9322,91.1344,978100
82.9644,2020-04-01,86.2618,81.744,84.7819,899700
82.8605,2020-04-02,86.833,81.4584,81.8998,793400
79.338,2020-04-03,84.2712,78.7149,81.8479,1138500
88.9621,2020-04-06,89.7324,82.9817,84.1241,1141700
89.6805,2020-04-07,96.8725,89.2391,95.0637,921300
93.1597,2020-04-08,93.5751,89.2737,90.8748,672200
99.3132,2020-04-09,99.668,94.7175,95.9205,1221500
95.8599,2020-04-13,99.1833,94.5357,99.1833,731800
94.6656,2020-04-14,98.439,92.7356,98.1967,833900
87.3696,2020-04-15,90.719,87.0667,90.5199,725900
83.3365,2020-04-16,87.4215,82.8172,87.0667,889800
91.2902,2020-04-17,91.5758,86.5561,86.9023,1130900
91.3941,2020-04-20,96.0417,87.2744,93.0039,1208100
90.5546,2020-04-21,91.4806,86.9109,87.9841,903200
90.0612,2020-04-22,93.3068,89.7929,92.5624,590000
89.6285,2020-04-23,91.6018,88.7717,90.0872,630700
90.9267,2020-04-24,92.0518,88.5553,90.8229,679100
95.4791,2020-04-27,96.0503,91.2383,91.9999,656900
96.7514,2020-04-28,100.17,96.4744,99.1228,721600
102.611,2020-04-29,103.831,99.3651,101.581,744400
97.0023,2020-04-30,99.8671,96.8466,99.4949,684800
92.7788,2020-05-01,95.2108,91.4633,94.5184,511400
90.3555,2020-05-04,91.3768,87.9062,91.0479,1096300
88.8323,2020-05-05,93.5058,88.6072,92.5019,583800
86.6513,2020-05-06,90.3988,86.0368,90.2776,583000
87.9495,2020-05-07,91.1518,87.6293,87.9582,598600
90.7623,2020-05-08,91.9047,89.1785,90.6065,519400
85.9762,2020-05-11,89.1352,85.6041,89.1352,897800
82.4883,2020-05-12,87.1533,82.4451,86.6167,1054800
77.4426,2020-05-13,82.1248,76.9407,81.7873,970400
79.9525,2020-05-14,80.9305,73.6432,75.5299,1155500
77.1311,2020-05-15,80.2987,76.6551,78.9486,861600
83.5615,2020-05-18,84.0895,80.5237,80.766,1014600
79.2255,2020-05-19,82.7047,79.0524,82.7047,1053300
83.1894,2020-05-20,83.3452,80.4891,80.567,1106100
83.7519,2020-05-21,85.3444,82.6009,82.6701,1085100
84.8424,2020-05-22,85.0242,82.1422,84.3664,977900
93.3501,2020-05-26,94.6136,88.4774,89.1352,1268000
97.712,2020-05-27,100.542,95.055,99.694,1409300
94.3973,2020-05-28,99.3305,93.6443,99.3305,927500
92.3777,2020-05-29,93.9426,91.4159,92.4651,983300
94.8869,2020-06-01,95.2453,92.1154,92.8935,795200
92.6749,2020-06-02,96.4169,91.7919,96.4169,1184100
99.4769,2020-06-03,100.255,95.2978,96.1109,1116300
103.079,2020-06-04,103.516,98.1742,98.8649,1092700
107.8,2020-06-05,113.78,106.471,112.775,1479000
111.385,2020-06-08,111.822,108.605,110.406,1014700
108.316,2020-06-09,109.286,105.256,106.393,786400
102.074,2020-06-10,106.664,102.03,106.445,996000
92.9197,2020-06-11,98.5851,92.5613,95.1841,1245400
95.2628,2020-06-12,98.8911,92.535,98.8911,1078200
96.8016,2020-06-15,97.3174,89.3002,89.5799,1275600
99.0223,2020-06-16,101.549,96.5918,101.549,1046000
96.2333,2020-06-17,99.4857,95.8748,99.0223,803200
96.5655,2020-06-18,98.5327,94.5284,94.8344,772100
97.0901,2020-06-19,98.489,94.0388,98.2092,3473000
94.8694,2020-06-22,96.8365,94.6158,95.6213,967600
94.8344,2020-06-23,98.148,94.6683,96.7753,616600
89.9821,2020-06-24,93.5492,89.5537,92.9634,714900
91.923,2020-06-25,92.2378,88.7668,89.1777,789500
87.8313,2020-06-26,90.2706,86.2751,89.781,1433100
89.4575,2020-06-29,90.9264,88.2773,89.3526,655500
90.9001,2020-06-30,91.8356,88.1723,88.2597,1024900
88.5745,2020-07-01,91.4247,88.4696,91.3547,528800
87.945,2020-07-02,92.0891,87.5079,91.3985,582100
89.1166,2020-07-06,91.7132,88.3472,90.2619,762600
86.1527,2020-07-07,88.3996,85.7943,87.9887,771300
86.5374,2020-07-08,87.945,85.1036,85.9953,799500
83.2413,2020-07-09,86.6423,82.5594,86.1352,679500
87.7527,2020-07-10,87.7964,83.1626,83.1626,859200
88.863,2020-07-13,90.3143,86.4762,88.9155,763900
85.9691,2020-07-14,89.5799,85.4795,88.3996,1020600
89.851,2020-07-15,90.2969,87.8751,88.2335,748200
89.6324,2020-07-16,91.5121,88.2598,88.6707,424900
86.8347,2020-07-17,89.6236,86.5374,89.5974,498900
86.3713,2020-07-20,87.1494,85.7068,86.2401,878800
90.8739,2020-07-21,91.5996,87.1844,87.1844,993800
90.4367,2020-07-22,91.1886,89.51,90.0695,639600
91.8006,2020-07-23,93.7415,88.3384,90.463,1227300
91.9143,2020-07-24,93.4093,91.4509,92.4738,741500
89.9646,2020-07-27,91.2149,88.7843,91.1799,763700
89.9122,2020-07-28,90.5242,89.2827,89.4663,574700
93.3919,2020-07-29,93.9427,88.7931,89.4138,988400
92.4826,2020-07-30,92.9197,88.4958,90.8826,956500
92.6312,2020-07-31,92.8061,90.1919,91.6083,1469700
91.8269,2020-08-03,92.8847,90.1307,92.6137,752200
90.9788,2020-08-04,92.1241,90.4192,91.2761,499600
91.4509,2020-08-05,92.5525,90.7427,91.8006,888500
90.5504,2020-08-06,92.4738,89.8859,90.9263,736000
