close,date,high,low,open,volume
13.2488,2019-08-12,13.4377,12.9844,12.9844,3267400
13.2583,2019-08-13,13.551,13.2205,13.2205,4725000
12.635,2019-08-14,13.3811,12.6067,13.1261,3794900
12.89,2019-08-15,13.1639,12.5973,12.6445,4206600
12.9939,2019-08-16,13.06,12.72,12.9183,2429300
13.2111,2019-08-19,13.3527,13.1639,13.2205,2459100
13.145,2019-08-20,13.3622,13.145,13.2016,1986200
13.315,2019-08-21,13.3999,13.1166,13.2111,2572500
13.3622,2019-08-22,13.466,13.2677,13.3999,2120600
12.7861,2019-08-23,13.3338,12.7672,13.2866,3362900
12.8995,2019-08-26,12.9089,12.805,12.8711,1704700
12.7578,2019-08-27,12.9939,12.7106,12.9656,1787800
12.9561,2019-08-28,12.9561,12.7106,12.7672,1405400
13.0317,2019-08-29,13.1355,13.0128,13.0883,1067800
12.9844,2019-08-30,13.1639,12.8995,13.0694,1994200
12.7956,2019-09-03,12.8994,12.7389,12.89,1893000
13.1166,2019-09-04,13.1355,12.9183,12.975,2712500
13.2205,2019-09-05,13.3527,13.1544,13.2205,2327300
13.3244,2019-09-06,13.4094,13.2488,13.2677,1594700
13.5699,2019-09-09,13.5794,13.2583,13.2583,1593500
13.7981,2019-09-10,13.8172,13.5034,13.5699,2442800
13.8362,2019-09-11,13.9313,13.7031,13.8172,3194100
13.7126,2019-09-12,13.9408,13.7031,13.8647,3394800
13.8362,2019-09-13,13.8647,13.7031,13.7981,1471100
13.3892,2019-09-16,13.7886,13.2846,13.7791,2705900
13.5509,2019-09-17,13.5699,13.2656,13.3797,1497800
13.5414,2019-09-18,13.6555,13.4558,13.5319,2364300
13.2656,2019-09-19,13.5984,13.2466,13.5984,2724800
13.2561,2019-09-20,13.5129,13.123,13.3227,4084100
13.3227,2019-09-23,13.4273,13.1325,13.1991,1778300
13.2466,2019-09-24,13.3988,13.0279,13.3512,2526900
13.3512,2019-09-25,13.4273,13.1705,13.2371,1398600
13.2466,2019-09-26,13.3512,12.9994,13.3512,1870700
13.18,2019-09-27,13.3417,13.104,13.2751,1058300
13.2371,2019-09-30,13.4938,13.2086,13.2371,1881200
13.1991,2019-10-01,13.4273,13.161,13.2561,2601900
13.0754,2019-10-02,13.1515,12.9328,13.0944,2156800
13.0184,2019-10-03,13.142,12.8092,13.123,1940100
13.18,2019-10-04,13.2086,12.9328,12.9328,1325400
13.0374,2019-10-07,13.18,13.0279,13.1135,1976100
12.3337,2019-10-08,12.9613,12.3242,12.9613,1879900
12.4383,2019-10-09,12.4858,12.2576,12.3812,2142900
12.5334,2019-10-10,12.6,12.4003,12.4193,1609700
12.8377,2019-10-11,12.9233,12.6475,12.6475,2053100
12.8662,2019-10-14,12.8948,12.7426,12.8662,2043300
12.7616,2019-10-15,12.8757,12.2101,12.8282,3989700
12.9898,2019-10-16,13.0184,12.638,12.7426,3234000
12.9994,2019-10-17,13.142,12.9043,13.0374,2089800
12.8092,2019-10-18,13.0945,12.7806,12.9708,1776800
12.9803,2019-10-21,13.0374,12.8567,12.8662,2233100
13.161,2019-10-22,13.3132,12.9708,13.0184,2102900
13.1705,2019-10-23,13.2466,13.0564,13.1895,1453100
13.1325,2019-10-24,13.4748,13.0184,13.2466,1974400
13.123,2019-10-25,13.1991,13.0469,13.104,2280800
13.2086,2019-10-28,13.3132,13.142,13.1705,1220500
13.2751,2019-10-29,13.3797,13.1515,13.3797,1389200
12.9708,2019-10-30,13.2371,12.8852,13.2371,1913800
13.0374,2019-10-31,13.0469,12.7806,12.9898,1375000
13.0849,2019-11-01,13.161,12.9043,13.0469,1569700
13.1325,2019-11-04,13.2561,13.0564,13.142,2098000
13.0754,2019-11-05,13.2276,13.0564,13.1705,1453200
12.8852,2019-11-06,13.0849,12.7616,13.0564,1879200
12.6665,2019-11-07,13.123,12.619,12.9233,4306400
12.2671,2019-11-08,12.7997,12.0009,12.6095,6777400
12.5049,2019-11-11,12.5429,12.0769,12.153,4014700
12.4763,2019-11-12,12.5144,12.2861,12.4954,4611100
12.4668,2019-11-13,12.6095,12.3147,12.4193,5528100
12.2766,2019-11-14,12.4573,12.134,12.4193,2423100
12.3527,2019-11-15,12.3812,12.2291,12.3147,1987800
12.2576,2019-11-18,12.4098,12.2386,12.2957,1563500
12.2481,2019-11-19,12.2957,12.1815,12.2671,1539700
12.1055,2019-11-20,12.2291,12.0484,12.1815,1820200
11.9533,2019-11-21,12.2671,11.8963,12.134,3250500
12.0865,2019-11-22,12.115,11.9343,12.0009,2306100
12.2291,2019-11-25,12.2576,12.0674,12.1625,3179800
12.4003,2019-11-26,12.4383,12.2196,12.3527,3474300
12.4288,2019-11-27,12.5714,12.3717,12.4763,1997000
12.2481,2019-11-29,12.4098,12.153,12.3717,1072800
12.2481,2019-12-02,12.2957,12.0865,12.2291,2473400
12.0484,2019-12-03,12.4288,11.9153,12.2957,2374000
12.2101,2019-12-04,12.2671,12.0199,12.0674,3196900
12.3622,2019-12-05,12.4098,12.1815,12.2481,2713300
12.5619,2019-12-06,12.6095,12.3527,12.4478,2171400
12.5809,2019-12-09,12.8377,12.5049,12.5429,1882300
12.5619,2019-12-10,12.6855,12.4954,12.6,2155000
12.657,2019-12-11,12.7616,12.5809,12.6,2488100
13.1135,2019-12-12,13.1515,12.676,12.7141,2787900
12.9233,2019-12-13,13.161,12.8948,13.1325,2255600
13.0564,2019-12-16,13.2561,12.9898,12.9898,2146000
13.1135,2019-12-17,13.161,12.9518,13.104,1604600
13.3702,2019-12-18,13.3797,13.0754,13.104,2697800
13.2371,2019-12-19,13.3607,13.142,13.3227,3206900
13.2656,2019-12-20,13.3892,13.0849,13.3607,5927800
13.3132,2019-12-23,13.5699,13.2086,13.5699,1111000
13.2941,2019-12-24,13.3417,13.2371,13.2941,769000
13.4748,2019-12-26,13.4843,13.3417,13.3607,979600
13.4558,2019-12-27,13.5319,13.3797,13.4368,1020700
13.3797,2019-12-30,13.4653,13.3702,13.4368,1436800
13.4463,2019-12-31,13.4463,13.2656,13.4083,1456700
13.7316,2020-01-02,13.7411,13.4653,13.4748,2182900
13.6935,2020-01-03,13.7221,13.5224,13.5224,1976500
13.6555,2020-01-06,13.665,13.5034,13.6365,2011900
13.7886,2020-01-07,13.8742,13.5889,13.6745,1585000
13.8267,2020-01-08,13.9598,13.7601,13.7601,1695900
13.7221,2020-01-09,13.8742,13.6175,13.8267,1846900
13.646,2020-01-10,13.7601,13.6175,13.7031,1862500
13.8552,2020-01-13,13.8647,13.5414,13.6745,1675800
13.9503,2020-01-14,13.9693,13.7791,13.7981,1670100
14.0644,2020-01-15,14.0739,13.7886,13.9503,1399100
14.1785,2020-01-16,14.2451,14.0454,14.1024,2419900
14.1785,2020-01-17,14.3307,14.1024,14.188,1838500
13.7791,2020-01-21,14.15,13.684,14.0454,2380500
13.7411,2020-01-22,13.8742,13.684,13.7791,2262100
13.646,2020-01-23,13.7221,13.5414,13.665,1468400
13.2561,2020-01-24,13.6365,13.2371,13.5889,1806700
