close,date,high,low,open,volume
49.1869,2019-08-12,49.6857,48.956,49.5841,6580100
49.852,2019-08-13,50.1014,48.956,49.0853,11014800
48.3279,2019-08-14,49.2978,48.254,49.2793,12489200
48.5773,2019-08-15,48.6974,47.9953,48.6327,11257000
49.501,2019-08-16,49.6026,48.9652,49.1223,9913100
49.7596,2019-08-19,50.2215,49.658,50.0829,8273100
48.9375,2019-08-20,49.7319,48.8636,49.4363,7577800
49.1777,2019-08-21,49.815,49.113,49.4456,6113100
49.1315,2019-08-22,49.6211,48.8544,49.4917,6744900
47.6444,2019-08-23,49.2516,47.3395,49.0114,11374500
48.1524,2019-08-26,48.3279,47.8753,48.1616,8582300
48.3925,2019-08-27,48.605,48.2355,48.4387,13853100
47.9861,2019-08-28,48.217,47.6813,48.217,7499000
48.1801,2019-08-29,48.7805,48.1154,48.6327,6858000
48.0877,2019-08-30,48.5403,47.8014,48.4942,7920000
47.9307,2019-09-03,48.0323,47.6166,47.9769,10128000
48.9283,2019-09-04,49.0761,48.2355,48.3556,10558300
49.7319,2019-09-05,50.1845,49.5379,49.6303,10414500
49.1038,2019-09-06,50.009,49.0853,49.9721,11636100
50.3785,2019-09-09,50.5078,49.3717,49.5287,17803800
51.2375,2019-09-10,51.2375,50.009,50.3785,19976400
51.995,2019-09-11,51.995,50.9512,51.0528,16749400
49.7781,2019-09-12,50.6926,48.8636,50.1938,28184400
49.6488,2019-09-13,50.5448,49.2608,49.8797,14736700
49.0853,2019-09-16,49.4825,48.762,49.3255,15204200
48.8359,2019-09-17,49.1407,48.3556,49.1223,11111400
48.5496,2019-09-18,48.8082,47.903,48.7897,8911800
49.2978,2019-09-19,49.5749,48.3925,48.3925,14855000
49.3901,2019-09-20,50.1106,49.3439,49.6118,59517000
49.8982,2019-09-23,50.0367,49.0114,49.113,13863100
49.2793,2019-09-24,50.3323,49.0668,50.009,15354800
49.7319,2019-09-25,49.8335,48.8544,49.2423,11607200
49.8427,2019-09-26,50.1845,49.3901,49.9813,13324300
49.9628,2019-09-27,50.4339,49.5287,50.0552,12391100
50.8311,2019-09-30,51.062,49.9259,50.1106,17445100
49.695,2019-10-01,51.3946,49.6488,50.8403,16443200
49.0946,2019-10-02,49.4733,48.6604,49.4178,15923700
49.7504,2019-10-03,49.7689,48.9006,49.0114,11268500
50.9327,2019-10-04,50.9697,49.7319,49.8797,13659500
50.6187,2019-10-07,51.1359,50.5725,50.868,12352100
49.9259,2019-10-08,50.5355,49.6673,50.1476,14771500
50.5939,2019-10-09,51.0207,50.1578,50.2413,12803100
51.4846,2019-10-10,51.5867,50.4269,50.5197,13789000
52.7836,2019-10-11,53.1918,51.6887,51.8836,18675200
52.3846,2019-10-14,53.0805,52.3382,52.7279,11079600
52.2825,2019-10-15,52.7186,52.2825,52.5423,9150100
51.8465,2019-10-16,51.9671,51.5403,51.763,8912300
51.0857,2019-10-17,52.1805,51.0207,51.9671,9917700
50.6125,2019-10-18,51.2712,50.2692,50.9836,12562900
51.1506,2019-10-21,51.3083,50.863,51.0857,8256600
50.2042,2019-10-22,51.4289,50.1207,51.2341,7777100
50.2228,2019-10-23,50.6867,49.9815,50.1022,10491000
50.3434,2019-10-24,50.7053,50.0465,50.5382,6449200
50.2599,2019-10-25,50.4919,50.1115,50.1393,6307000
50.696,2019-10-28,50.7331,50.3527,50.4269,7280200
50.8444,2019-10-29,51.3176,50.6217,50.7702,8333900
50.8908,2019-10-30,51.197,50.5197,51.197,6284900
50.5568,2019-10-31,50.8908,50.3248,50.7702,8260600
51.03,2019-11-01,51.1692,50.6125,50.8537,7313600
51.4475,2019-11-04,51.7258,51.2712,51.2712,8757000
51.6516,2019-11-05,51.8094,51.5032,51.7351,10759300
51.6795,2019-11-06,51.8557,51.5867,51.6887,10572100
51.9393,2019-11-07,52.5423,51.8279,51.9207,9677700
52.4124,2019-11-08,52.4124,51.7444,51.9392,5869600
52.3568,2019-11-11,52.5238,52.1248,52.1434,5018000
52.5052,2019-11-12,52.7464,52.3475,52.4495,6184900
52.1526,2019-11-13,52.4774,52.1155,52.1526,6802300
52.0413,2019-11-14,52.264,51.6238,51.7815,9056100
52.3475,2019-11-15,52.4774,52.2083,52.3289,7216900
52.1341,2019-11-18,52.4774,51.9207,52.4774,6923300
52.2083,2019-11-19,52.8392,52.199,52.3939,7199500
52.1805,2019-11-20,52.533,51.7815,52.1619,9117000
52.1712,2019-11-21,52.5052,52.0691,52.1619,8067100
52.3197,2019-11-22,52.9413,52.1898,52.3475,6346900
52.4774,2019-11-25,52.5887,52.2176,52.3846,7977700
52.431,2019-11-26,52.7557,52.3475,52.6537,12076900
52.5238,2019-11-27,52.8021,52.3104,52.7928,5790000
52.0877,2019-11-29,52.4124,52.0413,52.264,6479400
51.429,2019-12-02,52.3846,51.3826,52.1712,14314000
50.6496,2019-12-03,51.0207,50.529,50.6774,11963700
50.4826,2019-12-04,50.9372,50.2692,50.9372,11436800
50.7331,2019-12-05,50.8723,50.3805,50.5661,10557400
50.8723,2019-12-06,51.1506,50.6681,51.0578,9088600
51.3176,2019-12-09,51.4753,50.8073,50.8815,11996700
51.7908,2019-12-10,51.8743,51.2434,51.4011,10719700
52.2454,2019-12-11,52.4217,51.6331,51.7722,12159600
52.3939,2019-12-12,52.5702,51.7351,52.2361,15413200
50.5753,2019-12-13,51.4011,50.4918,51.03,21427700
50.0929,2019-12-16,51.0114,49.8238,50.6589,19951000
49.0259,2019-12-17,50.1578,49.0166,50.0001,19778400
49.5362,2019-12-18,49.7403,49.128,49.23,14123100
49.397,2019-12-19,49.731,49.2115,49.4527,11910100
49.731,2019-12-20,50.0558,49.4991,50.0187,27423700
49.8331,2019-12-23,50.1671,49.7403,49.7774,10591500
49.5826,2019-12-24,50.0651,49.5084,49.898,3331700
49.7032,2019-12-26,49.7867,49.4341,49.5919,6702000
49.6011,2019-12-27,49.9166,49.4898,49.7867,7262000
48.896,2019-12-30,49.629,48.8218,49.5455,5936100
49.1558,2019-12-31,49.1743,48.7568,48.7754,7094500
50.0558,2020-01-02,50.0651,49.3877,49.4249,13899600
49.8795,2020-01-03,50.1486,49.128,49.1651,11026700
50.1393,2020-01-06,50.2877,49.4991,49.5084,10982400
50.2506,2020-01-07,50.4084,49.7403,50.0001,12015400
50.4463,2020-01-08,50.8843,50.0456,50.2693,11856700
50.6793,2020-01-09,51.0707,50.3531,50.5582,10671000
50.7445,2020-01-10,50.9309,50.5302,50.8377,9734800
50.8657,2020-01-13,51.0614,50.6607,50.7539,10858900
51.1453,2020-01-14,51.4249,50.7912,50.8098,12627200
51.0335,2020-01-15,51.4249,50.9589,51.1453,9090800
51.6579,2020-01-16,51.6765,51.1919,51.2385,9866000
51.3783,2020-01-17,51.9002,51.1173,51.8443,11166600
51.4621,2020-01-21,51.5926,51.1826,51.2385,8773000
50.9962,2020-01-22,51.8629,50.8843,51.6392,6380500
51.2385,2020-01-23,51.2571,50.5861,50.7073,6583200
50.3904,2020-01-24,51.4435,50.2133,51.313,6426000
49.1043,2020-01-27,49.8778,49.0484,49.561,8259100
49.8219,2020-01-28,50.027,49.0764,49.2628,8620300
49.5796,2020-01-29,50.2693,49.561,50.1201,6332500
49.6821,2020-01-30,49.7008,48.7222,49.2255,7176200
48.8807,2020-01-31,49.8499,48.7315,49.7101,8884700
49.4771,2020-02-03,49.7753,49.1043,49.1416,8892500
50.3624,2020-02-04,50.8471,50.0922,50.0922,9769800
51.0148,2020-02-05,51.2851,50.8657,50.9496,9612900
50.9869,2020-02-06,51.5833,50.9869,51.2571,8832000
50.9962,2020-02-07,51.2292,50.5022,50.5768,7864800
51.2478,2020-02-10,51.3224,50.7445,50.9962,7198200
51.3969,2020-02-11,51.7604,51.3596,51.4156,8466600
51.9374,2020-02-12,52.0866,51.4901,51.7697,7541100
51.546,2020-02-13,51.8536,51.2664,51.546,8480100
