close,date,high,low,open,volume
370.84,2019-08-12,377.99,368.78,376.75,863900
373.54,2019-08-13,381.27,364.58,367.81,840100
369.43,2019-08-14,374.37,366.64,368.5,782500
375.43,2019-08-15,379.0,369.24,371.77,479700
381.64,2019-08-16,382.66,378.38,378.93,490000
385.77,2019-08-19,387.57,380.87,384.63,556900
383.24,2019-08-20,389.85,382.78,386.66,505700
384.0,2019-08-21,388.74,382.39,388.02,385200
382.18,2019-08-22,386.5,380.06,385.36,434200
377.34,2019-08-23,383.21,375.95,379.36,483900
378.65,2019-08-26,380.87,375.02,378.43,445400
376.92,2019-08-27,382.29,376.72,380.98,613900
383.72,2019-08-28,385.4,375.0,375.66,411200
385.44,2019-08-29,390.01,384.87,388.0,451300
383.76,2019-08-30,388.04,382.99,387.7,420700
383.86,2019-09-03,385.63,380.0,380.0,353600
388.61,2019-09-04,389.13,381.97,387.36,419900
396.58,2019-09-05,399.45,391.5,391.96,500200
399.73,2019-09-06,403.75,398.12,398.47,417700
402.62,2019-09-09,403.0,398.68,401.24,548500
407.68,2019-09-10,409.17,398.03,402.05,698800
404.77,2019-09-11,408.85,402.27,407.72,440700
393.9,2019-09-12,407.49,393.73,406.0,599700
390.85,2019-09-13,394.66,389.56,391.0,636500
380.44,2019-09-16,391.53,379.87,389.86,626200
391.57,2019-09-17,391.77,378.24,379.49,604000
390.49,2019-09-18,395.59,385.8,392.23,429700
389.93,2019-09-19,396.83,389.17,390.49,467400
398.86,2019-09-20,403.5,391.57,392.8,1243300
397.88,2019-09-23,403.65,397.14,397.14,573200
394.67,2019-09-24,404.17,391.98,399.79,561700
394.78,2019-09-25,396.06,391.57,395.18,410900
396.16,2019-09-26,397.99,391.95,394.27,276200
394.48,2019-09-27,399.5,392.14,397.69,266200
398.51,2019-09-30,400.24,394.77,394.77,359700
400.67,2019-10-01,402.57,398.72,400.04,399600
390.44,2019-10-02,399.42,387.02,398.66,553500
387.35,2019-10-03,391.8,385.01,391.0,318500
390.62,2019-10-04,390.88,385.51,387.41,325000
388.95,2019-10-07,392.38,387.86,390.04,273100
387.63,2019-10-08,390.43,383.77,385.4,403300
395.33,2019-10-09,396.84,389.85,391.35,341700
398.8,2019-10-10,399.49,390.98,393.73,256300
401.35,2019-10-11,405.75,400.19,401.65,291500
401.39,2019-10-14,402.78,399.73,401.21,266500
403.75,2019-10-15,405.32,400.0,401.66,450700
407.75,2019-10-16,410.1,401.41,402.49,461600
407.17,2019-10-17,409.67,403.13,407.32,432000
403.2,2019-10-18,404.97,401.36,404.97,457900
402.47,2019-10-21,407.4,400.23,406.35,464200
400.4,2019-10-22,405.06,400.15,402.9,417500
400.53,2019-10-23,402.05,397.14,400.0,638100
437.3,2019-10-24,442.15,420.0,420.0,1610000
438.54,2019-10-25,446.78,436.02,436.82,900700
442.19,2019-10-28,445.14,438.35,438.53,594300
434.35,2019-10-29,440.88,434.27,438.36,456800
436.69,2019-10-30,438.62,433.46,434.75,457200
435.51,2019-10-31,437.66,431.19,437.25,381400
437.01,2019-11-01,440.07,435.98,437.93,439300
436.49,2019-11-04,439.71,433.58,438.91,435800
433.72,2019-11-05,439.86,433.0,435.86,445200
440.83,2019-11-06,441.98,432.19,435.02,520800
440.26,2019-11-07,444.4,438.36,443.1,375100
439.23,2019-11-08,441.57,436.8,439.24,254800
439.95,2019-11-11,440.85,436.8,437.01,269900
439.91,2019-11-12,442.32,436.2,438.15,416600
441.64,2019-11-13,443.31,436.73,439.89,256400
443.19,2019-11-14,443.83,439.36,442.36,241900
445.23,2019-11-15,445.37,440.59,445.37,410100
449.89,2019-11-18,454.31,445.87,446.03,487200
444.57,2019-11-19,453.99,444.22,451.37,404500
438.7,2019-11-20,447.67,436.7,444.47,620900
434.94,2019-11-21,441.35,433.37,436.91,418600
438.26,2019-11-22,438.46,434.27,437.58,529200
438.0,2019-11-25,441.12,437.24,439.19,310100
442.28,2019-11-26,443.44,439.12,439.27,513800
445.66,2019-11-27,446.74,441.57,442.57,263300
442.28,2019-11-29,447.7,438.0,438.0,241400
446.36,2019-12-02,447.45,441.01,443.38,314500
438.64,2019-12-03,444.88,434.5,444.2,551600
442.09,2019-12-04,443.65,435.51,438.08,393300
441.04,2019-12-05,443.15,439.32,442.25,351200
445.57,2019-12-06,447.21,442.03,444.13,335900
439.73,2019-12-09,444.31,437.61,441.3,381500
441.9,2019-12-10,448.1,441.26,448.1,518900
444.65,2019-12-11,444.8,439.25,439.47,422500
441.2,2019-12-12,448.53,440.98,444.46,380500
441.35,2019-12-13,442.56,436.71,438.56,474500
440.52,2019-12-16,445.82,440.42,443.65,563700
443.7,2019-12-17,446.38,441.21,441.21,458900
440.54,2019-12-18,444.3,439.71,443.69,491500
442.65,2019-12-19,444.16,433.63,435.47,479900
441.16,2019-12-20,446.4,439.26,445.66,890900
437.41,2019-12-23,442.5,435.5,441.86,362200
439.83,2019-12-24,439.84,435.9,435.9,127900
439.09,2019-12-26,442.04,436.53,440.72,242200
437.21,2019-12-27,441.0,436.05,439.65,256700
437.51,2019-12-30,439.26,435.43,437.36,297800
438.26,2019-12-31,440.17,435.97,437.76,390500
437.52,2020-01-02,439.06,434.44,438.5,796100
438.75,2020-01-03,439.22,433.04,435.81,482900
434.66,2020-01-06,437.03,429.22,437.03,837100
428.77,2020-01-07,434.51,425.28,433.94,661500
431.9,2020-01-08,437.57,428.87,428.87,479500
437.37,2020-01-09,439.54,433.45,434.99,561200
436.85,2020-01-10,438.39,434.9,437.88,569400
435.5,2020-01-13,437.84,433.07,436.63,574500
438.51,2020-01-14,438.79,432.5,434.16,432800
438.15,2020-01-15,440.34,436.78,436.87,349100
441.07,2020-01-16,443.99,438.45,439.9,875600
440.68,2020-01-17,442.8,436.16,442.68,606900
440.6,2020-01-21,446.83,439.81,439.92,622300
435.71,2020-01-22,443.86,433.52,441.18,754200
436.05,2020-01-23,436.91,430.89,432.74,685400
430.77,2020-01-24,439.12,429.71,437.46,374900
426.81,2020-01-27,428.85,425.88,425.88,448300
428.06,2020-01-28,429.84,425.59,427.35,457000
424.13,2020-01-29,429.53,423.9,427.7,368300
419.88,2020-01-30,420.79,417.0,420.7,623700
406.1,2020-01-31,417.95,405.0,415.28,1274900
406.23,2020-02-03,412.07,405.87,407.84,771600
407.59,2020-02-04,415.96,407.47,409.78,666500
419.21,2020-02-05,421.71,410.27,410.53,938000
398.13,2020-02-06,412.49,388.43,404.28,2185100
387.69,2020-02-07,397.49,386.18,396.28,1187900
391.31,2020-02-10,392.0,385.33,385.33,845700
389.76,2020-02-11,394.33,387.77,388.13,1255400
392.47,2020-02-12,393.26,389.33,391.19,840800
392.6,2020-02-13,396.23,391.84,391.84,723700
390.89,2020-02-14,396.01,389.77,393.59,898900
395.99,2020-02-18,399.36,391.31,393.23,1095300
392.15,2020-02-19,398.11,390.5,394.96,781900
395.18,2020-02-20,395.72,388.69,391.15,1096000
391.5,2020-02-21,394.21,389.37,393.3,642000
387.77,2020-02-24,391.29,385.48,386.15,758200
377.35,2020-02-25,390.9,376.75,389.71,1005800
377.69,2020-02-26,384.21,376.72,379.5,809600
370.47,2020-02-27,380.93,370.06,371.24,1110200
368.72,2020-02-28,372.5,358.87,360.91,1689400
