close,date,high,low,open,volume
40.7572,2019-08-12,42.56,40.7029,42.5328,13456400
40.5489,2019-08-13,40.7572,39.8694,40.5308,17633500
39.5886,2019-08-14,39.8875,39.0269,39.6701,16953400
39.8241,2019-08-15,40.2952,39.0903,39.498,9352900
40.3767,2019-08-16,40.6123,39.8694,39.9781,8513800
41.2917,2019-08-19,41.636,40.5398,40.576,9850700
41.0018,2019-08-20,41.5816,40.9112,41.3189,7379100
40.8206,2019-08-21,41.183,40.0144,40.8478,8500300
40.4945,2019-08-22,41.4548,40.4855,41.0018,5863400
38.3837,2019-08-23,39.9781,38.2025,39.9057,12545900
38.1663,2019-08-26,38.9635,37.8945,38.9001,8304200
38.3656,2019-08-27,38.7733,37.8945,38.583,7322200
39.0541,2019-08-28,39.2625,38.5106,38.574,7084700
39.2896,2019-08-29,39.96,39.2172,39.3168,6651300
39.3893,2019-08-30,39.7517,38.7642,39.4255,6881900
38.6646,2019-09-03,38.9363,38.3837,38.8276,6917100
39.4799,2019-09-04,39.7245,39.1266,39.2262,4837900
40.8478,2019-09-05,41.0743,39.806,39.806,9679900
41.183,2019-09-06,41.5001,40.3586,40.721,10958800
41.4596,2019-09-09,41.6071,41.0539,41.4872,11069800
42.8056,2019-09-10,43.0822,41.6901,41.7638,9770900
42.6766,2019-09-11,43.2389,42.1049,42.8702,7662900
41.856,2019-09-12,42.5198,41.6532,42.1879,7403700
41.5702,2019-09-13,42.778,41.4504,42.4092,11149400
44.0687,2019-09-16,45.0367,43.6815,43.8935,24116000
41.6255,2019-09-17,44.207,41.6163,44.1793,15436200
41.1369,2019-09-18,41.6532,40.9341,41.349,9732800
42.2156,2019-09-19,42.6028,41.2936,41.4873,10491800
42.1326,2019-09-20,42.6858,41.727,42.4,8589600
41.9482,2019-09-23,42.3262,41.4596,41.8192,7298300
41.9206,2019-09-24,42.3539,41.5979,41.9298,6503800
41.7915,2019-09-25,42.022,41.2107,41.5887,4324500
41.8099,2019-09-26,41.8376,40.9433,41.5333,4958800
41.6163,2019-09-27,42.1879,41.3029,41.5241,4515900
40.9986,2019-09-30,41.6163,40.6852,41.4873,6520300
40.3533,2019-10-01,41.8745,40.2703,41.183,5229400
39.5881,2019-10-02,40.2703,39.4037,40.2334,6041000
39.8278,2019-10-03,40.0121,38.9611,39.4129,5679200
39.7079,2019-10-04,40.0583,39.2285,39.7356,5109400
38.8874,2019-10-07,39.6802,38.8782,39.5512,7449000
37.6428,2019-10-08,38.998,37.6335,38.6292,8741900
37.652,2019-10-09,38.2789,37.2924,38.1314,7057700
37.8272,2019-10-10,38.2973,37.3846,37.7534,7686300
37.9101,2019-10-11,38.5278,37.864,38.2697,7375600
37.3477,2019-10-14,37.864,36.8499,37.8272,12931400
37.6151,2019-10-15,38.0853,37.1265,37.2556,6216600
37.191,2019-10-16,38.0853,37.1726,37.5229,5658900
37.1818,2019-10-17,37.5782,36.9421,37.2187,6484300
37.2924,2019-10-18,37.8917,37.2002,37.2002,6972400
37.6335,2019-10-21,37.6612,37.1357,37.4031,6592300
38.9243,2019-10-22,39.376,37.5875,37.7073,10472400
39.5696,2019-10-23,39.5696,38.5739,38.786,7655800
38.9888,2019-10-24,39.7356,38.6385,39.6434,7127000
39.2101,2019-10-25,39.6065,38.9058,38.9888,5270700
38.9796,2019-10-28,39.6342,38.9611,39.3391,4644400
39.0257,2019-10-29,39.2746,38.2881,38.7214,6373400
38.1314,2019-10-30,39.0718,37.9654,39.0257,5558500
37.3385,2019-10-31,38.1314,36.979,38.0115,12515400
38.9888,2019-11-01,38.9888,37.5598,37.569,9024800
40.7773,2019-11-04,41.1369,39.5973,39.6341,13452300
38.6385,2019-11-05,40.6022,37.5782,38.8597,19344300
36.518,2019-11-06,38.4541,36.2967,38.3711,17042700
35.9833,2019-11-07,37.486,35.467,36.9605,15278600
36.9697,2019-11-08,37.0619,35.3103,35.6329,13610500
35.845,2019-11-11,36.2599,35.4578,36.0755,14584000
35.4393,2019-11-12,36.1861,35.089,35.8634,12823100
35.1443,2019-11-13,35.3656,34.9968,35.2734,9096500
34.8124,2019-11-14,35.6606,34.6649,35.1351,8786400
35.9095,2019-11-15,36.2691,35.5039,35.9741,14162200
36.2322,2019-11-18,36.3889,35.5315,36.0939,13130200
35.1627,2019-11-19,36.0847,34.9784,36.0847,12533200
35.4762,2019-11-20,36.1861,34.7571,35.0982,10302200
36.0663,2019-11-21,36.306,35.4486,35.4947,9308900
36.4903,2019-11-22,36.8222,35.9372,36.14,9467200
36.813,2019-11-25,37.4031,36.601,36.6655,10264400
35.5592,2019-11-26,36.813,35.55,36.6932,13362000
35.7251,2019-11-27,35.845,35.3195,35.5961,7058500
35.5592,2019-11-29,36.0201,35.4946,35.6237,4664000
35.6606,2019-12-02,36.1031,35.4117,35.8081,10829600
35.0521,2019-12-03,35.4393,34.6096,35.384,11535400
35.4486,2019-12-04,35.762,35.1904,35.3471,10537700
35.0152,2019-12-05,35.7712,34.8309,35.6606,9214900
35.9648,2019-12-06,35.9833,35.1259,35.1351,10411500
35.1368,2019-12-09,35.8331,35.1179,35.786,17193200
35.3532,2019-12-10,35.8049,35.0521,35.2967,12617600
35.325,2019-12-11,35.7296,35.3155,35.325,7861100
35.9931,2019-12-12,36.2565,35.372,35.4191,9477300
35.4849,2019-12-13,36.52,35.4379,36.2095,9886500
36.0589,2019-12-16,36.4353,35.739,35.7484,9572400
36.0589,2019-12-17,36.4824,35.8895,36.0589,13579300
36.3883,2019-12-18,36.727,36.0495,36.0683,9412200
36.4165,2019-12-19,36.6612,36.1907,36.2471,7469200
36.7082,2019-12-20,36.9152,36.2565,36.5765,17274200
