close,date,high,low,open,volume
106.943,2019-08-12,108.929,106.776,108.83,2657300
108.697,2019-08-13,109.86,106.269,107.134,2218200
103.601,2019-08-14,106.668,103.218,105.521,3142000
103.7,2019-08-15,104.831,102.536,104.224,2354900
105.579,2019-08-16,105.92,104.224,104.648,1850200
106.71,2019-08-19,107.799,106.128,107.342,2481400
104.914,2019-08-20,106.219,104.831,105.646,1888000
104.748,2019-08-21,105.978,104.523,105.945,1547000
105.097,2019-08-22,106.086,104.532,105.72,1321400
102.329,2019-08-23,105.571,101.73,104.856,1912900
103.168,2019-08-26,103.293,102.478,103.044,2431800
103.193,2019-08-27,104.016,102.586,103.634,1744600
105.213,2019-08-28,105.77,102.403,102.403,1462800
106.66,2019-08-29,107.458,105.995,106.011,1568900
107.184,2019-08-30,108.63,107.026,107.483,1457900
105.38,2019-09-03,106.219,104.108,106.086,2002900
106.884,2019-09-04,107.242,105.995,106.494,1662500
109.37,2019-09-05,110.517,108.638,108.813,1185300
109.503,2019-09-06,109.894,108.63,109.287,1357400
113.302,2019-09-09,113.834,110.018,110.526,2027800
114.632,2019-09-10,115.522,113.651,114.1,1893200
113.061,2019-09-11,114.765,112.629,114.724,3444900
114.034,2019-09-12,114.208,111.016,112.105,3076900
115.788,2019-09-13,116.628,114.74,115.555,2902800
116.802,2019-09-16,116.819,114.192,114.682,2180200
115.755,2019-09-17,116.42,114.724,116.054,2290300
117.384,2019-09-18,117.476,114.79,115.347,2073200
117.218,2019-09-19,118.124,116.187,116.187,2248500
117.118,2019-09-20,118.265,116.594,117.451,4212400
117.384,2019-09-23,117.841,116.12,116.145,2475700
116.611,2019-09-24,117.908,116.095,117.01,2842500
116.644,2019-09-25,117.791,116.145,117.143,1454800
116.47,2019-09-26,116.927,116.029,116.32,1041600
116.711,2019-09-27,118.24,116.204,117.642,1368600
116.519,2019-09-30,117.359,115.854,117.359,1726300
114.059,2019-10-01,117.675,113.951,117.342,1518100
112.812,2019-10-02,113.601,112.047,113.452,1776200
113.668,2019-10-03,113.685,110.875,112.08,2057200
116.777,2019-10-04,116.96,113.685,113.793,2087400
116.345,2019-10-07,117.816,115.638,116.96,1778100
113.211,2019-10-08,115.106,113.094,114.873,2221100
113.527,2019-10-09,114.458,113.335,114.167,1459400
115.073,2019-10-10,116.071,113.793,114.009,1283600
116.719,2019-10-11,118.448,116.611,117.101,2416300
116.819,2019-10-14,117.027,115.854,116.137,1444200
117.941,2019-10-15,118.756,116.42,116.943,2297700
118.561,2019-10-16,120.078,117.271,119.567,2692800
119.567,2019-10-17,120.774,119.056,119.391,1748700
120.288,2019-10-18,121.277,119.089,119.391,1901000
121.972,2019-10-21,122.693,121.285,121.528,1747100
121.914,2019-10-22,123.104,121.143,121.989,1697700
122.676,2019-10-23,122.727,121.277,121.511,1106400
122.031,2019-10-24,122.945,121.268,122.534,1143800
122.928,2019-10-25,123.925,121.771,121.771,1072500
123.85,2019-10-28,124.462,123.364,123.808,1250700
124.286,2019-10-29,125.208,123.305,123.305,1411700
123.833,2019-10-30,124.688,122.802,123.917,1168000
122.953,2019-10-31,123.833,121.562,122.928,1266900
124.721,2019-11-01,124.805,123.464,124.311,1109500
125.727,2019-11-04,126.331,125.459,126.046,1192900
126.582,2019-11-05,127.512,125.719,126.247,1382700
127.152,2019-11-06,127.194,125.677,126.18,1650300
128.292,2019-11-07,129.7,127.831,128.191,1565000
127.563,2019-11-08,128.166,127.085,127.873,1845800
127.781,2019-11-11,128.426,126.875,126.976,1354800
127.647,2019-11-12,128.376,126.649,127.512,1182200
126.406,2019-11-13,127.186,125.777,126.255,1677500
124.897,2019-11-14,126.44,124.445,125.853,1973000
126.44,2019-11-15,126.49,125.224,125.811,1773000
127.152,2019-11-18,127.755,126.13,126.155,1616600
127.16,2019-11-19,128.317,126.347,127.395,1647000
127.211,2019-11-20,127.948,126.088,126.783,1456400
127.135,2019-11-21,128.677,126.817,127.957,1404600
128.107,2019-11-22,128.837,126.507,126.859,1080600
128.568,2019-11-25,129.423,128.007,128.694,2438300
128.141,2019-11-26,128.627,127.68,128.351,1570700
128.476,2019-11-27,129.197,127.839,128.795,1315300
128.409,2019-11-29,129.448,128.183,128.77,736300
127.378,2019-12-02,129.44,127.345,129.013,1234300
125.501,2019-12-03,125.962,124.118,125.945,2358000
126.85,2019-12-04,127.261,125.417,125.501,1703200
127.563,2019-12-05,127.923,127.051,127.63,2087100
128.912,2019-12-06,129.759,128.652,129.138,2701000
128.82,2019-12-09,129.122,127.429,127.563,1699600
130.412,2019-12-10,131.443,128.015,128.82,2606500
129.909,2019-12-11,130.848,129.826,130.605,1795100
133.262,2019-12-12,133.798,130.01,130.463,3113600
132.96,2019-12-13,134.167,131.913,132.558,2472600
133.262,2019-12-16,134.829,133.17,134.352,1644400
134.402,2019-12-17,134.863,132.826,133.237,1527800
134.142,2019-12-18,134.863,133.58,134.779,1621200
133.706,2019-12-19,134.896,133.027,134.326,1577600
133.949,2019-12-20,135.248,133.572,135.106,3340300
133.706,2019-12-23,134.637,133.195,134.167,1253600
134.452,2019-12-24,134.569,133.748,133.966,1230000
135.064,2019-12-26,135.165,134.343,134.502,798000
134.779,2019-12-27,135.542,134.569,135.399,1051800
134.117,2019-12-30,135.6,134.0,135.433,1401100
133.79,2019-12-31,134.41,133.254,133.974,1499800
134.41,2020-01-02,134.41,133.178,133.891,1881300
133.12,2020-01-03,133.757,131.946,132.768,1374400
132.851,2020-01-06,132.994,131.963,132.508,1335500
131.804,2020-01-07,132.759,131.259,131.946,1936300
133.17,2020-01-08,134.025,131.837,132.424,1958400
134.779,2020-01-09,135.148,133.966,134.419,1652000
132.902,2020-01-10,134.921,132.818,134.921,2182500
133.631,2020-01-13,133.715,132.273,133.161,2391100
134.0,2020-01-14,134.896,133.103,133.404,3333900
129.138,2020-01-15,132.684,128.51,132.684,4078500
128.877,2020-01-16,129.789,126.622,129.687,3831600
129.501,2020-01-17,130.084,129.071,129.24,2515600
128.058,2020-01-21,129.476,127.897,128.471,2036200
