close,date,high,low,open,volume
151.05,2019-08-12,155.52,149.18,152.03,751600
152.77,2019-08-13,154.14,150.9,151.34,826100
146.39,2019-08-14,151.79,146.15,151.5,660000
151.41,2019-08-15,152.18,145.79,146.12,541900
150.24,2019-08-16,153.95,147.78,152.86,537000
152.54,2019-08-19,153.48,149.74,152.14,353400
152.43,2019-08-20,154.31,152.26,153.22,425800
153.98,2019-08-21,155.62,153.41,154.51,496800
155.19,2019-08-22,156.34,153.0,154.88,462600
154.09,2019-08-23,158.18,153.5,156.07,450300
154.36,2019-08-26,156.97,153.96,156.31,320600
151.45,2019-08-27,156.25,150.29,155.52,618900
150.34,2019-08-28,151.31,148.15,150.54,917700
152.51,2019-08-29,153.35,149.37,151.02,385300
154.17,2019-08-30,154.24,151.43,152.96,252600
167.95,2019-09-03,168.0,152.4,152.4,5752000
157.12,2019-09-04,164.84,155.66,163.41,5766500
158.83,2019-09-05,160.56,156.57,158.29,1173100
157.01,2019-09-06,160.49,156.55,159.79,807300
147.38,2019-09-09,157.43,146.25,157.37,879100
146.37,2019-09-10,147.95,140.29,146.11,1297800
145.17,2019-09-11,148.76,144.22,145.66,790600
144.52,2019-09-12,148.72,143.58,145.55,656500
143.24,2019-09-13,144.18,141.06,143.67,1008100
143.1,2019-09-16,143.41,140.5,142.21,552200
145.07,2019-09-17,145.81,143.95,144.82,710200
148.04,2019-09-18,148.66,142.84,144.97,648500
152.59,2019-09-19,153.1,148.86,148.92,962300
155.8,2019-09-20,157.0,152.3,152.53,1014500
158.5,2019-09-23,160.0,155.57,155.57,1498600
164.52,2019-09-24,165.61,160.44,160.44,1980300
165.56,2019-09-25,166.88,162.78,164.17,2550600
165.1,2019-09-26,167.0,162.76,166.59,1319500
163.86,2019-09-27,166.68,162.31,166.17,1366700
164.93,2019-09-30,168.98,163.68,164.42,1076700
162.83,2019-10-01,166.57,162.37,165.64,1141000
157.31,2019-10-02,162.99,155.09,161.22,904000
158.69,2019-10-03,158.88,150.2,150.29,1099900
155.6,2019-10-04,161.3,153.56,156.4,807800
158.07,2019-10-07,158.77,154.98,155.91,739800
153.07,2019-10-08,158.41,152.98,157.24,687700
154.74,2019-10-09,156.49,152.54,154.29,847200
154.9,2019-10-10,157.15,152.88,153.91,794900
153.39,2019-10-11,156.26,151.71,156.26,825500
152.25,2019-10-14,152.39,149.84,150.75,568200
155.42,2019-10-15,156.8,152.53,154.52,1018900
155.61,2019-10-16,155.82,151.82,155.03,503300
156.48,2019-10-17,158.11,155.35,156.89,689800
153.74,2019-10-18,157.08,152.68,155.77,690300
153.88,2019-10-21,156.17,152.89,154.48,752100
150.87,2019-10-22,156.9,150.67,154.88,620200
146.49,2019-10-23,151.84,146.15,150.25,619600
149.35,2019-10-24,149.95,146.31,147.04,502500
145.87,2019-10-25,150.84,145.8,149.81,434900
147.16,2019-10-28,148.63,145.09,145.09,672700
146.92,2019-10-29,147.88,146.02,147.52,602500
146.99,2019-10-30,148.22,145.89,148.14,698000
145.32,2019-10-31,147.14,143.5,146.86,525500
146.48,2019-11-01,149.76,145.42,145.69,493400
145.64,2019-11-04,147.78,144.72,147.31,930900
144.81,2019-11-05,146.72,142.19,145.87,975700
159.99,2019-11-06,161.59,152.76,154.99,1953900
164.87,2019-11-07,165.77,158.2,159.92,1178200
169.46,2019-11-08,171.96,163.18,165.05,1241200
173.99,2019-11-11,174.18,168.47,168.47,874100
177.3,2019-11-12,178.01,173.7,174.18,1110400
177.61,2019-11-13,179.25,175.89,175.9,652500
176.88,2019-11-14,179.31,176.33,177.5,766100
180.34,2019-11-15,180.93,176.74,177.34,589100
182.49,2019-11-18,184.04,180.34,180.7,882900
180.89,2019-11-19,183.13,180.62,183.01,1094000
180.23,2019-11-20,184.43,177.99,181.82,1282100
175.78,2019-11-21,179.83,175.68,179.55,1060100
176.76,2019-11-22,178.59,176.21,176.24,854800
181.16,2019-11-25,181.98,177.48,177.56,748500
184.32,2019-11-26,185.0,180.37,181.98,4113100
186.0,2019-11-27,187.25,183.14,183.92,599700
185.7,2019-11-29,186.62,183.01,185.99,335100
181.9,2019-12-02,186.57,179.97,186.12,716900
184.04,2019-12-03,184.37,177.18,179.34,531200
182.89,2019-12-04,185.03,181.88,184.1,409800
184.23,2019-12-05,184.85,180.37,182.13,809200
183.96,2019-12-06,186.97,183.49,186.33,363700
180.66,2019-12-09,185.0,180.31,184.32,474000
178.2,2019-12-10,182.6,177.99,181.85,581800
180.19,2019-12-11,180.33,175.14,177.7,802700
173.28,2019-12-12,181.72,172.87,179.43,486000
175.65,2019-12-13,176.58,172.18,172.81,519800
174.69,2019-12-16,176.93,174.38,176.21,460800
175.35,2019-12-17,176.1,173.16,175.87,528700
172.5,2019-12-18,176.53,172.43,175.18,652100
170.53,2019-12-19,173.59,169.53,173.59,668900
172.88,2019-12-20,175.59,170.98,172.13,635600
170.9,2019-12-23,173.96,170.79,173.55,466100
171.61,2019-12-24,172.07,170.24,171.44,345700
171.76,2019-12-26,173.34,171.01,172.29,261000
172.51,2019-12-27,173.28,170.38,171.68,397100
169.35,2019-12-30,173.98,168.78,172.4,486200
171.2,2019-12-31,171.42,168.32,168.69,376200
169.77,2020-01-02,173.33,167.03,171.24,536400
171.48,2020-01-03,172.02,167.26,168.35,360000
177.81,2020-01-06,179.23,169.99,170.51,646500
175.68,2020-01-07,179.98,174.63,177.5,577500
176.95,2020-01-08,178.85,175.17,175.79,454800
180.68,2020-01-09,183.94,177.15,178.63,574800
182.53,2020-01-10,184.02,180.9,182.49,441800
184.45,2020-01-13,185.0,181.53,182.96,481000
185.26,2020-01-14,186.67,182.98,184.39,682700
187.06,2020-01-15,189.07,184.15,185.71,777700
191.46,2020-01-16,192.43,186.73,186.76,479000
188.76,2020-01-17,191.66,187.1,190.63,359500
190.95,2020-01-21,192.19,186.41,187.33,488900
191.22,2020-01-22,193.39,190.67,192.29,263300
192.0,2020-01-23,192.61,189.08,190.67,377600
192.56,2020-01-24,193.96,191.19,192.75,301000
193.01,2020-01-27,193.51,188.11,189.37,389200
193.51,2020-01-28,195.15,192.47,193.2,660400
195.76,2020-01-29,197.53,194.37,194.37,554200
196.92,2020-01-30,197.04,193.27,194.58,443200
194.04,2020-01-31,199.49,193.03,196.96,471500
194.84,2020-02-03,196.89,194.27,195.25,442800
197.72,2020-02-04,200.46,196.57,197.86,462800
194.3,2020-02-05,199.97,193.96,198.94,403200
198.41,2020-02-06,202.4,194.46,194.83,410900
200.03,2020-02-07,202.37,197.0,198.24,400100
202.64,2020-02-10,203.22,199.39,199.76,342300
203.25,2020-02-11,205.52,202.16,204.35,410800
201.81,2020-02-12,203.6,200.5,203.6,461400
205.41,2020-02-13,207.28,198.48,200.0,438200
212.32,2020-02-14,212.85,205.62,205.62,1002400
212.27,2020-02-18,214.22,210.56,211.87,499100
215.67,2020-02-19,219.85,213.78,214.9,451500
216.44,2020-02-20,216.84,210.36,215.7,348000
212.31,2020-02-21,216.15,210.71,215.7,339400
207.31,2020-02-24,208.8,202.71,206.14,480100
196.73,2020-02-25,210.82,194.27,209.16,775000
180.01,2020-02-26,198.26,179.06,188.0,3118500
183.75,2020-02-27,187.34,172.77,174.54,1873100
189.97,2020-02-28,190.0,176.62,182.99,1255300
181.51,2020-03-02,184.22,175.51,180.0,1433800
174.26,2020-03-03,182.71,171.06,181.04,826900
179.05,2020-03-04,180.38,175.0,177.08,584600
180.88,2020-03-05,181.27,176.03,176.65,708200
179.3,2020-03-06,180.15,173.0,177.49,669200
172.67,2020-03-09,177.76,167.34,169.77,612700
180.53,2020-03-10,182.74,172.2,175.4,693500
172.11,2020-03-11,176.74,167.77,175.64,626900
165.67,2020-03-12,174.79,158.21,161.55,1073000
165.07,2020-03-13,171.49,151.81,170.63,681300
137.28,2020-03-16,156.91,135.51,150.18,853700
130.11,2020-03-17,141.59,124.61,139.68,1167400
130.01,2020-03-18,137.52,121.0,123.2,937800
139.99,2020-03-19,151.01,128.37,131.2,887000
142.6,2020-03-20,154.25,138.78,139.71,631000
143.8,2020-03-23,149.96,129.09,143.28,1849600
157.51,2020-03-24,162.18,148.0,150.8,596200
166.43,2020-03-25,172.48,158.21,158.98,735700
177.77,2020-03-26,179.99,167.0,167.1,554800
175.75,2020-03-27,182.47,171.43,173.12,777300
174.58,2020-03-30,178.99,171.0,178.27,599100
165.68,2020-03-31,176.95,163.53,171.1,857000
159.17,2020-04-01,164.77,155.08,159.88,513500
167.04,2020-04-02,171.18,155.51,155.51,307600
164.92,2020-04-03,171.1,162.27,165.81,447500
171.9,2020-04-06,173.95,168.71,170.12,691800
165.67,2020-04-07,179.2,164.39,176.27,519700
175.87,2020-04-08,177.6,162.99,168.3,267200
182.94,2020-04-09,186.09,176.34,179.73,379200
180.0,2020-04-13,184.23,175.39,181.63,532800
185.16,2020-04-14,189.64,182.26,183.38,340300
187.42,2020-04-15,188.44,181.53,184.55,369400
192.35,2020-04-16,195.99,185.78,189.05,338900
199.34,2020-04-17,201.81,192.41,195.35,354300
203.98,2020-04-20,206.56,196.51,199.21,517500
197.51,2020-04-21,203.97,191.9,201.95,297800
200.01,2020-04-22,202.46,198.37,200.24,258200
206.16,2020-04-23,209.84,199.15,200.91,484000
203.83,2020-04-24,205.02,196.31,202.74,440700
198.91,2020-04-27,206.86,197.68,206.6,516100
191.65,2020-04-28,200.0,190.69,199.95,599800
196.55,2020-04-29,200.16,193.75,196.75,511300
199.72,2020-04-30,203.11,195.54,195.54,689800
194.89,2020-05-01,199.65,191.91,196.82,317300
192.89,2020-05-04,197.81,191.38,195.28,579500
201.26,2020-05-05,204.67,194.81,195.16,398600
206.56,2020-05-06,209.88,202.79,203.17,446500
215.15,2020-05-07,216.66,207.99,210.0,769500
217.63,2020-05-08,225.89,200.0,202.99,867300
224.73,2020-05-11,228.79,218.01,219.29,799100
220.7,2020-05-12,227.94,220.07,224.75,388700
195.02,2020-05-13,208.0,190.36,208.0,2416700
201.56,2020-05-14,203.12,191.07,192.04,916400
203.98,2020-05-15,205.87,200.89,201.9,558600
201.26,2020-05-18,211.3,199.52,207.9,552000
195.66,2020-05-19,203.99,195.41,201.62,405300
195.45,2020-05-20,199.77,193.02,199.32,430800
193.89,2020-05-21,196.54,186.68,195.04,404900
192.08,2020-05-22,195.77,189.57,194.04,319400
182.63,2020-05-26,197.72,181.65,197.67,441000
178.43,2020-05-27,182.27,164.4,182.27,926700
184.58,2020-05-28,188.27,176.82,178.27,715500
188.57,2020-05-29,189.51,183.94,185.49,610400
188.78,2020-06-01,190.8,185.0,187.28,372600
186.5,2020-06-02,189.13,183.38,188.11,660700
181.0,2020-06-03,188.2,177.52,186.61,749100
172.98,2020-06-04,181.16,171.98,181.06,621200
179.03,2020-06-05,180.53,168.38,171.84,693800
180.95,2020-06-08,181.48,176.56,179.42,617200
181.87,2020-06-09,186.09,179.51,181.0,337800
186.2,2020-06-10,187.55,182.43,184.02,363900
180.98,2020-06-11,186.61,178.78,184.47,377600
180.56,2020-06-12,188.99,177.45,184.74,320800
184.8,2020-06-15,185.16,175.35,178.38,871900
183.89,2020-06-16,190.92,182.75,190.12,461400
193.83,2020-06-17,194.22,185.29,185.29,728000
189.5,2020-06-18,198.55,188.58,194.58,717800
199.52,2020-06-19,199.61,190.02,190.49,927300
201.95,2020-06-22,203.18,196.27,200.0,582400
200.51,2020-06-23,205.42,198.7,203.41,430700
192.11,2020-06-24,202.58,190.53,200.46,421500
193.44,2020-06-25,193.45,187.7,191.82,432000
187.2,2020-06-26,196.07,185.66,194.13,933900
186.97,2020-06-29,189.03,183.74,188.05,482600
194.26,2020-06-30,196.1,185.37,187.0,530800
194.6,2020-07-01,196.8,192.79,195.1,749300
201.11,2020-07-02,204.47,193.86,196.72,397100
204.68,2020-07-06,210.16,202.57,203.15,449700
206.13,2020-07-07,212.65,203.5,205.61,471900
207.69,2020-07-08,212.43,206.56,206.59,507800
211.29,2020-07-09,212.21,203.46,208.68,330300
207.82,2020-07-10,212.1,205.15,212.1,272200
194.01,2020-07-13,211.87,193.04,208.15,360900
196.17,2020-07-14,196.7,185.24,192.24,414700
202.25,2020-07-15,203.78,197.97,198.33,309800
196.42,2020-07-16,201.15,192.44,200.67,244000
199.93,2020-07-17,202.99,196.5,197.2,529400
203.1,2020-07-20,203.99,199.95,201.94,433800
202.35,2020-07-21,207.12,200.96,204.47,312800
203.28,2020-07-22,207.15,201.6,203.84,362100
201.62,2020-07-23,211.53,200.7,203.04,320700
196.69,2020-07-24,199.16,189.88,199.16,247600
192.55,2020-07-27,199.5,189.02,196.7,391100
196.38,2020-07-28,197.63,189.47,193.19,400900
200.39,2020-07-29,204.71,198.5,198.84,518700
201.43,2020-07-30,203.62,197.84,198.83,240500
203.36,2020-07-31,207.24,200.92,203.96,524700
202.45,2020-08-03,205.89,198.58,204.37,460400
206.37,2020-08-04,206.6,200.45,203.31,328800
215.32,2020-08-05,215.32,206.69,208.0,602000
220.42,2020-08-06,221.8,212.38,214.0,1641000
217.73,2020-08-07,233.99,215.3,218.0,882400
203.94,2020-08-10,225.09,202.74,225.09,592800
198.84,2020-08-11,204.08,192.98,202.09,501800
204.65,2020-08-12,205.41,197.3,199.11,403600
206.56,2020-08-13,209.63,204.83,205.96,226600
202.13,2020-08-14,208.23,201.29,206.22,246600
209.6,2020-08-17,210.0,203.48,203.86,294400
209.94,2020-08-18,211.36,208.43,209.66,215200
209.76,2020-08-19,213.2,206.11,211.67,335100
210.04,2020-08-20,214.33,206.25,209.0,202100
208.6,2020-08-21,211.88,207.86,210.78,231900
209.96,2020-08-24,214.19,208.15,211.2,498600
217.76,2020-08-25,218.69,208.64,209.27,346700
215.43,2020-08-26,217.46,212.76,217.46,279000
216.33,2020-08-27,219.56,214.62,215.12,323600
214.34,2020-08-28,217.87,212.39,215.59,218400
218.25,2020-08-31,220.44,213.06,213.97,632500
223.21,2020-09-01,223.75,218.34,218.4,425600
224.28,2020-09-02,226.72,219.73,223.98,263200
209.01,2020-09-03,222.31,206.84,222.05,493300
204.83,2020-09-04,209.94,197.08,207.97,323500
204.57,2020-09-08,206.71,198.14,200.27,333200
212.44,2020-09-09,213.35,207.36,207.36,247900
213.0,2020-09-10,216.12,211.72,214.05,496200
211.59,2020-09-11,216.76,210.24,215.1,300400
218.11,2020-09-14,220.85,212.51,212.6,306400
225.59,2020-09-15,225.78,219.41,221.0,433800
222.52,2020-09-16,230.7,221.66,226.34,363500
223.72,2020-09-17,224.34,218.46,220.01,507400
225.02,2020-09-18,233.0,223.19,226.17,1455600
224.57,2020-09-21,226.86,218.65,222.09,359600
230.56,2020-09-22,231.16,220.2,224.87,425900
227.65,2020-09-23,232.59,225.02,229.11,412300
216.55,2020-09-24,225.58,213.51,224.24,448100
223.96,2020-09-25,224.92,214.21,216.56,291600
227.38,2020-09-28,228.19,220.98,227.92,327100
231.97,2020-09-29,237.0,228.69,229.44,442500
236.59,2020-09-30,242.13,231.49,232.23,475100
237.56,2020-10-01,240.14,234.98,239.98,248600
231.76,2020-10-02,238.06,228.38,233.47,207200
235.35,2020-10-05,236.71,230.85,233.9,298000
230.74,2020-10-06,238.09,228.64,237.61,408500
244.35,2020-10-07,244.79,234.15,234.15,409300
247.71,2020-10-08,247.89,244.25,245.0,262800
248.59,2020-10-09,252.74,244.43,249.53,278900
245.98,2020-10-12,252.72,245.0,252.72,191700
248.75,2020-10-13,251.36,244.52,246.09,262700
247.92,2020-10-14,255.39,245.96,250.51,252300
250.64,2020-10-15,252.04,243.77,245.5,171500
248.33,2020-10-16,254.75,247.78,250.65,253100
248.52,2020-10-19,253.72,247.43,249.38,235900
245.83,2020-10-20,253.0,245.26,248.89,190300
241.14,2020-10-21,247.13,237.6,245.6,246400
245.25,2020-10-22,248.0,239.33,242.95,233900
249.39,2020-10-23,251.02,246.42,246.42,164600
253.53,2020-10-26,254.41,246.09,246.58,303600
246.04,2020-10-27,253.2,244.51,251.62,285800
228.41,2020-10-28,243.76,227.63,243.32,624000
228.72,2020-10-29,233.0,227.39,230.0,383100
222.25,2020-10-30,230.12,221.33,228.53,441000
215.97,2020-11-02,225.85,214.93,224.79,747600
223.1,2020-11-03,227.12,217.5,217.86,579000
231.43,2020-11-04,239.44,229.95,230.0,608300
255.68,2020-11-05,259.39,240.0,240.92,842500
257.01,2020-11-06,259.3,248.94,252.81,463400
255.33,2020-11-09,264.44,249.94,258.56,493900
260.0,2020-11-10,262.05,244.42,249.03,476400
256.74,2020-11-11,262.58,253.48,259.27,526400
260.65,2020-11-12,268.33,257.26,258.2,444200
256.0,2020-11-13,265.47,252.77,260.98,373600
253.04,2020-11-16,258.0,251.21,256.88,523100
259.61,2020-11-17,261.88,245.28,252.16,312100
259.27,2020-11-18,262.89,254.43,258.9,272000
264.24,2020-11-19,265.13,255.92,259.27,235100
265.24,2020-11-20,269.42,259.56,263.8,381900
265.89,2020-11-23,268.8,261.28,267.34,352500
253.61,2020-11-24,268.2,251.84,267.82,527600
248.86,2020-11-25,256.76,247.61,252.13,392500
251.48,2020-11-27,252.79,246.91,250.59,172800
257.71,2020-11-30,258.65,247.24,254.6,558400
262.57,2020-12-01,264.57,253.71,259.76,327900
255.07,2020-12-02,263.22,255.04,261.62,311300
255.54,2020-12-03,257.63,253.29,254.73,424300
258.88,2020-12-04,261.58,253.73,255.81,263500
249.69,2020-12-07,260.0,248.59,260.0,414700
245.65,2020-12-08,251.68,243.99,251.39,491500
243.88,2020-12-09,247.52,238.09,245.36,637800
246.97,2020-12-10,250.59,241.91,243.64,457000
238.96,2020-12-11,248.19,237.42,246.96,464500
239.05,2020-12-14,245.67,238.24,240.42,666800
241.76,2020-12-15,245.56,235.71,240.66,506600
238.3,2020-12-16,243.11,236.01,239.34,945700
240.92,2020-12-17,241.86,233.98,238.93,698400
240.65,2020-12-18,246.0,237.38,244.86,906400
237.41,2020-12-21,243.33,234.94,241.22,568900
254.46,2020-12-22,255.85,237.68,238.23,694100
260.98,2020-12-23,262.66,254.0,255.53,570500
257.28,2020-12-24,261.35,253.09,259.92,167200
255.95,2020-12-28,259.69,253.0,257.28,266200
260.65,2020-12-29,261.01,252.24,257.81,272700
