close,date,high,low,open,volume
209.332,2019-08-12,209.817,207.147,207.633,637500
209.0,2019-08-13,209.712,206.524,208.685,838800
206.864,2019-08-14,210.53,206.532,209.55,997400
210.352,2019-08-15,210.635,206.516,207.058,695200
209.405,2019-08-16,211.25,209.3,210.392,699500
211.25,2019-08-19,211.784,208.442,209.785,810200
210.829,2019-08-20,212.795,210.562,212.342,611100
211.25,2019-08-21,212.69,209.728,211.42,461100
211.921,2019-08-22,212.415,210.837,211.387,522400
209.987,2019-08-23,214.082,209.033,212.132,768600
211.436,2019-08-26,211.654,209.607,209.688,375300
212.197,2019-08-27,214.139,211.606,211.994,727800
211.962,2019-08-28,213.758,211.323,212.245,615400
212.205,2019-08-29,212.868,210.983,212.027,604400
214.228,2019-08-30,214.681,212.31,212.642,781300
212.132,2019-09-03,215.862,211.946,213.726,1221900
213.685,2019-09-04,213.783,210.958,212.124,1153600
208.984,2019-09-05,213.054,208.636,213.054,990200
208.369,2019-09-06,209.866,207.422,209.194,831500
206.192,2019-09-09,208.725,205.715,208.482,1579200
202.3,2019-09-10,206.136,200.762,205.941,1613700
203.679,2019-09-11,203.703,200.465,202.479,972800
203.589,2019-09-12,207.105,202.863,205.392,952300
198.588,2019-09-13,203.059,198.556,202.643,1225700
201.77,2019-09-16,201.892,198.874,200.22,972600
204.608,2019-09-17,204.772,201.321,202.3,1091800
204.315,2019-09-18,205.473,202.186,205.196,1059500
204.25,2019-09-19,206.199,203.728,205.098,707100
202.137,2019-09-20,205.506,202.08,204.323,1251300
200.22,2019-09-23,202.667,200.04,202.276,922500
202.129,2019-09-24,202.602,200.13,200.677,1364600
200.669,2019-09-25,202.806,200.579,202.463,619800
201.052,2019-09-26,201.957,199.706,201.305,974300
199.861,2019-09-27,201.696,199.396,201.231,847600
200.073,2019-09-30,201.713,199.771,200.065,893100
195.954,2019-10-01,198.817,193.498,198.213,1208200
197.634,2019-10-02,198.499,196.435,196.802,1350500
200.554,2019-10-03,201.052,197.634,197.634,840100
201.337,2019-10-04,202.692,199.69,200.758,783900
201.174,2019-10-07,202.031,199.836,200.53,707000
201.337,2019-10-08,202.537,199.763,201.46,1065400
201.753,2019-10-09,203.14,201.199,201.337,505400
201.24,2019-10-10,202.488,200.359,201.525,555400
200.636,2019-10-11,202.235,200.448,201.476,481100
200.122,2019-10-14,201.06,199.918,201.06,523000
198.132,2019-10-15,201.264,197.406,200.481,1161200
197.446,2019-10-16,198.246,196.288,198.213,1417700
196.337,2019-10-17,198.784,196.288,197.83,659800
197.039,2019-10-18,197.52,194.681,196.198,1609300
198.866,2019-10-21,198.923,196.59,197.389,931700
196.215,2019-10-22,200.334,196.133,199.151,774100
196.117,2019-10-23,197.365,194.339,196.598,822500
196.892,2019-10-24,197.389,195.432,196.264,523800
190.88,2019-10-25,196.011,190.815,195.823,1246100
189.738,2019-10-28,191.418,189.738,191.418,837000
191.451,2019-10-29,191.989,189.795,189.795,886200
182.119,2019-10-30,184.819,178.024,184.819,2101700
181.793,2019-10-31,184.892,181.499,182.665,1204500
178.856,2019-11-01,183.114,178.35,182.535,1399500
176.295,2019-11-04,178.709,175.699,178.709,1194400
175.601,2019-11-05,175.977,174.247,175.919,1607200
174.965,2019-11-06,176.776,173.962,176.286,919500
174.949,2019-11-07,176.172,172.991,174.492,1166900
172.404,2019-11-08,174.68,172.004,174.157,999200
172.502,2019-11-11,174.002,172.436,172.73,822400
170.625,2019-11-12,174.019,170.217,172.934,1347300
172.673,2019-11-13,173.888,171.253,172.077,961700
173.709,2019-11-14,174.223,172.657,173.146,636900
173.921,2019-11-15,174.28,172.665,173.717,1159500
174.19,2019-11-18,175.805,173.464,174.361,758500
174.353,2019-11-19,175.112,172.053,172.265,763300
174.149,2019-11-20,175.096,172.469,174.639,885600
171.988,2019-11-21,173.88,171.514,173.88,943800
170.503,2019-11-22,171.996,169.524,171.996,746800
170.005,2019-11-25,171.767,169.883,171.441,826900
173.024,2019-11-26,173.056,169.712,169.712,1681000
173.032,2019-11-27,173.162,171.514,172.151,638100
171.857,2019-11-29,173.529,171.735,173.073,420000
170.511,2019-12-02,172.355,170.372,171.629,725000
172.885,2019-12-03,173.325,169.81,171.237,992000
173.709,2019-12-04,173.807,171.572,171.572,830200
174.125,2019-12-05,174.296,173.048,173.285,1165600
174.443,2019-12-06,175.193,173.35,174.288,1068700
174.043,2019-12-09,174.533,172.298,174.418,1121000
172.404,2019-12-10,174.296,171.327,172.33,829600
171.237,2019-12-11,172.918,170.56,172.812,1001400
168.215,2019-12-12,172.176,167.893,171.501,1602200
169.186,2019-12-13,169.417,167.202,168.215,1394000
169.804,2019-12-16,170.323,167.053,169.516,1447500
169.03,2019-12-17,170.166,168.404,169.911,964800
171.476,2019-12-18,172.044,168.775,169.071,1078000
173.049,2019-12-19,173.173,170.587,171.303,693100
174.186,2019-12-20,174.721,173.238,174.573,1658700
173.14,2019-12-23,175.421,172.382,174.713,1095000
172.835,2019-12-24,173.749,172.25,173.749,401200
174.07,2019-12-26,174.078,171.756,172.975,916700
174.301,2019-12-27,174.828,173.601,174.531,542700
173.947,2019-12-30,174.671,172.818,173.93,621800
175.388,2019-12-31,175.396,173.205,173.988,764900
174.12,2020-01-02,176.376,173.444,176.096,862200
175.997,2020-01-03,176.146,173.576,173.889,773400
176.623,2020-01-06,177.01,175.034,175.223,1134300
175.923,2020-01-07,176.78,174.408,175.602,1164300
176.244,2020-01-08,176.393,174.696,175.429,1262100
176.319,2020-01-09,176.87,175.52,176.03,1063500
177.743,2020-01-10,178.205,176.203,176.689,1013200
178.534,2020-01-13,179.473,177.677,177.949,812500
178.147,2020-01-14,178.493,176.599,178.188,1134900
179.745,2020-01-15,180.115,178.567,178.674,827700
181.202,2020-01-16,181.276,179.843,179.926,691700
181.804,2020-01-17,182.051,180.362,181.186,996100
183.368,2020-01-21,183.854,181.491,182.248,834600
182.001,2020-01-22,184.077,181.186,184.06,1199400
183.821,2020-01-23,183.994,181.804,182.257,895000
184.867,2020-01-24,185.139,183.599,184.019,644600
184.694,2020-01-27,185.979,184.291,184.439,636800
184.299,2020-01-28,185.328,183.401,184.464,774000
182.899,2020-01-29,184.48,181.392,184.48,785600
184.563,2020-01-30,184.67,181.754,182.537,609500
184.283,2020-01-31,185.065,183.278,184.851,1301500
184.628,2020-02-03,185.633,184.241,184.867,838900
183.78,2020-02-04,185.51,182.8,184.867,1268400
182.948,2020-02-05,183.78,181.318,183.632,960700
184.505,2020-02-06,185.18,182.957,183.006,482900
185.493,2020-02-07,186.086,184.357,185.452,426100
186.473,2020-02-10,186.531,185.37,185.963,478300
186.424,2020-02-11,187.972,185.781,186.457,744800
187.157,2020-02-12,188.837,185.485,186.325,883700
188.236,2020-02-13,189.059,186.902,186.902,521500
191.744,2020-02-14,191.892,188.31,188.59,607600
