close,date,high,low,open,volume
295.87,2019-08-12,305.1,295.61,298.64,543400
304.86,2019-08-13,307.67,296.94,298.13,610800
293.53,2019-08-14,304.3,292.42,301.83,676400
293.11,2019-08-15,296.91,290.47,295.37,564000
296.85,2019-08-16,297.35,290.72,295.32,730200
298.38,2019-08-19,300.82,296.8,299.34,781200
296.03,2019-08-20,301.0,294.99,299.21,571500
297.78,2019-08-21,300.51,295.02,297.98,451700
295.02,2019-08-22,298.95,291.61,297.5,441400
286.85,2019-08-23,296.26,285.55,293.96,815800
284.73,2019-08-26,290.37,283.49,288.24,527500
281.41,2019-08-27,291.14,281.11,285.87,801500
287.64,2019-08-28,290.29,279.39,280.04,713600
290.57,2019-08-29,292.7,287.09,289.79,509300
290.05,2019-08-30,293.46,287.25,292.02,604500
285.12,2019-09-03,290.39,281.25,289.2,566000
286.5,2019-09-04,288.99,282.31,288.21,628600
289.37,2019-09-05,293.64,287.94,287.94,494100
292.0,2019-09-06,293.2,287.67,290.45,570100
279.0,2019-09-09,291.93,278.72,291.53,927500
283.72,2019-09-10,285.05,271.57,279.03,1159800
283.33,2019-09-11,287.48,282.55,284.0,517600
284.18,2019-09-12,288.88,281.01,284.64,539800
281.62,2019-09-13,287.0,279.47,283.84,617100
285.89,2019-09-16,287.28,280.5,280.5,476100
288.12,2019-09-17,288.89,283.65,284.77,604700
285.06,2019-09-18,288.55,281.4,288.55,548800
286.15,2019-09-19,287.95,284.66,284.66,404900
295.87,2019-09-20,297.64,286.68,288.75,1661800
294.7,2019-09-23,299.98,293.03,297.36,649400
289.71,2019-09-24,296.0,287.62,295.02,642300
286.65,2019-09-25,291.9,286.33,290.21,468800
281.31,2019-09-26,287.7,277.86,287.7,855900
273.46,2019-09-27,282.81,271.37,280.45,770400
277.4,2019-09-30,280.05,272.02,275.3,515100
276.47,2019-10-01,279.41,273.4,277.27,589600
274.13,2019-10-02,277.86,272.26,275.31,572100
280.72,2019-10-03,281.7,272.27,274.35,632000
282.93,2019-10-04,284.04,278.0,281.66,511900
283.81,2019-10-07,287.77,280.66,280.66,422700
285.1,2019-10-08,288.63,279.22,280.51,984000
290.83,2019-10-09,292.25,286.09,286.82,980600
298.36,2019-10-10,299.95,288.98,289.38,960600
300.77,2019-10-11,306.42,298.9,300.11,1074600
305.44,2019-10-14,310.15,298.6,299.4,840700
303.82,2019-10-15,306.96,303.0,305.35,731900
299.4,2019-10-16,303.39,298.28,302.26,827000
301.57,2019-10-17,302.71,299.94,301.21,445700
300.19,2019-10-18,303.51,298.7,303.51,530000
297.99,2019-10-21,301.97,294.86,301.97,496800
301.31,2019-10-22,306.93,301.2,305.0,723200
305.02,2019-10-23,307.07,299.47,301.86,589300
