close,date,high,low,open,volume
79.8936,2019-08-12,80.9117,79.2808,80.7239,665400
81.1983,2019-08-13,82.1867,79.4191,79.8244,535000
78.5197,2019-08-14,80.1308,78.5197,80.0418,668300
79.7256,2019-08-15,80.1703,78.4406,79.1029,767900
81.3861,2019-08-16,81.7123,80.2395,80.457,639000
81.732,2019-08-19,82.5327,81.6035,82.3646,462600
81.0896,2019-08-20,81.6826,81.0303,81.564,458900
82.5129,2019-08-21,82.7303,81.4059,81.8704,524400
81.6431,2019-08-22,83.1652,81.2576,81.7518,437400
79.8244,2019-08-23,81.9693,79.2017,81.3564,837300
79.3598,2019-08-26,80.7535,78.6976,80.4471,634100
79.2709,2019-08-27,80.0715,78.8656,79.8837,888800
80.9018,2019-08-28,81.0994,78.5889,78.8755,592700
82.1175,2019-08-29,82.5129,81.4849,81.9297,421000
81.7419,2019-08-30,82.7402,81.3268,82.7402,559300
80.5459,2019-09-03,81.7221,80.0517,81.2872,1080900
81.0006,2019-09-04,81.4849,80.5756,81.307,510500
82.7402,2019-09-05,82.8984,81.6925,81.6925,414100
82.7699,2019-09-06,83.4321,82.5623,83.1158,452000
82.8094,2019-09-09,83.5408,82.1373,83.1554,627800
84.5095,2019-09-10,85.1223,81.9989,82.4635,1010900
85.9031,2019-09-11,85.9328,84.3711,84.9246,749600
85.1223,2019-09-12,86.7038,85.0828,86.3875,443900
85.6659,2019-09-13,86.1601,85.0828,85.0828,470200
85.231,2019-09-16,85.5177,84.974,85.1816,346100
85.2211,2019-09-17,85.6165,84.8258,85.1618,538400
85.063,2019-09-18,85.5275,84.2822,85.1915,471300
85.1025,2019-09-19,85.7944,84.9048,85.0531,536600
85.5572,2019-09-20,86.6148,85.231,85.3299,667700
84.213,2019-09-23,85.2113,84.1339,85.063,458700
83.7879,2019-09-24,84.9246,82.7205,84.8357,658700
83.5112,2019-09-25,83.7978,82.6216,83.7978,366800
84.3118,2019-09-26,85.4485,83.6792,84.9543,857600
84.1734,2019-09-27,85.1717,83.4815,84.7467,600000
84.1833,2019-09-30,84.8851,84.0054,84.4304,436900
82.503,2019-10-01,85.0136,82.335,84.3316,737400
82.4832,2019-10-02,82.7205,81.1588,81.7518,768000
82.3745,2019-10-03,82.7501,81.2971,82.7501,956400
84.4502,2019-10-04,84.5391,82.5425,82.5425,741800
83.3728,2019-10-07,84.4601,83.3432,83.956,615700
78.1836,2019-10-08,82.0088,77.4423,81.6134,1840300
79.7453,2019-10-09,80.2395,78.5098,78.6581,863400
79.5674,2019-10-10,80.4866,79.429,79.7256,494000
81.05,2019-10-11,82.4338,80.5558,80.5558,706800
80.9117,2019-10-14,81.9989,80.3087,81.2279,690900
81.2082,2019-10-15,81.7913,81.05,81.4454,895200
80.7436,2019-10-16,81.0204,80.0913,80.7535,948100
82.1286,2019-10-17,82.7122,81.1393,81.1393,597300
82.2077,2019-10-18,82.6628,81.5152,81.7527,426900
83.197,2019-10-21,83.8103,82.554,82.8606,413200
83.0684,2019-10-22,83.4938,82.4452,83.0981,662800
83.9488,2019-10-23,84.1862,83.0882,83.4839,639300
83.9389,2019-10-24,84.2852,83.1871,83.9192,382900
85.3041,2019-10-25,85.6504,83.0288,83.563,468900
86.4418,2019-10-28,86.5803,85.5119,85.5119,624600
87.0452,2019-10-29,87.1738,85.3437,85.6009,665500
86.8177,2019-10-30,87.0947,86.2044,86.8771,1262000
85.037,2019-10-31,85.225,81.6537,83.8202,1742700
87.1441,2019-11-01,88.2027,85.8581,85.8581,1431400
86.6891,2019-11-04,88.2917,86.4616,87.9455,796200
86.145,2019-11-05,87.1837,86.1153,86.9958,693100
85.1261,2019-11-06,86.145,84.5523,86.145,663700
86.1747,2019-11-07,86.3725,85.3239,85.7295,549500
86.3626,2019-11-08,86.4813,85.8086,85.957,428300
86.5506,2019-11-11,86.6099,85.5415,85.6998,314100
86.976,2019-11-12,87.4014,86.3429,86.699,632600
86.3824,2019-11-13,86.9562,85.9768,86.4813,561200
87.1738,2019-11-14,87.2826,85.8482,86.511,670100
89.9734,2019-11-15,90.1812,87.3618,87.5893,842100
88.5885,2019-11-18,90.1218,88.4104,90.1218,637900
90.201,2019-11-19,90.7253,88.6478,89.0238,722700
89.5481,2019-11-20,90.1713,89.004,89.7756,607200
89.7162,2019-11-21,89.9141,88.8951,89.7657,419500
90.5373,2019-11-22,90.5868,89.5184,90.3395,447300
91.1111,2019-11-25,91.21,90.5373,91.0122,341100
91.6156,2019-11-26,92.1003,90.9132,90.9132,527500
92.5257,2019-11-27,92.7434,91.6057,91.9322,496000
91.9025,2019-11-29,92.8027,91.7442,92.4763,287000
91.1606,2019-12-02,92.1894,90.9726,92.1894,704000
90.5076,2019-12-03,90.8737,89.3304,90.0921,699000
91.3881,2019-12-04,91.5958,89.8943,89.8943,466300
91.8333,2019-12-05,92.2092,90.9133,91.7541,640800
93.1094,2019-12-06,93.3369,92.2685,92.6741,395900
92.6544,2019-12-09,93.2182,92.4367,92.9116,295400
93.3567,2019-12-10,93.7524,92.4169,93.1885,393100
93.2974,2019-12-11,93.4655,92.8324,93.238,320100
94.8208,2019-12-12,95.3451,92.9907,93.3765,592400
93.3765,2019-12-13,95.1374,93.1688,94.8604,578800
94.6428,2019-12-16,94.8901,93.6535,94.3064,451900
94.1679,2019-12-17,95.266,93.8909,95.078,346600
93.6337,2019-12-18,94.2273,93.3864,94.0591,336500
94.6724,2019-12-19,95.1572,93.6634,93.8217,426300
95.5232,2019-12-20,95.7309,94.4548,95.1868,778300
96.1662,2019-12-23,96.2256,95.3649,95.8596,278000
96.4036,2019-12-24,96.4828,95.7112,96.3641,102000
96.1266,2019-12-26,96.6015,95.82,96.5421,298300
96.0079,2019-12-27,96.2552,95.5727,96.2552,321900
95.6221,2019-12-30,96.0574,95.2759,96.0475,228500
96.0574,2019-12-31,96.275,95.4935,95.6023,344300
97.7985,2020-01-02,97.7985,96.6312,97.1951,708900
95.9486,2020-01-03,96.6312,94.7417,95.6716,558900
96.9477,2020-01-06,96.9972,95.0187,95.3352,464700
97.7392,2020-01-07,97.9271,96.2355,96.6806,441800
97.5314,2020-01-08,98.6691,96.2157,97.7787,597600
98.7878,2020-01-09,98.8372,97.5611,98.1546,445400
99.2626,2020-01-10,100.074,98.6394,98.9263,471300
99.5495,2020-01-13,99.8661,98.8471,99.3022,398200
100.598,2020-01-14,100.964,99.134,99.134,785200
100.638,2020-01-15,101.36,100.47,100.618,377700
100.202,2020-01-16,101.271,99.8457,101.083,567000
100.301,2020-01-17,100.796,100.133,100.568,853800
100.321,2020-01-21,100.687,99.5388,99.9843,833000
99.8061,2020-01-22,101.271,99.5883,100.786,606600
98.3905,2020-01-23,99.7566,97.8163,99.3705,824400
98.7766,2020-01-24,98.9449,98.0044,98.8855,916100
97.6777,2020-01-27,98.0737,96.8561,97.4105,1113100
96.5492,2020-01-28,98.6083,94.0546,96.5195,1837900
97.5095,2020-01-29,98.4499,96.0642,97.0145,892000
94.4703,2020-01-30,97.2521,93.6784,96.3611,959900
91.55,2020-01-31,94.3515,91.0253,94.1932,965000
91.9361,2020-02-03,93.1636,91.5995,92.5103,990100
93.2923,2020-02-04,94.0447,92.4806,92.9161,603000
95.2524,2020-02-05,95.985,94.3714,94.5396,648800
94.6386,2020-02-06,95.7276,94.5396,95.7276,376500
