close,date,high,low,open,volume
242.411,2019-08-12,243.515,241.032,241.612,385500
247.101,2019-08-13,247.795,241.641,243.144,623100
242.326,2019-08-14,247.072,242.259,246.188,676700
247.177,2019-08-15,247.929,241.632,243.049,457900
247.596,2019-08-16,248.965,245.208,248.147,1251800
248.119,2019-08-19,250.212,245.712,248.271,642700
247.367,2019-08-20,250.126,246.178,248.48,342600
247.719,2019-08-21,249.08,246.825,247.938,384700
247.824,2019-08-22,248.414,244.942,247.995,414700
248.081,2019-08-23,251.039,246.15,248.927,713500
252.066,2019-08-26,252.076,247.32,248.604,480400
252.276,2019-08-27,253.933,251.724,253.667,464600
250.666,2019-08-28,253.505,248.942,251.485,409300
250.066,2019-08-29,252.428,248.942,252.428,421100
249.98,2019-08-30,252.143,249.218,252.009,497800
253.257,2019-09-03,253.714,249.304,250.399,552100
256.505,2019-09-04,256.858,252.99,254.238,610700
250.714,2019-09-05,257.591,250.38,257.191,632200
249.933,2019-09-06,252.162,249.666,251.19,413200
240.045,2019-09-09,249.933,239.674,249.342,869100
229.653,2019-09-10,238.616,227.319,238.473,1373200
230.748,2019-09-11,232.901,226.3,228.3,1059800
234.235,2019-09-12,236.559,231.567,231.777,858200
231.967,2019-09-13,234.396,229.681,233.425,742500
234.606,2019-09-16,235.025,231.005,232.006,512900
240.988,2019-09-17,241.693,234.911,236.302,654800
241.369,2019-09-18,242.884,237.216,240.712,647600
239.293,2019-09-19,240.521,237.264,239.083,737500
244.589,2019-09-20,245.294,238.845,240.464,941900
243.446,2019-09-23,247.332,243.341,244.703,517400
242.684,2019-09-24,246.713,242.274,244.313,781500
234.339,2019-09-25,243.77,233.396,243.589,1238500
234.301,2019-09-26,236.425,233.93,234.758,1075900
225.595,2019-09-27,234.711,223.69,233.253,1157300
229.71,2019-09-30,230.91,226.757,230.91,806900
225.833,2019-10-01,230.386,225.719,229.415,704400
222.689,2019-10-02,226.262,221.365,224.899,622900
226.023,2019-10-03,227.109,222.27,222.347,818500
225.357,2019-10-04,228.595,225.185,226.233,449100
225.138,2019-10-07,225.833,221.737,224.728,414700
225.909,2019-10-08,228.91,223.547,225.061,740500
227.319,2019-10-09,227.576,225.204,226.7,375900
231.301,2019-10-10,231.624,224.004,225.909,599200
230.015,2019-10-11,233.149,229.738,231.205,504500
229.434,2019-10-14,232.396,227.776,230.481,298400
227.671,2019-10-15,229.338,224.995,228.786,352900
221.889,2019-10-16,227.643,218.413,227.443,839700
228.652,2019-10-17,229.919,222.07,222.07,803300
232.52,2019-10-18,234.616,228.11,228.11,931500
234.168,2019-10-21,234.406,230.596,232.872,506600
233.358,2019-10-22,238.95,233.225,235.578,788300
236.216,2019-10-23,236.625,232.834,233.996,762900
234.863,2019-10-24,236.987,233.596,235.968,728200
232.568,2019-10-25,234.73,228.643,234.73,462100
231.005,2019-10-28,235.139,230.386,232.167,723400
227.357,2019-10-29,230.958,219.375,219.375,986300
230.415,2019-10-30,230.634,226.89,227.957,448000
229.234,2019-10-31,231.101,226.976,230.701,524700
228.786,2019-11-01,230.71,223.223,229.234,539000
223.471,2019-11-04,228.586,222.966,228.586,435200
217.908,2019-11-05,222.88,216.06,222.804,924000
220.518,2019-11-06,221.708,217.746,218.86,424000
215.974,2019-11-07,220.937,214.526,219.184,619200
217.622,2019-11-08,220.213,214.326,215.984,377300
217.774,2019-11-11,219.822,216.507,216.507,415100
215.65,2019-11-12,218.994,215.002,217.774,637400
220.346,2019-11-13,220.984,215.421,216.212,707900
223.833,2019-11-14,223.966,219.422,220.87,519200
226.004,2019-11-15,226.214,221.832,224.061,643700
224.957,2019-11-18,228.548,224.661,225.957,406700
228.605,2019-11-19,229.405,223.528,225.252,485800
229.683,2019-11-20,233.366,227.746,228.758,505700
226.783,2019-11-21,230.895,225.991,229.273,452600
221.669,2019-11-22,227.155,221.249,226.745,416800
220.896,2019-11-25,223.978,220.601,222.49,738100
226.191,2019-11-26,227.145,220.667,221.249,1335100
226.621,2019-11-27,226.878,224.398,226.535,503400
225.6,2019-11-29,228.309,225.428,226.516,239500
221.469,2019-12-02,225.6,220.372,225.266,458500
224.169,2019-12-03,225.237,221.431,221.431,341000
224.541,2019-12-04,226.392,221.66,223.081,348300
225.094,2019-12-05,225.218,222.642,224.226,277400
225.619,2019-12-06,226.506,222.766,226.067,399700
226.821,2019-12-09,227.04,224.493,225.991,324600
224.77,2019-12-10,227.527,222.814,226.764,540000
224.932,2019-12-11,226.525,222.766,224.97,554500
217.567,2019-12-12,225.514,217.281,225.476,676800
224.655,2019-12-13,224.779,217.166,217.271,749300
223.892,2019-12-16,226.382,222.575,223.663,994800
217.137,2019-12-17,225.466,216.947,223.777,1537400
223.148,2019-12-18,224.951,217.071,217.071,1750600
227.202,2019-12-19,229.168,222.833,222.881,882100
230.131,2019-12-20,232.736,226.477,230.914,1202000
229.549,2019-12-23,231.982,229.149,230.303,377800
229.111,2019-12-24,230.017,227.918,229.778,203000
230.169,2019-12-26,231.066,228.366,229.177,257300
230.313,2019-12-27,230.732,228.872,230.294,312700
227.527,2019-12-30,230.189,227.222,229.788,805300
229.912,2019-12-31,231.648,227.183,228.042,787000
227.889,2020-01-02,231.133,226.277,230.065,555800
229.95,2020-01-03,230.685,226.783,226.783,787400
230.16,2020-01-06,230.876,227.059,229.95,810600
226.535,2020-01-07,230.398,224.674,229.998,539300
228.996,2020-01-08,229.979,226.544,226.888,547800
230.112,2020-01-09,231.524,229.063,229.864,358900
233.575,2020-01-10,234.176,229.75,230.99,387000
238.555,2020-01-13,238.765,235.035,235.035,669000
237.229,2020-01-14,238.88,235.13,237.859,526300
238.031,2020-01-15,239.738,237.201,237.582,352200
239.204,2020-01-16,239.366,235.77,237.954,698000
240.454,2020-01-17,243.049,238.517,239.176,533200
242.744,2020-01-21,243.106,239.338,239.777,650200
240.998,2020-01-22,244.68,239.882,244.175,586000
243.287,2020-01-23,243.602,239.729,240.301,387300
241.513,2020-01-24,244.022,241.084,243.287,316600
241.122,2020-01-27,241.904,238.527,240.149,482300
240.177,2020-01-28,241.837,239.538,241.837,574100
237.878,2020-01-29,240.301,236.123,240.187,449300
242.076,2020-01-30,242.324,235.751,236.418,557100
238.088,2020-01-31,242.944,237.84,240.206,537800
238.107,2020-02-03,242.457,237.296,239.376,518500
242.486,2020-02-04,242.744,238.183,238.727,411700
242.868,2020-02-05,242.992,239.853,242.992,357600
244.709,2020-02-06,246.207,242.085,243.02,508600
246.922,2020-02-07,247.466,244.079,244.9,363800
252.57,2020-02-10,253.066,246.455,247.218,717900
270.945,2020-02-11,274.255,259.487,259.639,1776900
279.35,2020-02-12,279.712,268.254,271.012,1099000
276.459,2020-02-13,279.455,275.362,279.34,611800
281.067,2020-02-14,281.22,276.23,277.213,425200
278.31,2020-02-18,281.191,276.497,281.067,581200
276.526,2020-02-19,280.418,276.03,280.418,576300
278.701,2020-02-20,278.949,272.872,276.278,606300
282.059,2020-02-21,295.607,274.169,278.987,1696000
281.926,2020-02-24,285.293,280.762,282.202,825400
277.709,2020-02-25,288.49,274.274,282.279,881600
275.028,2020-02-26,279.798,272.109,279.064,844400
259.391,2020-02-27,275.143,258.142,269.991,1324900
252.904,2020-02-28,256.1,245.396,254.774,1941700
271.947,2020-03-02,272.09,253.725,254.679,1231500
273.483,2020-03-03,281.821,268.98,271.899,1193900
289.3,2020-03-04,290.607,274.284,275.352,1180800
286.515,2020-03-05,289.73,282.279,283.815,1020600
272.443,2020-03-06,282.183,264.066,279.188,1049600
252.953,2020-03-09,263.79,252.361,258.429,1079100
269.37,2020-03-10,270.183,253.527,258.286,1176900
262.5,2020-03-11,267.88,259.165,260.789,1096000
252.237,2020-03-12,269.523,234.625,245.729,1721500
269.37,2020-03-13,270.144,253.947,264.096,1530100
245.309,2020-03-16,264.172,235.629,248.032,1664800
262.27,2020-03-17,268.271,243.579,252.877,1576700
248.691,2020-03-18,267.431,243.111,256.613,1528900
234.253,2020-03-19,250.268,222.365,250.268,1396200
219.145,2020-03-20,238.171,217.998,236.24,1384300
205.891,2020-03-23,221.228,196.086,221.228,1736200
231.481,2020-03-24,233.995,210.745,212.073,1703100
232.341,2020-03-25,240.063,227.42,227.42,1178900
252.743,2020-03-26,255.4,232.561,234.243,1038400
249.771,2020-03-27,258.047,240.091,240.091,849700
