close,date,high,low,open,volume
268.793,2019-08-12,273.033,267.785,271.491,1183900
271.926,2019-08-13,274.782,267.084,268.862,1905600
266.303,2019-08-14,272.054,266.194,269.426,1856200
270.088,2019-08-15,272.736,267.568,271.422,1603700
272.894,2019-08-16,274.08,271.017,273.329,1035100
276.224,2019-08-19,276.896,272.766,275.315,1089100
272.934,2019-08-20,276.116,272.746,274.722,1031000
274.989,2019-08-21,276.412,273.734,274.989,749600
274.89,2019-08-22,277.598,272.914,276.136,845700
266.184,2019-08-23,276.916,264.307,274.821,1758500
267.726,2019-08-26,269.149,265.72,267.331,1052000
269.712,2019-08-27,270.839,268.378,269.673,1002600
272.805,2019-08-28,274.752,267.805,268.813,1316600
282.401,2019-08-29,283.359,275.533,275.898,1858500
283.676,2019-08-30,286.759,281.264,285.217,2165900
280.187,2019-09-03,282.875,277.934,281.077,1590000
282.529,2019-09-04,285.84,280.138,281.709,1288300
290.554,2019-09-05,291.235,283.093,285.0,1470500
291.571,2019-09-06,293.419,290.05,292.362,2337300
288.577,2019-09-09,293.182,287.648,292.718,1568400
286.087,2019-09-10,287.717,281.67,286.591,2428400
291.463,2019-09-11,291.611,282.875,286.107,1293700
291.492,2019-09-12,294.23,290.929,292.51,1108200
294.141,2019-09-13,294.526,290.297,290.623,1083000
292.035,2019-09-16,293.627,290.393,292.114,1062900
289.444,2019-09-17,292.618,288.139,291.471,1514500
291.669,2019-09-18,291.837,287.773,289.434,1221700
291.955,2019-09-19,293.449,290.621,290.68,1003800
293.023,2019-09-20,295.743,292.262,293.973,1775000
287.209,2019-09-23,292.311,286.893,289.286,1032300
281.978,2019-09-24,290.403,281.207,289.236,1465200
279.18,2019-09-25,284.134,277.914,282.947,1952000
283.649,2019-09-26,284.895,278.497,280.693,1693700
284.193,2019-09-27,286.932,282.027,285.132,1144000
288.02,2019-09-30,290.215,283.59,283.708,1519400
284.193,2019-10-01,290.354,283.906,288.524,1822000
276.411,2019-10-02,283.531,273.919,281.83,1964800
279.753,2019-10-03,280.801,271.239,275.046,1848800
289.038,2019-10-04,289.177,279.615,279.694,1742000
285.933,2019-10-07,290.759,285.835,287.249,1915300
268.896,2019-10-08,281.632,267.313,278.962,3933200
273.424,2019-10-09,275.699,272.109,275.59,1733800
277.528,2019-10-10,279.407,273.187,273.207,1129400
280.475,2019-10-11,284.707,280.178,282.472,1283600
281.078,2019-10-14,283.521,280.327,280.92,749100
282.828,2019-10-15,284.757,282.037,282.878,1183200
277.429,2019-10-16,281.82,276.203,280.791,2103500
278.448,2019-10-17,281.286,277.924,278.853,1028100
278.28,2019-10-18,280.772,277.261,277.914,1186400
280.376,2019-10-21,281.385,278.418,281.385,1053200
277.855,2019-10-22,283.985,277.568,280.198,1047100
293.617,2019-10-23,296.652,286.804,295.228,2094500
290.166,2019-10-24,292.984,287.407,292.025,1230900
293.369,2019-10-25,294.872,287.337,288.722,1061300
296.553,2019-10-28,298.956,293.28,293.28,1399600
