close,date,high,low,open,volume
22.8838,2019-08-12,23.9125,22.6572,23.3633,4151400
23.2848,2019-08-13,24.0956,22.5787,23.0582,4580200
21.7941,2019-08-14,22.5613,21.5762,22.5613,6490600
16.9558,2019-08-15,19.4055,16.1625,19.0916,26322000
17.4004,2019-08-16,17.7055,16.3979,16.3979,13902900
18.2809,2019-08-19,18.4465,17.5225,17.723,10607300
18.3419,2019-08-20,18.3855,17.8363,18.1763,6774000
18.9609,2019-08-21,18.9958,18.586,18.6122,7477700
18.5511,2019-08-22,19.1788,18.1763,19.0481,5733300
17.7055,2019-08-23,18.5424,17.6532,18.3594,7299900
18.2024,2019-08-26,18.2199,17.7143,17.9235,4876600
17.8537,2019-08-27,18.3245,17.723,18.2896,5395100
17.8625,2019-08-28,18.0978,17.5661,17.8102,4619000
17.6794,2019-08-29,18.0194,17.2348,17.8102,6441200
18.0019,2019-08-30,18.2635,17.7753,17.8014,6482600
17.8189,2019-09-03,18.2547,17.6358,17.8101,6255100
18.7342,2019-09-04,18.7778,18.3506,18.3506,7774300
20.3001,2019-09-05,20.3178,19.1222,19.1222,10712400
20.9821,2019-09-06,21.0441,20.2381,20.4064,8111700
21.5135,2019-09-09,21.5932,20.7784,20.9733,8353300
22.2929,2019-09-10,22.3815,21.3453,21.3895,7388900
22.8332,2019-09-11,23.1521,21.7172,22.4081,7387400
22.6561,2019-09-12,22.8066,21.9121,22.6384,6635700
22.3018,2019-09-13,23.5595,22.2752,23.0281,7301200
22.5941,2019-09-16,22.9838,22.1335,22.1601,5982200
22.2841,2019-09-17,22.5675,21.8767,22.4789,6125500
22.3018,2019-09-18,22.4435,22.0538,22.1424,7621900
22.3815,2019-09-19,22.5675,22.1955,22.3018,4176400
22.2664,2019-09-20,22.9395,22.2398,22.4347,8857200
22.2664,2019-09-23,22.5055,21.9829,22.1601,7332700
22.2752,2019-09-24,22.5764,22.0538,22.4967,6467200
22.4612,2019-09-25,22.8952,22.3372,22.4169,6777700
22.5941,2019-09-26,22.7712,22.2841,22.3638,4612100
23.0192,2019-09-27,23.2318,22.7181,22.7358,4749300
23.0724,2019-09-30,23.2761,22.7181,23.0192,5369900
22.6738,2019-10-01,23.4886,22.6207,23.1698,5622200
21.9121,2019-10-02,22.3549,21.8501,22.2929,5473400
22.3815,2019-10-03,22.3904,21.3807,21.8324,3977400
22.5764,2019-10-04,22.5852,22.0007,22.2575,3038100
22.3018,2019-10-07,22.5941,22.2487,22.5409,4024800
21.8412,2019-10-08,21.983,21.3984,21.9652,6045600
21.9475,2019-10-09,22.1867,21.8767,22.0715,4464400
22.1335,2019-10-10,22.2309,21.797,21.983,4189400
23.0104,2019-10-11,23.3381,22.5144,22.5232,5382000
22.3638,2019-10-14,22.4524,21.5932,22.2575,5363300
22.6029,2019-10-15,22.8509,22.1778,22.3992,3870200
22.5852,2019-10-16,22.8509,22.4347,22.5852,4171300
22.5321,2019-10-17,23.0281,22.5144,22.8244,3938500
22.6384,2019-10-18,22.7358,22.1689,22.2221,5067400
23.2406,2019-10-21,23.4443,22.8775,22.8952,4066700
23.3912,2019-10-22,23.4532,22.7712,23.2141,3801500
22.9838,2019-10-23,23.4621,22.8066,23.4443,3141100
22.7712,2019-10-24,23.1609,22.4169,23.1166,3251000
23.4266,2019-10-25,23.4798,22.1778,22.4169,2825900
23.1432,2019-10-28,23.5949,23.0989,23.3115,3274600
22.9129,2019-10-29,23.2141,22.7358,23.0901,3886100
23.2495,2019-10-30,23.2584,22.7092,22.9041,3557500
22.9041,2019-10-31,23.2052,22.3904,23.1609,5120600
23.2849,2019-11-01,23.4886,23.0901,23.1432,4141300
23.4886,2019-11-04,23.7898,23.3381,23.4621,6803700
23.8695,2019-11-05,24.7995,22.9484,22.9484,9374000
22.9661,2019-11-06,23.6392,22.4081,23.6392,8786500
23.9758,2019-11-07,24.2415,23.3823,23.4621,4708400
24.1175,2019-11-08,24.1175,23.4975,23.896,5149500
23.6303,2019-11-11,24.0023,23.3735,23.9403,4262700
23.3646,2019-11-12,23.7721,23.2406,23.7101,3959000
23.0546,2019-11-13,23.2938,22.9395,23.1963,2451800
23.1078,2019-11-14,23.4089,23.0281,23.0281,2157800
23.7012,2019-11-15,23.8606,23.2052,23.3292,3142800
23.8606,2019-11-18,23.9315,23.2672,23.7012,3561000
23.8695,2019-11-19,24.0023,23.5506,23.8341,3000500
23.1432,2019-11-20,23.8606,22.9129,23.8518,4351300
22.8244,2019-11-21,23.3646,22.7712,23.1344,3171300
23.3381,2019-11-22,23.4532,22.9572,23.0635,2794500
23.6392,2019-11-25,23.7012,23.0192,23.5418,2567400
23.5063,2019-11-26,23.7986,23.1698,23.6923,4303600
23.9315,2019-11-27,23.958,23.3026,23.772,3441400
23.8163,2019-11-29,23.9138,23.4886,23.8518,1661400
22.9306,2019-12-02,23.8252,22.9218,23.8252,4009500
21.9918,2019-12-03,22.3195,21.8147,22.3107,5791400
22.6207,2019-12-04,22.6827,21.921,22.0272,5547300
22.8432,2019-12-05,23.2113,22.6458,22.9061,3877800
22.9151,2019-12-06,23.3549,22.6368,22.6368,3334300
23.1574,2019-12-09,23.5344,22.8612,22.9779,7762000
22.9151,2019-12-10,23.301,22.8792,23.2023,4838000
23.1754,2019-12-11,23.31,22.6637,22.8073,3376700
23.6421,2019-12-12,23.8755,23.1933,23.2292,4058600
23.2831,2019-12-13,23.9832,22.8881,23.9562,4145700
22.8702,2019-12-16,23.5164,22.8702,23.4626,4976600
22.8971,2019-12-17,22.924,22.583,22.8163,4389500
23.2831,2019-12-18,23.5075,23.0317,23.0317,4698800
23.687,2019-12-19,23.7229,23.3459,23.4895,4595500
23.9742,2019-12-20,24.1806,23.4536,23.7767,8201400
24.3153,2019-12-23,24.5756,24.037,24.0639,3766100
24.0011,2019-12-24,24.3691,23.8396,24.3063,1412000
24.4409,2019-12-26,24.5217,24.1268,24.1537,1996500
24.1268,2019-12-27,24.4948,24.028,24.4858,2049000
23.8665,2019-12-30,24.2076,23.8396,24.0639,2264200
24.2076,2019-12-31,24.2345,23.7139,23.7947,2586200
24.1717,2020-01-02,24.5217,23.8575,24.3781,3823600
24.1627,2020-01-03,24.1717,23.7229,23.7947,3511200
24.4679,2020-01-06,24.5038,23.8755,23.9383,4040500
24.7012,2020-01-07,24.9615,24.3063,24.5038,2752900
24.8628,2020-01-08,25.0962,24.4679,24.8448,3624100
24.5756,2020-01-09,24.9256,24.1717,24.9256,2983500
24.6204,2020-01-10,24.791,24.3871,24.4948,2324100
25.2218,2020-01-13,25.3116,24.6115,24.7371,2693900
25.6975,2020-01-14,25.8411,25.2398,25.3654,4262200
25.6347,2020-01-15,25.8322,25.3834,25.6257,3603600
25.895,2020-01-16,26.2002,25.7514,25.9219,2607400
25.9309,2020-01-17,26.0207,25.6975,25.9309,2475900
25.4552,2020-01-21,25.8052,25.3116,25.8052,3559000
24.8179,2020-01-22,25.509,24.773,25.3654,3386000
25.0782,2020-01-23,25.159,24.2524,24.6204,2696100
24.4948,2020-01-24,25.1051,24.2973,25.1051,3258800
23.5523,2020-01-27,24.0639,23.4805,23.7677,3976200
23.6959,2020-01-28,23.9383,23.31,23.8306,3629500
24.0191,2020-01-29,24.1806,23.8126,23.8575,3691500
23.9114,2020-01-30,24.0011,23.5254,23.6959,4661200
23.1305,2020-01-31,23.8485,22.951,23.8485,4950200
23.3638,2020-02-03,23.7139,23.1754,23.2741,5261500
24.414,2020-02-04,24.6833,23.8934,24.028,4588300
25.4821,2020-02-05,25.5449,24.7192,24.7461,4885800
26.0296,2020-02-06,27.2862,26.0117,26.7926,8871700
25.1051,2020-02-07,25.5001,24.7102,25.0872,6067800
25.5898,2020-02-10,25.5898,24.8897,25.0064,3914500
25.6527,2020-02-11,25.9758,25.5898,25.913,3518400
26.4515,2020-02-12,26.4694,25.7604,25.895,3721100
