close,date,high,low,open,volume
37.0,2019-08-12,39.95,37.0,39.83,21231300
36.45,2019-08-13,37.46,36.12,37.0,18990600
33.96,2019-08-14,36.3,33.36,36.0,24481600
33.22,2019-08-15,34.55,32.92,34.52,13265800
35.23,2019-08-16,35.48,33.4,33.46,13883200
34.61,2019-08-19,35.8,34.37,35.53,10853100
35.29,2019-08-20,36.07,34.39,34.48,10760700
34.91,2019-08-21,35.83,34.75,35.5,7923000
34.0,2019-08-22,34.91,33.52,34.8,8513300
33.43,2019-08-23,34.23,33.12,33.65,8160600
33.31,2019-08-26,33.83,33.06,33.67,5662500
33.11,2019-08-27,34.24,32.98,33.69,6574800
32.59,2019-08-28,33.05,32.26,32.56,6245500
32.76,2019-08-29,33.3,32.6,32.9,5772200
32.57,2019-08-30,33.13,32.04,33.0,6628700
30.7,2019-09-03,32.53,30.665,32.1,12154000
31.99,2019-09-04,32.36,30.85,30.91,10357600
32.51,2019-09-05,33.03,32.25,32.33,7933300
31.86,2019-09-06,32.74,31.41,32.71,7036000
32.24,2019-09-09,32.39,31.46,32.05,7448400
33.51,2019-09-10,33.74,31.65,32.0,10817100
34.0,2019-09-11,35.14,33.02,33.38,14715800
34.07,2019-09-12,34.486,33.33,34.14,7734800
33.25,2019-09-13,34.435,32.94,34.25,9428600
34.43,2019-09-16,34.8,33.47,33.6,7942600
34.29,2019-09-17,34.75,33.55,34.75,5561300
34.26,2019-09-18,34.89,33.75,34.35,6608300
33.82,2019-09-19,34.64,33.68,34.2,6869600
32.6,2019-09-20,34.217,32.5,33.98,11935400
33.0,2019-09-23,33.01,32.06,32.52,5513000
31.3,2019-09-24,33.145,31.01,33.0,10579900
31.68,2019-09-25,31.72,30.76,31.27,7875000
31.57,2019-09-26,32.13,31.13,31.72,6058700
30.29,2019-09-27,31.9,30.13,31.71,11846700
30.47,2019-09-30,30.735,30.17,30.4,4986600
29.15,2019-10-01,30.51,28.65,30.37,13380200
29.0,2019-10-02,29.55,28.31,28.67,8782400
29.72,2019-10-03,29.88,28.52,28.97,9412000
29.67,2019-10-04,30.18,28.9,29.9,8597700
30.37,2019-10-07,30.75,29.83,30.6,10083800
29.28,2019-10-08,30.15,29.17,30.01,7769100
29.07,2019-10-09,29.62,28.81,29.62,7112900
28.87,2019-10-10,29.28,28.58,29.21,7716300
30.13,2019-10-11,30.4,28.94,28.95,10216900
31.12,2019-10-14,31.54,29.819,30.22,7945400
32.0,2019-10-15,32.17,31.195,31.2,7843800
31.87,2019-10-16,32.38,31.438,31.8,7781600
32.62,2019-10-17,32.93,31.45,31.8,7200800
32.06,2019-10-18,32.66,31.27,32.55,7844500
31.41,2019-10-21,32.283,31.185,31.95,7203400
32.53,2019-10-22,33.89,30.22,31.41,19214800
33.05,2019-10-23,33.27,32.17,32.87,6709800
33.28,2019-10-24,33.42,32.51,33.0,6729300
32.71,2019-10-25,33.48,32.61,33.2,8077300
33.22,2019-10-28,33.355,32.5,32.9,7532800
32.42,2019-10-29,32.92,31.815,32.37,9319200
33.75,2019-10-30,33.8,32.11,32.51,10732700
31.5,2019-10-31,33.36,31.26,33.23,15912400
31.37,2019-11-01,31.7,30.741,31.45,10434300
31.08,2019-11-04,31.75,30.12,31.45,28787400
28.02,2019-11-05,29.3,27.97,29.13,51963500
26.94,2019-11-06,27.55,25.58,26.06,130965700
27.38,2019-11-07,27.42,26.45,26.8,65861400
27.01,2019-11-08,27.62,26.915,27.48,44923600
27.14,2019-11-11,27.21,26.23,27.03,41138100
26.7,2019-11-12,27.66,26.66,27.38,37095400
26.71,2019-11-13,26.82,26.14,26.47,32678300
25.99,2019-11-14,26.86,25.665,26.8,27893900
26.79,2019-11-15,26.8,25.955,26.18,41236200
26.75,2019-11-18,27.0,26.3,26.8,35916100
27.05,2019-11-19,27.22,26.61,26.77,31793500
28.03,2019-11-20,28.4,26.945,27.06,52746600
29.46,2019-11-21,29.6,28.5,28.67,54551400
29.56,2019-11-22,30.13,29.21,29.84,42302900
29.11,2019-11-25,29.6,28.38,28.69,36967500
29.53,2019-11-26,30.15,29.36,29.49,28746600
29.49,2019-11-27,29.59,28.88,29.42,22421400
29.6,2019-11-29,29.85,29.25,29.41,8115100
28.98,2019-12-02,29.525,28.7,29.32,16927100
29.02,2019-12-03,29.33,28.15,28.2,25252400
29.06,2019-12-04,29.2,28.7,29.1,22517600
28.65,2019-12-05,28.99,28.18,28.94,22504300
27.86,2019-12-06,28.925,27.8,28.4,32816100
27.68,2019-12-09,28.36,27.68,27.96,20977300
27.89,2019-12-10,27.993,27.605,27.73,23602700
28.42,2019-12-11,28.545,27.85,27.99,23281700
28.69,2019-12-12,28.75,28.19,28.29,23569900
28.49,2019-12-13,28.84,28.27,28.58,25431600
30.05,2019-12-16,30.13,29.1,29.11,57382500
29.75,2019-12-17,30.42,29.53,30.37,38250700
30.13,2019-12-18,30.14,29.34,29.62,35375100
29.99,2019-12-19,30.17,29.53,29.84,33799700
30.45,2019-12-20,31.03,29.85,30.1,95455100
30.33,2019-12-23,30.94,29.83,30.49,31209100
30.44,2019-12-24,30.84,30.11,30.33,12938600
30.67,2019-12-26,30.79,30.03,30.47,22200800
30.17,2019-12-27,31.06,30.17,30.8,18462200
29.74,2019-12-30,30.2,29.35,30.13,18805900
29.74,2019-12-31,29.95,28.9,29.11,16228400
30.99,2020-01-02,31.0,29.79,29.94,20578900
31.37,2020-01-03,31.43,30.48,30.62,18822700
31.58,2020-01-06,32.06,31.0,31.01,21204700
32.81,2020-01-07,32.84,31.36,31.79,30119600
33.93,2020-01-08,34.52,32.46,32.73,43944400
33.97,2020-01-09,34.47,33.22,34.45,29385500
34.01,2020-01-10,34.99,33.835,34.08,34266400
34.14,2020-01-13,34.34,33.55,34.29,16915800
34.84,2020-01-14,35.02,33.92,34.2,26019000
35.01,2020-01-15,35.149,34.51,34.9,20762200
34.68,2020-01-16,35.06,34.18,35.03,21947800
35.13,2020-01-17,35.25,34.65,34.97,17251200
37.6,2020-01-21,37.8,35.41,35.5,48746700
37.04,2020-01-22,37.94,36.92,37.94,29765200
37.4,2020-01-23,37.95,36.725,36.97,21366000
36.8,2020-01-24,37.665,36.25,37.5,21598000
36.3,2020-01-27,36.65,34.19,35.23,18818000
37.01,2020-01-28,37.33,36.04,37.14,28974000
36.99,2020-01-29,37.565,36.8,36.98,16863000
36.68,2020-01-30,37.132,35.95,36.82,22847000
36.29,2020-01-31,37.04,35.69,37.0,21553700
37.59,2020-02-03,37.64,36.53,36.75,23494600
38.53,2020-02-04,38.99,37.26,37.87,32425900
36.81,2020-02-05,38.97,36.735,38.89,38413300
37.09,2020-02-06,37.39,36.73,37.3,52699300
40.63,2020-02-07,41.0,38.86,39.98,112325800
40.01,2020-02-10,41.34,39.96,40.65,60840800
41.27,2020-02-11,41.465,40.05,40.25,33896000
41.25,2020-02-12,41.86,41.065,41.5,26444900
40.09,2020-02-13,41.55,40.0,40.93,23850900
39.66,2020-02-14,40.31,38.7,40.02,32014200
40.18,2020-02-18,40.27,39.45,39.49,22149300
41.05,2020-02-19,41.23,40.115,40.42,23287300
40.92,2020-02-20,41.19,39.85,41.0,25446400
40.72,2020-02-21,40.89,40.05,40.89,20595500
38.31,2020-02-24,39.14,37.75,38.21,37123200
35.89,2020-02-25,39.15,35.5,38.9,49281600
34.45,2020-02-26,36.165,33.89,35.53,44051400
32.45,2020-02-27,34.16,30.67,32.03,66557200
33.87,2020-02-28,34.29,31.0,31.81,52049300
32.85,2020-03-02,34.08,31.74,34.05,46662000
33.04,2020-03-03,34.18,31.9,34.02,35182400
34.53,2020-03-04,35.34,32.28,33.93,44738600
32.21,2020-03-05,33.57,31.97,33.47,32764500
31.68,2020-03-06,32.41,30.45,31.23,34808700
28.17,2020-03-09,30.32,28.15,28.5,37439200
28.97,2020-03-10,29.86,27.0,29.47,36308300
26.24,2020-03-11,28.14,25.61,27.91,43067800
22.61,2020-03-12,24.69,22.11,23.26,54042000
22.6,2020-03-13,24.81,21.13,24.01,53844400
20.29,2020-03-16,21.49,19.1,20.15,56914000
18.91,2020-03-17,20.31,18.01,20.18,60003900
14.82,2020-03-18,17.8,13.71,17.76,78286200
20.49,2020-03-19,21.26,15.7,15.96,83988700
21.33,2020-03-20,23.89,20.61,22.53,76529700
22.4,2020-03-23,22.73,19.73,21.07,47787100
26.39,2020-03-24,26.84,23.59,24.41,58505000
26.19,2020-03-25,28.45,25.31,26.18,52473900
28.12,2020-03-26,28.44,25.78,26.6,41336400
27.28,2020-03-27,28.03,25.07,25.82,40292200
27.83,2020-03-30,28.39,25.31,26.33,37725700
27.92,2020-03-31,28.25,26.92,27.75,43126400
25.42,2020-04-01,26.767,24.81,26.5,38538400
23.68,2020-04-02,25.2,23.0,25.01,35838200
22.82,2020-04-03,23.79,21.67,23.73,40572000
25.99,2020-04-06,26.09,23.93,24.13,34692600
25.74,2020-04-07,28.11,25.5,27.95,36433800
26.94,2020-04-08,27.878,25.79,26.0,36166900
27.11,2020-04-09,28.89,26.46,27.88,36190200
27.99,2020-04-13,28.08,26.47,27.04,24671600
27.75,2020-04-14,28.77,27.013,28.0,32625300
27.41,2020-04-15,27.79,26.44,26.82,18720900
27.03,2020-04-16,28.05,26.46,27.21,24088700
28.0,2020-04-17,28.79,27.26,28.69,34129800
28.19,2020-04-20,28.76,26.9,27.07,32224000
27.19,2020-04-21,28.15,26.6,27.5,20969100
28.24,2020-04-22,28.56,27.51,27.97,21199400
28.33,2020-04-23,29.25,28.241,28.75,26992400
29.49,2020-04-24,29.59,28.14,28.51,20634900
30.08,2020-04-27,30.49,29.411,29.74,31705800
30.12,2020-04-28,31.83,29.36,31.0,27383200
31.37,2020-04-29,32.0,30.33,31.0,28288100
30.27,2020-04-30,31.05,29.75,30.5,20095400
28.39,2020-05-01,29.72,28.325,29.13,19290200
27.42,2020-05-04,28.07,26.58,27.56,23428300
28.07,2020-05-05,28.909,27.44,28.25,30725400
27.82,2020-05-06,28.06,26.81,27.5,31076500
30.93,2020-05-07,31.65,29.58,29.6,62229500
32.79,2020-05-08,33.3,31.64,32.59,69458100
31.64,2020-05-11,32.385,31.41,31.98,26439200
32.4,2020-05-12,34.45,30.41,31.42,89586000
33.02,2020-05-13,33.06,30.83,32.3,47279500
32.79,2020-05-14,33.04,31.24,32.53,32912600
32.47,2020-05-15,32.89,31.59,32.26,25950000
33.62,2020-05-18,36.0,32.99,33.7,47534600
33.4,2020-05-19,34.0,32.86,33.68,20223600
34.48,2020-05-20,34.77,33.82,34.12,21386700
34.26,2020-05-21,35.01,33.47,34.45,24075300
34.83,2020-05-22,34.93,33.57,34.15,18675700
34.56,2020-05-26,36.0,34.5,35.97,23483200
34.88,2020-05-27,35.0,33.1,34.42,27514600
34.15,2020-05-28,35.1,33.82,34.9,21951900
36.32,2020-05-29,36.45,34.0,34.18,72393800
35.82,2020-06-01,36.39,35.16,35.64,21893800
35.81,2020-06-02,36.42,35.26,36.16,19328400
36.75,2020-06-03,37.368,36.14,36.2,23051800
36.43,2020-06-04,37.3,36.28,36.42,17423600
37.21,2020-06-05,38.783,36.92,37.53,30393400
37.08,2020-06-08,37.9,36.09,37.87,30099500
36.59,2020-06-09,37.33,36.25,36.7,15127300
34.83,2020-06-10,36.8,34.265,36.69,43473700
31.1,2020-06-11,33.245,30.89,32.63,45298700
32.24,2020-06-12,32.74,31.04,32.73,27685200
32.67,2020-06-15,32.68,31.02,31.16,21350300
33.49,2020-06-16,34.17,32.43,34.0,21377100
33.29,2020-06-17,33.595,33.011,33.5,14827700
33.4,2020-06-18,33.44,32.8,33.0,15495800
32.3,2020-06-19,34.02,32.27,33.98,29426300
32.68,2020-06-22,32.85,31.43,32.43,17790300
33.05,2020-06-23,33.21,32.59,32.88,13622100
30.46,2020-06-24,32.93,30.455,32.75,29477200
30.58,2020-06-25,30.855,29.56,30.0,19142800
29.61,2020-06-26,30.44,29.21,30.44,46482300
29.63,2020-06-29,29.75,28.39,29.51,20795400
31.08,2020-06-30,31.25,30.13,30.83,21282800
30.43,2020-07-01,31.265,30.162,30.96,13611500
30.68,2020-07-02,31.57,30.51,31.02,14981100
32.52,2020-07-06,33.2,31.76,33.1,42392200
32.82,2020-07-07,33.56,32.39,32.46,34874700
33.93,2020-07-08,33.97,32.68,33.21,24602400
33.15,2020-07-09,34.46,32.26,34.24,25061800
33.14,2020-07-10,33.55,32.65,33.14,13586300
31.72,2020-07-13,33.6,31.66,33.21,19604800
30.93,2020-07-14,31.38,30.48,31.35,21781800
32.81,2020-07-15,32.97,31.68,32.1,20976500
32.35,2020-07-16,32.59,31.55,32.05,11090800
32.55,2020-07-17,32.816,31.85,32.58,13658700
33.66,2020-07-20,33.925,32.35,32.48,16213600
32.55,2020-07-21,34.23,32.53,34.16,16725100
32.66,2020-07-22,32.88,32.33,32.44,12128400
32.17,2020-07-23,33.02,31.983,32.33,12749800
31.18,2020-07-24,31.8,30.47,31.74,16896100
30.99,2020-07-27,31.6,30.75,31.21,10182300
30.81,2020-07-28,31.24,30.35,30.79,12977100
31.02,2020-07-29,31.26,30.77,30.92,8215900
30.24,2020-07-30,30.68,29.97,30.65,13062900
30.26,2020-07-31,30.42,29.785,30.4,16346800
31.19,2020-08-03,31.295,30.06,30.24,17078900
32.68,2020-08-04,32.845,31.17,31.17,21958100
33.2,2020-08-05,33.32,32.5,33.1,16987800
34.71,2020-08-06,34.795,33.21,33.27,38601500
32.9,2020-08-07,33.7,32.45,33.09,39071200
32.27,2020-08-10,33.18,31.51,33.04,21347600
31.21,2020-08-11,32.21,30.65,31.66,31569900
30.84,2020-08-12,32.22,30.69,31.46,23375900
30.46,2020-08-13,31.33,30.32,30.52,21976800
29.99,2020-08-14,30.49,29.815,30.4,17631600
29.48,2020-08-17,30.12,29.14,30.05,18544700
30.08,2020-08-18,30.46,29.41,29.5,29398200
29.42,2020-08-19,30.349,29.39,30.15,14050300
31.41,2020-08-20,31.7,28.48,29.13,56663300
30.83,2020-08-21,31.82,30.714,31.39,20217000
31.04,2020-08-24,31.3,30.37,30.97,17406200
31.19,2020-08-25,31.19,30.6,31.04,10056800
32.3,2020-08-26,32.71,30.95,31.01,20599800
32.8,2020-08-27,33.07,32.27,32.4,21306500
33.8,2020-08-28,33.94,32.82,33.0,17825600
33.63,2020-08-31,33.92,33.14,33.62,14980600
34.3,2020-09-01,34.51,33.145,33.45,16013900
34.37,2020-09-02,34.505,33.29,34.21,16552700
33.41,2020-09-03,34.74,32.95,34.08,17288800
33.24,2020-09-04,33.65,31.55,33.33,17480600
34.32,2020-09-08,35.1,32.16,32.36,33683500
35.01,2020-09-09,35.5,34.11,34.11,22803500
35.98,2020-09-10,36.78,35.19,35.2,35468300
36.98,2020-09-11,37.145,36.254,36.3,27130900
37.95,2020-09-14,38.0,37.08,37.1,28016000
37.47,2020-09-15,38.48,37.27,37.95,23532600
37.66,2020-09-16,38.52,37.39,37.39,21787100
37.06,2020-09-17,37.445,36.14,36.68,23534800
37.12,2020-09-18,37.565,36.39,37.15,68428600
36.49,2020-09-21,36.58,35.12,35.86,19100800
34.4,2020-09-22,36.55,34.1,36.53,28242800
33.55,2020-09-23,34.805,33.4,34.45,15796900
33.35,2020-09-24,34.0,32.89,33.66,16404100
34.46,2020-09-25,34.5,33.2,33.2,10736300
35.56,2020-09-28,36.625,35.26,35.8,22878400
35.43,2020-09-29,35.65,34.595,35.56,16488700
36.48,2020-09-30,36.5,35.28,35.28,21386300
37.14,2020-10-01,37.828,36.58,36.86,19187500
37.72,2020-10-02,37.99,35.94,36.0,20123400
37.14,2020-10-05,38.0,36.88,37.7,13093100
36.26,2020-10-06,37.37,36.04,37.17,13074700
36.78,2020-10-07,37.11,36.365,36.59,13782100
37.34,2020-10-08,37.83,36.96,37.0,12212400
37.27,2020-10-09,38.35,37.19,37.91,13172000
36.26,2020-10-12,37.56,36.175,37.56,16569400
35.56,2020-10-13,36.23,35.02,36.22,15463100
35.11,2020-10-14,36.09,35.075,35.69,15397200
34.26,2020-10-15,34.81,34.02,34.68,15443800
33.72,2020-10-16,34.8,33.61,34.78,14899700
34.22,2020-10-19,34.59,34.0,34.16,19278600
36.31,2020-10-20,36.76,34.53,34.53,29820700
35.2,2020-10-21,36.25,34.875,36.25,19058700
36.7,2020-10-22,36.89,34.915,35.42,14243600
36.75,2020-10-23,36.99,35.924,36.5,15960600
35.49,2020-10-26,36.74,35.12,36.5,12511700
34.16,2020-10-27,35.7,34.02,35.51,13692100
33.65,2020-10-28,33.66,32.9,33.62,15787900
34.06,2020-10-29,34.935,33.33,33.71,13735300
33.41,2020-10-30,34.39,33.155,33.91,13506200
34.81,2020-11-02,35.05,34.06,34.15,18350500
35.77,2020-11-03,36.15,35.15,35.27,16208800
40.99,2020-11-04,42.15,39.0,40.66,101818200
41.96,2020-11-05,42.05,40.01,40.33,34177600
44.87,2020-11-06,45.38,41.62,42.09,57670700
48.18,2020-11-09,49.62,47.3,48.01,61632300
47.0,2020-11-10,49.36,46.045,46.74,33079800
46.23,2020-11-11,47.52,45.91,46.72,19213700
46.4,2020-11-12,47.47,45.05,45.39,16251600
47.61,2020-11-13,47.79,45.93,47.11,15552400
